
[00:00:00.000 --> 00:00:04.000]   Hi, everyone.
[00:00:04.000 --> 00:00:05.880]   Welcome to the Leyden Space podcast.
[00:00:05.880 --> 00:00:08.100]   This is Alessio, partner and CTO in residence
[00:00:08.100 --> 00:00:09.040]   at Decibel Partners.
[00:00:09.040 --> 00:00:12.000]   And I'm joined by my co-host Swix, founder of SmallAI.
[00:00:12.000 --> 00:00:14.440]   Hey, and today we have a super special episode.
[00:00:14.440 --> 00:00:16.800]   I actually always wanted to take a selfie and go like,
[00:00:16.800 --> 00:00:19.440]   you know, POV, you're about to revolutionize
[00:00:19.440 --> 00:00:23.200]   the world of agents, because we have two of the most awesome
[00:00:23.200 --> 00:00:25.000]   high-end agents in the house.
[00:00:25.000 --> 00:00:27.280]   So first, we're going to welcome back Harrison Chase.
[00:00:27.280 --> 00:00:28.120]   Welcome.
[00:00:28.120 --> 00:00:29.800]   Excited to be here.
[00:00:29.800 --> 00:00:32.320]   What's new with you recently in sort of like the 10,
[00:00:32.320 --> 00:00:34.120]   20 second recap?
[00:00:34.120 --> 00:00:37.440]   Langchain, Langsmith, Langgraf, pushing on all of them.
[00:00:37.440 --> 00:00:40.160]   Lots of cool stuff related to a lot of the stuff
[00:00:40.160 --> 00:00:41.880]   that we're going to talk about today, probably.
[00:00:41.880 --> 00:00:43.120]   Yeah, we'll mention it in there.
[00:00:43.120 --> 00:00:44.520]   And the Celtics won the title.
[00:00:44.520 --> 00:00:45.760]   And the Celtics won the title.
[00:00:45.760 --> 00:00:47.040]   You got that going on for you.
[00:00:47.040 --> 00:00:47.480]   I don't know.
[00:00:47.480 --> 00:00:51.360]   Is that like floorball, handball, baseball?
[00:00:51.360 --> 00:00:52.120]   Basketball.
[00:00:52.120 --> 00:00:53.400]   Basketball, basketball.
[00:00:53.400 --> 00:00:56.040]   Patriots aren't looking good, though, so that's--
[00:00:56.040 --> 00:00:58.160]   And then Shunyu, you've also been on the pod,
[00:00:58.160 --> 00:01:01.320]   but only in like a sort of oral paper presentation capacity.
[00:01:01.320 --> 00:01:03.800]   But welcome officially to the Linux-based pod.
