
[00:00:00.000 --> 00:00:05.000]   [Intro]
[00:00:05.000 --> 00:00:10.000]   On Monday of this week, new video surfaced of NFL football player Ray Rice,
[00:00:10.000 --> 00:00:13.000]   a former NFL football player, I think we can say, at this point,
[00:00:13.000 --> 00:00:20.000]   who is seen knocking his fiancé unconscious in a casino elevator with punches to her face.
[00:00:20.000 --> 00:00:26.000]   It's very disturbing, and it undermines his previous story that he slapped her and she hit her head.
[00:00:26.000 --> 00:00:32.000]   When this bombshell video clip released online this week, there was a chorus of outrage, of course, and it was unanimous.
[00:00:32.000 --> 00:00:39.000]   Rice has been suspended indefinitely from the NFL. He played for the Baltimore Ravens, who are playing the Steelers right now.
[00:00:39.000 --> 00:00:45.000]   And the Ravens organization now admits to a total failure in addressing the situation prior to the release of this video.
[00:00:45.000 --> 00:00:52.000]   The football commissioner himself is under fire right now over the timing of when he was made aware of the graphic elevator video.
[00:00:52.000 --> 00:00:58.000]   Pastor John, from a creation standpoint, we believe God created men and women distinctly.
[00:00:58.000 --> 00:01:05.000]   So why do we all know inherently that men are not to mistreat women like this, but to protect and to serve them?
[00:01:05.000 --> 00:01:09.000]   In this situation, what do complementarian Christians say to Ray Rice?
[00:01:09.000 --> 00:01:17.000]   Complementarians have a very special word for Ray Rice and the thousands of men like him.
[00:01:17.000 --> 00:01:23.000]   So let's clarify what we mean by complementarian so that the word will land with understanding.
[00:01:23.000 --> 00:01:34.000]   Complementarians say that men and women are different in deep and important ways, not just physical and surface ways,
[00:01:34.000 --> 00:01:45.000]   and that these differences that God has designed for our good have profound influence on the way we relate to each other
[00:01:45.000 --> 00:01:50.000]   and what roles God wants us to take up.
[00:01:50.000 --> 00:01:59.000]   So the word complementarian, spelled with an E in the middle, not an I, it's not com-ple-mentarianism, but com-ple-mentarian.
[00:01:59.000 --> 00:02:05.000]   The word complementarian comes from being complementary to each other.
[00:02:05.000 --> 00:02:21.000]   That is, each being a complement to the other, like in ice skating in the Olympics, the moves of the man and the woman ice skater in the doubles complement the other
[00:02:21.000 --> 00:02:29.000]   and together make something beautiful to watch that is more than just each of them excelling on their own.
[00:02:29.000 --> 00:02:44.000]   This means that complementarians don't think all the roles that are defined for us are based merely on competencies.
[00:02:44.000 --> 00:02:56.000]   So in a relationship, you don't just ask who is smarter or more articulate or physically stronger or faster or a better reader or neater and so on.
[00:02:56.000 --> 00:03:05.000]   You ask more significantly and more fundamentally, is the man as man, not just human,
[00:03:05.000 --> 00:03:19.000]   is the man as man created by God with a built-in deep sense, an inclination, a disposition, something deeper than cultural, deeper than societal, deeper than upbringing,
[00:03:19.000 --> 00:03:36.000]   a sense of responsibility deep in his soul to nurture and provide for and protect and take life-giving initiatives with the women in his life according to the kinds of relationships that they have.
[00:03:36.000 --> 00:03:48.000]   Complementarians answer that question, yes, man as man, as God created him, not as sin has distorted us.
[00:03:48.000 --> 00:04:06.000]   Man as man created by God senses deep in his masculine soul, it is my special responsibility to show special care for and provide for and protect and be hope-giving and life-enhancing
[00:04:06.000 --> 00:04:18.000]   and woman-ennobling in the initiatives that I take in relation to the women in my life, knowing, yes, knowing that this will look different from one relationship to the other,
[00:04:18.000 --> 00:04:27.000]   say the woman who brings the mail to the house or the bank teller or the woman police officer or his wife or his daughter or his mother.
[00:04:27.000 --> 00:04:40.000]   It's going to look different in all those relationships, but in every relationship, he will know himself to be a man relating to a woman,
