
[00:00:00.040 --> 00:00:09.220]   ACL
[00:00:09.220 --> 00:00:10.740]   at the is
[00:00:57.200 --> 00:01:26.060]   '
[00:03:21.640 --> 00:03:22.940]   "I'm here to discuss any aspect of credit cards. I would love for you to join me for the call-in show on Friday, October 5. I have published a separate audio file with the call-in details of that, but please join me for that call-in show. I'm here to discuss any aspect of credit cards."
[00:03:52.960 --> 00:03:52.960]   ------
[00:03:53.000 --> 00:03:55.900]   Чтобы
[00:03:55.900 --> 00:04:22.020]  ,
[00:04:23.020 --> 00:04:33.840]   con
[00:04:33.840 --> 00:04:36.740]  ыш. I actually in.ımı, He, .,,,,,ikke
[00:06:45.100 --> 00:07:13.380]  their.com and I believe them except then a few years later I find out that they did borrow money now each of us has to navigate this particular this particular road I have no problem with somebody engaging in the borrowing of money if that's the decision that they choose I believe that it is morally wrong to default on debt so thus
[00:07:13.380 --> 00:07:13.380]   I've heard again and again and again from people in my own personal life clients that are people who say I don't borrow money and I take them at their word and I believe them except then a few years later I find out that they did borrow money now each of us has to navigate this particular this particular road I have no problem with somebody engaging in the borrowing of money if that's the decision that they choose I believe that it is morally wrong to default on debt so thus I believe that it is morally wrong to default on debt so thus
[00:07:13.380 --> 00:07:13.380]   so thus I believe that it is morally wrong to default on debt so thus
[00:07:30.260 --> 00:07:42.980]   so thus if you pledge your hand and you make an agreement to borrow money I don't think it's morally wrong to make that agreement but it is morally wrong for you to not follow through on that and you wind up putting yourself in a hazardous position where by by making a pledge that you will do something especially if you're based to borrow money you open yourself up for a moral hazard of not being able to do it through circumstances that are outside of your own hand that will provide you with the best of your ability to do it and I believe that you can't be a good person who's not going to do it I believe that's not going to be a good person who's not going to do it but I believe that's going to be a good person who's going to do it and I'm going to be a good person who's going to do it and I'm going to be a good thing that's E.
[00:07:42.980 --> 00:07:43.400]   E.
[00:07:43.440 --> 00:07:53.060]   one
[00:07:53.060 --> 00:07:56.200]   cleared respect,,,,
[00:07:56.200 --> 00:08:12.160]   dic. .. in to mean to بين to next機olé
[00:08:12.680 --> 00:08:16.520]   I'm going to talk about credit cards.
[00:08:16.520 --> 00:08:41.920]   I'm going to talk about credit cards.
[00:08:41.920 --> 00:08:41.920]   I'm going to talk about credit cards.
[00:08:41.920 --> 00:08:41.920]   I'm going to talk about credit cards.
[00:08:41.920 --> 00:08:41.920]   I'm going to talk about credit cards.
[00:08:41.920 --> 00:08:41.920]   I'm going to talk about credit cards.
[00:08:41.920 --> 00:08:41.920]   I'm going to talk about credit cards.
[00:08:41.920 --> 00:08:41.920]   I'm going to talk about credit cards.
[00:08:41.920 --> 00:08:41.920]   I'm going to talk about credit cards.
[00:08:41.920 --> 00:08:41.940]   I'm going to talk about credit cards.
[00:08:41.940 --> 00:08:42.000]   I'm going to talk about credit cards.
[00:08:42.000 --> 00:08:42.100]   I'm going to talk about credit cards.
[00:08:42.100 --> 00:08:42.160]   I'm going to talk about credit cards.
[00:08:42.160 --> 00:08:42.340]   I'm going to talk about credit cards.
[00:08:42.340 --> 00:08:42.360]   I'm going to talk about credit cards.
[00:08:42.360 --> 00:08:42.380]   I'm going to talk about credit cards.
[00:08:42.380 --> 00:08:42.400]   I'm going to talk about credit cards.
[00:08:42.400 --> 00:08:42.440]   I'm going to talk about credit cards.
[00:08:42.440 --> 00:08:42.460]   I'm going to talk about credit cards.
[00:08:42.460 --> 00:09:12.320]   I'm going to talk about credit cards.
[00:09:12.320 --> 00:09:12.360]   I'm going to talk about credit cards.
[00:09:12.360 --> 00:09:12.380]   I'm going to talk about credit cards.
[00:09:12.380 --> 00:09:12.400]   I'm going to talk about credit cards.
[00:09:12.400 --> 00:09:12.420]   I'm going to talk about credit cards.
[00:09:12.420 --> 00:09:12.440]   I'm going to talk about credit cards.
[00:09:12.440 --> 00:09:12.460]   I'm going to talk about credit cards.
[00:09:12.460 --> 00:09:12.480]   I'm going to talk about credit cards.
[00:09:12.520 --> 00:09:22.520]   Alison
[00:09:22.520 --> 00:09:24.100]   Pet It I
[00:10:41.920 --> 00:10:44.880]   cler
[00:10:44.880 --> 00:10:52.880]   displacement Viking comunic in the reason that is good
[00:10:52.880 --> 00:10:56.180]  相
[00:10:56.180 --> 00:11:00.860]   gi
[00:11:10.740 --> 00:11:11.740]   ang
[00:11:11.740 --> 00:11:13.740]   venerate saviour in the name of Jesus Christ of Latter-day Saints.
[00:11:13.740 --> 00:11:13.740]   in the name of Jesus Christ of Latter-day Saints.
[00:11:13.740 --> 00:11:15.740]   in the name of Jesus Christ of Latter-day Saints.
[00:11:15.740 --> 00:11:17.740]   in the name of Jesus Christ of Latter-day Saints.
[00:11:17.740 --> 00:11:19.740]   in the name of Jesus Christ of Latter-day Saints.
[00:11:19.740 --> 00:11:21.740]   in the name of Jesus Christ of Latter-day Saints.
[00:11:21.740 --> 00:11:23.740]   in the name of Jesus Christ of Latter-day Saints.
[00:11:23.740 --> 00:11:25.740]   in the name of Jesus Christ of Latter-day Saints.
[00:11:25.740 --> 00:11:27.740]   in the name of Jesus Christ of Latter-day Saints.
[00:11:27.740 --> 00:11:29.740]   in the name of Jesus Christ of Latter-day Saints.
[00:11:29.740 --> 00:11:31.740]   in the name of Jesus Christ of Latter-day Saints.
[00:11:31.740 --> 00:11:33.740]   in the name of Jesus Christ of Latter-day Saints.
[00:11:33.740 --> 00:11:35.740]   in the name of Jesus Christ of Latter-day Saints.
[00:11:35.740 --> 00:11:37.740]   in the name of Jesus Christ of Latter-day Saints.
[00:11:37.760 --> 00:12:07.780]   in the name of Jesus Christ of Latter-day Saints.
[00:12:07.780 --> 00:12:07.780]   In the name of Jesus Christ of Latter-day Saints.
[00:12:07.780 --> 00:12:07.780]   In the name of Jesus Christ of Latter-day Saints.
[00:12:07.780 --> 00:12:07.780]   In the name of Jesus Christ of Latter-day Saints.
[00:12:07.780 --> 00:12:07.780]   In the name of Jesus Christ of Latter-day Saints.
[00:12:07.780 --> 00:12:07.780]   In the name of Jesus Christ of Latter-day Saints.
[00:12:07.780 --> 00:12:07.780]   In the name of Jesus Christ of Latter-day Saints.
[00:12:07.780 --> 00:12:07.780]   In the name of Jesus Christ of Latter-day Saints.
[00:12:07.780 --> 00:12:07.780]   In the name of Jesus Christ of Latter-day Saints.
