
[00:00:00.000 --> 00:00:04.880]   [intro music]
[00:00:04.880 --> 00:00:10.380]   The new year means, as is our new tradition here on the podcast, it is time to go over
[00:00:10.380 --> 00:00:12.320]   my reading list.
[00:00:12.320 --> 00:00:18.080]   So as long-time listeners know, my target is usually to read about five books per month,
[00:00:18.080 --> 00:00:23.160]   and we've started the habit of at the beginning of each new month reviewing the books I read
[00:00:23.160 --> 00:00:24.160]   during the past month.
[00:00:24.160 --> 00:00:32.320]   So now it is time to talk about the five books I read in December 2021.
[00:00:32.320 --> 00:00:33.320]   Are you ready for this, Jesse?
[00:00:33.320 --> 00:00:34.320]   I'm ready.
[00:00:34.320 --> 00:00:35.320]   Let's go.
[00:00:35.320 --> 00:00:36.320]   All right.
[00:00:36.320 --> 00:00:45.200]   So the first book I completed in that month was How Star Wars Conquered the Universe by
[00:00:45.200 --> 00:00:47.300]   Chris Taylor.
[00:00:47.300 --> 00:00:53.960]   This is basically a George Lucas biography that has some pop culture reporting on the
[00:00:53.960 --> 00:00:54.960]   Star Wars phenomenon.
[00:00:54.960 --> 00:00:56.600]   Now, you might remember this, Jesse.
[00:00:56.600 --> 00:00:57.720]   This was controversial.
[00:00:57.720 --> 00:01:00.960]   We talked about this back in December when I was reading it.
[00:01:00.960 --> 00:01:09.640]   I asked the listeners, "Is it okay that I am skipping the chapters that are about the
[00:01:09.640 --> 00:01:11.360]   cultural reception of Star Wars?"
[00:01:11.360 --> 00:01:14.600]   So early on, the book started going back and forth.
[00:01:14.600 --> 00:01:20.120]   It would be a chapter from the timeline of George Lucas's career, so biography.
[00:01:20.120 --> 00:01:23.960]   And then it would switch to a chapter that would be about, "Here's a group of guys that
[00:01:23.960 --> 00:01:28.880]   dress up like stormtroopers and who they are and what's that like."
[00:01:28.880 --> 00:01:30.880]   I was not so interested in the cultural stuff.
[00:01:30.880 --> 00:01:31.880]   I wanted the biography.
[00:01:31.880 --> 00:01:35.720]   This is part of my ongoing effort to—my movie effort.
[00:01:35.720 --> 00:01:38.840]   I'm reading book after book about various people in the movie industry for some weird
[00:01:38.840 --> 00:01:39.840]   reason.
[00:01:39.840 --> 00:01:42.400]   So I asked the audience if it was okay if I skipped that.
[00:01:42.400 --> 00:01:45.480]   Jesse, you gave me the thumbs up on that, I believe, if I'm remembering.
[00:01:45.480 --> 00:01:46.480]   Yeah, that was okay.
[00:01:46.480 --> 00:01:47.480]   That was okay.
[00:01:47.480 --> 00:01:49.680]   Well, so here's the thing.
[00:01:49.680 --> 00:01:54.280]   I have more defense for my approach because he stopped—the author, Chris Taylor, stopped
[00:01:54.280 --> 00:01:59.480]   doing that switching before, I don't know, two-thirds of the way into the book.
[00:01:59.480 --> 00:02:02.040]   And so it became straight biography, really, for the end of it.
[00:02:02.040 --> 00:02:07.680]   So in the end, I probably only skipped, I don't know, 30% of the material.
[00:02:07.680 --> 00:02:10.000]   So I'm going to count that.
[00:02:10.000 --> 00:02:18.000]   So as I mentioned, this is part of my random project to really dive into the film industry.
[00:02:18.000 --> 00:02:22.720]   This is maybe the fourth or fifth book I've read in a row that is on that topic.
[00:02:22.720 --> 00:02:25.840]   I'm not sure why this is interesting so much, but it really has been this fall.
[00:02:25.840 --> 00:02:29.960]   I really wanted to learn about George Lucas, having finished the biography of Steven Spielberg
[00:02:29.960 --> 00:02:31.960]   the month before.
[00:02:31.960 --> 00:02:34.760]   And a few things I learned.
[00:02:34.760 --> 00:02:38.920]   One, Lucas was a really good director.
[00:02:38.920 --> 00:02:44.280]   So in this scene, there's this scene centered around USC where there was Lucas and there
[00:02:44.280 --> 00:02:48.760]   was Coppola, and Spielberg wasn't at USC, but he was in their circle.
[00:02:48.760 --> 00:02:52.720]   Scorsese was in their circle, among some others.
