
[00:00:00.000 --> 00:00:05.400]   Hey, everybody, welcome to the all in podcast. I'm your moderator for the week Dave Friedberg
[00:00:05.400 --> 00:00:12.960]   Not the world's greatest moderator. This show is gonna be a bit of a shortened version at the back end of the pod today
[00:00:12.960 --> 00:00:19.600]   We actually are gonna show some Q&A from Jason's launch summit, which he held in Napa Valley this week great event
[00:00:19.600 --> 00:00:21.400]   Thanks for having us up there
[00:00:21.400 --> 00:00:26.840]   Jkal, thanks for coming great speakers great content and we did a live Q&A
[00:00:27.440 --> 00:00:34.500]   For the all-in pod with the audience there which will transition to about halfway through through the show today
[00:00:34.500 --> 00:00:41.080]   Jkal, thanks for your hospitality. Oh, yeah. Thanks for having me the fun birthday party the poker night
[00:00:41.080 --> 00:00:45.120]   We had a great time. I still don't know what I was doing there. You were meeting some of your LPs
[00:00:45.120 --> 00:00:51.240]   It was like a dog and pony show Jkal was using us as some sort of dog and pony show to raise money
[00:00:51.240 --> 00:00:55.640]   Zach did you really have LPs there that you would never met? No. Yes
[00:00:56.360 --> 00:01:00.080]   Hold on a second. I had one LP there who I have definitely met many times before
[00:01:00.080 --> 00:01:02.800]   Okay, she told us she'd never met you she wanted an introduction
[00:01:02.800 --> 00:01:05.920]   So maybe she's getting into the spirit of all-in and joking with you
[00:01:05.920 --> 00:01:08.880]   But you had a three-hour meeting with one of your LPs as I heard she talked about
[00:01:08.880 --> 00:01:12.740]   Yeah, she said she had like two or three hours with you mother you with us today. What's going on?
[00:01:12.740 --> 00:01:17.200]   You there buddy? Chamath is very drunk. By the way, he brought up his own wine. He started margaritas at 2 o'clock
[00:01:17.200 --> 00:01:19.920]   He was drunk by the time we got there. What? He showed up
[00:01:19.920 --> 00:01:23.180]   He was day drinking margaritas in the Sun
[00:01:23.180 --> 00:01:27.100]   Oh, and then we showed up and he was like falling asleep by the time we were done with the stage
[00:01:47.960 --> 00:01:53.720]   You know, by the way politics is one of these incredible things where you see the meanest people
[00:01:53.720 --> 00:01:57.240]   come out of the woodwork when you
[00:01:57.240 --> 00:02:05.420]   Even feign support for somebody that they don't support now that it's out there that sax and I are doing this fundraiser for RFK
[00:02:05.420 --> 00:02:07.420]   Oh, yeah, if you look at Twitter
[00:02:07.420 --> 00:02:09.760]   some of like the
[00:02:09.760 --> 00:02:10.840]   the
[00:02:10.840 --> 00:02:13.640]   Democratic surrogates are out just
[00:02:14.840 --> 00:02:18.240]   Smacking me and sax around and it's incredible
[00:02:18.240 --> 00:02:21.080]   These people are like the biggest
[00:02:21.080 --> 00:02:23.600]   imposter loser clowns
[00:02:23.600 --> 00:02:31.360]   They've never literally done anything in their whole life and then they show up and then they just like how dare you work and help
[00:02:31.360 --> 00:02:34.020]   Build a company. How dare you help build another company?
[00:02:34.020 --> 00:02:37.160]   How dare you help now fund other companies?
[00:02:37.160 --> 00:02:43.520]   I am a talking mouthpiece who's never done anything except work in one administration as a speechwriter and now I think you guys suck balls
[00:02:43.960 --> 00:02:46.280]   It's like give me a break. Mm-hmm
[00:02:46.280 --> 00:02:50.120]   So you are you a little kind of emotional about that today?
[00:02:50.120 --> 00:02:56.400]   I love actually I love critiques actually because I think like you can learn a lot from critiques, but then when mids just
[00:02:56.400 --> 00:02:58.960]   spew I
[00:02:58.960 --> 00:03:06.240]   Just get annoyed. I think mids should not be allowed to talk. Yeah. Well, that's just my thought there goes half the internet sex
[00:03:06.240 --> 00:03:08.640]   Are your Republican?
[00:03:08.640 --> 00:03:10.400]   cohort friends
[00:03:10.400 --> 00:03:14.600]   Upset about you hosting a fundraiser for RFK. I've got none of that. None of that
[00:03:14.600 --> 00:03:17.200]   That's interesting. What's your take on that?
[00:03:17.200 --> 00:03:21.360]   Yeah, do Republicans generally think that it's a good thing if our a kid jr
[00:03:21.360 --> 00:03:27.080]   Gets the Democratic nomination because he will be easily beatable. I don't think they're thinking that way. I think that there's a
[00:03:27.080 --> 00:03:29.360]   respect
[00:03:29.360 --> 00:03:37.280]   For RFK jr. Among many Republicans because he's speaking out on issues that they care about like I've talked about he's denouncing censorship
[00:03:37.280 --> 00:03:40.280]   he's in favor of free speech is in favor of civil liberties and
[00:03:40.280 --> 00:03:47.720]   You know not the this massive surveillance state. He's speaking out in favor of peace instead of war. He's speaking out on the border
[00:03:47.720 --> 00:03:53.440]   He had this amazing video. That was great a couple of days ago where he went to the border in Yuma, Arizona
[00:03:53.440 --> 00:03:56.200]   At 2 a.m. In the morning
[00:03:56.200 --> 00:04:02.360]   And he shows he shows where the border wall ends and where the border wall ends the line
[00:04:02.560 --> 00:04:05.840]   Begins and people from all over the world are just entering
[00:04:05.840 --> 00:04:12.720]   Through this hole in the wall in a never-ending stream of people and then they get loaded onto buses
[00:04:12.720 --> 00:04:20.320]   Provided by the government and then they get handed it a ticket to supposedly appear in court to resolve their case in three or four years
[00:04:20.320 --> 00:04:23.680]   And they're never heard from again and they're dispersed all over the country
[00:04:23.680 --> 00:04:30.000]   What I don't understand is if the federal government can get its act together enough to provide buses
[00:04:30.320 --> 00:04:35.200]   Why can't they get their act together enough to plug the hole in the wall? It's absurd
[00:04:35.200 --> 00:04:40.480]   This is like an act of sabotage against the United States. And so he's there just pointing this out
[00:04:40.480 --> 00:04:42.160]   I've never seen anything like this before
[00:04:42.160 --> 00:04:47.520]   It was interesting as a as a Democrat to do this because that's typically kind of a Republican
[00:04:47.520 --> 00:04:52.240]   Point right and some of the commentary made about RFK jr
[00:04:52.240 --> 00:04:57.680]   I think it was in the New York Times this week or someone that covered his candidacy one of the big media
[00:04:57.680 --> 00:04:59.920]   companies
[00:04:59.920 --> 00:05:07.400]   Highlighted how much of his agenda seems to be a Republican talking point agenda. Does that sound accurate?
[00:05:07.400 --> 00:05:14.800]   Even most people in the country who identify as Democrats would be against having an open border
[00:05:14.800 --> 00:05:20.080]   That's what we're talking about when there's a hole in the wall and people can just start forming a line and then once they get through
[00:05:20.080 --> 00:05:24.720]   The line, right? They're literally just hold on. They're basically distributed throughout the country on buses
[00:05:24.720 --> 00:05:27.880]   I don't think most people in the country even Democrats would support that
[00:05:28.320 --> 00:05:34.440]   But what he's violating here is the press blackout on what's really going on at the border
[00:05:34.440 --> 00:05:39.820]   So you're right. Like the only you went there. Yeah, but other Republican talking points. So the
[00:05:39.820 --> 00:05:42.520]   points around the vaccine
[00:05:42.520 --> 00:05:49.140]   Republican well, he's expressed obviously concerns about vaccines preceding the kovat vaccine
[00:05:49.140 --> 00:05:50.920]   I don't know whether he's right about that or not
[00:05:50.920 --> 00:05:54.240]   I'm not willing to say whether he's right or wrong about that because I just don't know enough
[00:05:54.240 --> 00:05:58.560]   I think he's definitely right about the inefficacy of the kovat vaccine
[00:05:58.560 --> 00:06:02.480]   We've talked about this before even Bill Gates admits now that the vaccine doesn't work
[00:06:02.480 --> 00:06:07.560]   It's too short acting and it doesn't hold up against very it's not a vaccine. Let's just
[00:06:07.560 --> 00:06:13.600]   You from getting the illness. It's a death reduction shot. It was a revenue grab by big pharma
[00:06:13.600 --> 00:06:16.360]   plastered with
[00:06:16.360 --> 00:06:21.240]   Non-scientific thinking from a bunch of people who should have known better Wow
[00:06:21.240 --> 00:06:24.480]   I think you just got our so much
[00:06:24.480 --> 00:06:31.200]   Is just the truth hold on what you must have said is just like the factual reality and and
[00:06:31.200 --> 00:06:35.120]   You can't get that from the mainstream media. Like there's no
[00:06:35.120 --> 00:06:39.560]   Re-evaluation. There's no appraisal. They control what we see in here
[00:06:39.560 --> 00:06:45.760]   It's like prov to level in terms of the propaganda and that's why I think RFK jr. Is so interesting is because he is
[00:06:46.360 --> 00:06:52.240]   Blowing up what the mainstream media wants to control the really interesting thing about him going to the border
[00:06:52.240 --> 00:06:53.840]   I agree with sax is hey
[00:06:53.840 --> 00:06:58.560]   let's just have a discussion about this and look at the actual facts on the ground that we can agree on and
[00:06:58.560 --> 00:07:03.840]   What he actually did was he pierced the veil of like this is an issue about a certain group of people
[00:07:03.840 --> 00:07:08.200]   He was there and there are people from Afghanistan China all over the world coming in
[00:07:08.200 --> 00:07:13.800]   He made the point that this isn't just about one country and that these people are suffering and that I thought was like another really
[00:07:13.800 --> 00:07:16.320]   Important highlight these people are being trafficked
[00:07:16.320 --> 00:07:22.280]   They're you know being abused at the border and that it's gonna cost us 10 million a mile to secure the border
[00:07:22.280 --> 00:07:29.800]   It's a really great talking about it and he's done this with Ukraine as well where he emphasizes the humanitarian aspect of it
[00:07:29.800 --> 00:07:34.520]   Yes, and talking about it and I think Republicans should adopt some of that
[00:07:34.520 --> 00:07:40.000]   He rhetoric and to Chamath's point. I think it's it is. I think it's a money grab Chamath
[00:07:40.000 --> 00:07:41.680]   I do think it lowered death rates
[00:07:41.680 --> 00:07:46.920]   But you know, I do think piercing the veil on this and none of us are still getting boosted because we know they don't
[00:07:46.920 --> 00:07:55.540]   I'm not debating vaccines and politics. We're moving on. We're gonna talk about crypto. So this week the SEC. There we go. Serious action
[00:07:55.540 --> 00:07:58.840]   against Binance and coinbase
[00:07:58.840 --> 00:08:05.740]   You know pretty significant pretty loud SEC filed 13 charges against finance entities and the founders CC
[00:08:05.740 --> 00:08:08.200]   charges include operating unregistered
[00:08:08.720 --> 00:08:11.360]   securities exchanges broker dealers and clearing agencies
[00:08:11.360 --> 00:08:19.040]   misrepresenting their trading controls and their oversight on the Binance US platform and the unregistered offer and sale of
[00:08:19.040 --> 00:08:25.000]   Securities the next day. They sought a temporary restraining order to freeze finances US assets and
[00:08:25.000 --> 00:08:28.820]   Then on Tuesday the SEC sued coinbase
[00:08:28.820 --> 00:08:36.040]   over their exchange and their staking programs stock dropped 12% the SEC said that
[00:08:37.240 --> 00:08:44.720]   The company was operating an unregistered exchange and broker and that 13 of their assets listed on their platform were considered crypto asset
[00:08:44.720 --> 00:08:46.320]   securities
[00:08:46.320 --> 00:08:47.680]   Brian Armstrong
[00:08:47.680 --> 00:08:50.000]   Obviously has been on the pod several times
[00:08:50.000 --> 00:08:55.860]   Said he's not shutting down his staking service and said regarding the SEC complaint against us today
[00:08:55.860 --> 00:08:59.560]   We're proud to represent the industry in court to finally get some clarity around crypto rules
[00:08:59.560 --> 00:09:04.460]   He's generally made the statement that he has tried multiple times to register with the SEC
[00:09:04.460 --> 00:09:10.800]   They have not had a mechanism for him to register. They have tried to do everything by the book and that the SEC
[00:09:10.800 --> 00:09:16.680]   approved their IPO filing knowing full well the details of their business and their operating model and
[00:09:16.680 --> 00:09:20.820]   Still allowed them to go public on a US securities exchange
[00:09:20.820 --> 00:09:27.840]   Despite full knowledge about their business. Chamath does anything change this week based on the SEC's action or is this just a continuation of
[00:09:27.840 --> 00:09:31.360]   You know crypto has been
[00:09:32.680 --> 00:09:36.000]   Rolled back and will continue to roll back here in the US
[00:09:36.000 --> 00:09:43.240]   Or is this something new and a new action and opens up a new front on the the government versus crypto?
[00:09:43.240 --> 00:09:46.520]   It's a good question. I think there's two ways to look at this one is
[00:09:46.520 --> 00:09:50.600]   The conspiracy theorist way which you see a lot of on
[00:09:50.600 --> 00:09:58.680]   Twitter which is this idea that crypto is making all of these inroads as
[00:10:00.320 --> 00:10:03.100]   a replacement mechanism for
[00:10:03.100 --> 00:10:10.600]   Fiat currency and so governments are really now invested in trying to shut it down. I think that's
[00:10:10.600 --> 00:10:15.320]   Largely untrue and then there's the more simple basic reality
[00:10:15.320 --> 00:10:18.460]   Which is that there was one part of the SEC
[00:10:18.460 --> 00:10:26.440]   That frankly didn't do the job that they were supposed to by either allowing a few of these crypto companies or crypto businesses
[00:10:26.800 --> 00:10:33.640]   To go public either a standalone businesses or as part of other businesses. So Coinbase Robin Hood, etc
[00:10:33.640 --> 00:10:40.480]   And then there's this part of the enforcement action after this FTX fiasco, which is a lot of CYA
[00:10:40.480 --> 00:10:43.960]   Covering your ass by the SEC
[00:10:43.960 --> 00:10:47.700]   Especially because it looked like they had some cozy relationships with them
[00:10:47.700 --> 00:10:52.200]   And so they're coming down hard and they're going to go and systematically dismantle
[00:10:52.840 --> 00:10:59.880]   The largest actors and they're going to go through the value chain. So I think the obvious place that they're looking now or
[00:10:59.880 --> 00:11:04.720]   The exchanges they'll look at the custodial services
[00:11:04.720 --> 00:11:07.760]   they will not approve any ETFs and
[00:11:07.760 --> 00:11:12.720]   then eventually I do think it trickles into all of the staking services and
[00:11:12.720 --> 00:11:20.480]   Eventually, I think it'll touch the venture community and all of those firms and funds that had a huge robust business in
[00:11:21.920 --> 00:11:23.920]   staking
[00:11:23.920 --> 00:11:30.560]   These crypto projects in order to get coins like founding coins and then being able to sell them J. Kel
[00:11:30.560 --> 00:11:33.520]   I mean, I've been talking about this since the beginning because I
[00:11:33.520 --> 00:11:35.360]   bought
[00:11:35.360 --> 00:11:40.440]   Bitcoin and wrote about Bitcoin when it was maybe 25 cents and then again when it was a hundred
[00:11:40.440 --> 00:11:42.840]   So I've been following this for a long time. And I think
[00:11:42.840 --> 00:11:46.140]   Thinking from first principles to stepping back for a moment
[00:11:46.140 --> 00:11:49.240]   You know what we do in technology is fundamentally disruptive
[00:11:49.240 --> 00:11:52.040]   If it's at its best if it's truly gonna be important in the world
[00:11:52.040 --> 00:11:59.400]   and when you hear that word disruption, you kind of file it as a buzzword, but what it really means at its core is like
[00:11:59.400 --> 00:12:03.720]   Competition and it's not just competition disruption when you say disruption
[00:12:03.720 --> 00:12:07.800]   you're talking about existential competition two people go in the ring one person comes out like
[00:12:07.800 --> 00:12:14.520]   Somebody's gonna get really fucked up. And if you people keep bringing up, oh, you're an investor in uber. They broke the rules
[00:12:14.520 --> 00:12:16.080]   They bent the rules
[00:12:16.080 --> 00:12:23.120]   Uber was going against caps. Airbnb was going against like hotels. We work was going against like long-term real estate leases
[00:12:23.120 --> 00:12:25.360]   When you look at all those
[00:12:25.360 --> 00:12:31.880]   Disruptive technologies and what they did at their core. They disrupted on behalf of consumers and
[00:12:31.880 --> 00:12:35.400]   Lowered prices increased choice, etc. When you get crypto
[00:12:35.400 --> 00:12:41.500]   The crypto crowd literally said we are going to replace fiat currency fiat currency
[00:12:41.880 --> 00:12:46.720]   Is the government and so my thesis from the beginning was if the government has a way to stop this
[00:12:46.720 --> 00:12:52.280]   They do not want to be disrupted. What what is a government at its core? It's a military
[00:12:52.280 --> 00:12:57.280]   It's a bunch of rules laws and it's money
[00:12:57.280 --> 00:13:03.960]   that's the kind of pillars of any government's power we knew the government wasn't gonna give this up and
[00:13:03.960 --> 00:13:11.480]   You know, they they after round and found out but the truth is the and this is where I have some sympathy for the crypto
[00:13:11.480 --> 00:13:16.760]   People not the people who are just committing crime with the whole way and just dumping these bags on retail, etc
[00:13:16.760 --> 00:13:18.840]   But we do want to have this innovation here
[00:13:18.840 --> 00:13:25.120]   There are some innovative aspects to it, but Gary Gensler said listen, you already have electronic money. It's called money in the United States
[00:13:25.120 --> 00:13:27.920]   We already have these services. You don't need this consumers don't need it
[00:13:27.920 --> 00:13:33.080]   And you have to understand the SEC's function in the world to understand why they're taking this action
[00:13:33.080 --> 00:13:35.200]   Their function is to protect investors
[00:13:35.200 --> 00:13:39.160]   Investors lost a bunch of money. Therefore they are going to retroactively
[00:13:39.680 --> 00:13:42.440]   inflict pain and hold people accountable for
[00:13:42.440 --> 00:13:48.960]   Their mandate which is to protect investors. You could have easily resolved this the SEC and
[00:13:48.960 --> 00:13:56.640]   The companies could resolve this the companies could have followed these things as securities and only allowed accredited investors top 5% of the country
[00:13:56.640 --> 00:14:01.240]   People will make over 200k a year. They didn't do that. They said anybody can buy these
[00:14:01.240 --> 00:14:05.840]   Well, that's just not how it works in America and it should change
[00:14:05.840 --> 00:14:09.600]   I think everybody should be able to buy any security they want in America
[00:14:09.600 --> 00:14:14.160]   Just like anybody can go play blackjack and the easiest solution for this just passed in Congress this week
[00:14:14.160 --> 00:14:16.240]   And we'll go to the Senate and be a lawsuit
[00:14:16.240 --> 00:14:21.360]   I think allowing every American the other 94% to take a test and become accredited if that happens
[00:14:21.360 --> 00:14:25.120]   You take a test just like you take a driver's license test. I know what diversification is
[00:14:25.120 --> 00:14:27.880]   I know how risky these are once you take that 50
[00:14:27.880 --> 00:14:34.680]   Question test you become accredited and then you can buy these coins if you want to and that's really the easiest path to resolution here
[00:14:34.680 --> 00:14:40.120]   So we don't have Brian Armstrong move his company to the Middle East or you know an island in the Caribbean
[00:14:40.120 --> 00:14:43.760]   Which is what he's gonna do I predict so, okay. Well look we've seen
[00:14:43.760 --> 00:14:50.360]   This bill make its way I think through is it going to the Senate next or is it going to the Senate?
[00:14:50.360 --> 00:14:55.960]   Yeah, go to the Senate. So let's see if it gets done. I think it's a it's a good point one thing. I'll point out
[00:14:55.960 --> 00:14:57.960]   when
[00:14:57.960 --> 00:15:00.200]   Individual investors were making money
[00:15:01.160 --> 00:15:07.760]   Because all of these asset values were inflating all of the coins were growing and were climbing in value everyone felt good
[00:15:07.760 --> 00:15:13.760]   There was an emergent cry that we all want to have access to these new instruments
[00:15:13.760 --> 00:15:21.400]   we all have a right to make these investments and to own these assets and then as the asset values declined and
[00:15:21.400 --> 00:15:29.320]   Individual investors began losing money the emergent cry is where was the government to help save and protect us?
[00:15:29.320 --> 00:15:33.720]   And so the SEC I would argue was probably a little bit hindered
[00:15:33.720 --> 00:15:38.160]   when the market was inflating in being able to step in and take action because that would have been
[00:15:38.160 --> 00:15:41.940]   Counter to the cries of the retail market
[00:15:41.940 --> 00:15:44.600]   But as the retail market took their their hits
[00:15:44.600 --> 00:15:49.880]   The SEC has to step in and Congress steps in and everyone starts to say it's time to act
[00:15:49.880 --> 00:15:55.200]   We should have acted sooner and this was a you know, fairly predictable. I think what's happening is more nefarious than that
[00:15:55.200 --> 00:15:57.240]   so
[00:15:57.240 --> 00:16:01.880]   The SEC is doing two different things. They're alleging two different kinds of
[00:16:01.880 --> 00:16:07.160]   Crimes one set has to do with protecting
[00:16:07.160 --> 00:16:10.680]   investors from having their funds
[00:16:10.680 --> 00:16:17.480]   Stolen on these exchanges or at least commingled FTX did that right where they basically took customer deposits and stole them
[00:16:17.480 --> 00:16:21.080]   What finance is accused of is taking customer deposits?
[00:16:21.080 --> 00:16:26.440]   Maybe not stealing them but commingling them with company funds that should be looked at and I think
[00:16:27.000 --> 00:16:33.200]   Crypto customers should be protected against that. However the case against coinbase. They're alleging a completely different set of facts, which is
[00:16:33.200 --> 00:16:40.400]   Effectively what Gensler and the SEC are saying is that it is not legal to operate a crypto exchange in the United States
[00:16:40.400 --> 00:16:42.680]   That is what the SEC is saying
[00:16:42.680 --> 00:16:49.560]   Because coinbase has basically done everything right and I believe that Gensler is far exceeding his authority and stating something like that
[00:16:49.560 --> 00:16:55.640]   It is not up to the chairman of the SEC to say that Americans should not be holding crypto
[00:16:55.800 --> 00:17:00.920]   Why as a free people should we not be able to buy crypto if we want to?
[00:17:00.920 --> 00:17:05.560]   You know, why shouldn't we be able to buy Bitcoin now? Maybe you apply rules around
[00:17:05.560 --> 00:17:13.040]   Accredited investor status there should be protections against unsophisticated investors buying stuff or getting defrauded. That's fine
[00:17:13.040 --> 00:17:16.920]   that's the framework that Brian Armstrong is asking for but
[00:17:16.920 --> 00:17:20.560]   everyone should understand what the SEC is doing right now is
[00:17:21.680 --> 00:17:23.760]   Basically usurping congressional authority
[00:17:23.760 --> 00:17:27.600]   It should be Congress that makes the law if Congress wants to ban
[00:17:27.600 --> 00:17:33.960]   crypto exchanges in the United States and prevent the citizen the United States from owning crypto let Congress do it it should not be
[00:17:33.960 --> 00:17:41.000]   Up to Gensler to do that. And the question is why is Gensler going this far when previously he had relationships in the industry?
[00:17:41.000 --> 00:17:42.560]   apparently
[00:17:42.560 --> 00:17:46.200]   He was a consultant to finance and even worse
[00:17:46.200 --> 00:17:52.480]   he was talking to FTX about giving them some special status and I think the reason is the the scuttlebutt is that
[00:17:52.480 --> 00:17:57.160]   He has an alliance with Elizabeth Warren and the rumor is that you know
[00:17:57.160 --> 00:18:01.960]   She will make him Treasury Secretary if he basically destroys crypto in the US. Sorry, where's the evidence for that?
[00:18:01.960 --> 00:18:05.360]   That's just someone's rumor and speculation. This is the scuttlebutt in the industry
[00:18:05.360 --> 00:18:08.000]   Okay, so it's
[00:18:08.000 --> 00:18:13.160]   This is in fact the back channel just to be clear rumor and innuendo is what you're saying
[00:18:13.160 --> 00:18:19.040]   No, look what I would say is clear is that Gensler and Elizabeth Warren have an alliance it to destroy crypto in the US
[00:18:19.040 --> 00:18:24.520]   This was speculated about before with operation choke point, but now it's clear. They're trying to shut down
[00:18:24.520 --> 00:18:30.260]   We've talked about on the show before it was a series of actions. Take what you do when you're in a hotel at night
[00:18:30.260 --> 00:18:38.540]   Operation choke point was a series of actions by the US government to basically destroy all the on ramps to crypto
[00:18:38.540 --> 00:18:40.780]   So you couldn't get money into the system now
[00:18:40.780 --> 00:18:45.860]   They're going further and they're basically saying it is illegal to operate a crypto exchange in the United States. So
[00:18:45.860 --> 00:18:50.280]   Yes
[00:18:50.280 --> 00:18:55.780]   I can explain why you're wrong what they're saying is it's not just the exchange. It's that the exchange contains
[00:18:55.780 --> 00:19:02.260]   Unregistered security, so it's a more nuanced point. I think I agree security. Could you trade?
[00:19:02.260 --> 00:19:07.980]   Well, if it passes the Howey test or it is registered and there are people who have actually
[00:19:09.240 --> 00:19:16.460]   Crypto passes the Howey test. No, they're going back on that. You could pass it if you limited it to accredited investors and the fact is
[00:19:16.460 --> 00:19:19.020]   Brian Armstrong
[00:19:19.020 --> 00:19:23.660]   finance and a lot of crypto projects refused to exclude
[00:19:23.660 --> 00:19:27.800]   Non-accredited investors and I watch this happen up close and personal
[00:19:27.800 --> 00:19:34.360]   You're right about the unregistered securities thing. They're trying to say that all crypto is unregistered security
[00:19:34.360 --> 00:19:36.360]   No, they said
[00:19:36.360 --> 00:19:41.880]   They literally they named them sacks in the in the lawsuit. They named the 16 or 13. What was it Friedberg?
[00:19:41.880 --> 00:19:45.200]   So they they know how to it was dirty. They know how to craft this
[00:19:45.200 --> 00:19:51.600]   They're saying for these specific 13 now the industry does feel you're correct and the back channel is everybody's against us
