
[00:00:00.000 --> 00:00:04.000]   (music)
[00:00:04.000 --> 00:00:06.000]   How do we live fearlessly?
[00:00:06.000 --> 00:00:08.000]   That's how our week begins.
[00:00:08.000 --> 00:00:11.000]   Happy Monday and thanks for joining us for another week on the podcast.
[00:00:11.000 --> 00:00:14.000]   The question today comes from a listener named David.
[00:00:14.000 --> 00:00:15.000]   Here's his email.
[00:00:15.000 --> 00:00:16.000]   Pastor John, hello.
[00:00:16.000 --> 00:00:19.000]   My question is about 1 Peter 3.15.
[00:00:19.000 --> 00:00:22.000]   Various translations say things like this.
[00:00:22.000 --> 00:00:27.000]   "In your hearts, honor Christ the Lord as holy."
[00:00:27.000 --> 00:00:28.000]   That's the ESV.
[00:00:28.000 --> 00:00:31.000]   And pretty much the same as the Holman Christian Standard Bible,
[00:00:31.000 --> 00:00:34.000]   which calls us to honor Christ with our hearts.
[00:00:34.000 --> 00:00:41.000]   But the King James Version translates it, "Sanctify the Lord God in your hearts."
[00:00:41.000 --> 00:00:46.000]   The New Living Translation says, "Worship Christ as Lord of your life."
[00:00:46.000 --> 00:00:51.000]   The NIV says, "In your hearts, revere Christ as Lord."
[00:00:51.000 --> 00:00:56.000]   So honor, sanctify, worship, revere.
[00:00:56.000 --> 00:01:00.000]   What does this Greek lemma, haiazo, mean?
[00:01:00.000 --> 00:01:04.000]   And how would you apply it to our lives?
[00:01:04.000 --> 00:01:11.000]   This passage, 1 Peter 3.14-16, has a special place in my heart
[00:01:11.000 --> 00:01:19.000]   because I can remember preaching on it my very first months
[00:01:19.000 --> 00:01:23.000]   in the pastoral ministry at Bethlehem in 1980.
[00:01:23.000 --> 00:01:28.000]   And the insight that I got then when I was preparing for that message,
[00:01:28.000 --> 00:01:31.000]   I had never seen before.
[00:01:31.000 --> 00:01:35.000]   And it was so significant to me that when I saw this question,
[00:01:35.000 --> 00:01:38.000]   I said, "I want to do that.
[00:01:38.000 --> 00:01:43.000]   I want to go back there and retell this story, retell this exegesis,"
[00:01:43.000 --> 00:01:46.000]   because what I saw there, I've never forgotten.
[00:01:46.000 --> 00:01:51.000]   It relates directly to David's question about how to translate verse 15,
[00:01:51.000 --> 00:01:58.000]   which in the ESV goes, "But in your hearts, honor Christ the Lord as holy."
[00:01:58.000 --> 00:02:04.000]   And David wants to know what that phrase means in this context and then in our lives.
[00:02:04.000 --> 00:02:07.000]   So let's put the text in front of us.
[00:02:07.000 --> 00:02:10.000]   I'll start with verse, maybe in the middle of verse 14.
[00:02:10.000 --> 00:02:15.000]   "Even if you should suffer for righteousness' sake," even if you should,
[00:02:15.000 --> 00:02:21.000]   "you will be blessed. Have no fear of them, nor be troubled.
[00:02:21.000 --> 00:02:26.000]   But in your hearts, honor Christ the Lord as holy,
[00:02:26.000 --> 00:02:31.000]   always being prepared to make a defense to anyone who asks you
[00:02:31.000 --> 00:02:34.000]   for a reason for the hope that is in you."
[00:02:34.000 --> 00:02:43.000]   So three kinds of observations bring clarity to the meaning of verse 15,
[00:02:43.000 --> 00:02:45.000]   the first part that David is asking about.
[00:02:45.000 --> 00:02:49.000]   "In your hearts, honor Christ the Lord as holy."
[00:02:49.000 --> 00:02:55.000]   And the first observation is the words themselves and how to translate them.
[00:02:55.000 --> 00:02:58.000]   Here's the most literal rendering I can give.
[00:02:58.000 --> 00:03:04.000]   "The Lord Christ sanctify in your hearts."
[00:03:04.000 --> 00:03:07.000]   So, "Sanctify the Lord Christ in your hearts."
[00:03:07.000 --> 00:03:12.000]   And the word "sanctify" is the word that's behind all these translations.
[00:03:12.000 --> 00:03:16.000]   "Worship Christ, revere Christ, honor Christ as holy."
[00:03:16.000 --> 00:03:22.000]   And all of them are trying to avoid the word "sanctify" in English,
[00:03:22.000 --> 00:03:28.000]   probably, and probably wisely, because we usually think of "sanctify"
[00:03:28.000 --> 00:03:33.000]   as overcoming sin and becoming more Christ-like, and that won't work.
[00:03:33.000 --> 00:03:36.000]   When we're talking about sanctifying God, this is an odd sound,
[00:03:36.000 --> 00:03:39.000]   and so other words are chosen to try to make it more clear.
[00:03:39.000 --> 00:03:47.000]   But the word "sanctify" at root means set apart for some sacred purpose or consecrate.
[00:03:47.000 --> 00:03:54.000]   And in God's case, it certainly involves revering and honoring and worshiping,
[00:03:54.000 --> 00:04:00.000]   recognizing His holiness, His transcendent purity,
[00:04:00.000 --> 00:04:05.000]   and feeling the beauty and greatness and preciousness of that holiness,
[00:04:05.000 --> 00:04:07.000]   that transcendent purity.
[00:04:07.000 --> 00:04:12.000]   So, all of these translations have elements of truth in them,
[00:04:12.000 --> 00:04:20.000]   and I think "honor Christ as holy" comes as close as we can get to sanctifying Christ.
[00:04:20.000 --> 00:04:29.000]   That is, recognize God as supremely, transcendently pure and beautiful and valuable,
[00:04:29.000 --> 00:04:34.000]   and we're going to see, dreadful in a good way.
[00:04:34.000 --> 00:04:36.000]   I'll come back to that in a minute.
[00:04:36.000 --> 00:04:43.000]   Here's the second way we get clarity with this phrase in verse 15,
[00:04:43.000 --> 00:04:46.000]   "Honor Christ the Lord as holy."
[00:04:46.000 --> 00:04:50.000]   Let's see what's on either side of it, what comes just before in front
[00:04:50.000 --> 00:04:54.000]   and what comes just after it behind.
[00:04:54.000 --> 00:05:00.000]   So, just before these words, in front, are these words,
[00:05:00.000 --> 00:05:05.000]   "Have no fear of them," referring to persecutors.
[00:05:05.000 --> 00:05:10.000]   "Have no fear of them," then comes, "But honor the Lord Christ as holy."
[00:05:10.000 --> 00:05:16.000]   So, "Honor the Lord Christ as holy" is somehow an alternative to being afraid,
[00:05:16.000 --> 00:05:21.000]   having fear of those who persecute.
[00:05:21.000 --> 00:05:28.000]   Then, behind the words, after them, in verse 16,
[00:05:28.000 --> 00:05:34.000]   after the words, "Honor the Lord Christ as holy," come these words,
[00:05:34.000 --> 00:05:42.000]   "Always being prepared to make a defense to anyone who asks a reason for the hope that is in you."
[00:05:42.000 --> 00:05:48.000]   So, it seems that in Peter's mind, the instruction to honor Christ the Lord as holy
[00:05:48.000 --> 00:05:55.000]   would be a means to helping you be prepared to give a reason for the hope that is in you.
[00:05:55.000 --> 00:06:00.000]   So, in front of the words, he says, "Have no fear of your persecutors."
[00:06:00.000 --> 00:06:05.000]   Behind the words, he says, "Be ready to tell why you are hopeful."
[00:06:05.000 --> 00:06:10.000]   And in between, he says, "Honor Christ the Lord as holy."
[00:06:10.000 --> 00:06:17.000]   So, now, let's hold on to that, and you'll see why that fearlessness in front
[00:06:17.000 --> 00:06:20.000]   and hopefulness in the back are significant.
[00:06:20.000 --> 00:06:26.000]   So, here's the third, and this was what, in 1980, was new to me.
[00:06:26.000 --> 00:06:31.000]   I had never made these connections, and they've stuck with me ever since.
