
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:00:02.580 --> 00:00:10.440]   - You worked and were friends with Richard Feynman.
[00:00:10.440 --> 00:00:12.260]   How has he influenced you,
[00:00:12.260 --> 00:00:14.220]   changed you as a physicist and thinker?
[00:00:14.220 --> 00:00:17.960]   - What I saw, I think what I saw
[00:00:17.960 --> 00:00:20.860]   was somebody who could do physics
[00:00:20.860 --> 00:00:23.680]   in this deeply intuitive way.
[00:00:23.680 --> 00:00:26.160]   His style was almost to close his eyes
[00:00:26.160 --> 00:00:29.640]   and visualize the phenomena that he was thinking about.
[00:00:29.640 --> 00:00:31.960]   And through visualization,
[00:00:31.960 --> 00:00:35.680]   outflank the mathematical,
[00:00:35.680 --> 00:00:39.480]   the highly mathematical and very, very sophisticated
[00:00:39.480 --> 00:00:42.160]   technical arguments that people would use.
[00:00:42.160 --> 00:00:44.520]   I think that was also natural to me,
[00:00:44.520 --> 00:00:49.080]   but I saw somebody who was actually successful at it,
[00:00:49.080 --> 00:00:53.800]   who could do physics in a way that I regarded as
[00:00:55.400 --> 00:00:59.600]   simpler, more direct, more intuitive.
[00:00:59.600 --> 00:01:04.160]   And while I don't think he changed my way of thinking,
[00:01:04.160 --> 00:01:06.560]   I do think he validated it.
[00:01:06.560 --> 00:01:07.760]   He made me look at it and say,
[00:01:07.760 --> 00:01:11.360]   "Yeah, that's something you can do and get away with."
[00:01:11.360 --> 00:01:13.760]   Practically, you can get away with it.
[00:01:13.760 --> 00:01:16.320]   - So do you find yourself,
[00:01:16.320 --> 00:01:18.240]   whether you're thinking about quantum mechanics
[00:01:18.240 --> 00:01:21.040]   or black holes or string theory,
[00:01:21.040 --> 00:01:24.480]   using intuition as a first step
[00:01:24.480 --> 00:01:27.240]   or a step throughout using visualization?
[00:01:27.240 --> 00:01:29.760]   - Yeah, very much so, very much so.
[00:01:29.760 --> 00:01:32.800]   I tend not to think about the equations.
[00:01:32.800 --> 00:01:35.240]   I tend not to think about the symbols.
[00:01:35.240 --> 00:01:39.740]   I tend to try to visualize the phenomena themselves.
[00:01:39.740 --> 00:01:43.480]   And then when I get an insight that I think is valid,
[00:01:43.480 --> 00:01:45.440]   I might try to convert it to mathematics.
[00:01:45.440 --> 00:01:49.480]   But I'm not a natural mathematician.
[00:01:49.480 --> 00:01:51.320]   I'm good enough at it.
[00:01:51.320 --> 00:01:54.880]   I'm good enough at it, but I'm not a great mathematician.
[00:01:54.880 --> 00:01:57.480]   So for me, the way of thinking about physics
[00:01:57.480 --> 00:02:01.720]   is first intuitive, first visualization,
[00:02:01.720 --> 00:02:04.720]   scribble a few equations maybe,
[00:02:04.720 --> 00:02:08.040]   but then try to convert it to mathematics.
[00:02:08.040 --> 00:02:09.840]   Experience says that other people are better
[00:02:09.840 --> 00:02:11.940]   at converting it to mathematics than I am.
[00:02:11.940 --> 00:02:16.560]   - And yet you've worked with very counterintuitive ideas.
[00:02:16.560 --> 00:02:17.880]   So how do you-- - No, that's true.
[00:02:17.880 --> 00:02:18.720]   That's true. - So how do you
[00:02:18.720 --> 00:02:20.760]   visualize something counterintuitive?
[00:02:20.760 --> 00:02:23.120]   How do you dare? - By rewiring your brain
[00:02:23.120 --> 00:02:25.080]   in new ways. - Huh.
[00:02:25.080 --> 00:02:27.840]   - Yeah, quantum mechanics is not intuitive.
[00:02:27.840 --> 00:02:30.900]   Very little of modern physics is intuitive.
[00:02:30.900 --> 00:02:34.640]   Intuitive, what does intuitive mean?
[00:02:34.640 --> 00:02:36.960]   It means the ability to think about it
[00:02:36.960 --> 00:02:38.880]   with basic classical physics,
[00:02:38.880 --> 00:02:43.880]   the physics that we evolved with throwing stones,
[00:02:46.120 --> 00:02:48.520]   splashing water, whatever it happens to be.
