
[00:00:00.040 --> 00:00:09.320]   그다음에
[00:00:09.320 --> 00:00:27.960]   don i in the
[00:00:28.700 --> 00:00:57.300]  program.tv.com today welcome to radical personal finance show dedicated to providing you with the knowledge skills insight and encouragement you need to live a rich and meaningful life now while building a plan for financial freedom in 10 years or less my guest today is john john you told me that you've done that right you yes have built financial freedom in 10 years or less right so we're going to hear your story definitely and it's not 10 years or less maybe that's because i chose to live in an expensive part of the country that is
[00:00:57.300 --> 00:00:57.320]   the
[00:00:57.320 --> 00:00:57.320]   Silicon Valley
[00:00:57.320 --> 00:00:57.320]   Silicon Valley
[00:00:57.320 --> 00:00:57.320]   Silicon Valley
[00:00:57.360 --> 00:01:03.740]   at
[00:01:03.740 --> 00:01:23.800]   Unreal MR M,,,사를
[00:01:27.380 --> 00:01:37.580]   schedule
[00:01:37.580 --> 00:01:38.620]   the G Do
[00:01:38.620 --> 00:01:42.360]   olmay this, and, and,,,,,, cr
[00:01:42.360 --> 00:01:54.360]  ope I ampls sepls acerca金
[00:01:55.920 --> 00:02:03.320]   mean
[00:02:03.320 --> 00:02:05.860]   go. I am known,,,,
[00:02:05.860 --> 00:02:18.280]  59
[00:03:22.740 --> 00:03:26.700]  venes: So you went to marketing and you've worked with a big global multinational and have massive career.
[00:03:26.700 --> 00:03:50.840]   Exactly. Understood. Right. Okay. So keep going. Sure. So I think that was an important factor. And both my parents initially were working and at some point in time, my mother decided it makes sense to actually work with us at home. And she actually decided to quit her job and then work and make sure we got our studies done, our good grades. So that journey continued. And then after that, I did my engineering studies. In India. In India.
[00:04:20.580 --> 00:04:20.580]   I think it's a mix, honestly. Not many would stay. It depends on the circumstances and if they are able to contribute to the education. Luckily, my dad had a government job and my mom had a government job too. And at some point in time, because of so we were never rich. We just had a middle class lifestyle. I mean, to be honest, even like we would get clothes only for our books. So it was a mix.
[00:04:20.620 --> 00:04:27.660]   care
[00:04:27.660 --> 00:04:34.680]   X I my be Cre characterization
[00:04:49.360 --> 00:05:17.620]   see
[00:07:11.420 --> 00:07:13.020]   and Ross had a decent enough job so I think that was it. -Wait a second. On Friends no one had jobs. They just sat around and did nothing so why did you get a job? -Well Chandler had some jobs though. And Ross had a decent enough job so I think that was it. -Every now and then.
[00:08:13.100 --> 00:08:20.680]   seconds
[00:08:20.680 --> 00:08:26.000]   이� the skin. -, per per per per
[00:08:26.000 --> 00:08:42.040]   your aellen
