
[00:00:00.040 --> 00:00:09.540]  ensemble
[00:00:09.540 --> 00:00:10.460]   was to be
[00:01:51.480 --> 00:02:08.020]   "In the name of God, I ask you to listen, to empathize, to walk a mile in the well-worn shoes of those very different from me. It's this latter task, not the formal one, that is truly the most challenging, in conversations and in life, but to me, it is the only way."
[00:02:08.020 --> 00:02:17.820]   This is the Lex Freeman Podcast. To support it, please check out our sponsors in the description. And now, dear friends, here's Mohammad El-Kurd.
[00:02:17.820 --> 00:02:19.300]   Tell me about Sheikh Jarrah, the neighborhood in Egypt.
[00:02:19.300 --> 00:02:19.660]   Tell me about Sheikh Jarrah, the neighborhood in Egypt.
[00:02:19.660 --> 00:02:20.160]   Tell me about Sheikh Jarrah, the neighborhood in Egypt.
[00:02:20.160 --> 00:02:20.680]   Tell me about Sheikh Jarrah, the neighborhood in Egypt.
[00:02:20.680 --> 00:02:20.960]   Tell me about Sheikh Jarrah, the neighborhood in Egypt.
[00:02:20.960 --> 00:02:21.480]   Tell me about Sheikh Jarrah, the neighborhood in Egypt.
[00:02:49.680 --> 00:02:51.180]   Tell me about Sheikh Jarrah, the neighborhood in Egypt.
[00:02:51.180 --> 00:03:17.340]  ,
[00:03:17.340 --> 00:03:17.840]   Tell me about Sheikh Jarrah, the neighborhood in Egypt.
[00:03:17.840 --> 00:03:18.640]   Tell me about Sheikh Jarrah, the neighborhood in Egypt.
[00:03:18.640 --> 00:03:19.180]   Tell me about Sheikh Jarrah, the neighborhood in Egypt.
[00:03:19.180 --> 00:03:19.680]   Tell me about Sheikh Jarrah, the neighborhood in Egypt.
[00:03:19.680 --> 00:03:20.220]  , and the neighborhood in Egypt.
[00:03:46.420 --> 00:03:56.460]   qual harder
[00:06:39.140 --> 00:06:50.180]   won
[00:06:50.180 --> 00:06:58.300]   change. G He
[00:07:08.040 --> 00:07:18.060]  ative de
[00:07:18.060 --> 00:07:37.860]   get the is�
[00:07:38.060 --> 00:08:06.220]   all
[00:09:59.560 --> 00:10:07.140]   apply
[00:10:07.140 --> 00:10:10.980]   component,,, line with this via
[00:10:10.980 --> 00:10:15.760]   Listening себя okay thecu the work or the in the war the so the in the we're the like, and, and, and, and, and, and, and, and, was, and, EN,�w, didnt,
[00:11:55.160 --> 00:12:05.060]  igo
[00:12:05.060 --> 00:12:05.360]   Obrig Two is just
[00:12:05.360 --> 00:12:24.460]   play. W W W I M, and,,,,,,,, or
[00:12:24.560 --> 00:12:35.900]   ISS
