
[00:00:00.000 --> 00:00:06.000]   Well, today is 9/11.
[00:00:06.000 --> 00:00:10.720]   It's a sober day here in America, but today's question is not about 9/11.
[00:00:10.720 --> 00:00:15.520]   Today we actually have a question about a haunting text in the pastoral epistles.
[00:00:15.520 --> 00:00:18.600]   The question comes in from a podcast listener named Amy.
[00:00:18.600 --> 00:00:22.280]   "Hello, Pastor Jon, and thank you for APJ.
[00:00:22.280 --> 00:00:24.240]   My struggle is deep and personal.
[00:00:24.240 --> 00:00:26.840]   I'm not maturing much in the faith.
[00:00:26.840 --> 00:00:30.520]   I forget just about everything I learn as soon as I learn it.
[00:00:30.520 --> 00:00:37.240]   Sermons pass in and out of my ears and I take away from them just about nothing, or so it
[00:00:37.240 --> 00:00:38.240]   seems.
[00:00:38.240 --> 00:00:44.200]   I fear I'm the one mentioned in Scripture as 'always learning and never able to arrive
[00:00:44.200 --> 00:00:45.720]   at a knowledge of the truth.'"
[00:00:45.720 --> 00:00:49.560]   2 Timothy 3:7.
[00:00:49.560 --> 00:00:55.960]   Can you explain this verse to me, and what does it here mean to "arrive at a knowledge
[00:00:55.960 --> 00:00:57.760]   of the truth"?
[00:00:57.760 --> 00:00:59.080]   What would that look like?
[00:00:59.080 --> 00:01:01.000]   Pastor Jon, what would you say to Amy?
[00:01:01.000 --> 00:01:11.360]   Well, I'm very glad that Amy is even open to considering the possibility she might be
[00:01:11.360 --> 00:01:15.880]   like one of the women described in 2 Timothy 3, 6, and 7.
[00:01:15.880 --> 00:01:23.800]   That in itself is a mark of spiritual life, it seems, because very few women who in fact
[00:01:23.800 --> 00:01:29.560]   are the kind of women described in these verses would have any humility to admit that they
[00:01:29.560 --> 00:01:32.000]   were the kind of woman who's in these verses.
[00:01:32.000 --> 00:01:34.120]   So here's what it says.
[00:01:34.120 --> 00:01:35.640]   Let's get the verses in front of us.
[00:01:35.640 --> 00:01:46.800]   Paul is writing to Timothy about a certain kind of man who does certain things with women,
[00:01:46.800 --> 00:01:49.560]   and they are a certain kind of woman.
[00:01:49.560 --> 00:01:54.380]   And let's read now what's the man doing and what kind of woman is vulnerable to what this
[00:01:54.380 --> 00:01:55.380]   man is doing.
[00:01:55.380 --> 00:01:56.380]   Here's what he says.
[00:01:56.380 --> 00:01:57.880]   This is 2 Timothy 3, 6.
