
[00:00:00.000 --> 00:00:02.940]   - What is correlation?
[00:00:02.940 --> 00:00:06.760]   What is it, so probability of something happening
[00:00:06.760 --> 00:00:10.080]   is something, but then there's a bunch of things happening.
[00:00:10.080 --> 00:00:13.140]   And sometimes they happen together, sometimes not.
[00:00:13.140 --> 00:00:14.380]   They're independent or not.
[00:00:14.380 --> 00:00:17.260]   So how do you think about correlation of things?
[00:00:17.260 --> 00:00:19.900]   - Correlation occurs when two things vary together
[00:00:19.900 --> 00:00:21.460]   over a very long time.
[00:00:21.460 --> 00:00:23.340]   There's one way of measuring it.
[00:00:23.340 --> 00:00:25.460]   Or when you have a bunch of variables
[00:00:25.460 --> 00:00:28.140]   that they all vary cohesively.
[00:00:29.500 --> 00:00:32.220]   Then we call it, we have a correlation here.
[00:00:32.220 --> 00:00:35.380]   And usually when we think about correlation,
[00:00:35.380 --> 00:00:38.060]   we really think causally.
[00:00:38.060 --> 00:00:41.580]   Things cannot be correlated unless there is a reason
[00:00:41.580 --> 00:00:43.940]   for them to vary together.
[00:00:43.940 --> 00:00:45.700]   Why should they vary together?
[00:00:45.700 --> 00:00:47.020]   If they don't see each other,
[00:00:47.020 --> 00:00:49.220]   why should they vary together?
[00:00:49.220 --> 00:00:51.900]   - So underlying it somewhere is causation.
[00:00:51.900 --> 00:00:52.860]   - Yes.
[00:00:52.860 --> 00:00:56.820]   Hidden in our intuition, there is a notion of causation
[00:00:56.820 --> 00:01:01.820]   because we cannot grasp any other logic except causation.
[00:01:01.820 --> 00:01:06.740]   - And how does conditional probability differ
[00:01:06.740 --> 00:01:08.140]   from causation?
[00:01:08.140 --> 00:01:11.540]   So what is conditional probability?
[00:01:11.540 --> 00:01:14.180]   - Conditional probability, how things vary,
[00:01:14.180 --> 00:01:18.640]   when one of them stays the same.
[00:01:18.640 --> 00:01:22.900]   Now staying the same means that I have chosen
[00:01:22.900 --> 00:01:25.300]   to look only at those incidents
[00:01:25.300 --> 00:01:29.740]   where the guy has the same value as the previous one.
[00:01:29.740 --> 00:01:32.900]   It's my choice as an experimenter.
[00:01:32.900 --> 00:01:35.860]   So things that are not correlated before
[00:01:35.860 --> 00:01:37.860]   could become correlated.
[00:01:37.860 --> 00:01:40.460]   Like for instance, if I have two coins
[00:01:40.460 --> 00:01:42.820]   which are uncorrelated, okay,
[00:01:42.820 --> 00:01:47.360]   and I choose only those flippings experiments
[00:01:47.360 --> 00:01:50.300]   in which a bell rings, and the bell rings
[00:01:50.300 --> 00:01:54.380]   when at least one of them is a tail, okay,
[00:01:54.380 --> 00:01:57.980]   then suddenly I see correlation between the two coins
[00:01:57.980 --> 00:02:02.020]   because I only look at the cases where the bell rang.
[00:02:02.020 --> 00:02:07.260]   You see, it's my design, with my ignorance essentially,
[00:02:07.260 --> 00:02:12.260]   with my audacity to ignore certain incidents,
[00:02:12.260 --> 00:02:18.340]   I suddenly create a correlation
[00:02:18.340 --> 00:02:20.360]   where it doesn't exist physically.
[00:02:20.360 --> 00:02:23.940]   - Right, so that's, you just outlined
[00:02:23.940 --> 00:02:26.620]   one of the flaws of observing the world
[00:02:26.620 --> 00:02:29.700]   and trying to infer something from the math about the world
[00:02:29.700 --> 00:02:31.100]   from looking at the correlation.
[00:02:31.100 --> 00:02:34.020]   - I don't look at it as a flaw, the world works like that.
[00:02:34.020 --> 00:02:38.580]   But the flaws comes if we try to impose
[00:02:38.580 --> 00:02:46.540]   causal logic on correlation, it doesn't work too well.
[00:02:46.540 --> 00:02:49.940]   - I mean, but that's exactly what we do.
[00:02:49.940 --> 00:02:53.620]   That's what, that has been the majority of science,
[00:02:53.620 --> 00:02:56.300]   is you-- - The majority of naive science.
[00:02:56.300 --> 00:02:59.740]   Statisticians know it, statisticians know
[00:02:59.740 --> 00:03:03.100]   that if you condition on a third variable,
[00:03:03.100 --> 00:03:07.380]   then you can destroy or create correlations
[00:03:07.380 --> 00:03:09.260]   among two other variables.
[00:03:09.260 --> 00:03:10.980]   They know it, it's in the data.
[00:03:10.980 --> 00:03:14.740]   It's nothing surprising, that's why they all dismiss
[00:03:14.740 --> 00:03:17.740]   the Simpson paradox, ah, we know it.
[00:03:17.740 --> 00:03:19.440]   They don't know anything about it.
[00:03:19.440 --> 00:03:23.300]   - Well, there's disciplines like psychology
[00:03:23.300 --> 00:03:26.500]   where all the variables are hard to account for.
[00:03:26.500 --> 00:03:28.820]   And so, oftentimes, there's a leap
[00:03:28.820 --> 00:03:31.140]   between correlation to causation.
[00:03:31.140 --> 00:03:33.620]   You're imposing-- - What do you mean, a leap?
[00:03:33.620 --> 00:03:38.100]   Who is trying to get causation from correlation?
[00:03:38.100 --> 00:03:40.940]   No one. - Not, you're not proving
[00:03:40.940 --> 00:03:45.300]   causation, but you're sort of discussing it,
[00:03:45.300 --> 00:03:48.940]   implying, sort of hypothesizing with our ability to--
[00:03:48.940 --> 00:03:50.660]   - Which discipline you have in mind?
[00:03:50.660 --> 00:03:54.020]   I'll tell you if they are obsolete,
[00:03:54.020 --> 00:03:57.820]   or if they are outdated, or they're about to get outdated.
[00:03:57.820 --> 00:03:59.860]   - Yes, yes. - Tell me which one
[00:03:59.860 --> 00:04:01.780]   you have in mind. - Oh, psychology.
[00:04:01.780 --> 00:04:04.380]   - Psychology, what, is it SEM, Structural Equations?
[00:04:04.380 --> 00:04:07.900]   - No, no, I was thinking of applied psychology studying,
[00:04:07.900 --> 00:04:10.820]   for example, we work with human behavior
[00:04:10.820 --> 00:04:13.980]   in semi-autonomous vehicles, how people behave.
[00:04:13.980 --> 00:04:16.180]   And you have to conduct these studies
[00:04:16.180 --> 00:04:18.380]   of people driving cars. - Everything starts
[00:04:18.380 --> 00:04:21.420]   with a question, what is the research question?
[00:04:21.420 --> 00:04:23.060]   - What is the research question?
[00:04:23.060 --> 00:04:27.940]   The research question, do people fall asleep
[00:04:27.940 --> 00:04:31.180]   when the car is driving itself?
[00:04:31.180 --> 00:04:35.860]   - Do they fall asleep, or do they tend to fall asleep
[00:04:35.860 --> 00:04:37.420]   more frequently-- - More frequently.
[00:04:37.420 --> 00:04:39.420]   - Than with a car not driving itself?
[00:04:39.420 --> 00:04:42.340]   - Not driving itself. - That's a good question, okay.
[00:04:42.340 --> 00:04:46.100]   - And so, you measure, you put people in the car,
[00:04:46.100 --> 00:04:48.140]   because it's real world, you can't conduct
[00:04:48.140 --> 00:04:49.900]   an experiment where you control everything.
