
[00:00:00.000 --> 00:00:04.480]   Hi everyone. As Fliga said, my name is Alex. I'm a member of the robotics team at OpenAI.
[00:00:04.480 --> 00:00:11.680]   Tonight I'll be talking about our progress towards learning to solve dexterous manipulation tasks with a humanoid robotic hand.
[00:00:11.680 --> 00:00:14.040]   So,
[00:00:14.040 --> 00:00:21.000]   specifically, I'll begin by discussing the motivation for this line of research, kind of what it means, this research on dexterity,
[00:00:21.000 --> 00:00:26.760]   and we'll then describe our two most recent big releases, Learning Dexterity from summer of 2018 and
[00:00:26.760 --> 00:00:29.480]   Solving Rubik's Cube, released this past fall.
[00:00:29.760 --> 00:00:35.840]   At the end, I'll add a small update with some more recent research we did kind of along the same research agenda.
[00:00:35.840 --> 00:00:41.640]   Okay, so let's begin with the motivation for this line of research overall.
[00:00:41.640 --> 00:00:47.000]   So the goal of robotics at OpenAI is to build a general-purpose robot.
[00:00:47.000 --> 00:00:53.200]   That is one that can operate in the complex environment of the real world and carry out most tasks that humans can do.
[00:00:54.720 --> 00:01:01.400]   Today's robots are still pretty far away from this. So most consumer-oriented robots are either very simple toys or
[00:01:01.400 --> 00:01:03.960]   tend to focus on
[00:01:03.960 --> 00:01:09.520]   primarily obstacle avoidance, which are things like Roombas, self-driving cars, or autonomous drones.
[00:01:09.520 --> 00:01:15.640]   Though these are challenging in their own right and certainly very difficult problems, especially with self-driving cars,
[00:01:15.640 --> 00:01:19.280]   they do not interact with their environment to the level that we're after.
[00:01:19.960 --> 00:01:27.400]   Kind of on the other end of the spectrum are complicated robots, which do interact with their environment such as in manufacturing or surgical robotics.
[00:01:27.400 --> 00:01:36.120]   However, today almost all of these are either executing just hard-coded behavior, pre-recorded trajectories, or are being controlled by a human.
[00:01:36.120 --> 00:01:42.480]   Building a general-purpose robot is a daunting task though, so we had to pick somewhere to start.
[00:01:42.480 --> 00:01:48.840]   We chose to focus on dexterity and specifically dexterity of humanoid robotic hands for a couple of reasons.
[00:01:49.440 --> 00:01:55.120]   First, the human hand is able to solve a huge array of tasks and the world we've constructed is
[00:01:55.120 --> 00:01:58.160]   designed to a large extent around the human hand.
[00:01:58.160 --> 00:02:01.240]   Second, while the necessary hardware for
[00:02:01.240 --> 00:02:04.280]   doing this, so anthropomorphic
[00:02:04.280 --> 00:02:10.960]   robotic hands, has existed for a while, it has found little real-world use due to the very high difficulty in creating software
[00:02:10.960 --> 00:02:13.160]   capable of controlling this hardware.
[00:02:14.840 --> 00:02:20.840]   So why is it hard? The main source of difficulty stems from the high complexity of the robots that are involved.
[00:02:20.840 --> 00:02:25.280]   For example, the robot that we've been using through this line of research, the Shadow Hand,
[00:02:25.280 --> 00:02:29.000]   has 24 degrees of freedom and 20 actuators.
[00:02:29.000 --> 00:02:36.040]   This is much higher than the like seven or eight degrees of freedom that you typically see with robotic arms used in manufacturing.
[00:02:36.040 --> 00:02:43.960]   And also when coupled with a relatively small form factor, this leads to a very complicated and generally less precise hardware,
[00:02:44.120 --> 00:02:46.720]   which in turn is very difficult to simulate accurately.
[00:02:46.720 --> 00:02:54.440]   So that's a very quick motivation. With that, we can go ahead and start talking about the first set of results that I want to
[00:02:54.440 --> 00:02:55.880]   describe to you all tonight.
[00:02:55.880 --> 00:02:59.960]   This is learning dexterity, which we released in summer of 2018.
[00:02:59.960 --> 00:03:05.440]   Work done by all the fine folks that are listed here. Note that I hadn't joined OpenAI yet at the time.
[00:03:05.440 --> 00:03:10.200]   So this is our first project using the Shadow Hand.
[00:03:10.580 --> 00:03:17.100]   So we decided to start with a relatively simple task of reorienting a wooden block as pictured here.
[00:03:17.100 --> 00:03:20.240]   So,
[00:03:20.240 --> 00:03:22.700]   now we can go ahead and start talking about how we did this.
[00:03:22.700 --> 00:03:29.480]   So our high-level approach was to use reinforcement learning to train a policy which then controls the robot.
[00:03:29.480 --> 00:03:32.000]   So over the past five or so years,
[00:03:32.000 --> 00:03:35.340]   reinforcement learning has proven to be incredibly powerful
[00:03:36.140 --> 00:03:40.700]   from the success with AlphaGo, some more recently with the success of OpenAI 5,
[00:03:40.700 --> 00:03:43.460]   from where I'm working.
[00:03:43.460 --> 00:03:50.180]   But these approaches are incredibly data hungry. So you need a huge amount of trained data to get these approaches to work.
[00:03:50.180 --> 00:03:56.860]   And for robotics, this is particularly challenging since collecting this huge amount of data
[00:03:56.860 --> 00:03:59.380]   for training the robots is both difficult and expensive.
[00:03:59.380 --> 00:04:04.540]   So here we have a video from I think Google's so-called Arm Farm,
[00:04:05.100 --> 00:04:10.580]   where they basically did try to build out a huge array of robots and train in the real world.
[00:04:10.580 --> 00:04:14.140]   And I guess this is a sped up video, but you see there's
[00:04:14.140 --> 00:04:20.360]   kind of a lot going on here. It's a very expensive setup to maintain and it's still kind of difficult to get working.
[00:04:20.360 --> 00:04:26.500]   So instead of going down that route, we've decided to take what is called the sim-to-real approach,
[00:04:26.500 --> 00:04:32.620]   which means that we train our control policy entirely in simulation using a physics simulator,
[00:04:32.620 --> 00:04:35.260]   and then deploy it onto the physical robot.
[00:04:35.260 --> 00:04:39.820]   This is much cheaper and far more scalable than training directly in the real world,
[00:04:39.820 --> 00:04:43.420]   but it does come with its own set of challenges, which we'll get to in a bit.
[00:04:43.420 --> 00:04:47.780]   So here we have a video
[00:04:47.780 --> 00:04:50.740]   from this physics simulator that we use. So specifically,
[00:04:50.740 --> 00:04:56.380]   this is from the MuJoCo physics engine, and the video is showing our policy controlling the shadow hand here,
[00:04:56.380 --> 00:04:59.300]   trying to solve the block reorientation task.
[00:04:59.820 --> 00:05:03.900]   So on the right hand side of the video, you see this kind of transparent block
[00:05:03.900 --> 00:05:06.700]   that's like kind of moving, looks like it's moving around.
[00:05:06.700 --> 00:05:10.940]   What's happening here is that this is the desired orientation for the block,
[00:05:10.940 --> 00:05:15.620]   and once the hand is able to manipulate the block into this position,
[00:05:15.620 --> 00:05:20.540]   we sample a new goal for it to achieve. And this kind of continues
[00:05:20.540 --> 00:05:27.860]   until we get to either like 50 successes, so 50 goals achieved, or we drop the block.
[00:05:28.860 --> 00:05:34.740]   That's our simulation environment. So now let's take a quick look at our real world setup.
[00:05:34.740 --> 00:05:39.140]   So the picture here is of what we call our cages
[00:05:39.140 --> 00:05:42.980]   for running robotic experiments. So
[00:05:42.980 --> 00:05:49.500]   the hand here is in the middle. You can see it's surrounded by a very large number of cameras.
[00:05:49.500 --> 00:05:54.460]   Most of the cameras here are for the face-based motion tracking system.
[00:05:54.460 --> 00:06:00.540]   I think there's like 24 in total, and that's used for some additional like sensory input into the policy.
[00:06:00.540 --> 00:06:03.220]   Only three of the cameras pictured here are
[00:06:03.220 --> 00:06:07.580]   normal RGB cameras. So these are the ones that are circled on the image.
[00:06:07.580 --> 00:06:14.020]   The most relevant piece for this talk is that these three RGB cameras are ultimately fed into a vision model,
[00:06:14.020 --> 00:06:18.340]   which is then used to produce an estimate of the location and the orientation of the block,
[00:06:18.340 --> 00:06:22.100]   which is then passed on to the policy when we deploy the real world.
[00:06:22.500 --> 00:06:28.500]   So what this means is that the vision model we train must also be capable of achieving the sim-to-real transfer.
[00:06:28.500 --> 00:06:33.580]   So the problem with the sim-to-real approach is that it's hard.
[00:06:33.580 --> 00:06:39.820]   It's very hard. It's hard because it's impossible to perfectly model the complicated robotic systems accurately,
[00:06:39.820 --> 00:06:44.500]   which means that policies trained in simulation generally perform very poorly in the real world.
[00:06:44.500 --> 00:06:48.660]   In general, this problem is known as the sim-to-real or reality gap.
[00:06:50.980 --> 00:06:55.300]   So rather than working endlessly to make the physics simulation closer to reality,
[00:06:55.300 --> 00:07:00.660]   we can instead employ a technique called domain randomization to force the policy to learn behaviors
[00:07:00.660 --> 00:07:04.980]   which generalize to a wide range of environments rather than overfitting to any single environment.
[00:07:04.980 --> 00:07:10.500]   One of the earliest examples of this technique from Sadagi and Levin is pictured here.
[00:07:10.500 --> 00:07:16.300]   They trained a policy to fly a drone in simulation on environments with a wide variety of textures
[00:07:16.700 --> 00:07:20.140]   rendered on the furniture and the walls and the environment.
[00:07:20.140 --> 00:07:25.460]   And this allowed the policy to then transfer and work in the real world without having seen any real data.
[00:07:25.460 --> 00:07:32.460]   At OpenAI in 2017, we used roughly the same approach to train a vision model
[00:07:32.460 --> 00:07:36.740]   to predict an object's position and orientation
[00:07:36.740 --> 00:07:43.700]   entirely in simulation. As you can see from this video, we're able to actually use kind of pretty crazy looking
[00:07:44.540 --> 00:07:48.700]   textures randomized like onto the objects of everything in the scene.
[00:07:48.700 --> 00:07:55.380]   And thanks to kind of the magic of domain randomization, this model is then able to transfer to the real world.
[00:07:55.380 --> 00:08:00.940]   So we took a similar approach then with learning dexterity.
[00:08:00.940 --> 00:08:08.380]   So for this release, we had two different types of domain randomizations that you see displayed here.
[00:08:08.380 --> 00:08:11.700]   So on the left you have the physics randomizations.
[00:08:12.460 --> 00:08:19.100]   These are things like the friction coefficient, the object sizes, even like gravitational force, etc.
