
[00:00:00.000 --> 00:00:05.320]   Happy New Year.
[00:00:05.320 --> 00:00:07.760]   2018 is here.
[00:00:07.760 --> 00:00:08.640]   I can't believe it.
[00:00:08.640 --> 00:00:13.260]   Thanks for joining us for another year, our sixth year of doing this podcast.
[00:00:13.260 --> 00:00:18.920]   Pastor John, I can't believe we've been doing this now for I think 230 weeks in a
[00:00:18.920 --> 00:00:23.360]   row, and of course, another new year is upon us, and that means Christians across
[00:00:23.360 --> 00:00:28.680]   the globe will be starting or restarting their read through the Bible in a year plan.
[00:00:29.400 --> 00:00:32.360]   So I want to ask you, Pastor John, today, I'm going to put you on the hot seat
[00:00:32.360 --> 00:00:36.360]   myself and ask you, can you make a case for the discipline of
[00:00:36.360 --> 00:00:37.960]   reading the Bible in a year?
[00:00:37.960 --> 00:00:42.480]   Can you name the plan that you use and explain why you like it?
[00:00:42.480 --> 00:00:46.960]   Explain the pace of reading, how it works, and maybe what you've learned about
[00:00:46.960 --> 00:00:50.320]   yourself and the plan from doing it for so many years.
[00:00:50.320 --> 00:00:55.840]   The Bible reading plan that I have used more than any other over the years, and
[00:00:55.840 --> 00:01:06.240]   that I used right up to the end of 2017, is the Discipleship Journal Bible Reading
[00:01:06.240 --> 00:01:06.640]   Plan.
[00:01:06.640 --> 00:01:07.400]   That's what it's called.
[00:01:07.400 --> 00:01:11.360]   And I just Googled it to make sure that you could get it.
[00:01:11.360 --> 00:01:12.120]   And you can.
[00:01:12.120 --> 00:01:16.360]   You can go online, just Google the Discipleship Journal Reading Plan.
[00:01:16.360 --> 00:01:19.920]   Probably the top entry is going to be a free PDF.
[00:01:20.760 --> 00:01:25.800]   And you can print it out and join me because I'm going to use it again in 2018.
[00:01:25.800 --> 00:01:31.400]   You can also, it's baked into some online Bible programs like Logos.
[00:01:31.400 --> 00:01:35.480]   I use Logos and read my Bible on my iPad.
[00:01:35.480 --> 00:01:40.240]   And it has a little feature where when you're done, it just brings up the next
[00:01:40.240 --> 00:01:42.960]   day automatically, which is wonderful.
[00:01:42.960 --> 00:01:44.600]   The way it works is this.
[00:01:44.600 --> 00:01:47.280]   Here's why I use it and why I recommend it.
[00:01:48.040 --> 00:01:51.840]   There are four different places in the Bible where you read every day.
[00:01:51.840 --> 00:01:58.040]   And by reading these four different places, you complete the entire Bible in
[00:01:58.040 --> 00:01:58.560]   one year.
[00:01:58.560 --> 00:02:01.240]   Two of those places are in the New Testament.
[00:02:01.240 --> 00:02:03.280]   Two of them are in the Old Testament.
[00:02:03.280 --> 00:02:08.400]   One of the effects of having two readings from the New Testament and two from the
[00:02:08.400 --> 00:02:14.760]   Old is that two of the readings tend to be quite short because the New Testament
[00:02:14.760 --> 00:02:17.040]   readings would get you through.
[00:02:17.080 --> 00:02:21.240]   The New Testament is much faster because it's a shorter book than the Old
[00:02:21.240 --> 00:02:21.920]   Testament.
[00:02:21.920 --> 00:02:30.200]   Now, this has the great advantage of combining both a broad scope of reading
[00:02:30.200 --> 00:02:33.760]   and a narrow, intensified reading.
[00:02:33.760 --> 00:02:39.640]   And I find that it's very important that we read the Bible in both ways.
[00:02:39.640 --> 00:02:46.800]   We read the whole Bible, even though I know we are reading parts of it fast.
[00:02:47.440 --> 00:02:52.040]   And not understanding everything we read because we're not stopping to look
[00:02:52.040 --> 00:02:55.200]   everything up or find out what things mean that we don't understand.
[00:02:55.200 --> 00:02:56.000]   I get that.
[00:02:56.000 --> 00:02:58.080]   That's true for me as well.
[00:02:58.080 --> 00:03:04.160]   I still think it's important to cover the whole range and grow in understanding
[00:03:04.160 --> 00:03:09.680]   year after year rather than think we have to stop and understand everything we're
[00:03:09.680 --> 00:03:10.240]   reading.
[00:03:10.360 --> 00:03:17.080]   And it's important to slow down and meditate significantly, deeply over a few
[00:03:17.080 --> 00:03:19.360]   verses or a few phrases.
[00:03:19.360 --> 00:03:21.520]   It's not easy.
