
[00:00:00.000 --> 00:00:07.000]   this
[00:00:07.000 --> 00:00:11.800]   last time I was here was actually in the crowd at a music show use is pretty
[00:00:11.800 --> 00:00:15.440]   wild for me to be up here on stage talking to you all I'm super excited
[00:00:15.440 --> 00:00:18.580]   anyway my name is Benny weld elite engineering at Harvey
[00:00:18.580 --> 00:00:23.580]   and today I'd like to talk to you about how we build and evaluate legal AI
[00:00:23.580 --> 00:00:26.580]   so this is the outline of the talk five parts to it
[00:00:26.580 --> 00:00:29.300]   talk a little bit about Harvey for those of you are not familiar with the
[00:00:29.300 --> 00:00:33.800]   product or the company and I'll talk about quality and legal and why it's
[00:00:33.800 --> 00:00:38.540]   difficult how we build and evaluate products and some learning and hot takes
[00:00:38.540 --> 00:00:46.580]   I was told they had to be hot takes all right let's dive in so Harvey is really
[00:00:46.580 --> 00:00:51.020]   domain-specific AI for legal and professional services we offer a suite of
[00:00:51.020 --> 00:00:55.420]   products from a general-purpose assistant for drafting and summarizing docs to
[00:00:55.420 --> 00:00:58.600]   tools for large-scale document extraction to many domain-specific
[00:00:58.600 --> 00:01:04.360]   agents and workflows and the vision we have for the product is twofold we want
[00:01:04.360 --> 00:01:08.420]   you to do all of your work in Harvey and we want Harvey to be available wherever
[00:01:08.420 --> 00:01:12.520]   you do your work you here being lawyers and legal professionals and professional
[00:01:12.520 --> 00:01:18.340]   service providers so as an example you can use Harvey to summarize documents or
[00:01:18.340 --> 00:01:23.100]   draft new ones our way I can leverage firm specific information such as firm
[00:01:23.100 --> 00:01:29.340]   internal firm internal knowledge bases or their templates to customize the output we
[00:01:29.340 --> 00:01:33.100]   also offer tools for large-scale document analysis which is a really important use
[00:01:33.100 --> 00:01:37.980]   case in legal think about a lot of due diligence or legal discovery tasks where
[00:01:37.980 --> 00:01:41.740]   you're typically dealing with thousands of contracts or documents thousands of emails that
[00:01:41.740 --> 00:01:52.860]   need to be analyzed which typically is done manually and is really really tedious so Harvey can analyze hundreds of thousands of documents at once and output to a table or summarize the results
[00:01:52.860 --> 00:01:58.620]   this literally saves hours sometimes weeks of work and of course we offer many workflows
[00:01:58.620 --> 00:02:04.380]   workflows that enable users to accomplish complex tasks such as red line analysis drafting certain types of documents
[00:02:04.380 --> 00:02:04.380]   and more and customers can tailor these workflows to their own needs we're at an agent conference so naturally you want to talk a little bit about agentic capabilities we've added to the product as well such as multi-step agentic search more personalization and memory and the ability to execute long-running tasks and we are a lot more cooking there that will be launching soon
[00:02:04.380 --> 00:02:34.140]   we're trusted by law firms and large enterprises around the world we have just
[00:02:34.140 --> 00:02:39.900]   just under 400 customers on i think all continents maybe except on artica at this point and in the
[00:02:39.900 --> 00:02:45.820]   u.s. one-third of the largest 100 and i think eight out of ten of the largest ten law firms use harvey
[00:02:45.820 --> 00:02:53.980]   all right let's talk about quality and why it's difficult to build and evaluate high quality products
[00:02:53.980 --> 00:03:00.780]   in this domain so this may not come as a surprise to you but lawyers deal with lots and lots and lots of documents
[00:03:00.780 --> 00:03:06.540]   many of them very complex often hundreds sometimes thousands of pages in length and typically those
[00:03:06.540 --> 00:03:12.860]   documents don't exist in a vacuum they're part of large corpora of case law legislation or other case
[00:03:12.860 --> 00:03:18.620]   related documents often those documents contain extensive references to other parts of the document
