
[00:00:00.960 --> 00:00:07.280]   Hi, I'm Patrick. I was the co-founder and CTO of Roscoe, and two years ago we decided to rip
[00:00:07.280 --> 00:00:13.040]   apart our entire product and rebuild it around AI agents. These are some of the lessons we learned.
[00:00:13.040 --> 00:00:21.040]   First of all, let's start out with a definition, since a lot of people use the term agent but don't
[00:00:21.040 --> 00:00:26.240]   necessarily mean the same thing that I do. For my definition, I came up with there's three
[00:00:26.240 --> 00:00:32.720]   specific criteria that it has to have to be considered an AI agent. Number one, the agent
[00:00:32.720 --> 00:00:39.920]   needs to be able to take directions. These can be human or AI provided, but it should be one specific
[00:00:39.920 --> 00:00:48.480]   objective or overarching goal. Two, it has to have access to call at least one tool and get a response
[00:00:48.480 --> 00:00:56.160]   back. And three, it should be able to autonomously reason how and when to use its tools to accomplish
[00:00:56.160 --> 00:01:04.480]   that objective. What that means is it can't be a predefined sequence of this tool will run and then
[00:01:04.480 --> 00:01:10.720]   this next tool will run in a prompt chained type of setup. It has to use autonomous reasoning in order
[00:01:10.720 --> 00:01:20.320]   to be called an AI agent. One of the biggest lessons we learned in building agents was the necessity to
[00:01:20.320 --> 00:01:27.600]   focus on enabling the agent to think rather than be limited by what the underlying model knows.
[00:01:27.600 --> 00:01:35.920]   So a lot of our tool calls were focused on retrieval rather than trying to do RAG where we inserted
[00:01:35.920 --> 00:01:43.680]   contents into the system prompt to guide the agent's actions. Instead, we focused on discrete tool calls that
[00:01:43.680 --> 00:01:51.040]   allowed it to perform retrieval and get the relevant context into its context window while it was working.
[00:01:51.040 --> 00:02:00.000]   The product that we built was enabling an AI agent to search and query your enterprise data in your data
[00:02:00.000 --> 00:02:09.440]   warehouse for you. And so one of the great way to kind of illustrate the limitations of focusing on knowledge
[00:02:09.440 --> 00:02:17.680]   over reasoning is when it comes to writing a SQL query given some data. So what we found frequently was that
[00:02:17.680 --> 00:02:25.040]   if you gave the agent a whole bunch of tables and all of the columns in those tables, it would fail to
[00:02:25.040 --> 00:02:32.560]   reason correctly about which one to use. It would get overwhelmed by the number of tokens in the prompt and
[00:02:32.560 --> 00:02:37.040]   either choose the wrong one or just write a terrible query that didn't execute in the first place.
[00:02:37.040 --> 00:02:47.280]   That's where we went to these more discrete, more simple building blocks of tool calls such as search tables,
[00:02:47.280 --> 00:02:56.640]   get table detail, or profile a column. The agent is then tasked with using those iteratively to find the
[00:02:56.640 --> 00:03:06.080]   right columns for the right query. Similarly, we saw this play out as reasoning models have become
[00:03:06.080 --> 00:03:13.840]   recently introduced as well. So when you focus on reasoning, you give a reasoning model the ability to
[00:03:13.840 --> 00:03:20.640]   first attempt to find the data needed to answer a particular question. But then if it doesn't find it,
[00:03:20.640 --> 00:03:25.840]   it should be able to tell you that it didn't find it and you can take some action with that knowledge.
[00:03:25.840 --> 00:03:34.560]   What we've seen with GPT 4.0 prior to reasoning models coming out is that regardless of the ability
[00:03:34.560 --> 00:03:40.080]   or the underlying data being present for it to be able to answer a question, it is going to attempt to
[00:03:40.080 --> 00:03:48.400]   write that query anyway. Let's walk through an example of this. So in this prompt, I'm providing
[00:03:49.120 --> 00:03:56.720]   GPT 4.0 with a table schema that is pretty standard from Salesforce. So there's a table for accounts,
[00:03:56.720 --> 00:04:01.280]   contacts, and opportunities. And these aren't all the columns in each of those tables. I'm just
[00:04:01.280 --> 00:04:07.040]   oversimplifying for representative purposes. At the bottom, I've asked GPT 4.0 a question.
[00:04:07.040 --> 00:04:10.480]   Write a query to see how many of my customers churned in the last month.
[00:04:12.000 --> 00:04:20.960]   What you'll see from GPT 4.0 is it is very incentivized to write a query, give me back SQL.
[00:04:20.960 --> 00:04:27.120]   It's not really stopping to think about is this query even possible to write in the first place.
[00:04:28.080 --> 00:04:35.520]   So it makes some assumptions, and then it just starts writing SQL. Its definition is really bad for
[00:04:35.520 --> 00:04:43.520]   calculating churn. It's essentially just looking in the account table and assuming that
[00:04:43.520 --> 00:04:51.040]   there's a different type of account that's not customer that would somehow be updated when a customer
[00:04:51.040 --> 00:04:58.560]   churned. So I think this is very likely to lead an analyst to a totally wrong answer if they were to
[00:04:58.560 --> 00:05:03.760]   take this query and automatically run it. But what you see is that it's not pushing back in any way.
[00:05:03.760 --> 00:05:08.880]   It doesn't stop to say, "I should think about this and consider if this is even possible."
[00:05:10.240 --> 00:05:18.640]   Okay, now let's flip over and see the same prompt run on O1. So this prompt is the exact same up top.
[00:05:18.640 --> 00:05:26.240]   We're providing the same schema and the same question. O1 reasoned through the various aspects of this
[00:05:26.240 --> 00:05:34.800]   question, and it accurately concluded that there is no way, given the schema provided,
[00:05:35.600 --> 00:05:44.880]   to calculate the status of churned on an account. And so that conclusion kind of shows the difference of
[00:05:44.880 --> 00:05:52.800]   giving the model the freedom to think and encouraging it to think and reason versus just forcing it,
[00:05:52.800 --> 00:05:58.080]   essentially, to come up with a SQL query. So that's one of the key lessons that we learned in kind of
[00:05:58.080 --> 00:06:04.800]   building and deploying agents that were useful for enterprises.
[00:06:04.800 --> 00:06:13.920]   As part of this, there is a huge need to iterate on what I would call the ACI. I believe this is a
[00:06:13.920 --> 00:06:19.200]   this is a paper that was published that kind of coined this term, Agent Computer Interface. And it's
[00:06:19.200 --> 00:06:26.000]   really referring to the exact syntax and structure of tool calls, both what goes into the tool call,
[00:06:26.000 --> 00:06:33.680]   and then the content and format of the response from the, you know, API or Python code maybe that would
