
[00:00:00.000 --> 00:00:02.000]   New on CuriosityStream.
[00:00:02.000 --> 00:00:06.000]   I'm James Burke. I'm going to take you on a journey through time.
[00:00:06.000 --> 00:00:10.000]   James Burke's visionary series returns. Reimagine for our time.
[00:00:10.000 --> 00:00:12.000]   Now this is all uncharted territory.
[00:00:12.000 --> 00:00:16.000]   The Washington Post hails Burke as one of the most intriguing minds in the Western world.
[00:00:16.000 --> 00:00:20.000]   The New York Times raves he careens from one great moment in history to another.
[00:00:20.000 --> 00:00:22.000]   Where do we want to go from here?
[00:00:22.000 --> 00:00:24.000]   Experience all new connections.
[00:00:24.000 --> 00:00:25.000]   So what's the next connection?
[00:00:25.000 --> 00:00:31.000]   With monthly, annual, and bundled plans, find the one that works for you at CuriosityStream.com.
[00:00:31.000 --> 00:00:36.000]   It's Friday, and today we do live Q&A on the topic of credit cards.
[00:00:36.000 --> 00:00:52.000]   [Music]
[00:00:52.000 --> 00:00:56.000]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight,
[00:00:56.000 --> 00:00:59.000]   and encouragement you need to live a rich and meaningful life now,
[00:00:59.000 --> 00:01:02.000]   while building a plan for financial freedom in ten years or less.
[00:01:02.000 --> 00:01:08.000]   My name is Joshua. I am your host, and today we do a live Q&A on the topic of credit cards.
[00:01:08.000 --> 00:01:14.000]   This next week on Monday, I'm launching a new course called How to Borrow Money Safely and Never Pay Interest Using Credit Cards.
[00:01:14.000 --> 00:01:17.000]   So, thought it'd be fun. Let's just talk about credit cards.
[00:01:17.000 --> 00:01:24.000]   [Music]
[00:01:24.000 --> 00:01:33.000]   There are probably few conversations in public personal finance discussion that are as heated and as opinionated as credit cards.
[00:01:33.000 --> 00:01:37.000]   People have some strong feelings about them, and I think that's reasonable,
[00:01:37.000 --> 00:01:41.000]   because many of our lives have been dramatically impacted by credit cards.
[00:01:41.000 --> 00:01:43.000]   A lot of us have been deeply in credit card debt,
[00:01:43.000 --> 00:01:47.000]   and to get out of it was the subject of many months, if not years, of hard work.
[00:01:47.000 --> 00:01:53.000]   Some of us have used credit cards to great effect, and those credit cards have been a real opportunity.
[00:01:53.000 --> 00:01:59.000]   It allowed us to start new businesses and take care of problems that we otherwise wouldn't have been able to take care of.
[00:01:59.000 --> 00:02:02.000]   But I thought it'd be fun to do a Q&A entirely focused on credit cards.
[00:02:02.000 --> 00:02:05.000]   So, I opened the phone lines for today. They're open to any listener.
[00:02:05.000 --> 00:02:09.000]   I put out an announcement in the podcast feed there on your phone.
[00:02:09.000 --> 00:02:14.000]   And so, the phone lines are open to any listener today who had a question related to credit cards.
