
[00:00:00.000 --> 00:00:03.540]   That's a great intro. It is I.
[00:00:03.540 --> 00:00:07.820]   Can't pretend to be someone else.
[00:00:07.820 --> 00:00:25.580]   I'm excited to see this, though. I'm going to have to duck out at half-past.
[00:00:28.760 --> 00:00:32.620]   Adam, do you want to just drive? Do you want me to intro? How do you want to do this?
[00:00:32.620 --> 00:00:47.740]   I'll just drive. Let me see if I can get this command to run on the first shot, which is highly, highly unlikely.
[00:00:47.740 --> 00:00:55.080]   That's my hopes there. In fact, if it runs on the first shot, you should not trust it in any capacity.
[00:00:55.980 --> 00:01:02.580]   Exactly, exactly. Yeah, so I'm going to see. Because this is going to take a while, I think I want to spawn it now.
[00:01:02.580 --> 00:01:11.240]   I want to see if I can run this analyst that I have set up in an E2B.
[00:01:11.420 --> 00:01:19.780]   So that's these tiny little, like, Docker containers, you know, I guess, that you can spin up and have all sorts of toolkits available already on them.
[00:01:19.780 --> 00:01:27.520]   I'm going to say complete as much of advent of code 2024 as you can.
[00:01:27.600 --> 00:01:35.600]   I only put one puzzle in there. And so I have it on this branch and I have it in this repo.
[00:01:35.600 --> 00:01:37.720]   And, oh, yeah, of course.
[00:01:39.520 --> 00:01:57.100]   Because, because I'm in the wrong repository, you know, of course.
[00:01:57.100 --> 00:01:58.380]   Duh.
[00:02:02.380 --> 00:02:04.200]   All right, let's see.
[00:02:04.200 --> 00:02:05.040]   Never happens to me.
[00:02:05.040 --> 00:02:11.500]   Right, yeah. Why doesn't this have a package JSON?
[00:02:11.500 --> 00:02:13.700]   Oh, because it just, because it just doesn't.
[00:02:13.700 --> 00:02:18.880]   Let me see if this is going to, or maybe this is kicking off very quietly.
[00:02:20.320 --> 00:02:22.100]   That's a possibility also.
[00:02:22.100 --> 00:02:24.540]   Let me bring a browser in here.
[00:02:24.540 --> 00:02:46.340]   And I don't know if anyone's ever messed with this, you know, this service, but so I should have, yeah, so there's a little sandbox in here and it's running and it's just kind of doing whatever it is that it might be, that it might be doing.
[00:02:47.280 --> 00:02:57.280]   I'm a little bit of a maniac and so I have hooked it up to a, you know, your tool of choice here, right?
[00:02:57.280 --> 00:03:05.620]   And so it created a sandbox and it sort of launched it.
[00:03:05.620 --> 00:03:09.100]   And the first thing that I do is make sure that Claude's up to date, which it is.
[00:03:09.780 --> 00:03:18.140]   And then it says, okay, I'm supposed to complete, I was told to complete, redo this, read me, you know?
[00:03:18.140 --> 00:03:18.960]   So, all right.
[00:03:18.960 --> 00:03:23.160]   And I am on, I'm on Opus and I have some MCP servers.
[00:03:23.160 --> 00:03:27.760]   And so now it's going to say, I'll help you.
[00:03:27.760 --> 00:03:29.700]   What MCPs are you working with?
[00:03:30.840 --> 00:03:41.300]   The only MCPs that I have in there are, well, I have, you know, Claude, I just sort of list all of their tools right when it moves up.
[00:03:41.300 --> 00:03:44.520]   So this is just all of the stuff Claude just comes with.
[00:03:45.980 --> 00:04:00.600]   This is my own, like, silly MCP server, which is really just a way for it to access my own written documentation about how I like to structure repos and, you know, my beyond Lint preferences.
[00:04:00.600 --> 00:04:03.200]   It's, go ahead.
[00:04:03.200 --> 00:04:06.800]   Why wouldn't, why wouldn't you use ClaudeMD files for that?
[00:04:06.800 --> 00:04:12.180]   Um, that's a good, that's a good question.
[00:04:12.180 --> 00:04:31.480]   Um, I, I have used some, uh, windsurf rule files, which is like the same thing, but when I'm like at personally, I'm always bouncing from, um, from like, uh, from ID to ID and I want to mess with codex also.
[00:04:31.700 --> 00:04:37.640]   And so I just found this was at the time, the most reliable way for me to, uh, put things in there.
[00:04:37.640 --> 00:04:41.200]   And then I can also put my own silliness in there.
[00:04:41.200 --> 00:04:49.020]   Like, you know, uh, if you could ask the user a question, you know, here's an ask, it just always responds with users not available, please proceed.
[00:04:49.020 --> 00:04:52.220]   Uh, but I'm just curious how often it would ask.
[00:04:52.220 --> 00:04:54.360]   Interesting.
[00:04:54.360 --> 00:05:01.440]   Uh, how have you found, uh, where, where are you?
[00:05:01.520 --> 00:05:04.260]   So you're coming at this, not from a development perspective.
[00:05:04.260 --> 00:05:05.360]   I'm saying this with zero judgment.
[00:05:05.360 --> 00:05:06.920]   I'm trying to understand where you're coming from here.
[00:05:06.920 --> 00:05:07.880]   Yeah.
[00:05:07.880 --> 00:05:08.780]   Okay.
[00:05:08.780 --> 00:05:15.860]   Um, how have you been finding codex and are you talking about codex CLI or the codex platform?
[00:05:15.860 --> 00:05:21.440]   I am talking about the codex CLI and not platform.
[00:05:21.440 --> 00:05:23.760]   Um, and
[00:05:24.120 --> 00:05:43.020]   big distinction, you know, I, I think that, uh, I'm, I'm, I'm honestly like in the process of getting it rigged up in this same, you know, like E2B setup and it's, um, and I don't like it as much, but maybe it's just because I've been biased towards, uh, towards Claude code.
[00:05:43.020 --> 00:05:52.540]   Um, like one of my, one of the things that I was just, you know, just my hot takes, you know, like today I was just reading about how to set up its MCP servers.
[00:05:52.540 --> 00:06:00.540]   And it's like our MCP servers and it's like, our MCP server setup is just like Claude's except it's a Toml file and the key is named something different.
[00:06:00.540 --> 00:06:02.040]   It's like, why the fuck did you do that?
[00:06:02.040 --> 00:06:05.340]   You know, but okay.
[00:06:05.540 --> 00:06:06.440]   that checks out.
[00:06:06.440 --> 00:06:06.680]   Yeah.
[00:06:06.680 --> 00:06:15.020]   Um, so do you have a Claude max sub or are you just paying by the API call?
[00:06:15.020 --> 00:06:23.960]   Uh, both, unfortunately, uh, to do it in the background like this, you'd have to pay by the API call.
[00:06:23.960 --> 00:06:26.600]   So this is gonna, you know, this will spit out a charge.
[00:06:26.600 --> 00:06:30.720]   Why, why would you have to pay for the API call just to programmatically?
[00:06:31.520 --> 00:06:44.780]   Um, now I could be wrong about this, but, uh, I thought because maybe because I'm like, it's not me sitting there at the terminal that it's like, I'm using it as a, I should just be able to throw my.
[00:06:44.780 --> 00:06:48.320]   You can programmatically use Claude code within your max subscription.
[00:06:48.320 --> 00:06:55.460]   A lot of people, uh, work with like multiple work trees and, and they'll have like multiple terminal windows open and even like terminal managers.
[00:06:55.460 --> 00:06:57.500]   There's something called Claudia up there.
[00:06:57.500 --> 00:07:00.180]   And there's, there's actually, it's a very busy space right now.
[00:07:00.180 --> 00:07:06.000]   Um, people trying to like put their own custom harnesses around Claude code to, to better manage the sessions.
[00:07:06.000 --> 00:07:13.080]   Um, I can for sure see that, uh, I feel like I have an upper limit of how much I can just keep mentally track of.
