
[00:00:00.000 --> 00:00:05.500]   Struggling with your electric bill? Get an energy assist from SDG&E and SAFE.
[00:00:05.500 --> 00:00:14.500]   You may qualify for an 18% discount. Visit sdge.com/fera to find out more.
[00:00:14.500 --> 00:00:21.500]   Coming at you live from Mania Central in Overcast, South Florida.
[00:00:21.500 --> 00:00:24.500]   It's Radical Personal Finance, a Hurricane Edition.
[00:00:27.500 --> 00:00:53.500]   [music]
[00:00:54.500 --> 00:00:59.500]   For those coming out a little bit late today, been busy the last couple of days doing some hurricane preparations.
[00:00:59.500 --> 00:01:06.500]   Getting ready for Hurricane Irma, which at the moment is barreling up from the Caribbean, passing over the Virgin Islands.
[00:01:06.500 --> 00:01:12.500]   And at the moment, all the best forecasts seem to indicate that sunny South Florida is directly in its line of sight.
[00:01:12.500 --> 00:01:20.500]   In fact, the current indication, as I record this at 4 o'clock PM on Wednesday, September 6, 2017,
[00:01:20.500 --> 00:01:27.500]   the current storm track has the eye of Hurricane Irma passing practically over my house.
[00:01:27.500 --> 00:01:33.500]   Still too far out to know with any certainty about that forecast track,
[00:01:33.500 --> 00:01:38.500]   but it is certainly a serious storm and certainly something that has to be paid attention to.
[00:01:38.500 --> 00:01:44.500]   So, been busy getting things buttoned up around the homestead, getting things wrapped up, finishing some hurricane preparations.
[00:01:44.500 --> 00:01:50.500]   Haven't decided what level of evacuation plan to implement at this point. Still a little bit early.
[00:01:50.500 --> 00:01:57.500]   And last week, I recorded a couple of shows on hurricanes, watching Hurricane Harvey.
[00:01:57.500 --> 00:02:03.500]   And of course, I wasn't expecting one week later, exactly one week later, to be facing a storm here in South Florida.
[00:02:03.500 --> 00:02:07.500]   Some people are cheering, saying Joshua serves you right for saying so many mean-spirited things.
[00:02:07.500 --> 00:02:12.500]   But here we are. So, that's life. That's life when you live in the tropics and it's hurricane season.
[00:02:12.500 --> 00:02:18.500]   We've had a decade of practically no hurricanes over a decade. So, it's been an easy decade.
[00:02:18.500 --> 00:02:23.500]   And this last year, we had one storm. And this year, we have one more that's affecting us.
[00:02:23.500 --> 00:02:27.500]   And who knows? Who knows if it could be more on the back end.
[00:02:27.500 --> 00:02:32.500]   So, on today's show, I am going to share with you not the previously scheduled content,
[00:02:32.500 --> 00:02:36.500]   but a few thoughts from what I've learned the last couple of days from this last week.
[00:02:36.500 --> 00:02:46.500]   So, specifically, I want to talk with you about the possibility of social collapse when facing interesting situations.
[00:02:46.500 --> 00:02:56.500]   This week, and I'll describe these situations in detail, I have become convinced that writers of post-apocalyptic fiction are not overstating things.
[00:02:56.500 --> 00:03:01.500]   And yet, I have become convinced that they are fundamentally overstating things.
[00:03:01.500 --> 00:03:04.500]   And I'll explain that in just a moment.
[00:03:04.500 --> 00:03:13.500]   I'll also share with you my own experience as it relates to prices around the disaster since I just did the show on price fixing and price gouging.
[00:03:13.500 --> 00:03:16.500]   And just a couple of thoughts that I didn't mention in that show.
[00:03:16.500 --> 00:03:24.500]   And then I'll describe just a few simple hurricane practical preparation tips that I was thinking about as I was going around working on things today.
[00:03:24.500 --> 00:03:29.500]   Just a few simple personal finance things of how to get a good deal with your money.
[00:03:29.500 --> 00:03:34.500]   So, I don't have any brilliant insight for you today on changes in the tax law.
[00:03:34.500 --> 00:03:37.500]   I had planned to do a show on emergency plans.
[00:03:37.500 --> 00:03:41.500]   I had planned to do a show on money in the family, et cetera, this week.
[00:03:41.500 --> 00:03:45.500]   And I may be able to get to those. It will depend on if we stay or if we go.
[00:03:45.500 --> 00:03:46.500]   So, let's get right to it.
[00:03:46.500 --> 00:03:53.500]   Let's talk about the end of the world as we know it and societal collapse, especially as it relates to money.
[00:03:53.500 --> 00:03:58.500]   I've mentioned frequently on this show I have a soft spot for post-apocalyptic fiction.
[00:03:58.500 --> 00:04:02.500]   I enjoy the genre of disaster fiction.
[00:04:02.500 --> 00:04:07.500]   I enjoy the genre of survivalist fiction, of prepper fiction.
[00:04:07.500 --> 00:04:10.500]   There's a variety of work being done.
