
[00:00:00.040 --> 00:00:09.420]  胡
[00:00:09.420 --> 00:00:27.740]   not the ch know
[00:00:28.660 --> 00:00:40.200]   in
[00:00:40.200 --> 00:00:56.080]   Ed C I he in or
[00:00:56.160 --> 00:01:06.540]  �
[00:01:06.540 --> 00:01:08.220]  發現 " sub
[00:02:23.660 --> 00:02:23.660]   It's a problem that people in a rural context frequently face and it's a problem I think that has new solutions in today's world. The challenge is if you're going to move out into a rural context, how are you going to provide a living for yourself to be able to buy the things that you need to buy? If you want to be the poorest person in the world, just go and become a subsistence farmer trying to be 100% independent and self-sufficient and you will live a lifestyle of poverty. It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:02:52.840 --> 00:02:52.840]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:02:52.840 --> 00:02:52.840]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:02:52.840 --> 00:02:52.840]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:02:52.840 --> 00:02:52.840]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:02:52.840 --> 00:02:52.840]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:02:52.840 --> 00:02:52.860]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:02:52.880 --> 00:03:22.120]  .
[00:03:22.120 --> 00:03:22.140]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:03:22.140 --> 00:03:22.900]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:03:22.900 --> 00:03:22.900]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:03:22.900 --> 00:03:22.900]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:03:22.900 --> 00:03:22.900]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:03:22.900 --> 00:03:22.900]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:03:22.900 --> 00:03:22.900]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:03:22.920 --> 00:03:52.920]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:03:52.920 --> 00:03:52.920]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:03:52.920 --> 00:03:52.920]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:03:52.920 --> 00:03:52.920]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:03:52.920 --> 00:03:52.920]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:03:52.920 --> 00:03:52.920]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:03:52.920 --> 00:03:52.920]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:03:52.920 --> 00:03:52.920]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:03:52.920 --> 00:03:52.920]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:04:22.940 --> 00:04:22.940]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:04:22.940 --> 00:04:22.940]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:04:22.940 --> 00:04:22.940]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:04:22.940 --> 00:04:22.940]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:04:22.940 --> 00:04:22.940]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:04:22.940 --> 00:04:22.940]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:04:22.940 --> 00:04:22.940]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:04:22.940 --> 00:04:22.940]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:04:52.960 --> 00:04:52.960]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:04:52.960 --> 00:04:52.960]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:04:52.960 --> 00:04:52.960]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:04:52.960 --> 00:04:52.960]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:04:52.960 --> 00:04:52.960]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:04:52.960 --> 00:04:52.960]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:04:52.960 --> 00:04:52.960]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:04:52.960 --> 00:04:52.960]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:04:52.960 --> 00:04:52.960]   It is impossible to live a lifestyle of poverty if you don't have the means to do so.
[00:04:52.960 --> 00:05:22.980]  ,
[00:05:22.980 --> 00:05:22.980]   and I'm not making a lot of progress. I'm not saving a lot of money. I'm not living the life that I want to live. And that's what the Back to the Land movement is about.
[00:05:22.980 --> 00:05:22.980]   And I'm not making a lot of progress. I'm not saving a lot of money. I'm not living the life that I want to live. And that's what the Back to the Land movement is about.
[00:05:22.980 --> 00:05:22.980]   And I'm not making a lot of progress. I'm not saving a lot of money. I'm not saving a lot of money. I'm not living the life that I want to live. And that's what the Back to the Land movement is about.
[00:05:23.000 --> 00:05:53.000]   I'm not making a lot of progress. I'm not saving a lot of money. I'm not living the life that I want to live. And that's what the Back to the Land movement is about.
[00:05:53.000 --> 00:05:53.000]   I'm not making a lot of progress. I'm not saving a lot of money. I'm not living the life that I want to live. And that's what the Back to the Land movement is about.
[00:05:53.000 --> 00:05:53.000]   And I'm not making a lot of progress. I'm not saving a lot of money. I'm not living the life that I want to live. And that's what the Back to the Land movement is about.
[00:05:53.000 --> 00:05:53.000]   I'm not making a lot of progress. I'm not making a lot of progress. I'm not saving a lot of money. I'm not saving a lot of money. I'm not saving a lot of money.
[00:05:53.000 --> 00:05:53.000]   But I'm not making a lot of progress.
[00:05:53.000 --> 00:05:53.000]   But I'm not saving a lot of money. I'm not saving a lot of money.
[00:05:53.040 --> 00:06:03.980]   worked
[00:06:03.980 --> 00:06:22.080]   stop one is
[00:06:23.060 --> 00:06:30.200]   everybody
[00:06:30.200 --> 00:06:43.060]   condition,'ve,
[00:06:53.080 --> 00:07:21.300]   part
[00:07:21.300 --> 00:07:23.060]   А کے him, and,,,,,, mean "ic" дол kh controller달� 30 dough nice so safe I Berg God JUST C Don Ed I Hel sendo hal encker thePruire with theak. The grew the like, the yeah, and, and, the, and, and, and, and, and, and, and, and, and, and, e, and,cu, and, and,� "'G,,,,,,,,,,,,,,,,,,,, llev, wouldn't,幹 favorite definitely flow. 100 badass dec sentiment deck might어주ありがとうございました explosivefin вот There's actually help uns sacrifice Gotchabel allía chats Sadly Muse de Lilぁ戰� estr messed they're likeOH qual eyelidsverts�asi
[00:07:23.100 --> 00:07:34.100]  사 con
[00:07:34.100 --> 00:07:50.740]   - linked因 Den Iund loved about donunku Spark, the, and, all, and, and, and, and, weak. Like,. replace the.ational. money. continue to see the least. in the festival.�.�\������--����-- providers'� 100 --追 Fr� let -- men | passe -
[00:07:50.740 --> 00:07:52.240]  шее inria and
[00:07:52.380 --> 00:07:58.380]   majors
[00:07:58.380 --> 00:08:22.380]   something assert說away Ling Am . . .,quer,�,ד, guard, continuity, e cause, cas, in the . D.� The t. l получ the little show a最近是什麼 não
[00:08:22.420 --> 00:08:26.200]   study
[00:08:26.200 --> 00:08:33.640]   . doctrine guess, Mar, I am a good. It is cool, and,,,,, say Peace Te F Recovery Il戰
[00:08:33.640 --> 00:08:51.640]   before
[00:09:51.100 --> 00:10:01.180]   orig
[00:10:01.180 --> 00:10:11.240]   the weighing
[00:10:11.240 --> 00:10:18.780]  ав, .,,,,,, pot S.osos eitherpri Cel團 Rachel neol piece Nop no Dal bible
[00:12:13.200 --> 00:12:21.020]   up
[00:12:21.020 --> 00:12:31.960]   sentiment i is. .�
[00:13:09.240 --> 00:13:09.240]   and and and and and and and and and and and and and and and and and and
[00:13:09.240 --> 00:13:09.260]   for example they rented out their camp another source of income while they spent a year exploring in alaska after three months on the road with expenses totaling two thousand nine hundred dollars for twelve thousand miles of unforgettable experiences they took jobs as caretakers of a remote country for example they rented out their camp another source of income while they spent a year exploring in alaska after three months on the road with expenses totaling two thousand nine hundred dollars for twelve thousand miles of unforgettable experiences they took jobs as caretakers of a remote country
[00:14:07.100 --> 00:14:14.960]   Criminal
[00:14:14.960 --> 00:14:18.140]   even catch
[00:14:18.140 --> 00:14:20.420]   al Bud E Éomin like, and, ,,,,, collect mud of the Kathleen another town. The care is the sample of the point of the care of the gear and the sound. The manage the thin. I'm the
[00:14:20.420 --> 00:14:35.680]   Getting the
[00:14:36.660 --> 00:14:52.960]   live in harmony with the earth. Whatever method you adopt to rid yourself of those Monday morning blues, rest assured it can be done, and the entire process can prove to be an exciting journey, one that may far exceed all of your original dreams.
