
[00:00:00.040 --> 00:00:09.620]   tao
[00:00:09.620 --> 00:00:10.980]   con li,,,
[00:00:10.980 --> 00:00:13.840]  這
[00:01:54.800 --> 00:01:54.800]   and
[00:02:23.500 --> 00:02:23.500]   to the point where an offshore trust may be more appropriate for you. So let's talk about life insurance. The first thing I need to point out to you is life insurance is a sticky subject to plan because it's very much dependent on your state law.
[00:03:48.520 --> 00:03:49.600]   I'm going to give you a little bit of a summary of what I'm going to be talking about in just a moment. So let's get started. So I'm going to be talking about life insurance. As long as a policy does not benefit the insured, as long as the insured is not also simultaneously listed as the beneficiary of a life insurance policy, there is an unlimited amount of money that can be protected from the claims of a creditor within a life insurance contract. And so it's a wonderful state to live in from the perspective of life insurance. And when I sold life insurance in the state of Florida, that was certainly something that I would love to educate clients on. But it may not be the same in your state.
[00:03:49.640 --> 00:03:59.740]  ET
[00:03:59.740 --> 00:04:05.940]  th,
[00:04:05.940 --> 00:04:19.300]   en do we solution think don이었
[00:04:19.400 --> 00:04:49.380]  っぽhe's procee from a death benefitt or not protected. Some states talk about cash values and say you will have to look at your state. This is one of those areas where working with a competent life insurance agent, an educated life insurance agent should help you. A life insurance agent who sells life insurance policies in your state should know those rules. Or and or you need to also do some web searches and you also need to consult with appropriate legal counsel. A bankruptcy attorney would be a good place to start. The easiest way for you to get information on your state is to search for a
[00:04:49.400 --> 00:05:19.400]   If you are interested in what's protected in your state, pull up your computer, go to duck duck go.com and just search something like Florida bankruptcy exemptions or Alabama bankruptcy exemptions. And you'll start to see in the bankruptcy exemptions, those exemptions that will basically apply to most asset protection planning as well. And that will give you some information. So I will proceed from here on the understanding that you know,
[00:05:19.440 --> 00:05:49.420]  , you know, the laws in your state because this depending on your state life insurance may be very useful, or it may be just a waste of time and you need to move on. The first thing I need to point out is like other forms of exemptions. Life insurance is not completely invulnerable. There are creditors who can invade a life insurance policy. The most important one would be the IRS. The IRS can and will take
[00:05:49.420 --> 00:06:19.440]  , you know, the cash value of a life insurance policy or the proceeds under various circumstances. So although you'll be protected from other forms of creditors, you will not be protected from the IRS. So just keep that in mind. But from most of the creditors that we're talking with, you want to do the IRS, we do quite a bit more sophisticated planning. I think it's worth thinking about. But for most people, most creditors will be protected with a life insurance policy. Unique thing about life insurance is when I use that term, there are a couple of different ways that money comes out and then you can get a life insurance.
[00:06:19.460 --> 00:06:49.460]   The first way that money can come out of a life insurance contract is in the form of a death benefit. Somebody dies and a death benefit is paid. Another way that life insurance can come out of a contract is in the form of some version of a living benefit, such as a distribution of cash value or a loan on cash surrender value or basically dealing with what happens with the cash surrender value of a contract that it has a cash surrender value. Both of these are important. It's important to know that money comes out of a life insurance contract.
[00:06:49.460 --> 00:06:49.460]   It's important to know that money comes out of a life insurance contract.
[00:06:49.460 --> 00:06:49.460]   It's important to know that money comes out of a life insurance contract.
[00:06:49.460 --> 00:06:49.460]   It's important to know that money comes out of a life insurance contract.
[00:06:49.460 --> 00:06:49.460]   It's important to know that money comes out of a life insurance contract.
[00:06:49.460 --> 00:06:49.460]   It's important to know that money comes out of a life insurance contract.
[00:06:49.460 --> 00:06:49.460]   It's important to know that money comes out of a life insurance contract.
[00:06:49.500 --> 00:07:19.480]  ,
[00:07:19.480 --> 00:07:19.480]   It's important to know that money comes out of a life insurance contract.
[00:07:19.480 --> 00:07:19.480]   It's important to know that money comes out of a life insurance contract.
[00:07:19.480 --> 00:07:19.480]   It's important to know that money comes out of a life insurance contract.
[00:07:19.480 --> 00:07:19.480]   It's important to know that money comes out of a life insurance contract.
[00:07:19.480 --> 00:07:19.480]   It's important to know that money comes out of a life insurance contract.
[00:07:19.480 --> 00:07:19.480]   It's important to know that money comes out of a life insurance contract.
[00:07:19.500 --> 00:07:49.500]   I have a lot of debt that I owe.
[00:07:49.500 --> 00:07:49.500]   I owe mortgage debt.
[00:07:49.500 --> 00:07:49.500]   I owe credit cards.
[00:07:49.500 --> 00:07:49.500]   I owe all kinds of debt.
[00:07:49.500 --> 00:07:49.500]   And then I die.
[00:07:49.500 --> 00:07:49.500]   And I leave that insurance contract with my wife as the beneficiary of the contract.
[00:07:49.500 --> 00:07:49.500]   Great news is, depending again on state law,
[00:07:49.500 --> 00:07:49.500]   even though I die and I leave that million dollars directly to my wife, there's no trust that I've left it to, there's no other form of protection, because it's a life insurance death benefit, she may still be able to live with her child when she's a child.
[00:07:49.500 --> 00:07:49.500]   She may still be able to live with her child when she's a child.
[00:07:49.500 --> 00:07:49.500]   She may still be able to live with her child.
[00:07:49.500 --> 00:07:49.500]   She may still be able to live with her child when she's a child.
[00:07:49.500 --> 00:07:49.500]   She may still be able to live with her child when she's a child.
[00:07:49.540 --> 00:08:19.520]  ,
[00:08:19.520 --> 00:08:19.520]   It's very important that you obtain professional counsel, that you obtain legal counsel for your situation. The best thing to do, leave it with the insurance company.
[00:08:19.520 --> 00:08:19.520]   It's very important that you obtain professional counsel, that you obtain legal counsel for your situation. The best thing to do, leave it with the insurance company.
[00:08:19.520 --> 00:08:19.520]   It's very important that you obtain professional counsel, that you obtain legal counsel for your situation. The best thing to do, leave it with the insurance company.
[00:08:19.520 --> 00:08:19.520]   It's very important that you obtain professional counsel, that you obtain legal counsel for your situation. The best thing to do, leave it with the insurance company.
[00:08:19.520 --> 00:08:19.520]   It's very important that you obtain professional counsel for your situation. The best thing to do, leave it with the insurance company. The best thing to do, leave it with the insurance company.
[00:08:19.540 --> 00:08:49.540]   It's very important that you obtain professional counsel for your situation. The best thing to do, leave it with the insurance company. The best thing to do, leave it with the insurance company. The best thing to do, leave it with the insurance company. The best thing to do, leave it with the insurance company. The best thing to do, leave it with the insurance company. The best thing to do, leave it with the insurance company. The best thing to do, leave it with the insurance company.
[00:08:49.540 --> 00:08:49.540]   The best thing to do, leave it with the insurance company. The best thing to do, leave it with the insurance company. The best thing to do, leave it with the insurance company. The best thing to do, leave it with the insurance company.
[00:08:49.540 --> 00:08:49.540]   The best thing to do, leave it with the insurance company. The best thing to do, leave it with the insurance company. The best thing to do, leave it with the insurance company. The best thing to do, leave it with the insurance company.
[00:08:49.580 --> 00:09:19.560]   The best thing to do, leave it with the insurance company. The best thing to do, leave it with the insurance company. The best thing to do, leave it with the insurance company. The best thing to do, leave it with the insurance company. The best thing to do, leave it with the insurance company.
[00:09:19.580 --> 00:09:49.580]   The best thing to do, leave it with the insurance company. The best thing to do, leave it with the insurance company.
[00:09:49.580 --> 00:09:49.580]   The best thing to do, leave it with the insurance company. The best thing to do, leave it with the insurance company.
[00:09:49.580 --> 00:09:49.580]   The best thing to do, leave it with the insurance company. The best thing to do, leave it with the insurance company.
[00:09:49.580 --> 00:09:49.580]   The best thing to do, leave it with the insurance company. The best thing to do, leave it with the insurance company.
[00:09:49.580 --> 00:09:49.580]   The best thing to do, leave it with the insurance company. The best thing to do, leave it with the insurance company.
[00:09:49.580 --> 00:09:49.580]   The best thing to do, leave it with the insurance company. The best thing to do, leave it with the insurance company.
[00:09:49.580 --> 00:09:49.580]   The best thing to do, leave it with the insurance company. The best thing to do, leave it with the insurance company.
[00:09:49.620 --> 00:10:17.800]   then
[00:10:17.800 --> 00:10:19.600]   social Vik's.vin.G, looking., ,,,,,, assproduct probably Я Mais S include a чуд canappro is in 지� the credit or has a grounds a disciplinedwał contain the think a somewhere start a good of the Way of the quDI conecte, we're the� Và stereotypes��니는 rangup theông the conduct the nacb the solitary the Jungkook there's no cree the concentor the мной i Solomonyear the Gespr戰 Hinści'll the Shimicoe the hingov the Katido the폰 theelijk theав the拉 OM the 76ucks the觀眾 theLET theGLS you've the sediment the Lenin theoz the cerca sc Judah is a как the Hugo� million de spicy thePDS white the promising the nouvelles the 말이 wherever the���
[00:10:19.640 --> 00:10:29.920]   may
[00:10:29.920 --> 00:10:32.540]   I "줘? I I, ,,,,, or commit the't the
[00:10:32.540 --> 00:10:36.620]   that is
[00:10:36.620 --> 00:10:38.040]  이는
[00:12:36.380 --> 00:13:02.620]  양 a'way. I think that's what you need. You need to have a couple of millions of dollars for your family. Back to my discussion! You know, most people listening to this podcast, you should have at least a couple million bucks of insurance. Most people. Now think for a moment what would happen if you wind up in a long, extended illness and you've got a bunch of medical bills, you've run up your credit cards, you've got debts all around, you've spent all your money, and you're just barely hanging on and then you die.
[00:13:03.340 --> 00:13:30.300]   You can fix that.
[00:13:30.300 --> 00:13:30.300]   You can fix that.
[00:13:30.340 --> 00:13:34.060]   Ge
[00:13:34.060 --> 00:13:44.380]   . quê
[00:13:44.380 --> 00:13:59.360]   connection. -. they are try spare
[00:14:00.380 --> 00:14:09.320]   shortcut
[00:14:09.320 --> 00:14:27.440]   mour oct detail,,,, problematic
[00:16:16.240 --> 00:16:16.240]   It's so stupid when you can control an incredible asset. You know, two million bucks of life insurance for 75 bucks a month. That asset, if it's properly protected with the beneficiary designation, can change the course of your family's future.
[00:18:05.880 --> 00:18:33.360]  ,, and you should either, ,, if you wanna go that way, or you should do something else, because that's one of the more benefit, bigger benefits of cash value life insurance is that creditor protection.
[00:18:33.360 --> 00:18:35.860]   Let me give you a few things to keep in mind.
[00:18:35.860 --> 00:18:35.860]   Let me give you a few things to keep in mind.
[00:18:35.860 --> 00:18:35.880]   Let me give you a few things to keep in mind.
[00:18:35.880 --> 00:18:56.920]  , ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ., .
[00:18:56.920 --> 00:18:58.540]   The person on whose life the policy is written.
[00:18:58.540 --> 00:19:04.200]   The owner of the contract, which is the person who has the legal rights to change the contract.
[00:19:04.200 --> 00:19:05.920]   The payer of the contract.
[00:19:05.920 --> 00:19:35.960]   100% of the contract.
[00:19:35.960 --> 00:19:35.960]   The person who actually pays the premium, which is usually the owner, but doesn't have to be and the beneficiary of the contract.
[00:19:35.960 --> 00:19:35.960]   You can own a policy that you bought and pay for on your own life. And you can be the beneficiary of that policy. Of course, in the state of Florida, that would lose, you would lose your credit or protected status because you're the beneficiary of the contract. Or you can own a contract on somebody else's life.
[00:19:35.960 --> 00:19:35.960]   You can own a contract on somebody else's life.
[00:19:35.960 --> 00:19:35.960]   You can own a contract on somebody else's life.
[00:19:35.960 --> 00:19:35.960]   You can own a contract on somebody else's life.
[00:19:35.960 --> 00:19:35.960]   You can own a contract on somebody else's life.
[00:19:35.960 --> 00:19:35.960]   You can own a contract on somebody else's life. You can own a contract. You can own a contract on somebody else's life.
[00:19:36.000 --> 00:19:46.820]   d
[00:19:46.820 --> 00:20:01.840]   le, .,,,, detective compl is just the give voice. And,�"D,G,D,G, Per, З,'m the work. I'm the pay. I'm the power. I'm the packing the equilib
[00:20:01.840 --> 00:20:03.620]   I'm the super and the
[00:20:03.620 --> 00:20:04.500]   the
[00:20:04.500 --> 00:20:05.980]   ah the
[00:20:06.020 --> 00:20:13.920]  ング
[00:20:13.920 --> 00:20:33.320]   make an,,,
[00:21:30.920 --> 00:21:59.180]   Brittney: Well, I think that's a good point. When you buy a single premium life insurance policy, you give up your ability to make that loan, which, which really hurts you from a tax perspective. The rule is you generally want to fund contracts, at least so they pass the seven pay test, whether you pay premiums for at least seven years into them. Uh, and so either you have to actually pay premiums or you have to pass the seven pay test with regard to how you set the contract up. Uh, so I don't want to get into the weeds anymore than that, but a single premium life
[00:21:59.180 --> 00:21:59.180]   insurance contract still does retain a premium life insurance policy.
[00:21:59.200 --> 00:22:27.480]   So if you had a million dollars and you were trying to move that million dollars from a, uh, from a non creditor protected status to a creditor protected status, you could do that through the purchase of a life insurance contract or an annuity contract. And so that's a really flexible thing. And unlike retirement accounts, where you're limited to a statutory maximum of say, $6,500 or $53,000 or whatever your retirement account is, you can use that as a starting fund.
[00:22:27.480 --> 00:22:27.480]   So you can use that as a starting fund.
[00:22:27.480 --> 00:22:27.480]   So you can use that as a starting fund.
[00:22:27.480 --> 00:22:27.480]   So you can use that as a starting fund.
[00:22:27.480 --> 00:22:27.480]   So you can use that as a starting fund.
[00:22:27.480 --> 00:22:27.480]   So you can use that as a starting fund.
[00:22:27.480 --> 00:22:27.480]   So you can use that as a starting fund.
[00:22:27.480 --> 00:22:27.480]   So you can use that as a starting fund.
[00:22:27.480 --> 00:22:27.540]   So you can use that as a starting fund.
[00:22:27.540 --> 00:22:56.040]  ,
[00:22:56.040 --> 00:22:56.240]   So you can use that as a starting fund.
[00:22:56.240 --> 00:22:56.280]   So you can use that as a starting fund.
[00:22:56.280 --> 00:22:56.300]   So you can use that as a starting fund.
[00:22:56.300 --> 00:22:56.320]   So you can use that as a starting fund.
[00:22:56.320 --> 00:22:56.340]   So you can use that as a starting fund.
[00:22:56.340 --> 00:22:56.360]   So you can use that as a starting fund.
[00:22:56.360 --> 00:22:56.400]   So you can use that as a starting fund.
[00:22:56.400 --> 00:22:56.440]   So you can use that as a starting fund.
[00:22:56.440 --> 00:22:56.460]   So you can use that as a starting fund.
[00:22:56.460 --> 00:22:56.520]   So you can use that as a starting fund.
[00:22:56.520 --> 00:22:56.520]   So you can use that as a starting fund.
[00:22:56.520 --> 00:22:57.520]   So you can use that as a starting fund.
[00:23:27.500 --> 00:23:27.540]   I'm going to show you how to get a starting fund.
[00:23:27.540 --> 00:23:27.540]   I'm going to show you how to get a starting fund.
[00:23:27.540 --> 00:23:27.540]   I'm going to show you how to get a starting fund.
[00:23:27.540 --> 00:23:27.540]   I'm going to show you how to get a starting fund.
[00:23:27.540 --> 00:23:27.540]  obedient: I'm going to show you how to get a starting fund.
[00:23:27.540 --> 00:23:27.560]   I'm going to show you how to get a starting fund.
[00:23:27.560 --> 00:23:27.560]  : I'm going to show you how to get a starting fund.
[00:23:27.560 --> 00:23:27.560]  : I'm going to show you how to get a starting fund.
[00:23:27.560 --> 00:23:27.560]  : I'm going to show you how to get a starting fund.
[00:23:27.560 --> 00:23:27.560]  : I'm going to show you how to get a starting fund.
[00:23:27.560 --> 00:23:27.560]  : I'm going to show you how to get a starting fund.
[00:23:27.560 --> 00:23:27.560]  : I'm going to show you how to get a starting fund.
[00:23:27.560 --> 00:23:27.560]  : I'm going to show you how to get a starting fund.
[00:23:27.600 --> 00:23:57.600]  : I'm going to show you how to get a starting fund.
[00:23:57.600 --> 00:23:57.600]  : I'm going to show you how to get a starting fund.
[00:23:57.600 --> 00:23:57.600]  : I'm going to show you how to get a starting fund.
[00:23:57.600 --> 00:23:57.600]  : I'm going to show you how to get a starting fund.
[00:23:57.600 --> 00:23:57.600]  : I'm going to show you how to get a starting fund.
[00:23:57.600 --> 00:23:57.600]  : I'm going to show you how to get a starting fund.
[00:23:57.600 --> 00:23:57.600]  : I'm going to show you how to get a starting fund.
[00:23:57.600 --> 00:23:57.600]  : I'm going to show you how to get a starting fund.
[00:23:57.600 --> 00:23:57.600]  : I'm going to show you how to get a starting fund.
[00:23:57.600 --> 00:23:57.600]   - and I'm going to show you how to get a starting fund. - and I'm going to show you how to get a starting fund.
[00:23:57.600 --> 00:23:57.600]   and a life insurance agent and a life insurance and a big black and a great unsophys and a universal life and a life and a lot of the insurance andпонth.
[00:23:57.620 --> 00:24:03.640]   and a life insurance and a big black and a lot of the insurance and a lot of the insurance and when they buy variable life insurance.
[00:24:03.640 --> 00:24:05.640]   and a life insurance and a big black and a lot of the insurance and when they buy variable life insurance. But I have to concede that from the perspective of asset protection planning.
[00:24:05.640 --> 00:24:05.640]   and a life insurance and a big black and a lot of the insurance and when they buy variable life insurance. But I have to concede that from the perspective of asset protection planning.
[00:24:05.640 --> 00:24:11.640]   and a life insurance and a big black and a lot of the insurance and when they buy variable life insurance. But I have to concede that from the perspective of asset protection planning. You can use these contract types to give you a tremendous tool
[00:24:11.640 --> 00:24:13.640]   But I have to concede that from the perspective of asset protection planning. You can use these contract types to give you a tremendous tool than to which you can put cash that is protected from the claims of creditors and has the benefits of a life insurance contract.
[00:24:13.660 --> 00:24:33.680]   So the two things I'm focusing on, I first spoke about universal life insurance contracts as compared to whole life insurance contracts.
[00:24:34.220 --> 00:24:57.720]  , but then the second thing has to do with what investments are held in the contract. Traditionally life insurance contracts, especially whole life insurance contracts, were part of an insurance company's general portfolio, their general account.
[00:24:57.720 --> 00:24:59.720]   but then the second thing has to do with what investments are held in the contract. Traditionally life insurance contracts, especially whole life insurance contracts, were part of an insurance company's general portfolio, their general account.
