
[00:00:00.000 --> 00:00:02.160]   (beeping)
[00:00:02.160 --> 00:00:12.980]   - Welcome back to Ask the Compound.
[00:00:12.980 --> 00:00:14.520]   People seem to like the new name, Duncan.
[00:00:14.520 --> 00:00:15.880]   We made the switch from Portfolio Rescue
[00:00:15.880 --> 00:00:18.080]   to Ask the Compound, I don't know, a month ago, maybe?
[00:00:18.080 --> 00:00:19.740]   - Yeah, we definitely saw an uptick.
[00:00:19.740 --> 00:00:20.580]   - It makes sense.
[00:00:20.580 --> 00:00:22.760]   Plus it matched the email, so that was easy.
[00:00:22.760 --> 00:00:25.120]   Ask the Compound show at gmail.com.
[00:00:25.120 --> 00:00:27.120]   We're still inundated with questions.
[00:00:27.120 --> 00:00:27.960]   Got a lot going on here.
[00:00:27.960 --> 00:00:30.400]   Today's show is sponsored by Bird Dogs.
[00:00:30.400 --> 00:00:32.840]   I used to think the Bird Dog shorts
[00:00:32.840 --> 00:00:35.520]   were my favorite, most comfortable piece of clothing.
[00:00:35.520 --> 00:00:38.880]   See, a little style tip for you guys out there.
[00:00:38.880 --> 00:00:40.560]   If you wear a bright shirt like me,
[00:00:40.560 --> 00:00:41.960]   then you wanna offset that with darker.
[00:00:41.960 --> 00:00:44.200]   So I got the dark gray Bird Dogs on today.
[00:00:44.200 --> 00:00:46.720]   And if you wear the really bright Bird Dogs,
[00:00:46.720 --> 00:00:47.760]   then you wanna go a little, you know,
[00:00:47.760 --> 00:00:49.240]   white on the top, maybe.
[00:00:49.240 --> 00:00:50.760]   - That's called contrast.
[00:00:50.760 --> 00:00:52.440]   - I thought that the shorts were my most favorite.
[00:00:52.440 --> 00:00:53.800]   I think I'm starting to come around to the idea
[00:00:53.800 --> 00:00:56.980]   that the pants and the joggers and the sweatpants,
[00:00:56.980 --> 00:00:58.280]   they are so comfortable.
[00:00:58.280 --> 00:01:00.080]   I just started wearing them this year.
[00:01:00.080 --> 00:01:00.920]   They're great.
[00:01:00.920 --> 00:01:03.040]   And because we've been going from 90 degree weather here
[00:01:03.040 --> 00:01:03.880]   to 50 degree weather,
[00:01:03.880 --> 00:01:05.800]   so I still have the warmup pants
[00:01:05.800 --> 00:01:09.000]   as part of my options here.
[00:01:09.000 --> 00:01:09.840]   It's great.
[00:01:09.840 --> 00:01:14.080]   I also have with me one of the Bird Dog tumblers, right?
[00:01:14.080 --> 00:01:14.920]   I'm not a coffee drinker,
[00:01:14.920 --> 00:01:17.080]   but I could use this for Coke Zero, I guess.
[00:01:17.080 --> 00:01:19.280]   Maybe Diet Pepsi if the Coke Zero's not available.
[00:01:19.280 --> 00:01:20.920]   - I use mine for coffee, don't worry.
[00:01:20.920 --> 00:01:24.900]   - Okay, you go to birddogs.com/atc.
[00:01:24.900 --> 00:01:26.640]   Put in the code ATC.
[00:01:26.640 --> 00:01:28.300]   - Oh, news alert, news alert.
[00:01:28.300 --> 00:01:30.700]   I actually forgot to tell you getting ready today.
[00:01:30.700 --> 00:01:31.880]   We don't need the code anymore.
[00:01:31.880 --> 00:01:35.340]   They automatically are adding the Yeti style tumblers
[00:01:35.340 --> 00:01:36.620]   without the code.
[00:01:36.620 --> 00:01:38.060]   - All right, great.
[00:01:38.060 --> 00:01:38.900]   Get it on your own.
[00:01:38.900 --> 00:01:41.140]   So, yeah, birddogs.com.
[00:01:41.140 --> 00:01:42.580]   They're the most comfortable shorts I wear all summer.
[00:01:42.580 --> 00:01:43.680]   I love the pants too.
[00:01:43.680 --> 00:01:46.420]   All right, we've got some great questions this week.
[00:01:46.420 --> 00:01:48.860]   We've got a great guest host, so let's get to it.
[00:01:48.860 --> 00:01:55.380]   - Okay, up first today, we have a question from John.
[00:01:55.660 --> 00:01:59.120]   My wife and I are 42 with a 13-year-old son.
[00:01:59.120 --> 00:02:01.800]   We moved to Phoenix, Arizona as immigrants seven years ago
[00:02:01.800 --> 00:02:04.080]   with just a couple thousand dollars to our name.
[00:02:04.080 --> 00:02:06.680]   Since then, we have slowly progressed in our careers,
[00:02:06.680 --> 00:02:10.160]   and at this point, we have $350,000 of combined income,
[00:02:10.160 --> 00:02:15.160]   $230,000 cash, a $530,000 mortgage with 28 years left,
[00:02:15.160 --> 00:02:18.760]   $100,000 in retirement accounts,
[00:02:18.760 --> 00:02:21.280]   and $75,000 in a brokerage account.
[00:02:21.280 --> 00:02:23.680]   We are currently saving $8,000 a month.
[00:02:23.680 --> 00:02:26.300]   We both plan to work for the next 13 years
[00:02:26.300 --> 00:02:28.420]   and then think about retirement.
[00:02:28.420 --> 00:02:32.180]   I need your suggestion on how I can better utilize our cash.
[00:02:32.180 --> 00:02:36.620]   Should I move this into ETFs or blue chips in a lump sum,
[00:02:36.620 --> 00:02:38.660]   or should I plan to invest it in real estate
