
[00:00:00.000 --> 00:00:03.000]   Do more together this holiday in a new Chevy.
[00:00:03.000 --> 00:00:07.000]   Take on more adventure in the strong and capable Chevy Silverado.
[00:00:07.000 --> 00:00:09.000]   More confidence in the Chevy Equinox.
[00:00:09.000 --> 00:00:14.000]   Winner of the J.D. Power Award for initial quality among compact SUVs two years running.
[00:00:14.000 --> 00:00:19.000]   And more value in the all-new Chevy Trax with an available 11-inch diagonal touchscreen.
[00:00:19.000 --> 00:00:21.000]   Bring the holidays together in a new Chevy.
[00:00:21.000 --> 00:00:23.000]   Click to learn more.
[00:00:23.000 --> 00:00:25.000]   Chevrolet. Together, let's drive.
[00:00:25.000 --> 00:00:30.000]   For J.D. Power 2023 U.S. Initial Quality Study Award information, visit jdpower.com/awards.
[00:00:30.000 --> 00:00:33.000]   Today on Radical Personal Finance, it's live Q&A.
[00:00:33.000 --> 00:00:53.000]   Welcome to Radical Personal Finance, the show dedicated to providing you with the knowledge, skills, insight,
[00:00:53.000 --> 00:00:56.000]   and encouragement you need to live a rich and meaningful life now,
[00:00:56.000 --> 00:00:59.000]   while building a plan for financial freedom in 10 years or less.
[00:00:59.000 --> 00:01:01.000]   My name is Joshua Sheets. I am your host.
[00:01:01.000 --> 00:01:04.000]   And today we do Friday Q&A, a live Q&A show.
[00:01:04.000 --> 00:01:07.000]   These shows are available to all patrons of this show.
[00:01:07.000 --> 00:01:14.000]   If you'd like to join one of these Friday Q&A shows and call in, like talk radio, go to patreon.com/radicalpersonalfinance.
[00:01:22.000 --> 00:01:25.000]   As I mentioned every Friday here at Radical Personal Finance, when I can arrange the appropriate technology,
[00:01:25.000 --> 00:01:29.000]   which has been hard over the last few weeks, I do a live Q&A show.
[00:01:29.000 --> 00:01:34.000]   And today we're doing it at the last minute, so I don't expect too many callers, but at least we've got a show.
[00:01:34.000 --> 00:01:36.000]   It's been too many weeks without a Friday Q&A show.
[00:01:36.000 --> 00:01:41.000]   I love doing these shows every Friday. It's just that the scheduling and the technology sometimes gets in my way.
[00:01:41.000 --> 00:01:44.000]   If you would like to speak to me on a Friday Q&A show, I would love to have you here.
[00:01:44.000 --> 00:01:46.000]   You can do that by becoming a patron of the show.
[00:01:46.000 --> 00:01:48.000]   Go to patreon.com/radicalpersonalfinance.
[00:01:48.000 --> 00:01:52.000]   Sign up to support the show there, and I would welcome your presence.
[00:01:52.000 --> 00:01:58.000]   Lots to talk about today. It's been a great week, so let's go first to the phones with Brian.
[00:01:58.000 --> 00:02:01.000]   And Brian, welcome to the show. How can I serve you today, sir?
[00:02:01.000 --> 00:02:08.000]   Hi, Josh. I had a slightly different kind of question related to your experience in Malta.
[00:02:08.000 --> 00:02:16.000]   We're going on a trip there this summer, and we've got one day, about 10 hours off the boat, to explore Malta.
[00:02:16.000 --> 00:02:23.000]   I wanted to hear from you on what you think some of the best things to do or spend a day there would be.
[00:02:23.000 --> 00:02:33.000]   Well, 10 hours is not—I was there for a month with my family, so we had a little bit more than 10 hours.
[00:02:33.000 --> 00:02:44.000]   But I really enjoyed Malta. I was there primarily because I was interested in Malta's billing itself as a hub for Bitcoin, for cryptocurrencies, etc.
[00:02:44.000 --> 00:02:56.000]   The University of Malta offers a master's degree in basically cryptocurrencies, and Malta was seeking to be—has been seeking to be—it dubbed itself "blockchain island"
[00:02:56.000 --> 00:03:01.000]   and is seeking to provide kind of a regulatory environment for cryptocurrency.
[00:03:01.000 --> 00:03:12.000]   This is also interesting because Malta has one of Europe's best—it's not necessarily only, but it's certainly the clearest one—citizenship by investment program.
[00:03:12.000 --> 00:03:20.000]   They have a residency by investment program. It's a wonderful tax haven. It's in the European Union. It's a beautiful Mediterranean island.
[00:03:20.000 --> 00:03:26.000]   And so I was there kind of enjoying that, all that stuff, plus the personal side of things.
[00:03:26.000 --> 00:03:39.000]   So what I'll tell you is if you have 10 hours, you are going to simply choose to do basically some of the standard tourist things, depending on where you're coming on a boat. Is that right?
[00:03:39.000 --> 00:03:41.000]   Yes, it's going to be a cruise trip.
[00:03:41.000 --> 00:03:54.000]   Okay, so coming in on the boat, you will most likely dock right in downtown Valletta, which is this beautiful historic walled city that's something like 400 years old.
