
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:00:02.420 --> 00:00:06.360]   - Welcome friends to this episode
[00:00:06.360 --> 00:00:08.920]   of the Everyday Educator podcast.
[00:00:08.920 --> 00:00:10.640]   I'm your host, Lisa Bailey,
[00:00:10.640 --> 00:00:13.880]   and I'm excited to spend some time with you today
[00:00:13.880 --> 00:00:17.080]   as we encourage one another, learn together,
[00:00:17.080 --> 00:00:20.000]   and ponder the delights and challenges
[00:00:20.000 --> 00:00:23.460]   that make homeschooling the adventure of a lifetime.
[00:00:23.460 --> 00:00:25.680]   Whether you're just considering
[00:00:25.680 --> 00:00:28.080]   this homeschooling possibility
[00:00:28.080 --> 00:00:31.920]   or deep into the daily delight of family learning,
[00:00:31.920 --> 00:00:35.860]   I believe you'll enjoy thinking along with us.
[00:00:35.860 --> 00:00:37.280]   But don't forget,
[00:00:37.280 --> 00:00:40.680]   although this online community is awesome,
[00:00:40.680 --> 00:00:45.680]   you'll find even closer support in a local CC community.
[00:00:45.680 --> 00:00:50.280]   So go to classicalconversations.com
[00:00:50.280 --> 00:00:54.100]   and find a community near you today.
[00:00:54.100 --> 00:00:57.440]   Well, listeners, I'm excited to welcome you
[00:00:57.440 --> 00:01:01.360]   to this episode of the Everyday Educator podcast.
[00:01:01.360 --> 00:01:06.100]   I know that a lot of you, like me,
[00:01:06.100 --> 00:01:12.100]   you either are taking or you have taken a break
[00:01:12.100 --> 00:01:14.800]   from working on your passions
[00:01:14.800 --> 00:01:17.800]   in order to homeschool in your family.
[00:01:17.800 --> 00:01:20.840]   And a lot of times, let's be frank,
[00:01:20.840 --> 00:01:23.720]   where I am when kids grow up,
[00:01:23.720 --> 00:01:27.560]   we go back or we go forward
[00:01:27.560 --> 00:01:29.760]   to something that we want to work in.
[00:01:29.760 --> 00:01:33.620]   I host podcasts and I write curriculum.
[00:01:33.620 --> 00:01:38.620]   I have as my guest today a homeschool mom who makes movies.
[00:01:38.620 --> 00:01:44.920]   So I want you to welcome to the podcast with me,
[00:01:44.920 --> 00:01:46.620]   Sam Sorbo today.
[00:01:46.620 --> 00:01:49.120]   Sam, thanks so much for being with us.
[00:01:49.120 --> 00:01:50.780]   - Yeah, thank you so much for having me.
[00:01:50.780 --> 00:01:54.740]   It's always fun to talk to fellow homeschoolers
[00:01:54.740 --> 00:01:59.000]   and get their perspectives on various things.
[00:01:59.000 --> 00:02:00.560]   So I'm looking forward to this.
[00:02:00.560 --> 00:02:06.060]   - This is gonna be really fun to get different perspectives
[00:02:06.060 --> 00:02:08.720]   from people we don't rub shoulders with every day.
[00:02:08.720 --> 00:02:12.900]   I wanna give you a chance to introduce yourself
[00:02:12.900 --> 00:02:15.980]   to all these new friends that you're gonna make today.
[00:02:15.980 --> 00:02:17.660]   Tell them who you are,
[00:02:18.600 --> 00:02:21.080]   maybe a little bit about your family.
[00:02:21.080 --> 00:02:24.740]   I have lots of questions to ask you about homeschooling
[00:02:24.740 --> 00:02:27.100]   and your family's experience.
[00:02:27.100 --> 00:02:30.220]   But I also have a movie, you might've heard of it,
[00:02:30.220 --> 00:02:33.240]   "Miracle in East Texas" that I wanna ask you about too.
[00:02:33.240 --> 00:02:38.220]   So give us a thumbnail sketch of your Sam Sorbo life.
[00:02:38.220 --> 00:02:39.980]   - You're so funny.
[00:02:39.980 --> 00:02:41.580]   Of course I've heard of my movie.
[00:02:41.580 --> 00:02:44.060]   (both laughing)
[00:02:44.060 --> 00:02:46.960]   So I was born at a very young age.
[00:02:46.960 --> 00:02:48.420]   I'm kidding, okay.
[00:02:48.420 --> 00:02:50.000]   Well, most of us were.
[00:02:50.000 --> 00:02:53.280]   - Fast forward to, I met my husband
[00:02:53.280 --> 00:02:58.280]   and he had a severe health crisis right in front of me.
[00:02:58.280 --> 00:03:04.040]   And I was forced to make really a binary choice.
[00:03:04.040 --> 00:03:06.160]   I chose to walk away from my career
[00:03:06.160 --> 00:03:10.200]   because I wanted him to be healthy and I wanted a family.
[00:03:10.200 --> 00:03:12.160]   And I recognized that that was the choice
[00:03:12.160 --> 00:03:14.520]   that God had put in front of me.
[00:03:14.520 --> 00:03:19.520]   And I was very blessed to understand that very quickly.
[00:03:19.520 --> 00:03:24.740]   And so a lot of what I do when I talk to moms especially,
[00:03:24.740 --> 00:03:27.860]   but really young women anywhere,
[00:03:27.860 --> 00:03:30.880]   is I tell them that every choice is binary.
[00:03:30.880 --> 00:03:34.840]   There's only the up or the down, there's the on or the off.
[00:03:34.840 --> 00:03:39.120]   And when you try to sit on the fence, it doesn't serve you.
[00:03:39.120 --> 00:03:43.040]   You need to prioritize and then serve the highest priority
[00:03:43.040 --> 00:03:44.760]   with that decision.
[00:03:44.760 --> 00:03:47.120]   So I made that decision with Kevin.
[00:03:47.120 --> 00:03:50.500]   We got married, he did recover fully.
[00:03:50.500 --> 00:03:54.000]   It took about three years, it was a hard road.
[00:03:54.000 --> 00:03:55.720]   And then we had children.
[00:03:55.720 --> 00:03:58.360]   And I had three children and I was getting back
[00:03:58.360 --> 00:04:01.460]   to my career, which was as an actress.
[00:04:01.460 --> 00:04:04.600]   And I had my toddler, my youngest,
[00:04:04.600 --> 00:04:06.200]   who didn't have very many words,
[00:04:06.200 --> 00:04:08.780]   but she did have the word no,
[00:04:08.780 --> 00:04:11.640]   run up to me when I came home from an audition one day
[00:04:11.640 --> 00:04:14.020]   with her little finger pointing saying,
[00:04:14.020 --> 00:04:18.100]   "No, no, no, no, no, no, no, no, no, no."
[00:04:18.100 --> 00:04:20.200]   And I picked her up and I put her on my hip
[00:04:20.200 --> 00:04:24.280]   and she turned to my nanny and she said, "Bye-bye."
[00:04:24.280 --> 00:04:25.440]   - Oh.
[00:04:25.440 --> 00:04:28.540]   - And so because of my previous experience,
[00:04:28.540 --> 00:04:31.480]   I recognized that I had another binary choice
[00:04:31.480 --> 00:04:32.320]   in front of me.
[00:04:32.320 --> 00:04:38.160]   And I want to get parents to recognize that.
[00:04:39.680 --> 00:04:43.360]   You must prioritize your children, they are worth it.
[00:04:43.360 --> 00:04:47.800]   And when you do that, you win.
[00:04:47.800 --> 00:04:49.120]   It's not them who wins. - Absolutely.
[00:04:49.120 --> 00:04:51.800]   - Like they win, sure, they win, absolutely.
[00:04:51.800 --> 00:04:56.800]   But you win to a degree that you can't possibly fathom
[00:04:56.800 --> 00:05:00.200]   because of our culture today.
[00:05:00.200 --> 00:05:03.320]   Because our culture says that children have no value.
[00:05:03.320 --> 00:05:07.840]   They actually, their death has more value than their lives
[00:05:07.840 --> 00:05:09.280]   in our culture today.
[00:05:09.280 --> 00:05:10.520]   It's so upside down.
[00:05:10.520 --> 00:05:14.480]   And so I try to speak into culture.
[00:05:14.480 --> 00:05:18.000]   I'm very blessed that I have a platform
[00:05:18.000 --> 00:05:20.840]   because of the fame of my husband, really.
[00:05:20.840 --> 00:05:25.200]   And so that gets me in places
[00:05:25.200 --> 00:05:27.720]   and gets me in front of people and stuff
[00:05:27.720 --> 00:05:30.180]   that otherwise I wouldn't.
[00:05:30.180 --> 00:05:33.240]   But even if he didn't have that,
[00:05:33.240 --> 00:05:37.320]   I would be just trying to get this message out
[00:05:37.320 --> 00:05:40.900]   because this is the saving message of the United States.
[00:05:40.900 --> 00:05:44.260]   I believe this is the message that can save freedom
[00:05:44.260 --> 00:05:47.680]   if we can get enough families, Christian families
[00:05:47.680 --> 00:05:49.680]   to homeschool for Christian children.
[00:05:49.680 --> 00:05:53.000]   And the reason that I say that is it's pretty simple.
[00:05:53.000 --> 00:05:57.160]   Children love truth right now in our schools.
[00:05:57.160 --> 00:05:59.520]   And I'll say our nation's schools,
[00:05:59.520 --> 00:06:03.600]   I will just focus on government schools for right now.
[00:06:03.600 --> 00:06:05.060]   They're getting a pack of lies.
[00:06:05.060 --> 00:06:07.280]   They hate it, they're rebellious.
[00:06:07.280 --> 00:06:10.020]   They know that they're being lied to.
[00:06:10.020 --> 00:06:12.160]   And they are doing everything in their power
[00:06:12.160 --> 00:06:18.100]   to stick it to the man, to rebel against that.
[00:06:18.100 --> 00:06:23.000]   But if you do so little, so little in your homeschool,
[00:06:23.000 --> 00:06:26.900]   this little, okay, read the Bible with your kids every day.
[00:06:26.900 --> 00:06:29.760]   15 to 20 minutes.
[00:06:29.760 --> 00:06:32.040]   I'm not talking, this is not a big lift.
[00:06:32.040 --> 00:06:36.900]   This is the least amount of work that you could do
[00:06:36.900 --> 00:06:41.140]   and still be able to say that you are being successful.
[00:06:41.140 --> 00:06:43.400]   It's literally this simple.
[00:06:43.400 --> 00:06:45.620]   Read the Bible with your kids every day.
[00:06:45.620 --> 00:06:49.920]   Make them understand that the Bible is truth
[00:06:49.920 --> 00:06:52.480]   and don't give them electronics.
[00:06:52.480 --> 00:06:53.540]   That's the other caveat.
[00:06:53.540 --> 00:06:56.140]   They can't have electronics, seriously, no electronics.
[00:06:56.140 --> 00:06:58.000]   Like maybe one movie a week
[00:06:58.000 --> 00:07:00.440]   if you screen the movie for them kind of thing.
[00:07:00.440 --> 00:07:06.060]   Then your children will grow up loving truth and loving God.
[00:07:06.900 --> 00:07:09.360]   It's literally, and like I know I'm talking
[00:07:09.360 --> 00:07:12.160]   on a classical conversations platform, right?
[00:07:12.160 --> 00:07:15.800]   So I'm not dissing classical conversations in any way.
[00:07:15.800 --> 00:07:18.920]   I'm a full-time classical conversations mom.
[00:07:18.920 --> 00:07:22.120]   I'm a big advocate.
[00:07:22.120 --> 00:07:25.080]   I speak and I advocate for classical conversations
[00:07:25.080 --> 00:07:26.680]   and they don't pay me.
[00:07:26.680 --> 00:07:28.080]   - Yes. (laughs)
[00:07:28.080 --> 00:07:30.440]   Well, you are with kindred spirits then.
[00:07:30.440 --> 00:07:32.760]   Here we all are together in that.
[00:07:32.760 --> 00:07:35.320]   - But I've heard, I have heard from parents
[00:07:35.320 --> 00:07:37.880]   that and they, and by the way, it isn't,
[00:07:37.880 --> 00:07:40.640]   but they think that it's too heavy of a lift.
[00:07:40.640 --> 00:07:41.960]   - Oh, yes, right.
[00:07:41.960 --> 00:07:45.540]   - Because it appears like, oh my goodness, that's a lot.
[00:07:45.540 --> 00:07:48.640]   And it can be a lot if you choose for it to be a lot,
[00:07:48.640 --> 00:07:49.760]   but it doesn't have to be.
[00:07:49.760 --> 00:07:51.840]   It's fully, you can tailor it fully.
[00:07:51.840 --> 00:07:54.120]   So I'm not sure, but here's the thing.
[00:07:54.120 --> 00:07:55.760]   Have you noticed, Lisa?
[00:07:55.760 --> 00:07:58.480]   People say a lot of stuff
[00:07:58.480 --> 00:08:02.560]   about things that they know nothing about.
[00:08:02.560 --> 00:08:05.800]   - And they have little experience with.
[00:08:05.800 --> 00:08:08.120]   - Well, yeah, 'cause they know nothing.
[00:08:08.120 --> 00:08:09.900]   - Yeah, exactly.
[00:08:09.900 --> 00:08:10.740]   - They know nothing.
[00:08:10.740 --> 00:08:13.520]   I was at an event two nights ago
[00:08:13.520 --> 00:08:15.640]   and I was talking with a,
[00:08:15.640 --> 00:08:18.400]   he's actually a very well-known talk show host
[00:08:18.400 --> 00:08:22.100]   and God bless him.
[00:08:22.100 --> 00:08:26.160]   He's for school choice and he has a school
[00:08:26.160 --> 00:08:27.920]   that he supports and blah, blah, blah, right?
[00:08:27.920 --> 00:08:28.920]   - Right, right.
[00:08:28.920 --> 00:08:31.760]   - And he goes, but Sam, parents can't,
[00:08:31.760 --> 00:08:35.360]   you can't think that parents are all gonna, you know.
[00:08:35.360 --> 00:08:39.340]   And I said, with all due respect,
[00:08:39.340 --> 00:08:42.160]   and I'll shortcut it for you 'cause I'm never this rude,
[00:08:42.160 --> 00:08:44.960]   but because you and I are talking, I'll just shortcut it.
[00:08:44.960 --> 00:08:45.800]   - Right.
[00:08:45.800 --> 00:08:47.600]   - I'm like, you just don't know what you're talking about.
[00:08:47.600 --> 00:08:48.440]   You don't have kids.
[00:08:48.440 --> 00:08:49.800]   You've never educated a child.
[00:08:49.800 --> 00:08:51.920]   Like, you just don't know.
[00:08:51.920 --> 00:08:53.320]   - You haven't tried it.
[00:08:53.320 --> 00:08:55.540]   - You're making statements,
[00:08:55.540 --> 00:08:59.280]   but you really don't know what you're saying
[00:08:59.280 --> 00:09:01.440]   because you're using the word homeschool,
[00:09:01.440 --> 00:09:02.520]   but you don't even have a,
[00:09:02.520 --> 00:09:04.520]   you have no idea what homeschooling is.
[00:09:04.520 --> 00:09:05.360]   - Right.
[00:09:05.360 --> 00:09:06.480]   - I mean, that's really like,
[00:09:06.480 --> 00:09:08.060]   not every parent can homeschool.
[00:09:08.060 --> 00:09:09.400]   Not the way you do it.
[00:09:09.400 --> 00:09:10.600]   How do you homeschool again?
[00:09:10.600 --> 00:09:12.680]   Can you explain that to me again?
[00:09:12.680 --> 00:09:13.840]   - Yes, exactly.
[00:09:13.840 --> 00:09:15.240]   - Because they don't.
[00:09:15.240 --> 00:09:17.960]   - Right, they are envisioning bringing home
[00:09:17.960 --> 00:09:21.680]   what they knew of education when they were students.
[00:09:21.680 --> 00:09:22.520]   - That's right.
[00:09:22.520 --> 00:09:23.420]   - And it's not that.
[00:09:23.420 --> 00:09:25.240]   - It's not, this is what I say.
[00:09:25.240 --> 00:09:26.680]   I don't even call it homeschooling
[00:09:26.680 --> 00:09:28.320]   because it's not school at home.
[00:09:28.320 --> 00:09:29.160]   That's not what it is.
[00:09:29.160 --> 00:09:31.360]   - Exactly, exactly.
[00:09:31.360 --> 00:09:34.280]   Oh my goodness, it's home-centered education.
[00:09:34.280 --> 00:09:35.780]   That's what we do.
[00:09:35.780 --> 00:09:37.680]   But people don't understand that.
[00:09:37.680 --> 00:09:38.520]   Well.
