
[00:00:00.000 --> 00:00:05.920]   Welcome everyone.
[00:00:05.920 --> 00:00:09.120]   This screencast kicks off our series on methods and metrics.
[00:00:09.120 --> 00:00:13.800]   The overarching goal of this series is to help you work your way through
[00:00:13.800 --> 00:00:18.720]   your project and make smart choices around experiments and data and metrics and
[00:00:18.720 --> 00:00:23.560]   everything else and also be a trusted companion and sounding board for you as
[00:00:23.560 --> 00:00:27.720]   you confront really hard decisions around doing this kind of research.
[00:00:27.720 --> 00:00:32.800]   Let's start with an overview of the goals and the current issues.
[00:00:32.800 --> 00:00:34.880]   Fundamentally we're trying to help you with your projects.
[00:00:34.880 --> 00:00:39.960]   This comes down to things like managing data, establishing baseline systems,
[00:00:39.960 --> 00:00:44.520]   comparing models, optimizing models, and maybe most importantly, navigating
[00:00:44.520 --> 00:00:46.120]   tricky situations.
[00:00:46.120 --> 00:00:49.360]   We can provide some high-level guidance here and then you should look to your
[00:00:49.360 --> 00:00:54.280]   mentor from the teaching team to really help you optimize these things and get
[00:00:54.280 --> 00:00:57.520]   through the really hard parts.
[00:00:57.520 --> 00:01:02.320]   For associated materials, we have a big notebook on evaluation metrics that'll
[00:01:02.320 --> 00:01:05.960]   allow you to get hands-on with some of the detailed technical things that I give
[00:01:05.960 --> 00:01:08.680]   an overview of in these screencasts.
[00:01:08.680 --> 00:01:14.240]   There's also a really wonderful set of pages embedded in the Scikit site about
[00:01:14.240 --> 00:01:18.160]   how to think about model evaluation in AI more generally.
[00:01:18.160 --> 00:01:22.080]   And then we also have an extensive notebook that allows you to get hands-on
[00:01:22.080 --> 00:01:26.040]   with the more methodological stuff that we're going to talk about.
[00:01:26.040 --> 00:01:29.480]   The notebook substantiates with experiments some of the things that I'll
[00:01:29.480 --> 00:01:32.840]   just offer you as general lessons here.
[00:01:32.840 --> 00:01:36.240]   And then there are a few things that you could check out in terms of reading.
[00:01:36.240 --> 00:01:40.400]   Although honestly, there is much less reading than you would expect.
[00:01:40.400 --> 00:01:42.920]   This might be a sign that the field is still maturing.
[00:01:42.920 --> 00:01:46.920]   For fields in the hard sciences and the behavioral sciences, there would be
[00:01:46.920 --> 00:01:49.920]   entire textbooks about methods and metrics.
[00:01:49.920 --> 00:01:54.040]   Whereas for us, we seem to have an assumption that people will just pick it
[00:01:54.040 --> 00:01:56.200]   up as they go.
[00:01:56.200 --> 00:01:58.760]   I'm not sure that's to the credit of the field, but that is the current
[00:01:58.760 --> 00:01:59.400]   situation.
[00:01:59.400 --> 00:02:03.440]   And I guess the thinking behind this unit is that we can help somewhat provide
[00:02:03.440 --> 00:02:07.600]   some more systematic guidance on all of these really crucial things that serve
[00:02:07.600 --> 00:02:10.320]   the foundations of our field.
[00:02:10.320 --> 00:02:14.840]   I wanted to start by saying one really important thing about how we think about
[00:02:14.840 --> 00:02:16.560]   your projects.
[00:02:16.560 --> 00:02:20.640]   The fundamental thing here is that we will never evaluate your project based on
[00:02:20.640 --> 00:02:24.480]   how good the results are, where we all know what good means.
[00:02:24.480 --> 00:02:28.720]   It means being at the top of the leaderboard or something similar.
[00:02:28.720 --> 00:02:32.360]   I recognize that publication venues in the field do this.
[00:02:32.360 --> 00:02:36.080]   And the rationale there is that they have additional constraints on space, and
[00:02:36.080 --> 00:02:41.120]   that leads them to favor positive results for new developments over negative
[00:02:41.120 --> 00:02:42.600]   results.
[00:02:42.600 --> 00:02:46.960]   As an aside, I think we can all see that this is a distorting effect on the
[00:02:46.960 --> 00:02:51.560]   scientific literature, and it absolutely is ultimately hindering progress,
[00:02:51.560 --> 00:02:55.880]   because negative results can be so powerful and useful in terms of
[00:02:55.880 --> 00:03:00.400]   instructing people about where to invest their energy, and in particular, where
[00:03:00.400 --> 00:03:02.320]   not to invest their energy.
[00:03:02.320 --> 00:03:06.800]   So this is a kind of sad commentary, but I'm just observing that it's true.
[00:03:06.800 --> 00:03:11.760]   And then fundamentally, for our course, we are not subject to any constraints,
[00:03:11.760 --> 00:03:14.280]   real or imagined, on what we can publish.
[00:03:14.280 --> 00:03:18.600]   So we can do the right and good thing of valuing positive results and negative
[00:03:18.600 --> 00:03:21.400]   results and everything in between.
[00:03:21.400 --> 00:03:25.600]   What this means is you could be at the top of the leaderboard according to your
[00:03:25.600 --> 00:03:30.760]   own experimentation, but if your report is shallow and doesn't really explain how
[00:03:30.760 --> 00:03:35.080]   that number got there or what the thinking behind it was, you won't do well.
[00:03:35.080 --> 00:03:39.240]   More importantly, conversely, you could try something really creative and
[00:03:39.240 --> 00:03:40.200]   ambitious.
[00:03:40.200 --> 00:03:44.240]   It might fail, but that could be an outstanding contribution because of how
[00:03:44.240 --> 00:03:48.560]   careful you were about the things we actually care about, which are the
[00:03:48.560 --> 00:03:53.320]   appropriateness of the metrics, the strength of the methods, and the extent
[00:03:53.320 --> 00:03:57.960]   to which the paper is open and clear-sighted about the limitations of
[00:03:57.960 --> 00:03:58.960]   its findings.
[00:03:58.960 --> 00:04:02.520]   This is a wonderful movement in the field that we increasingly emphasize
[00:04:02.520 --> 00:04:07.120]   finding the outer limits of our ideas and describing those limitations in our
[00:04:07.120 --> 00:04:07.960]   papers.
[00:04:07.960 --> 00:04:13.440]   I would exhort you to do similar things, and I think overall, on average, this
[00:04:13.440 --> 00:04:17.240]   kind of work is going to lead you to more fruitful systems, more rewarding
[00:04:17.240 --> 00:04:19.800]   results, and higher-quality papers.
[00:04:19.800 --> 00:04:25.400]   So I feel really good about this, and we can talk in the next unit about how to
[00:04:25.400 --> 00:04:29.240]   navigate tricky things related to this publication bias.
[00:04:29.240 --> 00:04:32.840]   I think fundamentally we can do right there as well, and the shift in
[00:04:32.840 --> 00:04:36.720]   perspective that you need to take is to move away from papers that are a
[00:04:36.720 --> 00:04:41.640]   competition favoring your chosen system and toward papers that are simply
[00:04:41.640 --> 00:04:46.880]   openly evaluating scientific hypotheses and mustering as much evidence as
[00:04:46.880 --> 00:04:49.840]   possible to inform those hypotheses.
[00:04:49.840 --> 00:04:53.280]   And once you move into those modes, you're not anymore thinking about how to
[00:04:53.280 --> 00:04:57.240]   pick a winner, but rather just thinking about strength of evidence and the
[00:04:57.240 --> 00:04:59.160]   importance of the hypotheses.
[00:04:59.160 --> 00:05:02.840]   So we can get there, and everyone will be happier as a result, but it does
[00:05:02.840 --> 00:05:06.440]   require a shift in perspective from the norms that we often hear about, which
[00:05:06.440 --> 00:05:10.520]   are competition-oriented.
[00:05:10.520 --> 00:05:15.640]   For methods, I've put this under the heading "How Times Have Changed," and
[00:05:15.640 --> 00:05:20.560]   unfortunately I don't have very many happy lessons to teach here.
[00:05:20.560 --> 00:05:23.800]   Let's rewind the clock to around 2010.
[00:05:23.800 --> 00:05:27.680]   In that era, you could develop your complete system on tiny samples of your
[00:05:27.680 --> 00:05:29.280]   trained data.
[00:05:29.280 --> 00:05:32.920]   Once you had it working, you would do regular cross-validation using only the
[00:05:32.920 --> 00:05:36.280]   trained data, a nice pristine experimental setting.
[00:05:36.280 --> 00:05:41.480]   You would evaluate only very occasionally on your held-out dev set in an effort
[00:05:41.480 --> 00:05:45.840]   to avoid hill climbing on that dev set and ultimately overfitting to it, and
[00:05:45.840 --> 00:05:47.800]   that's why you would be cautious there.
[00:05:47.800 --> 00:05:50.920]   And then in the final stages of your project, you would do a complete round of
[00:05:50.920 --> 00:05:54.120]   hyperparameter tuning using your dev data.
[00:05:54.120 --> 00:05:58.680]   You would select the best model, and you would run your final test evaluation
[00:05:58.680 --> 00:06:02.560]   and report that number more or less as is.
[00:06:02.560 --> 00:06:03.560]   That was 2010.
[00:06:03.560 --> 00:06:06.400]   We could do something deeply right about this as a scientific picture for our
[00:06:06.400 --> 00:06:09.000]   field, but unfortunately times have changed.
[00:06:09.000 --> 00:06:14.680]   In 2023, you could develop your system on tiny samples of your data as before.
[00:06:14.680 --> 00:06:15.680]   Good.
[00:06:15.680 --> 00:06:21.200]   However, for step two, either there's no training data for your task or cross-validation
[00:06:21.200 --> 00:06:24.720]   on it would cost $20,000 and take six months.
[00:06:24.720 --> 00:06:29.000]   So already we are off course here in terms of our ideal scientific picture.
[00:06:29.000 --> 00:06:33.800]   Relatedly, the dev set is frequently and crucially important to optimization.
[00:06:33.800 --> 00:06:38.160]   So you have to keep fingers crossed that it really is a superb proxy for tests
[00:06:38.160 --> 00:06:42.080]   because after all, you're going to orient all of your optimization processes
[00:06:42.080 --> 00:06:44.240]   toward this dev set.
[00:06:44.240 --> 00:06:47.800]   And then finally, for the final stage, either hyperparameter tuning would cost
[00:06:47.800 --> 00:06:53.320]   $100,000 and take 10 years or there are no hyperparameters, but test runs cost
[00:06:53.320 --> 00:06:58.080]   $4,000 because you're calling an open AI model or something like that.
[00:06:58.080 --> 00:07:01.480]   Boy, this looks untenable, right?
[00:07:01.480 --> 00:07:02.620]   What do we do?
[00:07:02.620 --> 00:07:05.600]   The core tenets of the previous era remain sound.
[00:07:05.600 --> 00:07:06.600]   As I said, I like them.
[00:07:06.600 --> 00:07:09.400]   There's something really good about them, but we cannot enforce them.
[00:07:09.400 --> 00:07:11.760]   Enforcing them has become impossible.
[00:07:11.760 --> 00:07:16.120]   If we did, only the richest organizations could follow them and that would restrict
[00:07:16.120 --> 00:07:19.080]   participation in the field in a way that would be terrible.
[00:07:19.080 --> 00:07:24.680]   If you're creating a ranked list, you have to put broad participation way above all of
[00:07:24.680 --> 00:07:28.920]   those very pristine and idealized methods that we used to be able to get away with
[00:07:28.920 --> 00:07:34.360]   back when every model trained very quickly on a consumer laptop.
[00:07:34.360 --> 00:07:39.600]   So what you have to do is articulate your methods and the rationale behind them,
[00:07:39.600 --> 00:07:43.880]   including practical details like resource constraints and heuristics that you had to
[00:07:43.880 --> 00:07:44.880]   invoke.
[00:07:44.880 --> 00:07:48.840]   However, two rules should remain absolutely fixed here.
[00:07:48.840 --> 00:07:50.320]   I'm adamant about this.
[00:07:50.320 --> 00:07:56.640]   First, you never do any model selection, even informally, based on test set evaluations.
[00:07:56.640 --> 00:08:01.320]   I know there are people violating this rule out there in the field, but don't follow that
[00:08:01.320 --> 00:08:02.320]   path.
[00:08:02.320 --> 00:08:06.400]   It's really important for us, especially when we think about the high stakes scenarios that
[00:08:06.400 --> 00:08:11.960]   we could be deploying our systems in, to have pristine test evaluations that give us an
[00:08:11.960 --> 00:08:16.360]   honest look about how our systems will behave on unseen examples.
[00:08:16.360 --> 00:08:22.840]   And you compromise that entirely the moment you choose a model based on test set numbers.
[00:08:22.840 --> 00:08:27.600]   Relatedly, as you think about constructing baselines and ablations and comparisons with
[00:08:27.600 --> 00:08:32.800]   the literature, you have to strive to give all systems you evaluate the best chance of
[00:08:32.800 --> 00:08:33.920]   success.
[00:08:33.920 --> 00:08:39.200]   You should never, ever stack the deck in favor of a system that you are advocating for.
[00:08:39.200 --> 00:08:40.920]   We all know it can be done.
[00:08:40.920 --> 00:08:44.840]   All these models have hyperparameters and you could pick really bad settings for models
[00:08:44.840 --> 00:08:49.480]   you disfavor and you could work really hard to find optimal settings for models that you
[00:08:49.480 --> 00:08:50.600]   like about.
[00:08:50.600 --> 00:08:54.720]   In that way, you would appear to have won some kind of competition, but you would have
[00:08:54.720 --> 00:08:58.800]   compromised the very foundations of your project.
[00:08:58.800 --> 00:09:02.300]   What you need to do instead is give every system its best chance.
[00:09:02.300 --> 00:09:05.120]   Work really hard to make all of them competitive.
[00:09:05.120 --> 00:09:09.240]   The result will be better science, results you can trust, and ultimately, you will go
[00:09:09.240 --> 00:09:16.160]   farther in the field if you are rigorous about this rule as well.
[00:09:16.160 --> 00:09:17.240]   That was it for methods.
[00:09:17.240 --> 00:09:19.800]   For metrics, I can be more hopeful.
[00:09:19.800 --> 00:09:25.040]   I have put this under the heading, how time should change, and I do feel like they are
[00:09:25.040 --> 00:09:28.320]   changing very rapidly in a happy way.
[00:09:28.320 --> 00:09:33.440]   The overarching idea that we could have in mind here is Strathern's law.
[00:09:33.440 --> 00:09:37.180]   When a measure becomes a target, it ceases to be a good measure.
[00:09:37.180 --> 00:09:39.540]   We have to beware Strathern's law.
[00:09:39.540 --> 00:09:43.500]   We have to be vigilant and make sure we don't fall into this trap.
[00:09:43.500 --> 00:09:48.520]   In this setting, with this in mind, I'm always reminded of leaderboards.
[00:09:48.520 --> 00:09:50.380]   Leaderboards are central to the way the field works.
[00:09:50.380 --> 00:09:54.100]   We all think about them and use them as markers of progress.
[00:09:54.100 --> 00:09:56.820]   They do have their good aspects.
[00:09:56.820 --> 00:10:01.260]   Leaderboards can be an objective basis for comparison and that creates opportunities
[00:10:01.260 --> 00:10:04.860]   for even wild-seeming ideas to get a hearing.
