
[00:00:00.000 --> 00:00:02.760]   (bells jingling)
[00:00:02.760 --> 00:00:07.060]   - Merry Christmas Eve, podcast listeners.
[00:00:07.060 --> 00:00:10.500]   Episode number 499 is a special episode
[00:00:10.500 --> 00:00:13.520]   with Pastor John, of course, but also with Noel.
[00:00:13.520 --> 00:00:16.100]   Noel makes a rare cameo appearance with us today
[00:00:16.100 --> 00:00:19.340]   to talk about Christmas traditions in the Piper household.
[00:00:19.340 --> 00:00:21.700]   And so we'll start with you, Pastor John.
[00:00:21.700 --> 00:00:24.260]   You've had kids in the house for over 40 years,
[00:00:24.260 --> 00:00:26.340]   so what did Christmas look like in the Piper home
[00:00:26.340 --> 00:00:27.860]   when you had kids around?
[00:00:27.860 --> 00:00:30.120]   What were your goals?
[00:00:30.120 --> 00:00:34.740]   - Christmas Day and how we celebrate it,
[00:00:34.740 --> 00:00:36.260]   how everybody celebrates it,
[00:00:36.260 --> 00:00:41.260]   ought to mark an event that is 10 million times
[00:00:41.260 --> 00:00:47.020]   more important than any event that has ever happened
[00:00:47.020 --> 00:00:51.600]   in the last 2,000 years since Jesus rose from the dead.
[00:00:51.600 --> 00:00:55.660]   God, the creator of the universe,
[00:00:55.660 --> 00:00:59.380]   infinitely holy, just, wise, good,
[00:00:59.380 --> 00:01:02.620]   upholding the universe by the word of his power,
[00:01:02.620 --> 00:01:06.900]   absolutely independent of us and doesn't need us,
[00:01:06.900 --> 00:01:11.900]   existing forever without us, took on human nature
[00:01:11.900 --> 00:01:16.940]   and entered this world precisely to die for sinners
[00:01:16.940 --> 00:01:20.900]   so that we could live forever in joy with him
[00:01:20.900 --> 00:01:24.540]   and not perish under God's wrath.
[00:01:24.540 --> 00:01:27.860]   So it is an absolute understatement
[00:01:27.860 --> 00:01:31.740]   when the angel said at Jesus' birth,
[00:01:31.740 --> 00:01:36.740]   "Fear not, for behold, I bring you good news of great joy."
[00:01:36.740 --> 00:01:41.820]   We wish there were words better, right?
[00:01:41.820 --> 00:01:46.460]   Great joy that will be for all the people.
[00:01:46.460 --> 00:01:49.680]   So we've had two goals at the Piper house over the years
[00:01:49.680 --> 00:01:52.660]   with our five kids and our guests,
[00:01:52.660 --> 00:01:56.900]   pervasively Christ-centered, 'cause that's what it's about,
[00:01:56.900 --> 00:01:59.860]   and great joy because that's the effect
[00:01:59.860 --> 00:02:02.020]   the angel said it ought to have,
[00:02:02.020 --> 00:02:05.100]   and it does have when you really grasp what it is.
[00:02:05.100 --> 00:02:10.020]   And so that meant for us, way back, what, 45 years ago plus,
[00:02:10.020 --> 00:02:13.700]   rethinking everything that people usually do.
[00:02:13.700 --> 00:02:16.660]   And some things stayed in our tradition
[00:02:16.660 --> 00:02:19.600]   that we did growing up and other things went,
[00:02:19.600 --> 00:02:21.540]   and some things were adapted,
[00:02:21.540 --> 00:02:24.880]   and some things were just totally created new.
[00:02:24.880 --> 00:02:27.780]   Santa Claus went.
[00:02:27.780 --> 00:02:31.380]   He is not a helpful participant in this.
[00:02:31.380 --> 00:02:33.900]   He is a distraction from the majesty
[00:02:33.900 --> 00:02:36.980]   and joyfulness of Christ.
[00:02:36.980 --> 00:02:39.180]   Giving gifts stayed.
[00:02:39.180 --> 00:02:41.180]   That seemed to us like a beautiful,
[00:02:41.180 --> 00:02:44.140]   wonderful, happy expression of the heart of God
[00:02:44.140 --> 00:02:46.480]   in generosity to us.
[00:02:46.480 --> 00:02:50.180]   And then we adapted and created things.
[00:02:50.180 --> 00:02:52.100]   - So, Noelle's here with me,
[00:02:52.100 --> 00:02:57.100]   and the Pipers set about transforming their house
[00:02:57.100 --> 00:03:01.020]   for the kids and for guests so that everywhere they look,
[00:03:01.020 --> 00:03:05.200]   they see Christmas, Christmas, and its real meaning.
[00:03:05.200 --> 00:03:09.220]   So, Noelle, what has guided you in particular,
[00:03:09.220 --> 00:03:12.100]   'cause you really came up with a lot of these,
[00:03:12.100 --> 00:03:15.500]   what's guided your thinking as you've put things
[00:03:15.500 --> 00:03:17.260]   in place for the holidays?
[00:03:17.260 --> 00:03:18.900]   - One of the things that I learned
[00:03:19.060 --> 00:03:20.380]   when our kids were really young
[00:03:20.380 --> 00:03:24.460]   is that very young kids aren't understanding symbols,
[00:03:24.460 --> 00:03:26.180]   so it's the things that are tangible.
