
[00:00:00.000 --> 00:00:29.000]   Okay. Did anybody have any questions or anything? I'm sorry. I'm sorry. I'm sorry. I'm sorry.
[00:00:29.000 --> 00:00:38.000]   Questions or anything from last time or comments or anything else? How's your VIM going?
[00:00:38.000 --> 00:00:50.000]   I just had one, Jeremy. I wasn't really sure what happened when I looked. So I did the VIM and CTAGS thing in paper space.
[00:00:50.000 --> 00:01:02.000]   And as per the session, and then when I shut down the machine or the instance and went back into the same machine, it didn't seem to work.
[00:01:02.000 --> 00:01:18.000]   So I'm not sure why or if you want to go into that. Okay. Let's have a look. See if we can hear what might have happened.
[00:01:18.000 --> 00:01:28.000]   What happened when you tried to use it?
[00:01:28.000 --> 00:01:53.000]   I muted myself. So what happened was the member and I reinstalled member. And what else was this? And CTAGS again.
[00:01:53.000 --> 00:02:10.000]   And the CTAGS file had changed, but actually didn't have anything in it compared to how it was when it was originally created.
[00:02:10.000 --> 00:02:34.000]   So I don't know what happened. But then when I tried to re-index or recreate the index and that didn't seem to work either.
[00:02:34.000 --> 00:02:49.000]   Well, I mean, one obvious thing we should probably try to get going is being able to see the same, you know, binaries and stuff reinstalled.
[00:02:49.000 --> 00:02:59.000]   Having to reinstall CTAGS every time is certainly not ideal, is it? So let's try and figure out how to do that.
[00:02:59.000 --> 00:03:11.000]   I'll share my screen.
[00:03:11.000 --> 00:03:20.000]   All right. Can you see that okay?
[00:03:20.000 --> 00:03:41.000]   All right. Let's start this one. This is the one we created the other day.
[00:03:41.000 --> 00:04:02.000]   So the only things that are going to still be there next time we come back are things that are in /storage or things that are in /notebooks on the exact machine that we just started.
[00:04:02.000 --> 00:04:18.000]   And to remind you, we can make this more flexible by taking advantage of the pre-run.sh and the .basrc.local scripts that we can put in /storage.
[00:04:18.000 --> 00:04:28.000]   And we can use those to copy, link or move stuff out of those persistent places into our home directory if we want to.
[00:04:28.000 --> 00:04:34.000]   So that's kind of how we've been organizing things.
[00:04:34.000 --> 00:04:52.000]   And so when we do pip install with a --local flag, it installs things into our home directory, into a subfolder called .local. And so that we have moved into /storage and then similar linked back again in our script back to home.
[00:04:52.000 --> 00:05:00.000]   And so now anything that we install with pip install --user will be persistent across all of our sessions.
[00:05:00.000 --> 00:05:04.000]   >> Can I ask a question about that?
[00:05:04.000 --> 00:05:12.000]   So does that mean that if you, in the past, suggested that you can wipe your Mamba directory and use it to reinstall?
[00:05:12.000 --> 00:05:23.000]   Will the fact that you have the sim link to local on the storage drive, will that mean that those pip installed files will be persistent even if you wipe your Mamba drive?
