
[00:00:00.000 --> 00:00:10.460]   yeah we're good all right you guys see my screen yeah okay so um so for the var paper
[00:00:10.460 --> 00:00:20.780]   just kind of a quick overview um so previously people said hey alums they work great uh let's
[00:00:20.780 --> 00:00:28.940]   try just doing auto regressive on images and um you can do this at the pixel level you can do this
[00:00:28.940 --> 00:00:33.980]   at the patch level and the most obvious first thing you might do is just raster order so i'm going to
[00:00:33.980 --> 00:00:41.480]   start the top left corner i'm going to go across the top and keep going um and uh you can imagine
[00:00:41.480 --> 00:00:47.440]   that this is this is great because there's a a natural sequencing for language but for images
[00:00:47.440 --> 00:00:55.560]   it feels a little wrong right um because you you uh if you're in the middle of the image then then
[00:00:55.560 --> 00:01:00.320]   your context is every all the pixels above you but you have no context for the pixels below you
[00:01:00.320 --> 00:01:08.600]   right um and so what the var paper is going to suggest is that if you go from low res to high res
[00:01:08.600 --> 00:01:15.380]   then this provides a natural uh a good inductive bias and so this is just my overview slide obviously
[00:01:15.380 --> 00:01:21.040]   we'll get into the details of how they do all this but but so that's the big change is rather than just
[00:01:21.040 --> 00:01:25.980]   switching from raster order to spiral to space filling curve those all still fundamentally have
[00:01:25.980 --> 00:01:31.100]   the problem that when you're halfway done half of the content half the pixels are in your context but
[00:01:31.100 --> 00:01:37.180]   half pixels are not okay whereas if you go from low res to high res then what you say is all of the
[00:01:37.180 --> 00:01:43.940]   pixels but only at a low res are in my context and then so eventually we'll get global features like
[00:01:43.940 --> 00:01:49.620]   it's a picture of a dog and so then you'll have the background is blue sky above green grass below
[00:01:49.620 --> 00:01:56.100]   no high frequency fine details you'll just have like you know that that high level stuff
[00:01:56.100 --> 00:02:03.700]   um and so in order to implement this uh what they used is they use variational auto encoders uh and
[00:02:03.700 --> 00:02:14.500]   actually they use vector quantizations so it's um bqvae um and they purposefully decided to use a gpt2 like
[00:02:14.500 --> 00:02:20.340]   llm uh which actually i think is one of the strengths of the paper is that they didn't go for the best
[00:02:20.340 --> 00:02:29.460]   possible transformer architecture they said uh we want to show that what worked was the low to high scale
[00:02:30.020 --> 00:02:35.460]   technique not what worked was we had a really awesome transformer okay they did make a few
[00:02:35.460 --> 00:02:40.340]   changes to like the normalization and stuff but they they tried not to just say like let me get the best
[00:02:40.340 --> 00:02:46.420]   um and one of the consequences when you go from the way they did low scale to high scale
[00:02:46.420 --> 00:02:51.060]   is if i'm at a medium scale and i'm going to predict the medium high scale image
[00:02:52.020 --> 00:03:00.580]   that medium high scale image is multiple tokens so even though we are now still going left to right
[00:03:00.580 --> 00:03:06.100]   linearly we're not going one token at a time we're actually going to go multiple tokens at a time and
[00:03:06.100 --> 00:03:14.100]   again this is just the overview so the details we'll see in a minute so i'll pause just to see if there's
[00:03:14.100 --> 00:03:22.580]   any any burning questions before we get into the details how they do this um all right yeah i'm i'm
[00:03:22.580 --> 00:03:27.540]   trying to explain vae for those who are newer to the concepts in the in the i i have a slide on it
[00:03:27.540 --> 00:03:33.140]   although you you can explain there because it's just one slide it's not really explaining it helps with
[00:03:33.140 --> 00:03:40.660]   images yeah yeah okay so again i i think i kind of covered this but but you can imagine so we have lms and
[00:03:40.660 --> 00:03:45.780]   the diagram from the paper says yeah here we have this nice clear ordering the cat sat by blah blah
[00:03:45.780 --> 00:03:50.900]   blah and you could take an image you could break it into these nine and then if you go in raster order
[00:03:50.900 --> 00:03:57.620]   then you go one two three four or five right so again the problem is when you're uh when you've seen
[00:03:57.620 --> 00:04:04.580]   one two three four five and you're predicting six patch six then uh patch three is in your context
[00:04:04.580 --> 00:04:09.380]   and so so you can say okay yeah yeah but you don't have patch eight in your context and that's a little
[00:04:09.380 --> 00:04:14.820]   bit unnatural right and you can change the ordering like i said but any one d sequence is still going
[00:04:14.820 --> 00:04:22.580]   to fundamentally have this problem so what they say is that let's have lower res higher res images
[00:04:22.580 --> 00:04:30.020]   and now there's sort of a logical ordering so you could see at what they call r3 here um maybe you can
