
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:07.480]   - You talked about this serendipity of meeting people,
[00:00:07.480 --> 00:00:10.720]   locals, kind of immersing yourself in these experiences
[00:00:10.720 --> 00:00:12.640]   that you probably couldn't have pretended.
[00:00:12.640 --> 00:00:14.120]   Do you think there's a way,
[00:00:14.120 --> 00:00:16.180]   not necessarily to like cheat the system,
[00:00:16.180 --> 00:00:18.640]   but to kind of engineer that serendipity
[00:00:18.640 --> 00:00:21.680]   to kind of give it a greater chance of happening
[00:00:21.680 --> 00:00:25.900]   than you would if you maybe had a whole week with no agenda?
[00:00:25.900 --> 00:00:28.000]   You know, maybe you just go sit at bars, talk to strangers,
[00:00:28.000 --> 00:00:28.960]   but what if you have a day
[00:00:28.960 --> 00:00:30.880]   and you really wanna try to make something local
[00:00:30.880 --> 00:00:32.960]   and interesting and magical happen,
[00:00:32.960 --> 00:00:36.040]   what would be your advice to someone trying to do that?
[00:00:36.040 --> 00:00:38.460]   - I mean, the first one I think is obvious
[00:00:38.460 --> 00:00:39.560]   to anyone who's traveled before,
[00:00:39.560 --> 00:00:41.360]   but it's put the phone away again.
[00:00:41.360 --> 00:00:42.560]   Like, you know, I think,
[00:00:42.560 --> 00:00:46.000]   especially when you're traveling alone, I do it too.
[00:00:46.000 --> 00:00:48.680]   It's the best social crutch there is, right?
[00:00:48.680 --> 00:00:51.560]   If you're sitting alone and you feel nervous about it
[00:00:51.560 --> 00:00:52.920]   or you're bored or whatever else,
[00:00:52.920 --> 00:00:54.040]   you immediately pull out your phone,
[00:00:54.040 --> 00:00:56.000]   but that signals to everyone else that you're busy
[00:00:56.000 --> 00:00:57.940]   or you're closed off.
[00:00:57.940 --> 00:00:59.640]   The amount of conversations that I've started
[00:00:59.640 --> 00:01:02.920]   from just sitting somewhere and just looking around,
[00:01:02.920 --> 00:01:06.440]   like people used to do when they had downtime,
[00:01:06.440 --> 00:01:07.920]   just kind of staring into space
[00:01:07.920 --> 00:01:11.240]   and making eye contact with someone, saying hello.
[00:01:11.240 --> 00:01:12.880]   You know, next thing you know, they say hello.
[00:01:12.880 --> 00:01:13.720]   How are you?
[00:01:13.720 --> 00:01:14.560]   Next thing you know,
[00:01:14.560 --> 00:01:16.360]   you're getting invited to grandma's house for dinner.
[00:01:16.360 --> 00:01:20.040]   Like that has happened so many times.
[00:01:20.040 --> 00:01:23.040]   I think people are naturally curious,
[00:01:23.040 --> 00:01:24.360]   especially for solo travelers.
[00:01:25.180 --> 00:01:28.980]   They're curious why you're visiting their home,
[00:01:28.980 --> 00:01:30.600]   what you're up to while you're there,
[00:01:30.600 --> 00:01:32.460]   if you actually have the best recommendations
[00:01:32.460 --> 00:01:34.320]   or if you're going on some, you know,
[00:01:34.320 --> 00:01:37.260]   that's something that they'd consider the tourist path
[00:01:37.260 --> 00:01:38.180]   or whatever that you actually,
[00:01:38.180 --> 00:01:39.300]   they want to steer you somewhere else.
[00:01:39.300 --> 00:01:41.380]   People are very passionate about where they're from.
[00:01:41.380 --> 00:01:42.620]   So tapping into that.
[00:01:42.620 --> 00:01:47.200]   I think going in also being like,
[00:01:47.200 --> 00:01:49.540]   I'm going to be just a little more extroverted
[00:01:49.540 --> 00:01:52.460]   than I normally am, goes a long way.
[00:01:52.460 --> 00:01:56.320]   And I'm not, I'm an extrovert in the sense that I do
[00:01:56.320 --> 00:01:58.480]   get energy from being around friends and family
[00:01:58.480 --> 00:02:00.940]   and being around people I love.
[00:02:00.940 --> 00:02:02.840]   But I'm still like a nervous extrovert,
[00:02:02.840 --> 00:02:03.680]   if that makes sense.
[00:02:03.680 --> 00:02:07.600]   Like I still get like phone anxiety and like, you know,
[00:02:07.600 --> 00:02:11.360]   weird, weird nervousness around approaching strangers
