
[00:00:00.000 --> 00:00:02.160]   (silence)
[00:00:02.160 --> 00:00:15.000]   - This is a very sad day for me and for the Bogleheads.
[00:00:15.000 --> 00:00:17.120]   At this point in the conference,
[00:00:17.120 --> 00:00:19.920]   I'd normally be introducing Jack Bogle,
[00:00:19.920 --> 00:00:24.700]   who would then proceed to impart his words of wisdom
[00:00:24.700 --> 00:00:26.340]   on those of us in attendance.
[00:00:27.320 --> 00:00:30.040]   Today represents the first time in our event's
[00:00:30.040 --> 00:00:32.560]   18 year history that we know in advance
[00:00:32.560 --> 00:00:34.960]   that Jack won't be joining us.
[00:00:34.960 --> 00:00:37.800]   However, I think that Jack is looking down on us
[00:00:37.800 --> 00:00:40.140]   and saying, "Keep the conference going.
[00:00:40.140 --> 00:00:41.580]   "I'm with you in spirit."
[00:00:41.580 --> 00:00:45.120]   Years ago in Las Vegas, Jack asked me
[00:00:45.120 --> 00:00:48.400]   if he could have an informal, non-scripted chat
[00:00:48.400 --> 00:00:49.920]   with Bill Bernstein.
[00:00:49.920 --> 00:00:52.580]   And we all know that what Jack wants, he gets.
[00:00:52.580 --> 00:00:55.400]   So that was the start of what I dubbed
[00:00:55.400 --> 00:00:58.500]   the Farside Chat with Jack and Bill.
[00:00:58.500 --> 00:01:00.920]   And it's continued as part of the conference agenda
[00:01:00.920 --> 00:01:02.060]   ever since then.
[00:01:02.060 --> 00:01:05.680]   Today, we're going to have a very special guest
[00:01:05.680 --> 00:01:09.420]   sit in for Jack and continue the Farside Chat.
[00:01:09.420 --> 00:01:14.400]   Bill McNabb is the former CEO and chairman of Vanguard,
[00:01:14.400 --> 00:01:17.240]   leading the firm for a decade until he stepped down
[00:01:17.240 --> 00:01:19.360]   as chairman at the end of last year.
[00:01:19.360 --> 00:01:23.900]   He assumed the role of CEO in 2008,
[00:01:23.900 --> 00:01:27.380]   just two weeks before the collapse of Lehman Brothers,
[00:01:27.380 --> 00:01:30.500]   which marked the beginning of the global financial crisis.
[00:01:30.500 --> 00:01:34.480]   Bill's consistent focus on doing the right thing for clients
[00:01:34.480 --> 00:01:37.520]   helped Vanguard, its crew, and its clients
[00:01:37.520 --> 00:01:40.920]   navigate one of the most economically tumultuous periods
[00:01:40.920 --> 00:01:42.260]   in the nation's history.
[00:01:42.260 --> 00:01:46.720]   During his tenure as CEO, Vanguard grew to serve
[00:01:46.720 --> 00:01:50.340]   more than 20 million investors around the world.
[00:01:50.340 --> 00:01:54.780]   And assets quadrupled from $1 trillion in 2008
[00:01:54.780 --> 00:01:59.260]   to more than 5 trillion at the end of 2018.
[00:01:59.260 --> 00:02:01.840]   He always attributed this success
[00:02:01.840 --> 00:02:03.960]   to putting clients' interests first
[00:02:03.960 --> 00:02:08.800]   and working hard to earn and maintain investors' trust.
[00:02:08.800 --> 00:02:10.280]   Today, Bill serves as chairman
[00:02:10.280 --> 00:02:12.540]   on the board of the Philadelphia Zoo
[00:02:12.540 --> 00:02:14.600]   and is a member of the board of directors
[00:02:14.600 --> 00:02:17.000]   of United Health Group and IBM.
[00:02:18.020 --> 00:02:20.760]   He's an active alumnus of Dartmouth College
[00:02:20.760 --> 00:02:23.680]   and the Wharton School of the University of Pennsylvania
[00:02:23.680 --> 00:02:25.920]   and was awarded an honorary doctorate
[00:02:25.920 --> 00:02:27.640]   from St. Joseph University.
[00:02:27.640 --> 00:02:30.160]   He continues to be an active member
