
[00:00:00.000 --> 00:00:08.000]   [no audio]
[00:00:08.000 --> 00:00:13.000]   Well, Mel asked me if I would moderate this panel today.
[00:00:13.000 --> 00:00:17.000]   And I've been waiting to do this for years.
[00:00:17.000 --> 00:00:19.000]   [laughter]
[00:00:19.000 --> 00:00:25.000]   And what I'm trying to do is to get the audience to support me.
[00:00:25.000 --> 00:00:28.000]   So maybe I'll get to do this again sometime.
[00:00:28.000 --> 00:00:34.000]   [applause]
[00:00:34.000 --> 00:00:40.000]   Jack Vogel on my left ruined my surprise.
[00:00:40.000 --> 00:00:47.000]   I'm introducing the new panel, and Jack is the surprise panelist.
[00:00:47.000 --> 00:00:49.000]   [laughter]
[00:00:49.000 --> 00:00:51.000]   But he ruined my surprise.
[00:00:51.000 --> 00:00:55.000]   As we know, Queen Laura wasn't able to be here.
[00:00:55.000 --> 00:00:58.000]   And Jack volunteered to.
[00:00:58.000 --> 00:01:01.000]   [laughter]
[00:01:01.000 --> 00:01:06.000]   Okay, we co-opted Jack into the program for her as a surprise guest.
[00:01:06.000 --> 00:01:10.000]   Let me introduce the panelists.
[00:01:10.000 --> 00:01:14.000]   We've got Gus Sautter.
[00:01:14.000 --> 00:01:18.000]   We know him from this morning, so please welcome Gus again.
[00:01:18.000 --> 00:01:24.000]   [applause]
[00:01:24.000 --> 00:01:27.000]   Next we have Neil Bernstein.
[00:01:27.000 --> 00:01:30.000]   He's the founder of Efficient Frontier Advisors
[00:01:30.000 --> 00:01:33.000]   and author of several successful titles.
[00:01:33.000 --> 00:01:39.000]   [applause]
[00:01:39.000 --> 00:01:42.000]   And Mel Vanthour, our next panelist,
[00:01:42.000 --> 00:01:45.000]   is one of the founders of the Vogelhead community.
[00:01:45.000 --> 00:01:48.000]   He's an author at Forbes.com columns,
[00:01:48.000 --> 00:01:51.000]   so please welcome the Prince of the Vogelheads.
[00:01:51.000 --> 00:01:57.000]   [applause]
[00:01:57.000 --> 00:02:02.000]   So we've got a number of questions that came from both participants here
