
[00:00:00.000 --> 00:00:05.480]   The holidays start here at Ralph's with a variety of options to celebrate traditions old and new.
[00:00:05.480 --> 00:00:13.540]   Whether you're making a traditional roasted turkey or spicy turkey tacos, your go-to shrimp cocktail, or your first Cajun risotto,
[00:00:13.540 --> 00:00:19.760]   Ralph's has all the freshest ingredients to embrace your traditions. Ralph's fresh for everyone.
[00:00:19.760 --> 00:00:23.000]   We've locked in low prices to help you save big storewide.
[00:00:23.000 --> 00:00:29.460]   Look for the locked in low prices tags and enjoy extra savings throughout the store. Ralph's fresh for everyone.
[00:00:29.460 --> 00:00:43.860]   Welcome to Radical Personal Finance, the show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now while building a plan for financial freedom in 10 years or less.
[00:00:43.860 --> 00:00:58.460]   A major component of financial freedom is lowering expenses, and today we tackle one of the categories of expenses that seems probably the most difficult to do anything about, which is taxation, with a special focus on local taxation.
[00:00:58.460 --> 00:01:02.460]   My guest is Paul Doerr from RollbackLocalGov.com.
[00:01:02.460 --> 00:01:18.460]   And Paul, I have often wondered if there's any way to actually affect taxes, but when I started, when I found your website some months ago, I started to realize, well, if there is a way, probably the way that you're doing it is the way we should go about it.
[00:01:18.460 --> 00:01:20.460]   Welcome to Radical Personal Finance.
[00:01:20.460 --> 00:01:31.460]   I'm glad to be with you, Joshua, and I'm hoping that we're doing just that. Well, we are doing that in many states and trying to give people a set of tools on how to do this on a continual basis in their local governments.
[00:01:31.460 --> 00:01:49.460]   There are lots of things we just haven't done over the years. We let them run over the top of us from all the PR campaigns, all the phony needs, and all the rest of it, guilt trips, et cetera, and leaving us somewhat exposed to this rapidly exploding taxes at the local level.
[00:01:49.460 --> 00:02:02.460]   So I spent some time studying it, analyzing it. I'm a former banker, former bank analyst. I got disgusted with the whole monetary system, but I used those same tools to start looking at local government, and it's been fun.
[00:02:02.460 --> 00:02:04.460]   We've started to really help people at the local level.
[00:02:04.460 --> 00:02:10.460]   Then on your website, it says that your clients have defeated nearly 80 percent of their funding proposals that they've gone to.
[00:02:10.460 --> 00:02:17.460]   So obviously not 100 percent victory, but you've racked up some significant victories and reigned in local government for many clients.
[00:02:17.460 --> 00:02:28.460]   Nine states, anywhere from 1.2 billion down to 5 million dollar proposals, and nearly 80 percent of them.
