
[00:00:00.000 --> 00:00:05.300]   [BLANK_AUDIO]
[00:00:05.300 --> 00:00:07.080]   All right, hi everyone.
[00:00:07.080 --> 00:00:10.820]   Welcome to the 224N Python review session.
[00:00:10.820 --> 00:00:16.120]   The goal of the session really will be to sort of give you the basics of Python and
[00:00:16.120 --> 00:00:20.980]   NumPy in particular that you'll be using a lot in your second homework.
[00:00:20.980 --> 00:00:23.020]   And the homeworks that will come after that as well.
[00:00:23.020 --> 00:00:28.540]   We're sort of taking this tutorial from the background of anyone who hasn't
[00:00:28.540 --> 00:00:31.300]   touched programming languages to some extent.
[00:00:31.300 --> 00:00:34.020]   But also for people who have, we'll be sort of going through a lot of that
[00:00:34.020 --> 00:00:36.980]   material very quickly and we'll be progressing to NumPy as well.
[00:00:36.980 --> 00:00:38.900]   And as I mentioned, first and foremost,
[00:00:38.900 --> 00:00:41.380]   the session is really meant for the people who are here in person.
[00:00:41.380 --> 00:00:45.180]   So if you'd like me to slow down, speed up at any point,
[00:00:45.180 --> 00:00:47.100]   need time for clarifications, feel free to ask.
[00:00:47.100 --> 00:00:49.860]   It's really meant for you first here.
[00:00:49.860 --> 00:00:52.780]   And I really would like it to be sort of an interactive session as well.
[00:00:52.780 --> 00:00:57.260]   All right, so these are the topics we'll be covering today.
[00:00:57.260 --> 00:00:59.900]   Going through first of all, why Python as a language?
[00:00:59.900 --> 00:01:01.580]   Why have we chosen it for sort of this course?
[00:01:01.580 --> 00:01:04.140]   And in general, why do people prefer it to some extent for
[00:01:04.140 --> 00:01:06.900]   machine learning and natural language processing?
[00:01:06.900 --> 00:01:09.940]   Some basics of the language itself, common data structures.
[00:01:09.940 --> 00:01:13.460]   And then getting to sort of the meat of it through NumPy,
[00:01:13.460 --> 00:01:16.140]   which as I mentioned you'll be extensively using in your homeworks going forward.
[00:01:16.140 --> 00:01:19.780]   And then some practical tips about how to use things in Python.
[00:01:19.780 --> 00:01:23.580]   All right, so first thing, why Python?
[00:01:23.580 --> 00:01:28.060]   So a lot of you who might have been first introduced to programming,
[00:01:28.060 --> 00:01:29.700]   might have done Java before.
[00:01:29.700 --> 00:01:34.260]   A lot of people use MATLAB in other fields as well.
[00:01:34.260 --> 00:01:35.700]   So why Python?
[00:01:35.700 --> 00:01:39.460]   Python is generally used for one, because it's a very high level language.
[00:01:39.460 --> 00:01:42.860]   It can look very, very English like, and so it's really easy to work with for
[00:01:42.860 --> 00:01:44.700]   people, especially when they get started out.
[00:01:44.700 --> 00:01:48.060]   It has a lot of scientific computational functionality as well,
[00:01:48.060 --> 00:01:48.900]   similar to MATLAB.
[00:01:48.900 --> 00:01:49.780]   So when you talk about NumPy,
[00:01:49.780 --> 00:01:51.580]   you'll see that it has a lot of frameworks of very,
[00:01:51.580 --> 00:01:55.460]   very quick and efficient operations involving math or matrices.
[00:01:55.460 --> 00:01:59.420]   And that's very, very useful in applications such as deep learning.
[00:01:59.420 --> 00:02:02.420]   And for deep learning in particular, a lot of frameworks that people use,
[00:02:02.420 --> 00:02:06.620]   particularly for example, PyTorch and TensorFlow, interface directly with Python.
[00:02:06.620 --> 00:02:08.140]   And so for that, those main reasons,
[00:02:08.140 --> 00:02:10.700]   people generally tend to use Python within deep learning.
[00:02:10.700 --> 00:02:15.900]   Okay, so the setup information is in the slides if you'd like to look at them
[00:02:15.900 --> 00:02:16.860]   offline.
[00:02:16.860 --> 00:02:18.860]   I will be sort of jumping over that for
[00:02:18.860 --> 00:02:22.580]   now because I wanna sort of get to the introduction to the language itself.
[00:02:22.580 --> 00:02:25.300]   And if we have time, come back to sort of the setup information.
[00:02:25.300 --> 00:02:26.460]   A lot of it's pretty direct.
[00:02:26.460 --> 00:02:27.500]   You can walk through it.
[00:02:27.500 --> 00:02:30.780]   It gives you steps for sort of how to install packages.
[00:02:30.780 --> 00:02:33.780]   What is a conda environment, for example?
[00:02:33.780 --> 00:02:36.500]   And gets you set up with your first working Python environment, so
[00:02:36.500 --> 00:02:40.100]   you can sort of run simple and basic commands to get used to the language.
[00:02:40.100 --> 00:02:41.620]   But for now, I'm gonna be skipping over this and
[00:02:41.620 --> 00:02:42.780]   coming back to it if we have time.
[00:02:42.780 --> 00:02:46.660]   All right, language basics.
[00:02:46.660 --> 00:02:49.860]   So in Python, you have variables, and
[00:02:49.860 --> 00:02:52.220]   these variables can take on multiple values.
[00:02:52.220 --> 00:02:54.780]   The assignment operation, or the equal sign,
[00:02:54.780 --> 00:02:57.660]   will allow you to assign a particular value to a variable.
[00:02:57.660 --> 00:03:01.260]   A nice thing with Python is you don't have to instantiate the type of the variable to
[00:03:01.260 --> 00:03:05.460]   begin with, and then only instantiate, and only assign values of that type.
[00:03:05.460 --> 00:03:07.340]   So for example, in certain languages,
[00:03:07.340 --> 00:03:11.420]   we first say that this variable, x, is only gonna be of type int.
[00:03:11.420 --> 00:03:14.820]   And any value aside from that assigned to it will throw an error.
[00:03:14.820 --> 00:03:15.660]   Python's pretty flexible.
[00:03:15.660 --> 00:03:19.020]   So if I want to, I can reassign, I can start with x is equal to 10.
[00:03:19.020 --> 00:03:20.620]   And then later on, like five lines later,
[00:03:20.620 --> 00:03:24.500]   I can say x is equal to high as a string, and there would be no issue.
[00:03:24.500 --> 00:03:31.020]   You can do simple mathematical operations, such as the plus and division signs.
[00:03:31.020 --> 00:03:35.540]   You can do exponentiation, which is raising one value to another value.
[00:03:35.540 --> 00:03:38.580]   So x to the power of y, for example, using the double asterisk.
[00:03:38.580 --> 00:03:42.220]   You can do type castings for float divisions.
[00:03:42.220 --> 00:03:44.820]   So if you wanna ensure that your values are being divided,
[00:03:44.820 --> 00:03:47.100]   resulting in a float value and not just dividing two integers,
[00:03:47.100 --> 00:03:49.660]   you can cast two different types like float.
[00:03:49.660 --> 00:03:52.860]   If you want something to be specifically an int, you can also just put an int
[00:03:52.860 --> 00:03:56.020]   instead of the float with brackets around the result, and
[00:03:56.020 --> 00:03:57.980]   that'll give you an integer value.
[00:03:57.980 --> 00:04:01.060]   And then you can also do type casting to, for
[00:04:01.060 --> 00:04:03.540]   example, convert from integers to strings.
[00:04:03.540 --> 00:04:07.780]   So in this case, if I wanted to, instead of doing 10 plus 3 as
[00:04:07.780 --> 00:04:11.140]   a mathematical operation, I just wanted to write out 10 plus 3.
[00:04:11.140 --> 00:04:15.420]   Then I can convert the x and y values, for example, to strings, and
[00:04:15.420 --> 00:04:20.260]   then add the plus sign as a character as well to create a string.
[00:04:20.260 --> 00:04:22.620]   And so a lot of these common operations you can look online as well.
[00:04:22.620 --> 00:04:26.340]   People have lists for them, and just see how they're sort of done in Python.
[00:04:26.340 --> 00:04:30.100]   All right, some other quick things.
[00:04:30.100 --> 00:04:34.220]   So Boolean values, the true and the false, they're always used with capital letters.
[00:04:34.220 --> 00:04:37.580]   In some of the languages, it might be lowercase, so just one thing to know.
[00:04:37.580 --> 00:04:39.380]   Python also doesn't have a null value.
[00:04:39.380 --> 00:04:42.060]   The equivalent of a null value is none.
[00:04:42.060 --> 00:04:45.780]   So sometimes when you wanna say that this value, you want to return none,
[00:04:45.780 --> 00:04:47.620]   say that I'm not really doing anything here.
[00:04:47.620 --> 00:04:50.980]   You wanna do checks, for example, in if statements,
[00:04:50.980 --> 00:04:55.700]   to say that this doesn't have a value, then you can assign it to none.
[00:04:55.700 --> 00:04:59.060]   So none sort of functions as a null equivalent, so
[00:04:59.060 --> 00:05:01.980]   you're not really returning anything, it doesn't have a value.
[00:05:01.980 --> 00:05:03.820]   Not the same as zero.
[00:05:03.820 --> 00:05:09.100]   And another nice thing about Python is lists, which are sort of mutable,
[00:05:09.100 --> 00:05:13.260]   we'll come to that a little bit later, but sort of mutable lists of objects.
[00:05:13.260 --> 00:05:16.540]   And means that you can change them, they can be of any type.
[00:05:16.540 --> 00:05:22.580]   So you can have a mixture of integers, none values, strings, etc.
[00:05:22.580 --> 00:05:24.460]   And yeah, functions can return the none value as well.
