
[00:00:00.000 --> 00:00:19.640]   Okay, so my name is Itamar Friedman, CEO and co-founder of Codo, and I'm going to talk about,
[00:00:19.640 --> 00:00:26.320]   yeah, Vibe Coding, but more on the confidence part, and why, this is maybe surprising, why CLI
[00:00:26.320 --> 00:00:33.760]   might be the new interface leader for that, and we are soft launching a CLI tool right now,
[00:00:33.760 --> 00:00:40.080]   five minutes ago, so you can go and install it, it's soft launch, play with it, give us feedback,
[00:00:40.080 --> 00:00:46.160]   there is some capacity, and in order to verify who is in the audience, just like if you can tell me if
[00:00:46.160 --> 00:00:54.880]   you tried Cloud Code or Codec CLI, okay, and I guess if I ask about AIDEs, you would also do that,
[00:00:54.880 --> 00:01:01.840]   right, and the question is why, and I'm going to talk about it a bit, okay. So the agenda is that,
[00:01:01.840 --> 00:01:08.400]   I'm actually going to really zoom out to the Gen 3.0, what do I mean by that, and from the autocomplete
[00:01:08.400 --> 00:01:14.480]   to the multi-agent workflow, and workflows, you see it's a theme that's returning here, CLI is
[00:01:14.480 --> 00:01:20.320]   something that can support that, and how do we believe that Codo is going to be the real shift in
[00:01:20.320 --> 00:01:27.280]   software development, and like why is the CLI is the future, and you know, being able to do vibe coding
[00:01:27.280 --> 00:01:31.680]   with confidence, and eventually I'm going to connect, do zoom out again, I'm going to zoom in, zoom out,
[00:01:31.680 --> 00:01:38.240]   even with a demo, and connect the dots, and I will say what, explain a bit what is Codo, I didn't do it
[00:01:38.240 --> 00:01:45.120]   right now, and we'll do it a bit later, but that's something I'm going to cover shortly. So AI for
[00:01:45.120 --> 00:01:50.960]   developers, and I just think that most people here are developers according to the amount of hands that
[00:01:50.960 --> 00:01:56.800]   were raised, so I think like we first got some tools that we liked, AI tools, then we got some tools that we
[00:01:56.800 --> 00:02:05.600]   loved, and I'm not that sure that we actually get tools into our hands that completely become a game
[00:02:05.600 --> 00:02:12.080]   changer for us. Okay, it's maybe unpopular opinion, I'm going to elaborate a bit, so in order to do that,
[00:02:12.080 --> 00:02:17.120]   I'm going to differentiate developers between noobs and enterprise, it's a bit weird, like it's not
[00:02:17.120 --> 00:02:23.200]   necessarily juniors, like there are juniors in enterprise, right, but still, you know, like let's use
[00:02:23.200 --> 00:02:30.000]   that for a second, noobs versus enterprise, so I think gen 1.0 was the autocomplete moment, right,
[00:02:30.000 --> 00:02:36.880]   we started being able to generate writing our code and getting a few lines ahead of us, we really liked
[00:02:36.880 --> 00:02:42.720]   that, if you weren't a developer, like you couldn't really do more, right, so you needed to be a developer
[00:02:42.720 --> 00:02:49.440]   already, and then came the gen 2.0, the chat, the agentic chat, and I think like we saw even junior
[00:02:49.440 --> 00:02:54.640]   developers generating much more lines of code, maybe the seniors or the enterprise liked it,
[00:02:54.640 --> 00:03:00.320]   but also had a lot of problems with it, they need to review much more code, not necessarily high quality
[00:03:00.320 --> 00:03:07.280]   code, I hear that a lot, and I'm going to show you like 500 tweets about it, not really, but from some
[00:03:07.280 --> 00:03:13.760]   opinion leaders, and I think that the game changer moment is when we will move from chat, agentic chat,
[00:03:13.760 --> 00:03:21.600]   to actually being able to, and as a spoiler, command, command line interface, to give commands to our
[00:03:21.600 --> 00:03:27.040]   agents as if they're like team members, and they do end-to-end flow, what is an end-to-end flow is
