
[00:00:00.040 --> 00:00:09.300]   Til
[00:00:09.300 --> 00:00:10.920]   talk. I in בע
[00:00:10.920 --> 00:00:13.080]   happy
[00:00:57.520 --> 00:00:57.520]   and
[00:00:57.520 --> 00:00:57.520]   and
[00:00:57.520 --> 00:00:57.520]   and
[00:00:57.520 --> 00:00:58.780]   and
[00:00:58.780 --> 00:00:58.780]   and
[00:01:28.840 --> 00:01:30.640]   '
[00:01:30.640 --> 00:01:39.120]   З I en這
[00:01:39.120 --> 00:01:40.180]  ama bus got´J-N, Xi, MRI, fried, wait, proverb,씩,fin,
[00:01:40.180 --> 00:01:46.860]  , care,
[00:01:46.860 --> 00:01:51.080]  , will be,
[00:02:52.920 --> 00:02:52.920]   and I´ll be back in a moment or two.
[00:02:52.920 --> 00:02:52.920]   I´ll be back in a moment or two.
[00:02:52.920 --> 00:02:52.920]   I´ll be back in a moment or two.
[00:02:52.920 --> 00:02:52.920]   I´ll be back in a moment or two.
[00:02:52.920 --> 00:02:52.920]   I´ll be back in a moment or two.
[00:02:52.920 --> 00:02:52.920]   I´ll be back in a moment or two.
[00:02:52.920 --> 00:02:52.920]   I´ll be back in a moment or two.
[00:02:52.920 --> 00:02:52.960]   I´ll be back in a moment or two.
[00:02:52.960 --> 00:02:53.040]   I´ll be back in a moment or two.
[00:02:53.040 --> 00:02:53.080]   I´ll be back in a moment or two.
[00:02:53.080 --> 00:02:53.120]   I´ll be back in a moment or two.
[00:02:53.120 --> 00:02:53.200]   I´ll be back in a moment or two.
[00:02:53.200 --> 00:02:53.440]   I´ll be back in a moment or two.
[00:02:53.440 --> 00:02:53.520]   I´ll be back in a moment or two.
[00:02:53.520 --> 00:02:53.600]   I´ll be back in a moment or two.
[00:02:53.600 --> 00:02:53.680]   I´ll be back in a moment or two.
[00:03:21.720 --> 00:03:21.760]   I´ll be back in a moment or two.
[00:03:21.760 --> 00:03:21.840]   I´ll be back in a moment or two.
[00:03:21.840 --> 00:03:21.920]   I´ll be back in a moment or two.
[00:03:21.920 --> 00:03:21.960]   I´ll be back in a moment or two.
[00:03:21.960 --> 00:03:22.000]   I´ll be back in a moment or two.
[00:03:22.000 --> 00:03:22.040]   I´ll be back in a moment or two.
