
[00:00:00.000 --> 00:00:14.000]   *Music*
[00:00:14.000 --> 00:00:20.960]   Hey y'all, how are you doing? How's the day? I'm pretty excited to be here. I was
[00:00:20.960 --> 00:00:24.320]   here last year and then we were at the summit, the agent summit, not that long
[00:00:24.320 --> 00:00:29.480]   ago. I've definitely seen some familiar faces in all of those places. So thank
[00:00:29.480 --> 00:00:36.320]   you for coming to our conversation today. My name is Alison Cosette. I am with the
[00:00:36.320 --> 00:00:40.360]   developer relations team. You will likely recognize this face from all of the
[00:00:40.360 --> 00:00:46.360]   GraphRag videos on deep learning, chillin' with Andrew Ng, like, you know, all the
[00:00:46.360 --> 00:00:52.460]   guys that they had. Yeah, it's just how you roll. So what I'm gonna be talking to
[00:00:52.460 --> 00:00:58.960]   you about today, so was anybody in the Neo4j workshop this morning with Zach? Oh, this is great.
[00:00:58.960 --> 00:01:09.840]   I love it. It's like Neo4j here. So yeah, we're gonna do a few things. So that's good. You may have, well,
[00:01:09.840 --> 00:01:15.800]   no, I'm gonna just go like you didn't do that. Okay. So this is our repo that we're gonna be working with today.
[00:01:15.800 --> 00:01:26.680]   It has, yes. So is it? Is it not there? Because I can see your profile, but if I can't, you see, I do.
[00:01:26.680 --> 00:01:30.620]   You know, that would not surprise me that I made that mistake. One moment, please.
[00:01:30.620 --> 00:01:37.560]   Let's see my settings. Yeah, it probably, I think it defaults to...
[00:01:37.560 --> 00:01:45.000]   I know it's in here somewhere. Change visibility. Change to public. Sorry.
[00:01:45.000 --> 00:01:48.440]   All right.
[00:01:52.440 --> 00:01:58.520]   Now I get it. So much security. All right.
[00:01:58.520 --> 00:02:03.560]   Sorry about that, folks.
[00:02:11.640 --> 00:02:19.160]   Yes. Confirming access. Okay. Is that better? Excellent. All right. Sorry about that.
[00:02:22.360 --> 00:02:23.480]   So yes.
[00:02:23.480 --> 00:02:33.320]   Oh, so you can actually see. Yeah. I'm always in dark mode. Sorry. Can we do, can we do that? I don't
[00:02:33.320 --> 00:02:37.720]   know. Just these lights along here? Yeah. Just the lights in front of the video screen.
[00:02:41.400 --> 00:02:47.480]   We'll work on that. I love that people are raising their hand. This makes me very excited. I love talking
[00:02:47.480 --> 00:02:53.480]   to people. I love being in the room with folks. So this is good. So I'll tell you a little bit about
[00:02:53.480 --> 00:03:01.320]   what our goals are for our next, you know, 120 minutes together. What we're focusing on, obviously,
[00:03:01.320 --> 00:03:06.520]   a lot of you went to the intro to GraphRag this morning. How many people have been working on RAG
[00:03:06.520 --> 00:03:13.960]   applications already? Yes, yes, yes. Excellent. How many people have been working on GraphRag already?
[00:03:13.960 --> 00:03:22.280]   A good number. Okay. So what I'm going to be doing today is talking specifically about how you can use
[00:03:22.280 --> 00:03:30.840]   graph data science to improve what you're working on in your applications. The reason that we are doing
[00:03:30.840 --> 00:03:38.280]   this is because one of the beauties of having a Graph is you now get access to new ways of thinking and
[00:03:38.280 --> 00:03:45.960]   understanding about the data that you have. And so my goal today is to have everybody feel comfortable
[00:03:45.960 --> 00:03:52.520]   with some of the basics of the algorithms of Graph. And, you know, hopefully while you're working through
[00:03:52.520 --> 00:03:56.840]   this, you can see something that's going to be of interest. There might be something that you want to
[00:03:56.840 --> 00:04:03.960]   try when you get back to your application. I do this a lot, and I will say the most successful workshops
[00:04:03.960 --> 00:04:11.240]   we have are when people bring their real-world scenarios to bear. So we will be going over the code,
[00:04:11.240 --> 00:04:16.600]   but a lot of what we're going to be doing is talking through the concepts and around
[00:04:16.600 --> 00:04:25.000]   Graph as a tool for managing your RAG. And we're really just going to be talking about Graph algorithms.
[00:04:25.000 --> 00:04:30.840]   Anybody here come from the data science side of things? Oh, all right, we got a few, we got a few.
[00:04:30.840 --> 00:04:39.240]   One of the things that I think is really interesting about the term AI engineer is, you know, somebody
[00:04:39.240 --> 00:04:44.120]   said, "Oh, it's just engineering. Like, it's still pipelines." I'm like, "No, it's not. It's different."
