
[00:00:00.640 --> 00:00:14.920]   Hello, everyone.
[00:00:14.920 --> 00:00:17.040]   So, my name is Dima.
[00:00:17.040 --> 00:00:21.960]   As mentioned, unfortunately, my co-founder, Lin, who was on the schedule, couldn't make
[00:00:21.960 --> 00:00:24.320]   it today because of some personal emergency.
[00:00:24.320 --> 00:00:25.840]   So you got me.
[00:00:25.840 --> 00:00:31.960]   And as you saw, we don't have yet AI to figure out video projection, but we have AI for a
[00:00:31.960 --> 00:00:32.960]   lot of other things.
[00:00:32.960 --> 00:00:36.900]   So today I'm going to talk about Fireworks AI and generally I'm going to continue the theme
[00:00:36.900 --> 00:00:43.080]   which Katrin started about open models and how we basically focus on productionization
[00:00:43.080 --> 00:00:48.600]   and customization of open source models in inference at Fireworks.
[00:00:48.600 --> 00:00:52.140]   But first, as an introduction, what's our background?
[00:00:52.140 --> 00:00:58.300]   So the founding team of Fireworks comes from PyTorch leads at Meta and some veterans from
[00:00:58.300 --> 00:00:59.640]   Google AI.
[00:00:59.640 --> 00:01:03.640]   So we combined have, like, probably a decade of experience in productionizing AI in some
[00:01:03.640 --> 00:01:06.300]   of the biggest companies in the world.
[00:01:06.300 --> 00:01:11.520]   And I myself personally have been core maintainer of PyTorch for the past five years.
[00:01:11.520 --> 00:01:15.980]   So topic of open source is really close to my heart.
[00:01:15.980 --> 00:01:20.500]   And since we kind of led this revolution of open source toolchain for deep learning through
[00:01:20.500 --> 00:01:25.680]   our work sort of on PyTorch and some of the Google technologies, we really believe that open
[00:01:25.680 --> 00:01:33.420]   source models are the future also for, like, for gen AI application and our focus at Fireworks
[00:01:33.420 --> 00:01:36.820]   is precisely on that.
[00:01:36.820 --> 00:01:45.420]   So I mean, how many people in the audience actually, like, use GPT and deploy it for production?
[00:01:45.420 --> 00:01:50.320]   And how many people -- how many folks use open models for the production?
[00:01:50.320 --> 00:01:51.640]   Oh, okay.
[00:01:51.640 --> 00:01:56.300]   So I was about to convince you that share of open source models is going to grow over time,
[00:01:56.300 --> 00:02:02.020]   so it looks like in this audience it's already -- already sizable, but nevertheless.
[00:02:02.020 --> 00:02:07.700]   So why -- why basically this trade-off, why go big or why go small?
[00:02:07.700 --> 00:02:12.080]   Currently still, like, bulk of production inference is still based on proprietary models.
[00:02:12.080 --> 00:02:17.740]   And the catch is that those are really good models and often frontier in many domains.
[00:02:17.740 --> 00:02:22.520]   However, the catch is that it's one model which is good in many, many sins.
[00:02:22.520 --> 00:02:27.560]   And it's often served in the same way, regardless of the use case, which means that it may be
[00:02:27.560 --> 00:02:33.400]   if you have batch inference on some narrow domain or you have some super real-time use case where
[00:02:33.400 --> 00:02:38.640]   you need to -- you need to do, like, voice assistance or something, those are often served
[00:02:38.640 --> 00:02:41.160]   from the same infrastructure without customization.
[00:02:41.160 --> 00:02:46.580]   In terms of model capabilities, it also means, yeah, like, GPT-4 is great or Claude is great
