
[00:00:00.040 --> 00:00:09.540]  bak
[00:00:09.540 --> 00:00:11.360]   or in. I soul
[00:00:11.360 --> 00:00:18.340]   less
[00:00:28.960 --> 00:00:57.780]   being
[00:00:57.780 --> 00:00:58.860]   os in the,,,,,. llegrageGN N 3 spin in the city. G. It's not, which,ay, ,, ., ,, ,, ., ., deserve the whole
[00:00:58.980 --> 00:01:08.840]  lim —
[00:01:08.840 --> 00:01:10.240]   only like
[00:01:10.240 --> 00:01:28.980]   Sch P P P P continues
[00:01:29.020 --> 00:01:38.640]  ав
[00:01:38.640 --> 00:01:39.320]   �... is,,,,
[00:01:39.320 --> 00:01:54.020]   gray ou everyone From interest pain informime. I've just pick in the order that I'm the pick in the order and I'm the choose the in the order that is the car, I'm the, I'm the, I'm the, I, I'm, I'm the, I, I'm the, yeah, I'm, I'm, I, I, I, I, SF, I,isu, God, L, adventure, Bottom, Prim, D,,-G,技-P-D-D-De-U-D-E-C-D-D-A-D-C-G-H-S-N-I-S-G-C-T-G- brain-igen-
[00:01:54.020 --> 00:01:56.660]  -ent-���- belong- million- Vij- х- everyone- blood- talk- worried- embrace the clicking-
[00:01:56.760 --> 00:02:08.800]   I'm going to do my very best to keep things concise and focused on the specific questions. I hope you're enjoying the variety of these Q&A calls. We begin with Dan in Alberta, Canada. Dan, welcome to the show. How can I serve you today?
[00:02:08.800 --> 00:02:25.800]   First, I just want to say thank you for providing such a diverse and unique set of advice and just being yourself without conforming to the mainstream. I just really, really appreciate that.
[00:02:25.800 --> 00:02:55.820]  ,
[00:02:55.820 --> 00:02:55.840]  �
[00:02:55.840 --> 00:02:55.840]   I appreciate that.
[00:02:55.840 --> 00:02:55.840]   Thank you.
[00:02:55.840 --> 00:02:55.840]   Thank you.
[00:02:55.840 --> 00:02:55.840]   Thank you.
[00:02:55.840 --> 00:02:55.840]   Thank you.
[00:02:55.840 --> 00:02:55.840]   Thank you.
[00:02:55.840 --> 00:02:55.840]   Thank you.
[00:02:55.840 --> 00:02:55.840]   Thank you.
[00:02:55.840 --> 00:02:55.840]   Thank you. -- Thank you. -- Thank you for the nice words. -- And I wanted to acknowledge that this summer I spent four months cycling across the US and Europe. As someone in my twenties, through the knowledge you've provided and understanding the value of money, I've been able to put away that time and money and I think that's really unique and I think something that's what I'm going to do next.
[00:02:55.840 --> 00:02:55.840]   -- I'm going to do next. -- I'm going to do next.
[00:02:55.880 --> 00:03:07.240]   guess
[00:05:39.820 --> 00:05:44.960]   Is that your question?
[00:05:44.960 --> 00:05:47.180]   Yes, yes.
[00:05:47.180 --> 00:05:51.500]   Well, in my mind, I think, first of all, you choose your friends,
[00:05:51.660 --> 00:05:58.240]   and you choose your friends carefully, and you seek to choose people who are not seeking to take advantage of you.
[00:05:58.240 --> 00:06:02.980]   And if you are interacting with somebody who is taking advantage of you,
[00:06:02.980 --> 00:06:05.360]   or who is trying to take advantage of you,
[00:06:05.360 --> 00:06:12.300]   then I think you simply speak directly to that, and your actions should reflect that.
[00:06:12.300 --> 00:06:17.520]   Now, if you're interacting with somebody who's a true friend in the situation that you're describing,
[00:06:17.520 --> 00:06:20.780]   and you know that they're not simply a fair-weather friend,
[00:06:20.780 --> 00:06:20.820]   and you know that they're not simply a fair-weather friend,
[00:06:20.820 --> 00:06:20.860]   and you know that they're not simply a fair-weather friend,
[00:06:20.860 --> 00:06:20.920]   and you know that they're not simply a fair-weather friend,
[00:06:20.920 --> 00:06:20.980]   and you know that they're not simply a fair-weather friend,
[00:06:20.980 --> 00:06:21.240]   and you know that they're not simply a fair-weather friend,
[00:06:21.240 --> 00:06:21.260]   and you know that they're not simply a fair-weather friend,
[00:06:21.260 --> 00:06:50.920]   and you know that they're not simply a fair-weather friend,
[00:06:50.920 --> 00:06:50.940]   and you know that they're not simply a fair-weather friend,
[00:06:50.940 --> 00:06:50.960]   and you know that they're not simply a fair-weather friend,
[00:06:50.960 --> 00:06:50.980]   and you know that they're not simply a fair-weather friend,
[00:06:50.980 --> 00:06:51.000]   and you know that they're not simply a fair-weather friend,
[00:06:51.000 --> 00:06:51.020]   and you know that they're not simply a fair-weather friend,
[00:06:51.020 --> 00:06:51.040]   and you know that they're not simply a fair-weather friend,
[00:06:51.040 --> 00:06:51.060]   and you know that they're not simply a fair-weather friend,
[00:06:51.060 --> 00:06:51.080]   and you know that they're not simply a fair-weather friend, and you know that they're not simply a fair-weather friend,
[00:06:51.120 --> 00:07:00.940]  還有
[00:07:00.940 --> 00:07:01.400]   develop Lau
[00:07:01.400 --> 00:07:02.040]   at a thing is a
[00:08:15.740 --> 00:08:15.740]   I
[00:08:15.740 --> 00:08:15.740]   I
[00:08:15.740 --> 00:08:15.740]   I
[00:08:15.740 --> 00:08:15.740]   I
[00:08:15.740 --> 00:08:15.740]   I
[00:08:15.740 --> 00:08:15.780]   I
[00:08:15.780 --> 00:08:15.820]   I
[00:08:15.820 --> 00:08:15.860]   I
[00:08:15.860 --> 00:08:15.860]   I I
[00:08:15.900 --> 00:08:21.780]  �
[00:08:21.780 --> 00:08:23.280]   right, in the,�,
[00:08:23.280 --> 00:08:29.840]   alle
[00:08:29.840 --> 00:08:44.500]  iley
[00:09:45.920 --> 00:09:45.920]   I think power imbalances are entirely unavoidable. There will always be somebody who you have more money than, and there will always be somebody who has more money than you. There will always be somebody who has more money than you. There will always be somebody who has more money than you.
[00:10:15.980 --> 00:10:19.780]  Wh
[00:10:19.780 --> 00:10:44.740]   buy dedicated hard,,,,
[00:10:45.680 --> 00:10:56.740]   wouldn
[00:11:14.540 --> 00:11:35.240]  � You're getting a benefit out of it. You're getting your friends to accompany with you. Just make it clear to them. I want to do this because I'm enjoying your company. I don't expect anything from you. This is a free and open-hearted gift. Those are my thoughts.
[00:11:35.240 --> 00:11:43.320]   Okay. Excellent. Yeah, thank you. That does clear it up a lot. I'll just add a little note.
[00:11:43.400 --> 00:11:53.680]   but
[00:11:53.680 --> 00:11:55.220]   I the is
[00:12:10.660 --> 00:12:37.880]  ét.
[00:12:37.880 --> 00:12:37.880]   It is a problem.
[00:12:37.880 --> 00:12:37.880]   That there is this power imbalance, but that's not a problem. I think it's the right. And so one of the things that I do think is good, especially if you're concerned about that, is it's very nice to allow somebody else to make a gesture indicating that they are not beholden to you, even if it's something of a token gesture.
[00:12:37.900 --> 00:13:05.140]   So, you know, let's say that you take somebody out for a nice dinner and it's a hundred dollar dinner. Then in that circumstance, when somebody is taking your, sorry, you're taking somebody else out for a hundred dollar dinner, very fancy, you know, they wouldn't be able to avoid it. It's not, sorry, they wouldn't be able to afford it in their budget. It's nice if you let them pitch something in for the tip or if you give them an out that allows them to maintain their sense of dignity and say, well, I'll tell you what, you know, let's go out for ice cream.
[00:13:05.140 --> 00:13:05.140]   It's nice if you let them pitch something in for the tip or if you give them an out that allows them to maintain their sense of dignity and say, well, I'll tell you what, you know, let's go out for ice cream.
[00:13:05.140 --> 00:13:33.300]  , and say, well, I'll tell you what, you know, let's go out for ice cream.
[00:13:33.300 --> 00:13:33.400]   And you buy the ice cream after, after this expensive dinner.
[00:13:33.400 --> 00:13:34.400]   It usually will help somebody not to feel beholden to you in that way.
[00:13:34.400 --> 00:13:35.180]   And I think that it's entirely fine to do.
[00:13:35.200 --> 00:13:43.220]   And for just for companionship now, and your friend is an honorable person who knows that you're being kind to them, but they don't want to be beholden to you.
[00:13:43.220 --> 00:13:48.220]   So you invite them out for dinner and then they offer naturally to say, tell you what, let me leave the tip.
[00:13:48.220 --> 00:13:50.220]   And you say, no, no, no, you don't need to do that.
[00:13:50.220 --> 00:13:52.220]   And they say, let me leave the tip.
[00:13:52.220 --> 00:13:58.220]   You should protest a couple of times because then they've at least made the gesture that, Hey, let me leave the tip.
[00:13:58.220 --> 00:13:59.220]   They've satisfied that.
[00:13:59.220 --> 00:14:02.220]   And if you overcome them by saying, no, this is my, this is my treat.
[00:14:02.760 --> 00:14:31.260]  , then they'll go ahead and they'll go ahead and just be quiet and appreciate the treat.
[00:14:31.260 --> 00:14:32.260]   Now, on the other hand, if you, if they really press it, you know, three times, you know, no, let me leave the tip.
[00:14:32.260 --> 00:14:32.260]   I think you should let them leave the tip because maybe they're solving that particular, that particular need.
[00:14:32.260 --> 00:14:32.260]   There are people in my life who have been deeply generous with me and I don't like feeling beholden to people financially.
[00:14:32.260 --> 00:14:32.260]   And I appreciate the generosity. Extraordinaire. I very much do.
[00:14:32.260 --> 00:14:32.260]   But then I'm not going to be beholden to people who I'm not going to be beholden to me.
[00:14:32.260 --> 00:14:32.260]   I'm not going to be beholden to people who I'm not to be beholden to me.
[00:14:32.280 --> 00:14:42.300]   And what I will try to do is at times go ahead and without permission, I'll try to make a token gesture to simply show, listen, I appreciate your generosity, but I'm not a freeloader.
[00:14:42.300 --> 00:14:43.300]   I'm not a charity case.
[00:14:43.300 --> 00:14:44.300]   I'm not asking for anything.
