
[00:00:00.000 --> 00:00:23.600]   Hello everybody, my name is Aima. I'm a Program Manager at Microsoft. It's a pleasure to talk to
[00:00:23.600 --> 00:00:31.120]   you today about Foundry Local which enables developers to easily build up cross-platform
[00:00:31.120 --> 00:00:40.080]   applications powered by local AI. So let's get started. The first question is if the cloud
[00:00:40.080 --> 00:00:50.400]   AI is so powerful, why do we need local AI? So here are four key reasons based on our conversations
[00:00:50.400 --> 00:00:59.920]   and observations with our customers. So first of all, how does cloud AI work in environments with
[00:00:59.920 --> 00:01:09.200]   low network bandwidth or even offline access? Many of you have experienced the bad internet during this
[00:01:09.200 --> 00:01:16.960]   conference, right? And a common sentence we have heard from many speakers with live demo is, oh,
[00:01:16.960 --> 00:01:23.920]   finger crossed, hopefully the WiFi connection is good. So it's not their fault. It's required by cloud AI.
[00:01:23.920 --> 00:01:31.280]   But it's not a concern at all for my session because my live demo runs entirely locally.
[00:01:31.280 --> 00:01:39.520]   So reason number two, privacy and security. Many companies work with very sensitive data,
[00:01:39.520 --> 00:01:48.800]   such as legal documents and patient information. They need to process that data entirely locally,
[00:01:48.800 --> 00:01:59.440]   without anything ever leaving device, right? And reason number three, cost efficiency. Think about game
[00:01:59.440 --> 00:02:08.080]   applications, which is deployed to millions of devices, with hundreds of millions of inference calls every day.
[00:02:08.080 --> 00:02:17.040]   It's not just sustainable. And reason number three, real time latency. So many AI applications need to
[00:02:17.040 --> 00:02:26.880]   respond in real time. And it's not just not possible if we wait on cloud. So that's why we need a local AI.
[00:02:26.880 --> 00:02:31.040]   Then the next question, whether local AI is ready now?
[00:02:31.040 --> 00:02:40.400]   So thanks to the decades of progress in computing, hardware has become more and more powerful.
[00:02:40.400 --> 00:02:48.960]   So many current devices are equipped with modern GPUs, NPUs, capable of running advanced AI models.
[00:02:48.960 --> 00:02:58.960]   Meanwhile, model companies are keeping publishing more and more models, which are leaner, faster, more optimized for
[00:02:59.600 --> 00:03:09.120]   local inference, such as 5.4 milli and deep-seek small variants. And we are also seeing more and
[00:03:09.120 --> 00:03:17.280]   more advanced state-of-art optimization techniques introduced at runtime level. So this convergence
[00:03:17.280 --> 00:03:24.480]   now makes the local AI a reality. Then how do we build up the solution?
[00:03:24.480 --> 00:03:35.600]   So Microsoft already has many great assets. Azure AI Foundry introduced last year at Microsoft Eagle Light,
[00:03:35.600 --> 00:03:47.920]   has been trusted by over 70,000 organizations, with over 1,900 models. And then our cross-platform high
[00:03:47.920 --> 00:03:56.720]   performance on device inference engine has now seen over 10 million downloads per month. And our customers
