
[00:00:00.000 --> 00:00:19.120]   My name is Rohit Taluri. I am a member of the Foundation Model Training and Inference Team
[00:00:19.120 --> 00:00:24.900]   at AWS, and we have an amazing talk, super, super awesome founder here talking about voice AI.
[00:00:24.900 --> 00:00:26.320]   So, Arjun, why don't you go ahead?
[00:00:26.500 --> 00:00:30.740]   Awesome. Well, thanks for the intro, Rohit. I'm Arjun. I'm one of the co-founders of Cartesia AI.
[00:00:30.740 --> 00:00:36.660]   I'll give you a little bit of a spiel about what we do, which is that we build real-time multimodal intelligence
[00:00:36.660 --> 00:00:43.080]   that runs on any device. So, maybe the topic of this conversation will be focused a little bit more
[00:00:43.080 --> 00:00:48.140]   on how do we build voice AI for enterprise. As many of you know, voice AI is definitely up and coming
[00:00:48.140 --> 00:00:53.080]   and one of the places where having interactive models is really critical for being able to get
[00:00:53.080 --> 00:00:56.760]   really good experience for your agents.
[00:00:56.760 --> 00:01:02.860]   So, just a little bit of a recap, right? When you think about foundation models, you know, we often
[00:01:02.860 --> 00:01:07.160]   think about, you know, models are hosted in the cloud, really large. You know, they're doing things
[00:01:07.160 --> 00:01:10.920]   kind of in batch mode, right? You know, you submit a request and then you might get something back.
[00:01:10.920 --> 00:01:14.340]   You know, you're not going to get it back 30 seconds later, but you might get it back, you know,
[00:01:14.340 --> 00:01:19.040]   in 500, 600 milliseconds. And, you know, that's okay, right? Typically for text, you know, you're not
[00:01:19.040 --> 00:01:25.260]   also going to be reading at speeds of like 200 tokens per second. And so, it's okay if, you know,
[00:01:25.260 --> 00:01:27.680]   there's a little bit of a delay and then you get high throughput later.
[00:01:27.680 --> 00:01:34.320]   When you think about interactive applications like video and voice especially, this is an incredible
[00:01:34.320 --> 00:01:39.760]   visceral experience that you're giving to your users. Speed is of the utmost importance and quality
[00:01:39.760 --> 00:01:45.600]   is just table stakes. So, at Cartesia, we're really trying to change the paradigm of how we think about
[00:01:45.600 --> 00:01:51.120]   foundation models. So, not just be like in the cloud, what you build for batch operations, but actually
[00:01:51.120 --> 00:01:56.540]   how you bring it to real time, have it cover multiple modalities, and we'll be talking more about voice
[00:01:56.540 --> 00:02:00.920]   today, and have it run anywhere in the world, not just on the cloud, but on any device.
[00:02:00.920 --> 00:02:05.880]   So, because we're talking a little bit about voice, I want to maybe give a little bit of a prelude
[00:02:05.880 --> 00:02:10.440]   why it's so important to think about speed. Imagine you're having a conversation with the
[00:02:10.440 --> 00:02:15.600]   person next to you, and you probably should do that after this talk, but I think the main thing is that
[00:02:15.600 --> 00:02:19.580]   it'd feel really awkward, right, if you were trying to talk to someone and they responded a second later.
[00:02:19.580 --> 00:02:24.220]   So, in voice, you don't have seconds to actually give your response back, you have milliseconds.
