
[00:00:00.000 --> 00:00:07.000]   At Suboba Casino Resort this October, something fun is lurking in the dark.
[00:00:07.000 --> 00:00:09.000]   Thriller Nights.
[00:00:09.000 --> 00:00:14.000]   Win a share of up to $417,000 in cash and prizes.
[00:00:14.000 --> 00:00:21.000]   October 28th, you could take a thrill ride in your very own 2023 Dodge Challenger SRT Hellcat.
[00:00:21.000 --> 00:00:24.000]   Earn entries daily with your Suboba Rewards Card.
[00:00:24.000 --> 00:00:27.000]   And boogie on down to Thriller Nights.
[00:00:27.000 --> 00:00:29.000]   Suboba Casino Resort.
[00:00:30.000 --> 00:00:41.000]   Welcome to Radical Personal Finance, the show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in 10 years or less.
[00:00:41.000 --> 00:00:42.000]   My name is Joshua. I'm your host.
[00:00:42.000 --> 00:00:59.000]   And today we're going to talk about revolution versus reformation and how you can protect your money, your family, your livelihood, etc. If you are unfortunate enough to live in a time of revolution.
[00:00:59.000 --> 00:01:09.000]   This morning on Twitter, I wrote out a quick tweet that said I've over a period of years, I've become entirely opposed to revolution.
[00:01:09.000 --> 00:01:21.000]   I've become convinced over about the last 10 years I've been thinking about I've become convinced that revolutions are always bad, that they are 100% of the time just completely bad.
[00:01:21.000 --> 00:01:30.000]   Rather, I'm in favor of reformation, the things that need to be changed in society or in the world or in your city or your community.
[00:01:30.000 --> 00:01:35.000]   Those things should be changed not by revolution, but by reformation.
[00:01:35.000 --> 00:01:43.000]   Now, at the beginning here, I want to just talk philosophically about this difference between revolution and reformation, and then we'll apply it to money.
[00:01:43.000 --> 00:01:46.000]   But you should be forewarned that this show is going to be big picture.
[00:01:46.000 --> 00:01:57.000]   I'm not going to give a lot of specific financial advice, but we'll talk about what I see is the solution of how to survive and prosper during a revolution if you find yourself living through one.
[00:01:57.000 --> 00:02:02.000]   First, conceptually, what do I mean by these terms revolution and reformation?
[00:02:02.000 --> 00:02:05.000]   Well, admittedly, they're imprecise.
[00:02:05.000 --> 00:02:20.000]   But what I think of when I think of revolution is a complete transformation of something within a very small amount of time.
[00:02:20.000 --> 00:02:26.000]   A complete transformation of something within a very small amount of time.
[00:02:26.000 --> 00:02:36.000]   I also think of the concepts of kind of a lack of control, a broad spread, uprising of some kind that has something to do with it.
[00:02:36.000 --> 00:02:45.000]   I think there may also be violent connotations, whether that includes physical violence, such as some political revolutions have included,
[00:02:45.000 --> 00:02:57.000]   or that just implies such a dramatic pace of change that it feels almost violent because it's so fast.
[00:02:57.000 --> 00:03:01.000]   Now, I contrast revolution with reformation.
[00:03:01.000 --> 00:03:12.000]   And when I think of reformation, I think of a more measured system of change, a step by step, block by block change.
[00:03:12.000 --> 00:03:21.000]   It may wind up being a total transformation, but it's more systematic. It's more controlled. It's less revolutionary.
[00:03:21.000 --> 00:03:28.000]   And I become convinced that revolution is almost always bad.
[00:03:28.000 --> 00:03:35.000]   I want to say always bad, but sometimes I might apply the word revolution to something like the technological revolution.
[00:03:35.000 --> 00:03:43.000]   The fact that you're listening to my voice right now is an example of the technical technical is an outcome of a technological revolution.
[00:03:43.000 --> 00:03:46.000]   Now, is that is it all bad? I wouldn't say so.
[00:03:46.000 --> 00:03:51.000]   And so I wonder if my my universal condemnation of revolution breaks down.
[00:03:51.000 --> 00:03:53.000]   But it actually has been pretty tough.
[00:03:53.000 --> 00:04:03.000]   If you were to compare if you are to compare the challenges that we face today with regard to the technological revolution, they are substantial.
[00:04:03.000 --> 00:04:14.000]   The easy access to information has had untold positive effects, allows me to speak to you right now in just a really incredible way.
[00:04:14.000 --> 00:04:20.000]   But it also has come with tremendous difficulties.
[00:04:20.000 --> 00:04:25.000]   Example would be, how do you properly measure the flow of information?
[00:04:25.000 --> 00:04:29.000]   The world is dealing with things like fake news epidemics.
[00:04:29.000 --> 00:04:34.000]   How do we properly measure the impact of fake news?
[00:04:34.000 --> 00:04:41.000]   How do we teach people to carefully filter their information for its actual truthfulness?
[00:04:41.000 --> 00:04:44.000]   We're wrestling with topics like censorship.
[00:04:44.000 --> 00:04:51.000]   What ideas should be censored either by individuals or by public outcry?
[00:04:51.000 --> 00:04:53.000]   Who should be censored and why?
[00:04:53.000 --> 00:05:02.000]   These are ideas that we're wrestling with and you can see the instability in many of our societies that has come and is coming because of this technological revolution.
[00:05:02.000 --> 00:05:11.000]   It's been so fast that it feels like we haven't had time to get used to it or to learn the new skills that we need.
[00:05:11.000 --> 00:05:17.000]   Now, I'm not going to say the technological revolution is 100 percent bad, but it's it's really tough.
[00:05:17.000 --> 00:05:19.000]   It's really tough to handle.
[00:05:19.000 --> 00:05:24.000]   As we move into the world of things like political revolutions, I'm convinced that they're 100 percent bad.
[00:05:24.000 --> 00:05:37.000]   That the outcomes that people point to of, look, we achieved these things have such a heavy price when they're achieved in the context of revolution instead of reformation, that it significantly taints the end result.
[00:05:37.000 --> 00:05:49.000]   Better to go systematically, to be patient and to pursue a platform and a practice of steady, step by step reformation than revolution.
[00:05:49.000 --> 00:05:54.000]   I don't know if we are living in a revolutionary time, but it sure feels that way.
[00:05:54.000 --> 00:06:04.000]   It feels like if it's not, if we're not living in a revolutionary time, it feels like the winds of change could quickly blow in that direction.
[00:06:04.000 --> 00:06:12.000]   All that would be needed would be a few catalytic events, a few kinetic events.
[00:06:12.000 --> 00:06:17.000]   And it seems it feels like we live in a revolutionary age.
[00:06:17.000 --> 00:06:21.000]   Now, I don't know. Maybe this is normal. Maybe it's happened before.
