
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:00:02.420 --> 00:00:06.240]   - Welcome friends to this episode
[00:00:06.240 --> 00:00:09.000]   of the Everyday Educator podcast.
[00:00:09.000 --> 00:00:10.660]   I'm your host, Lisa Bailey,
[00:00:10.660 --> 00:00:14.160]   and I'm excited to spend some time with you today
[00:00:14.160 --> 00:00:17.520]   as we encourage one another, learn together,
[00:00:17.520 --> 00:00:20.560]   and ponder the delights and challenges
[00:00:20.560 --> 00:00:23.980]   that make homeschooling the adventure of a lifetime.
[00:00:23.980 --> 00:00:26.160]   Whether you're just considering
[00:00:26.160 --> 00:00:28.360]   this homeschooling possibility
[00:00:28.360 --> 00:00:32.560]   or deep into the daily delight of family learning,
[00:00:32.560 --> 00:00:36.640]   I believe you'll enjoy thinking along with us.
[00:00:36.640 --> 00:00:38.120]   But don't forget,
[00:00:38.120 --> 00:00:41.680]   although this online community is awesome,
[00:00:41.680 --> 00:00:46.680]   you'll find even closer support in a local CC community.
[00:00:46.680 --> 00:00:50.840]   So go to classicalconversations.com
[00:00:50.840 --> 00:00:55.080]   and find a community near you today.
[00:00:55.080 --> 00:00:58.500]   Well friends, I'm so excited to be spending
[00:00:58.500 --> 00:01:00.740]   the Christmas season with you.
[00:01:00.740 --> 00:01:02.900]   Or as one of my friends said,
[00:01:02.900 --> 00:01:05.860]   this is really the Advent season
[00:01:05.860 --> 00:01:10.500]   because we are looking at the coming of the Christ child
[00:01:10.500 --> 00:01:14.600]   and Christmas doesn't begin in earnest until the 25th.
[00:01:14.600 --> 00:01:17.700]   And then we have 12 days of Christmas
[00:01:17.700 --> 00:01:20.320]   that go from the 25th to January the 12th.
[00:01:20.320 --> 00:01:22.960]   And so that's just January the 6th.
[00:01:22.960 --> 00:01:25.520]   So that's just an awesome way to look at it.
[00:01:25.520 --> 00:01:30.440]   But I've got a suggestion for your family,
[00:01:30.440 --> 00:01:33.640]   for all our families really, this Christmas.
[00:01:33.640 --> 00:01:38.640]   What if we intentionally spent time together
[00:01:38.640 --> 00:01:42.800]   doing the simplest things?
[00:01:42.800 --> 00:01:46.420]   What if we practiced some simple habits
[00:01:46.420 --> 00:01:49.480]   designed to draw us to one another,
[00:01:49.480 --> 00:01:53.640]   designed to start meaningful conversations,
[00:01:53.640 --> 00:01:57.000]   designed to provoke us to deeper thinking,
