
[00:00:00.000 --> 00:00:02.160]   (silence)
[00:00:02.160 --> 00:00:06.460]   Does marijuana disrupt sleep?
[00:00:06.460 --> 00:00:08.060]   - Yeah, it does.
[00:00:08.060 --> 00:00:11.580]   And there's a pretty good amount of data on,
[00:00:11.580 --> 00:00:14.220]   so we can break sort of cannabis down
[00:00:14.220 --> 00:00:16.860]   into two of its key ingredients.
[00:00:16.860 --> 00:00:21.700]   We've got THC, tetrahydrocannabinol, and we've got CBD.
[00:00:21.700 --> 00:00:25.820]   And CBD is sort of the less,
[00:00:25.820 --> 00:00:28.860]   what we think of as the non-psychoactive component.
[00:00:28.860 --> 00:00:32.340]   In other words, when you take CBD, you don't get high.
[00:00:32.340 --> 00:00:35.260]   If you take THC, you can get high.
[00:00:35.260 --> 00:00:38.260]   That's the psychoactive part of the equation.
[00:00:38.260 --> 00:00:41.620]   - Are both considered sedatives in the technical sense?
[00:00:41.620 --> 00:00:43.820]   - No, they're not.
[00:00:43.820 --> 00:00:48.140]   Neither of them have that class right now.
[00:00:48.140 --> 00:00:53.140]   THC seems to speed up the time with which you fall asleep.
[00:00:55.500 --> 00:00:59.380]   But again, if you look at the electrical brainwave signature
[00:00:59.380 --> 00:01:02.780]   of your falling asleep with and without that THC,
[00:01:02.780 --> 00:01:05.220]   it's not going to be an ideal fit.
[00:01:05.220 --> 00:01:07.700]   So you could argue it's non-natural,
[00:01:07.700 --> 00:01:10.140]   but many people use THC for that fact
[00:01:10.140 --> 00:01:12.820]   because they find it difficult to fall asleep.
[00:01:12.820 --> 00:01:16.660]   And it can speed the onset of at least non-consciousness,
[00:01:16.660 --> 00:01:18.740]   I guess is the best way of describing it.
[00:01:18.740 --> 00:01:23.100]   But there are problems with THC and there are twofold.
[00:01:23.100 --> 00:01:26.300]   The first is that it too, but through different mechanisms,
[00:01:26.300 --> 00:01:28.140]   seems to block REM sleep.
[00:01:28.140 --> 00:01:30.140]   And that's why a lot of people when they're using
[00:01:30.140 --> 00:01:32.980]   will tell me, look, you know, I definitely,
[00:01:32.980 --> 00:01:34.900]   I was dreaming, I don't remember, you know,
[00:01:34.900 --> 00:01:35.900]   many of my dreams.
[00:01:35.900 --> 00:01:39.340]   And then when they stop using THC,
