
[00:00:00.000 --> 00:00:24.000]   Brian Armstrong.
[00:00:24.000 --> 00:00:29.000]   Brian Armstrong is the co-founder and CEO of Coinbase, which is the largest
[00:00:29.000 --> 00:00:34.000]   exchange here in the United States. And according to Bill Gurley, he's hoping for
[00:00:34.000 --> 00:00:38.000]   more regulation so he can pull up the ladder behind him. So let's start there.
[00:00:38.000 --> 00:00:42.000]   We're here for Bill Gurley's. Generally speaking, your reaction?
[00:00:42.000 --> 00:00:46.000]   I thought that was such an amazing talk. I was like cheering backstage when I heard that.
[00:00:46.000 --> 00:00:51.000]   I think we need more of that. I haven't seen somebody laid out that clearly in a while.
[00:00:51.000 --> 00:00:55.000]   He's totally right. I mean, regulatory capture is a huge drain on innovation.
[00:00:55.000 --> 00:01:01.000]   And the incentives are set up in kind of a bad way. If you take our company, for instance,
[00:01:01.000 --> 00:01:05.000]   if you ask me just personally, I think there should be less regulation around this.
[00:01:05.000 --> 00:01:11.000]   I think it would create more innovation. Society would have to tolerate greater variance.
[00:01:11.000 --> 00:01:14.000]   There'd be more scams. There'd be more highs. There'd be more lows.
[00:01:14.000 --> 00:01:18.000]   But the truth of the matter is a lot of times you have regulation and it ends up having
[00:01:18.000 --> 00:01:23.000]   the opposite of the intended effect. So we don't live in that world where people are going to say,
[00:01:23.000 --> 00:01:28.000]   "Let's just be hands-off and do nothing." So when I go to D.C., the Overton window of discussion
[00:01:28.000 --> 00:01:33.000]   is basically we're going to do the regulation for you or you can engage and have a say.
[00:01:33.000 --> 00:01:37.000]   And so of course we're going to take the other side and say, "Okay, let's try to help craft that regulation."
[00:01:37.000 --> 00:01:41.000]   But if you ask me just personally as a citizen, there should be less regulation, I think.
[00:01:41.000 --> 00:01:46.000]   What do you think the regulation should be as we kind of get through the boom-bust cycle,
[00:01:46.000 --> 00:01:52.000]   all the scams and fraud that occurred? And now it seems like the enforcement has gotten
[00:01:52.000 --> 00:01:58.000]   particularly intense. What would be a balance that would protect us from going,
[00:01:58.000 --> 00:02:04.000]   protect us going forward and eliminate the massive amount of grift, the massive amount of crime
[00:02:04.000 --> 00:02:10.000]   and stealing and fraud that happened in crypto that we all witnessed and is undisputable,
[00:02:10.000 --> 00:02:14.000]   but then also would allow us to innovate and not have it all go offshore? Because you said,
[00:02:14.000 --> 00:02:20.000]   "Listen, if you don't want us here, you opened, I think, on some foreign islands, some entities,
[00:02:20.000 --> 00:02:24.000]   you're ready to walk out of America, I understand, if they don't make great regulations."
[00:02:24.000 --> 00:02:27.000]   But we're not leaving America, that's for sure. I mean, this is our biggest market.
[00:02:27.000 --> 00:02:29.000]   I'm an American. We started here.
[00:02:29.000 --> 00:02:33.000]   Well, if they delisted everything but Bitcoin and Ethereum, what would you do then?
[00:02:33.000 --> 00:02:39.000]   The thing is, I don't think that's in the realm of possibility because that's not what the law says.
[00:02:39.000 --> 00:02:43.000]   So we can start with what I think regulation could be or should be, and then let's talk about
[00:02:43.000 --> 00:02:46.000]   what the regulators are actually doing because it's a little bit different.
[00:02:46.000 --> 00:02:52.000]   So the actual regulation that would allow this industry to be built here in a safe way,
[00:02:52.000 --> 00:02:55.000]   but also protect the innovation, it would do things that are actually kind of similar
[00:02:55.000 --> 00:02:57.000]   to the traditional financial services industry.
[00:02:57.000 --> 00:03:02.000]   So you would have some basic rules in place around, "Okay, you need to get these audits complete.
[00:03:02.000 --> 00:03:07.000]   Washed trading is illegal. Let's make an actual process for somebody who wants to register
[00:03:07.000 --> 00:03:12.000]   a crypto security, and it could trade on a broker-dealer or these kinds of things."
[00:03:12.000 --> 00:03:16.000]   So these are actually not rocket science. They're just kind of copying a lot of the best practices
[00:03:16.000 --> 00:03:20.000]   like AML, KYC, those kind of things from the traditional financial services industry,
[00:03:20.000 --> 00:03:22.000]   and centralized players in crypto should have to follow those.
[00:03:22.000 --> 00:03:26.000]   Now, if you're doing a decentralized thing, I don't think that's a financial service business.
[00:03:26.000 --> 00:03:30.000]   You're never taking possession of customer funds like these decentralized protocols
[00:03:30.000 --> 00:03:34.000]   or self-custodial wallets. I think that should be treated more like the software industry,
[00:03:34.000 --> 00:03:37.000]   and the centralized players should be more regulated.
[00:03:37.000 --> 00:03:40.000]   Now, you can also do things like have a sandbox for innovation and say,
[00:03:40.000 --> 00:03:43.000]   "Okay, if you're a startup and you can't afford $20 million a year in legal bills,
[00:03:43.000 --> 00:03:47.000]   you're under a certain amount, then you can operate in this sandbox."
[00:03:47.000 --> 00:03:49.000]   And there's other things other countries have done.
[00:03:49.000 --> 00:03:54.000]   What's actually happened is not quite that, although there are some good bills going through Congress.
[00:03:54.000 --> 00:04:00.000]   Unfortunately, we have a regulator, the chair of the SEC, who's kind of weaponized the agency
[00:04:00.000 --> 00:04:02.000]   for his own political purposes.
[00:04:02.000 --> 00:04:03.000]   Gary Gensler.
[00:04:03.000 --> 00:04:08.000]   Right, along with Elizabeth Warren, who they just don't want crypto to exist in the United States.
[00:04:08.000 --> 00:04:14.000]   Isn't their argument, "Well, just register like we all do when we sell securities?"
[00:04:14.000 --> 00:04:21.000]   And what's your best argument for why crypto shouldn't just do what we all do every day,
[00:04:21.000 --> 00:04:22.000]   which is register securities?
[00:04:22.000 --> 00:04:24.000]   I'm all for that, yeah.
[00:04:24.000 --> 00:04:28.000]   I mean, there should be a robust, healthy market to trade crypto securities in the US.
[00:04:28.000 --> 00:04:31.000]   There is not currently a way to register.
[00:04:31.000 --> 00:04:34.000]   And so they've been sort of talking out of both sides of their mouth and then saying,
[00:04:34.000 --> 00:04:39.000]   "Hey, just come in and register," and then you see these exchanges come in that have never traded a single coin
[00:04:39.000 --> 00:04:44.000]   as the ones that are propped up as the ones that are following the rules.
[00:04:44.000 --> 00:04:49.000]   So I think what their true intention or belief is behind the scenes, and I'm speculating a little bit here,
[00:04:49.000 --> 00:04:51.000]   is they just don't want it to exist.
[00:04:51.000 --> 00:04:54.000]   And so they're trying to cast a shadow over the whole industry to make it difficult.
[00:04:54.000 --> 00:04:56.000]   They're just sending subpoenas and well-known notices.
[00:04:56.000 --> 00:04:58.000]   Why don't they want it to exist? Why?
[00:04:58.000 --> 00:05:02.000]   I believe it's because--and again, this is just me speculating a little bit.
[00:05:02.000 --> 00:05:05.000]   I think it's because they don't want to lose power.
[00:05:05.000 --> 00:05:08.000]   They think the government should run financial services.
[00:05:08.000 --> 00:05:11.000]   They have their hooks into the big banks.
[00:05:11.000 --> 00:05:16.000]   They can pressure the big banks to close accounts on--you know, if you have the wrong political opinion
[00:05:16.000 --> 00:05:21.000]   or you're in the wrong industry, you're in oil and gas or whatever the flavor of the day is.
[00:05:21.000 --> 00:05:24.000]   They want to be able to pressure companies.
[00:05:24.000 --> 00:05:29.000]   Because they can't get it done through Congress, they want to pressure it through the big banks.
[00:05:29.000 --> 00:05:35.000]   And crypto--in America, people should be free to have control of their own money, to use new technologies.
[00:05:35.000 --> 00:05:39.000]   It's fundamentally anti-American what they're doing, and I think next year in the elections,
[00:05:39.000 --> 00:05:44.000]   we need to make sure that all voters and people who are pro-innovation, pro-technology,
[00:05:44.000 --> 00:05:48.000]   vote people out of office who are trying to curtail our freedoms around crypto.
[00:05:48.000 --> 00:05:49.000]   [Applause]
[00:05:49.000 --> 00:05:58.000]   Their counterargument would be that your industry, which you're the largest player in,
[00:05:58.000 --> 00:06:06.000]   stole a bunch of money from consumers and perpetrated tens of billions at a minimum of crimes.
[00:06:06.000 --> 00:06:09.000]   And so they would not say they're doing it to control.
[00:06:09.000 --> 00:06:12.000]   They would say they're doing it--I'm not saying this is my opinion,
[00:06:12.000 --> 00:06:15.000]   but they said they would be doing it to protect customers.
[00:06:15.000 --> 00:06:18.000]   So you've had tons of fraud. You had issues inside your own company
[00:06:18.000 --> 00:06:23.000]   with people pre-trading coins before they were listed.
[00:06:23.000 --> 00:06:27.000]   Yeah. Well, that wasn't us. That was an employee who got convicted.
[00:06:27.000 --> 00:06:32.000]   Yep. So the space, you would agree, is rife with crime.
