
[00:00:00.240 --> 00:00:03.920]   Thank you for the introduction and thanks to the International Advanced Natural Language
[00:00:03.920 --> 00:00:09.600]   Processing Conference for organizing this. And thanks as well for allowing this talk to start
[00:00:09.600 --> 00:00:17.680]   and kick off the conference. I appreciate it. You guys have done a great job. In terms of the topic,
[00:00:17.680 --> 00:00:25.680]   I do have to make sure that we understand the contextual background behind this topic
[00:00:26.400 --> 00:00:31.840]   today in recent events over the last few weeks and months. So I'm going to take a few minutes before
[00:00:31.840 --> 00:00:39.360]   getting into the paper to make sure that for those of you that are outside of the bounds of not only
[00:00:39.360 --> 00:00:46.640]   just NLP but also maybe working on NLP in another industry or aspect, I think it's important that we
[00:00:47.280 --> 00:00:58.400]   know what this paper is discussing. And so first of all, the papers about AI safety benchmarks and
[00:00:58.400 --> 00:01:07.680]   artificial intelligence, I'm assuming people listening and watching are familiar with AI safety.
[00:01:07.680 --> 00:01:13.040]   I assume people are also relatively familiar with in terms of what they've read, although there's many
[00:01:13.040 --> 00:01:19.360]   different meanings for that. Benchmarks, I'm not sure if people are incredibly familiar with benchmarks.
[00:01:19.360 --> 00:01:25.600]   But what benchmarks are, they're question and answer data sets, prompts and response data sets that are
[00:01:25.600 --> 00:01:32.080]   used to -- there's a few other formats as well -- but that are used to measure LLMs. They've been controversial
[00:01:32.080 --> 00:01:38.800]   in the past because of their incomplete nature and a lot of the shortcomings that they have in measuring
[00:01:38.800 --> 00:01:47.600]   everything that people expect when we measure LLMs. So there's a hype versus reality for each of these
[00:01:47.600 --> 00:01:55.040]   terms in this topic. And I want to make sure that we understand the hype versus reality for each of these
[00:01:55.040 --> 00:02:02.160]   terms so that way we can understand what the topic is, and then I'll be getting into the paper.
[00:02:03.040 --> 00:02:13.920]   So artificial intelligence, the hype, has reached fever pitch. This was last month where the former
[00:02:13.920 --> 00:02:22.160]   Google CEO was warning that AI is about to explode and take over humans, when in reality it was announced
[00:02:22.160 --> 00:02:27.840]   as well this week that Meta is delaying the rollout of its flagship AI model. There's a lot of issues. If you
[00:02:27.840 --> 00:02:33.120]   see the bottom paragraph here, there's a lot of companies that are having a hard time getting past
[00:02:33.120 --> 00:02:38.160]   the advances from Transformers. This is something that a lot of developers have known about for the
[00:02:38.160 --> 00:02:45.440]   last few years. But this is the reality versus the hype. In terms of AI safety, again, there's many different
[00:02:45.440 --> 00:02:53.120]   definitions of AI safety. There's hype. This is one aspect of AI safety. If you think of AI as contributing
[00:02:53.120 --> 00:02:58.960]   something good, will AI replace doctors? How could AI be bad if it can replace doctors and prevent
[00:02:58.960 --> 00:03:09.040]   some things? Can it add to more well-being feeling from psychologists? Well, there's reality there
[00:03:09.760 --> 00:03:16.560]   in that obviously, as a lot of us have read about over the last few years, AI doctors are all over social
[00:03:16.560 --> 00:03:23.280]   media spreading fake claims, and it gets worse and worse. And there's a lot of efforts to prevent what's
