
[00:00:00.000 --> 00:00:02.180]   (beeping)
[00:00:02.180 --> 00:00:12.840]   - Welcome back to Ask the Compound,
[00:00:12.840 --> 00:00:14.920]   a show where you, the audience, provides the questions,
[00:00:14.920 --> 00:00:16.580]   we try to provide the answers.
[00:00:16.580 --> 00:00:18.160]   Duncan tries to provide stock picks
[00:00:18.160 --> 00:00:20.760]   that you can then go short in your brokerage account.
[00:00:20.760 --> 00:00:22.720]   - Fair. - Fair enough.
[00:00:22.720 --> 00:00:24.760]   - Our email here is askthecompoundshow@gmail.com.
[00:00:24.760 --> 00:00:26.600]   A lot of wonderful questions again.
[00:00:26.600 --> 00:00:28.440]   Bonds continue to rule the day.
[00:00:28.440 --> 00:00:30.640]   We haven't got a question about the stock market in months.
[00:00:30.640 --> 00:00:33.680]   It's all bonds and taxes and Roth IRAs.
[00:00:33.680 --> 00:00:37.440]   Today's show is sponsored by Kaplan-Schweizer.
[00:00:37.440 --> 00:00:39.240]   Sean, our research analyst,
[00:00:39.240 --> 00:00:40.400]   just took this-- - Set it right.
[00:00:40.400 --> 00:00:41.400]   - I got it.
[00:00:41.400 --> 00:00:44.240]   Sean, our research analyst, just took level one for CFA.
[00:00:44.240 --> 00:00:45.840]   He asked, before he took it,
[00:00:45.840 --> 00:00:48.040]   "What do I do to pass this test?"
[00:00:48.040 --> 00:00:50.800]   I said, "Take as many practice tests as you can
[00:00:50.800 --> 00:00:52.600]   "and then get the study guides from Kaplan,"
[00:00:52.600 --> 00:00:53.540]   because that's what I did.
[00:00:53.540 --> 00:00:54.600]   I took the, not to brag,
[00:00:54.600 --> 00:00:56.940]   I have my, I'm a chartered financial analyst,
[00:00:56.940 --> 00:00:59.200]   Ben Carlson, comma, CFA.
[00:00:59.200 --> 00:01:00.040]   Do I have that on LinkedIn?
[00:01:00.040 --> 00:01:00.860]   Maybe.
[00:01:00.860 --> 00:01:01.920]   I don't know.
[00:01:01.920 --> 00:01:03.880]   I haven't looked at it in a while.
[00:01:03.880 --> 00:01:04.760]   But Kaplan makes it easy
[00:01:04.760 --> 00:01:07.560]   because the test books for the CFA prep are no joke.
[00:01:07.560 --> 00:01:08.400]   They're huge.
[00:01:08.400 --> 00:01:09.800]   They don't have a lot of questions in them,
[00:01:09.800 --> 00:01:10.640]   at least when I took it.
[00:01:10.640 --> 00:01:13.080]   So I, for the first one, didn't use the books.
[00:01:13.080 --> 00:01:15.280]   For the second one and the third one,
[00:01:15.280 --> 00:01:18.360]   I used Kaplan because it made it easier for test prep.
[00:01:18.360 --> 00:01:19.960]   They bullet point stuff for you.
[00:01:19.960 --> 00:01:20.800]   They summarize it.
[00:01:20.800 --> 00:01:21.800]   They make it easier.
[00:01:21.800 --> 00:01:23.720]   And I think you just have to take as many as you can.
[00:01:23.720 --> 00:01:25.880]   It's a tough test and there's very low pass rates.
[00:01:25.880 --> 00:01:28.500]   You have to do anything you can to get better.
[00:01:28.500 --> 00:01:31.060]   $300 minimum they recommend
[00:01:31.060 --> 00:01:33.700]   for studying for the CFA test, Duncan.
[00:01:33.700 --> 00:01:35.260]   It's no joke. - Sounds like a lot.
[00:01:35.260 --> 00:01:36.100]   - It is a lot.
[00:01:36.100 --> 00:01:36.920]   So go to the link. - I was reading
[00:01:36.920 --> 00:01:37.760]   some of their materials.
[00:01:37.760 --> 00:01:39.260]   I was reading about the portfolio perspective.
[00:01:39.260 --> 00:01:41.220]   I was looking at some practice questions.
[00:01:41.220 --> 00:01:42.060]   - It's tough.
[00:01:42.060 --> 00:01:44.300]   Go to our link on YouTube and you can check it out.
[00:01:44.300 --> 00:01:47.860]   You can save 10% on their exam test prep stuff right now.
[00:01:47.860 --> 00:01:49.720]   All right, let's do a question.
[00:01:49.720 --> 00:01:51.740]   - Okay. - Also,
[00:01:51.740 --> 00:01:53.100]   we have a lot of people emailing in with the CFA.
