
[00:00:00.000 --> 00:00:05.000]   [Intro music]
[00:00:05.000 --> 00:00:09.000]   Pastor John, my name is Chase and I'm a senior in high school.
[00:00:09.000 --> 00:00:14.000]   I'm wondering if you could shed some light on an issue I've been wrestling with the past few months.
[00:00:14.000 --> 00:00:16.000]   The best way I can phrase my question is this.
[00:00:16.000 --> 00:00:24.000]   Does turning to Christ, motivated by a fear of avoiding hell, qualify as a legitimate form of saving faith?
[00:00:24.000 --> 00:00:27.000]   In other words, can someone be scared into heaven?
[00:00:27.000 --> 00:00:35.000]   Verses like Acts 8, 24, in my experiences in the church and in evangelism, make me think the answer is no.
[00:00:35.000 --> 00:00:39.000]   But I just read Jonathan Edwards' sermon, "Sinners in the Hands of an Angry God,"
[00:00:39.000 --> 00:00:45.000]   and he seems to think the answer is yes, and beyond him, Christ warns about hell a lot.
[00:00:45.000 --> 00:00:50.000]   That makes me think the answer is yes, that fear of hell can save a sinner.
[00:00:50.000 --> 00:00:54.000]   I don't want the comfortable answer here, Pastor John. I want the truth.
[00:00:54.000 --> 00:00:58.000]   So please help me. What would you say?
[00:00:58.000 --> 00:01:09.000]   Well, I am really glad that this question comes right now because it lets me perhaps kill two birds with one stone.
[00:01:09.000 --> 00:01:18.000]   A while back, I spoke in Vancouver at a Look at the Book conference, and a man named Andrew,
[00:01:18.000 --> 00:01:22.000]   and I'm saying his name so that he'll know I'm talking to him because I just wrote him a letter today
[00:01:22.000 --> 00:01:25.000]   to say I recorded my answer to your letter.
[00:01:25.000 --> 00:01:26.000]   Very smooth.
[00:01:26.000 --> 00:01:30.000]   So we got Chase and we got Andrew, and we're talking to both of them,
[00:01:30.000 --> 00:01:36.000]   and what Andrew asked me was a similar kind of question.
[00:01:36.000 --> 00:01:48.000]   He said, "I have no qualms when you say a person comes to saving faith by seeing the beauty of Christ's crucifixion
[00:01:48.000 --> 00:01:54.000]   and how it displays Christ's glory, but where I get confused," this is an exact quote now,
[00:01:54.000 --> 00:02:02.000]   "where I get confused is when you have stated that a person should not think they are truly converted
[00:02:02.000 --> 00:02:08.000]   if they come to Christ for any other reason than for Christ himself."
[00:02:08.000 --> 00:02:12.000]   Okay, so that's—you can see how similar the questions are.
[00:02:12.000 --> 00:02:19.000]   Chase is asking whether you can be truly converted if you are motivated by fear or desire to escape hell,
[00:02:19.000 --> 00:02:24.000]   and Andrew is asking whether you can be converted if you come to Christ for any other reason
