
[00:00:00.000 --> 00:00:03.880]   [MUSIC PLAYING]
[00:00:03.880 --> 00:00:06.280]   Welcome, friends, to this episode
[00:00:06.280 --> 00:00:09.040]   of the "Everyday Educator" podcast.
[00:00:09.040 --> 00:00:11.040]   I'm your host, Lisa Bailey.
[00:00:11.040 --> 00:00:14.440]   And I'm excited to spend some time with you today
[00:00:14.440 --> 00:00:18.640]   as we encourage one another, learn together, and ponder
[00:00:18.640 --> 00:00:22.200]   the delights and challenges that make homeschooling
[00:00:22.200 --> 00:00:24.360]   the adventure of a lifetime.
[00:00:24.360 --> 00:00:28.400]   Whether you're just considering this homeschooling possibility
[00:00:28.400 --> 00:00:32.560]   or deep into the daily delight of family learning,
[00:00:32.560 --> 00:00:35.960]   I believe you'll enjoy thinking along with us.
[00:00:35.960 --> 00:00:41.200]   But don't forget, although this online community is awesome,
[00:00:41.200 --> 00:00:46.800]   you'll find even closer support in a local CC community.
[00:00:46.800 --> 00:00:50.560]   So go to classicalconversations.com
[00:00:50.560 --> 00:00:55.400]   and find a community near you today.
[00:00:55.400 --> 00:00:58.840]   Well, listeners, I'm excited to be with you again today
[00:00:58.840 --> 00:01:03.960]   for another episode of our Summer Book Club series.
[00:01:03.960 --> 00:01:08.640]   I have been thinking about how much I love to read as a grown
[00:01:08.640 --> 00:01:13.480]   up and how much I love to read as a child.
[00:01:13.480 --> 00:01:18.520]   For childhood me, reading was a pleasure, a pure pleasure,
[00:01:18.520 --> 00:01:21.280]   almost a passion when I found books
[00:01:21.280 --> 00:01:23.800]   that really captured my mind.
[00:01:23.800 --> 00:01:28.280]   I could easily lose myself in a book
[00:01:28.280 --> 00:01:33.160]   and disappear for an entire afternoon or even most
[00:01:33.160 --> 00:01:35.600]   of the day in the summertime.
[00:01:35.600 --> 00:01:41.560]   I was often transformed by the books that I was reading.
[00:01:41.560 --> 00:01:46.280]   I became a prairie girl who only got one peppermint stick
[00:01:46.280 --> 00:01:48.720]   and a penny for Christmas.
[00:01:48.720 --> 00:01:51.400]   I swam with the dolphins.
[00:01:51.400 --> 00:01:55.240]   I joined a wagon train headed west.
[00:01:55.240 --> 00:01:59.720]   I solved mysteries as an amateur sleuth.
[00:01:59.720 --> 00:02:03.680]   And along the way, in all of these books that I read,
[00:02:03.680 --> 00:02:07.960]   I learned a million odd bits of information,
[00:02:07.960 --> 00:02:12.400]   stuff I never intended to learn, stuff I didn't even
[00:02:12.400 --> 00:02:14.800]   know I was learning.
[00:02:14.800 --> 00:02:17.400]   I picked up all sorts of insights
[00:02:17.400 --> 00:02:23.440]   on odd foreign culture and historical references
[00:02:23.440 --> 00:02:30.520]   and weird color names and so, so many vocabulary words.
[00:02:30.520 --> 00:02:34.560]   I was growing rich without knowing it.
[00:02:34.560 --> 00:02:36.720]   And that's what reading does.
[00:02:36.720 --> 00:02:42.600]   It transforms us while we're not looking.
[00:02:42.600 --> 00:02:47.240]   That's why it's really important to be careful what you read.
[00:02:47.240 --> 00:02:49.640]   It gets in your mind.
[00:02:49.640 --> 00:02:52.320]   It changes you.
[00:02:52.320 --> 00:02:57.880]   So this summer, I'm encouraging you to read with your children.
[00:02:57.880 --> 00:03:02.600]   See what's going in their minds and what's
[00:03:02.600 --> 00:03:05.720]   going on in their minds.
[00:03:05.720 --> 00:03:11.240]   Take in good stories and inspiring biographies
[00:03:11.240 --> 00:03:16.360]   and interesting tidbits from travel books and science books
[00:03:16.360 --> 00:03:22.120]   and hobby manuals and talk about what you read
[00:03:22.120 --> 00:03:26.240]   and how it makes you feel and what you've learned
[00:03:26.240 --> 00:03:28.840]   and what you think about it all.
[00:03:28.840 --> 00:03:33.640]   Reading is a gateway to growth.
[00:03:33.640 --> 00:03:42.320]   So this summer, go and grow together as a family.
[00:03:42.320 --> 00:03:46.600]   It's the best gift you'll ever give yourselves.
[00:03:46.600 --> 00:03:52.360]   Today, I want to read three selections, three short stories,
[00:03:52.360 --> 00:03:56.880]   chapters for you from our Copper Lodge Library,
[00:03:56.880 --> 00:04:00.880]   Exploring Insects with Uncle Paul.
[00:04:00.880 --> 00:04:03.080]   This is a great read aloud.
[00:04:03.080 --> 00:04:07.520]   It's good for morning basket time or family read alouds
[00:04:07.520 --> 00:04:08.680]   whenever you do it.
[00:04:08.680 --> 00:04:14.080]   And the subjects in Exploring Insects with Uncle Paul,
[00:04:14.080 --> 00:04:19.320]   you will find this fall to be a really great companion to what
[00:04:19.320 --> 00:04:23.000]   you're learning in our Foundations Essentials program.
[00:04:23.000 --> 00:04:26.440]   But today, I'm going to read you three stories.
[00:04:26.440 --> 00:04:32.040]   And then I'm going to give you some conversation starters,
[00:04:32.040 --> 00:04:37.560]   some questions that you could use as jumping off points
[00:04:37.560 --> 00:04:40.960]   from your reading that might lead you
[00:04:40.960 --> 00:04:46.320]   on another voyage of discovery with your children.
[00:04:46.320 --> 00:04:50.280]   So you guys sit back and listen and get
[00:04:50.280 --> 00:04:57.040]   ready for The Kettle from Exploring Insects
[00:04:57.040 --> 00:05:00.480]   with Uncle Paul.
[00:05:00.480 --> 00:05:05.200]   Now, this day, Mother Ambrosine was very tired.
[00:05:05.200 --> 00:05:07.720]   She had taken down from their shelves
[00:05:07.720 --> 00:05:14.920]   kettles, saucepans, lamps, candlesticks, casseroles, pans,
[00:05:14.920 --> 00:05:16.960]   and lids.
[00:05:16.960 --> 00:05:21.480]   After having rubbed them with fine sand and ashes
[00:05:21.480 --> 00:05:26.360]   and washed them well, she had put the utensils in the sun
[00:05:26.360 --> 00:05:28.440]   to dry them thoroughly.
[00:05:28.440 --> 00:05:31.720]   They all shone like a mirror.
[00:05:31.720 --> 00:05:35.560]   The kettles particularly were superb
[00:05:35.560 --> 00:05:38.120]   with their rosy reflections.
[00:05:38.120 --> 00:05:40.600]   One might have said that tongues of fire
[00:05:40.600 --> 00:05:43.240]   were shining inside them.
[00:05:43.240 --> 00:05:46.760]   The candlesticks were a dazzling yellow.
[00:05:46.760 --> 00:05:50.880]   Emile and Jules were lost in admiration.
[00:05:50.880 --> 00:05:54.560]   "I should like to know what they make kettles of.
[00:05:54.560 --> 00:05:58.960]   They shine so," remarked Emile.
[00:05:58.960 --> 00:06:04.240]   "They are very ugly outside, all black and daubed with soot.
[00:06:04.240 --> 00:06:09.080]   But inside, how beautiful they are."
[00:06:09.080 --> 00:06:12.760]   "You must ask Uncle," replied his brother.
[00:06:12.760 --> 00:06:15.680]   "Yes," assented Emile.
[00:06:15.680 --> 00:06:21.840]   No sooner said than done, they went in search of their uncle.
[00:06:21.840 --> 00:06:23.880]   He did not have to be entreated.
[00:06:23.880 --> 00:06:27.520]   He was happy whenever there was an opportunity
[00:06:27.520 --> 00:06:30.040]   to teach them something.
[00:06:30.040 --> 00:06:34.680]   "Kettles are made of copper," he began.
[00:06:34.680 --> 00:06:36.320]   "And copper?"
[00:06:36.320 --> 00:06:38.080]   asked Jules.
[00:06:38.080 --> 00:06:40.520]   "Copper is not made.
[00:06:40.520 --> 00:06:44.600]   In certain countries, it is found already made,
[00:06:44.600 --> 00:06:47.200]   mixed with stone.
[00:06:47.200 --> 00:06:50.040]   It is one of the substances that is not
[00:06:50.040 --> 00:06:53.760]   in the power of man to make.
[00:06:53.760 --> 00:06:57.840]   We use these substances as God has deposited them
[00:06:57.840 --> 00:07:02.760]   in the bosom of the earth for purposes of human industry.
[00:07:02.760 --> 00:07:06.320]   But all our knowledge and all our skill
[00:07:06.320 --> 00:07:09.760]   could not produce them.
[00:07:09.760 --> 00:07:13.240]   In the bosom of mountains where copper is found,
[00:07:13.240 --> 00:07:18.600]   they hollow out galleries which go deep into the earth.
[00:07:18.600 --> 00:07:24.120]   There, workmen called miners, with lamps to light them,
[00:07:24.120 --> 00:07:28.280]   attack the rock with great blows of the pick,
[00:07:28.280 --> 00:07:33.440]   while others carry the detached blocks outside.
[00:07:33.440 --> 00:07:41.160]   These blocks of stone in which copper is found are called ore.
[00:07:41.160 --> 00:07:44.080]   In furnaces made for the purpose,
[00:07:44.080 --> 00:07:48.600]   they heat the ore to a very high temperature.
[00:07:48.600 --> 00:07:51.800]   The heat of our stove, when it's red hot,
[00:07:51.800 --> 00:07:54.760]   is nothing in comparison.
[00:07:54.760 --> 00:08:00.960]   The copper melts, runs, and is separated from the rest.
[00:08:00.960 --> 00:08:05.360]   Then, with hammers of enormous weight,
[00:08:05.360 --> 00:08:09.960]   set in motion by a wheel turned by water,
[00:08:09.960 --> 00:08:14.480]   they strike the mass of copper, which, little by little,
[00:08:14.480 --> 00:08:20.560]   becomes thin and is hollowed into a large basin.
[00:08:20.560 --> 00:08:23.320]   The coppersmith continues the work.
[00:08:23.320 --> 00:08:28.360]   He takes the shapeless basin and, with little strokes
[00:08:28.360 --> 00:08:31.960]   of the hammer, fashions it on the anvil
[00:08:31.960 --> 00:08:35.040]   to give it a regular shape.
[00:08:35.040 --> 00:08:38.920]   That is why coppersmiths tap all day with their hammers,
[00:08:38.920 --> 00:08:40.440]   commented Jules.
[00:08:40.440 --> 00:08:43.560]   I had often wondered, when passing their shops,
[00:08:43.560 --> 00:08:46.320]   why they made so much noise, always tap, tap,
[00:08:46.320 --> 00:08:48.600]   tapping without any stop.
[00:08:48.600 --> 00:08:51.600]   They were thinning the copper, shaping it
[00:08:51.600 --> 00:08:54.680]   into saucepans and kettles.
[00:08:54.680 --> 00:08:59.880]   Here, Emile asked, when a kettle is old, has holes in it,
[00:08:59.880 --> 00:09:03.320]   and can't be used, what do they do with it?
[00:09:03.320 --> 00:09:08.840]   I heard Mother Ambrosine speak of selling a worn-out kettle.
[00:09:08.840 --> 00:09:14.320]   It is melted, and another new kettle made out of the copper,
[00:09:14.320 --> 00:09:16.640]   replied Uncle Paul.
[00:09:16.640 --> 00:09:20.400]   Then the copper does not wear away.
[00:09:20.400 --> 00:09:23.360]   Well, it wears away too much, my friend.
