
[00:00:00.000 --> 00:00:15.520]   welcome to the 85th edition of the bogleheads on investing podcast in this episode we're going to
[00:00:15.520 --> 00:00:21.920]   talk about the new tax law changes under the one big beautiful bill act with questions about the
[00:00:21.920 --> 00:00:28.220]   new tax law sourced from the bogleheads community both from the forum and elsewhere on social
[00:00:28.220 --> 00:00:36.180]   answering our questions is none other than ed slot cpa a nationally recognized ira distribution expert
[00:00:36.180 --> 00:00:41.020]   professional speaker television personality and best-selling author
[00:00:41.020 --> 00:00:54.940]   ed is known for his unparalleled ability to turn advanced tax strategies into understandable
[00:00:54.940 --> 00:01:01.500]   actionable and entertaining advice he has been named the best source for ira advice
[00:01:01.500 --> 00:01:07.820]   by the wall street journal and usa today wrote it would be tough to find anyone who knows more about
[00:01:07.820 --> 00:01:15.360]   iras than cpa slot hello everyone my name is john luskin filling in for the normal host of the
[00:01:15.360 --> 00:01:21.400]   bogleheads on investing podcast rick ferry and since we're changing up the host of the episode
[00:01:21.400 --> 00:01:28.220]   why not change up the format too if you're listening on youtube you already know what i'm talking about
[00:01:28.220 --> 00:01:35.580]   we have video so if you'd like to watch this podcast on video go to bogelcenter.net where we'll have the
[00:01:35.580 --> 00:01:43.360]   video linked or just jump straight to youtube at the bogleheads page this episode as with all episodes
[00:01:43.360 --> 00:01:50.220]   is brought to you by the john c bogle center for financial literacy a non-profit organization that is
[00:01:50.220 --> 00:01:56.280]   building a world of well-informed capable and empowered investors visit the bogle center at
[00:01:56.280 --> 00:02:03.360]   boglecenter.net where you will find a treasure trove of information including transcripts of these podcasts
[00:02:03.360 --> 00:02:09.940]   while there you can make a donation to support the mission of financial literacy at boglecenter.net
[00:02:09.940 --> 00:02:18.900]   before we begin a special announcement tickets for the 2025 bogleheads conference are now on sale at
[00:02:18.900 --> 00:02:26.300]   boglecenter.net slash 2025 conference this year's conference will begin at noontime on friday october
[00:02:26.300 --> 00:02:33.980]   17th running through noontime on sunday october 19th we will be at the hyatt regency san antonio riverwalk
[00:02:33.980 --> 00:02:41.840]   hotel you can find a list of speakers at boglecenter.net as well as a full agenda soon i look forward to
[00:02:41.840 --> 00:02:48.680]   seeing many of you there lastly a disclaimer the following is for informational and entertainment
