
[00:00:00.000 --> 00:00:06.160]   Welcome back everyone.
[00:00:06.160 --> 00:00:09.200]   This is part three in our series on presenting your research.
[00:00:09.200 --> 00:00:11.960]   We're going to talk about the process of publishing an NLP,
[00:00:11.960 --> 00:00:16.000]   which really comes down to the NLP conference submission process,
[00:00:16.000 --> 00:00:20.660]   given that so many of the top venues in the field are actually conferences.
[00:00:20.660 --> 00:00:24.880]   I'll say at the start that I think there's a lot to like about the publishing process in NLP,
[00:00:24.880 --> 00:00:28.200]   but it also has its truly bewildering aspects.
[00:00:28.200 --> 00:00:33.700]   So I'm going to try to be a kind of trusted guide for you through this often strange process.
[00:00:33.700 --> 00:00:39.960]   Let's begin with one of the most unusual things of all, the ACL anonymity period.
[00:00:39.960 --> 00:00:47.620]   The ACL conferences have adopted a uniform policy that submitted papers cannot be uploaded to repositories like archive,
[00:00:47.620 --> 00:00:55.580]   or made public in any way, starting one month from the submission deadline and extending through the time when decisions go out.
[00:00:55.580 --> 00:01:00.820]   For specific conferences, check their sites for the precise date when this embargo goes into effect.
[00:01:00.820 --> 00:01:06.400]   And I'd go one step further. I would say, check the precise hour when the policy goes into effect,
[00:01:06.400 --> 00:01:10.580]   and make sure you know exactly what they mean by posting time.
[00:01:10.580 --> 00:01:13.580]   Is it the time that you submitted or the time it appeared?
[00:01:13.580 --> 00:01:19.540]   As you get very close to this deadline, you might really care about these fine details.
[00:01:19.540 --> 00:01:29.540]   The policy is an attempt to balance the benefits of free and fast distribution of new ideas and new results against the benefits of double blind peer review.
[00:01:29.540 --> 00:01:36.700]   I think the scenario that guides this is the one where you imagine a reviewer gets their assignments and they check out the paper titles,
[00:01:36.700 --> 00:01:45.360]   and then they look over at their Twitter window and they learn from some tweets exactly who wrote one of their papers and what institution it comes from.
[00:01:45.360 --> 00:01:48.200]   And then they feel conflicted as reviewers.
[00:01:48.200 --> 00:01:54.200]   We want to prevent that from happening while balancing this idea of free expression of ideas.
[00:01:54.200 --> 00:02:01.000]   For more on the policy and its rationale, I refer you to the page that I've linked at the bottom of this slide.
[00:02:01.000 --> 00:02:09.600]   Let me editorialize for a minute. I think that the ACL anonymity period idea was a noble experiment, but it's a failed experiment.
[00:02:09.600 --> 00:02:13.740]   We should move on from it. There are a few reasons I feel this way.
[00:02:13.740 --> 00:02:20.940]   First, you have a lot of unproductive discussions around exactly what it means to have the period kick in and whether you met it
[00:02:20.940 --> 00:02:25.600]   and what you can do during that embargo period in terms of talks and so forth.
[00:02:25.600 --> 00:02:32.600]   That's just a messy process. I'm more worried about the fact that if you post a paper and discover it has a mistake,
[00:02:32.600 --> 00:02:35.940]   you can't update the paper until the embargo period ends.
[00:02:35.940 --> 00:02:42.360]   And that's just straightforwardly unproductive because now we have known false results out there that can't be updated,
[00:02:42.360 --> 00:02:46.640]   when in fact we should want to correct the record as fast as possible.
[00:02:46.640 --> 00:02:50.740]   And the third thing is that I think it is just fed into the hype cycle.
[00:02:50.740 --> 00:02:59.340]   What people do now to avoid the embargo is publish very quickly on archive to meet the deadline, even if the ideas are half-baked.
[00:02:59.340 --> 00:03:04.800]   So it's a lot of flag planting and it's leading people to feel ever more frantic about these deadlines,
[00:03:04.800 --> 00:03:12.400]   when what we want instead is a more deliberative pace for the field.
[00:03:12.400 --> 00:03:17.980]   With the anonymity period out of the way, let's suppose that you are now going to take the act of submitting.
[00:03:17.980 --> 00:03:23.840]   You submit your paper along with area keywords that help determine which committee gets your paper.
[00:03:23.840 --> 00:03:28.140]   This will depend very heavily on the conference and the year. In terms of picking keywords,
[00:03:28.140 --> 00:03:33.780]   it would be great if you found an expert who could consult with you a little bit on which ones to pick
[00:03:33.780 --> 00:03:38.140]   so that you get the optimal reviewers for your paper.
[00:03:38.140 --> 00:03:45.240]   Increasingly, you also need to fill out very long and complicated checklists for various things the community cares about.
[00:03:45.240 --> 00:03:52.140]   Try to find an expert to help with this. These are often very extensive checklists with complicated questions.
[00:03:52.140 --> 00:03:56.540]   If you fully invested in them, you could spend 12 hours filling out the form.
[00:03:56.540 --> 00:04:02.180]   It might be that no one is really going to study the form. That might be a misallocation of your own time and energy.
[00:04:02.180 --> 00:04:05.900]   So you could have the expert tell you which questions are likely to matter
[00:04:05.900 --> 00:04:12.040]   and which ones can be filled out with sort of basic pointers into the content of the paper.
[00:04:12.040 --> 00:04:19.640]   Reviewers, once the submissions are all in, scan a long list of titles and abstracts and then bid on which ones they want to do.
[00:04:19.640 --> 00:04:23.500]   At this stage, the title is probably the primary factor in bidding decisions.
[00:04:23.500 --> 00:04:29.640]   The reason I say that is that as a reviewer, you might be facing a list of 500 submissions.
[00:04:29.640 --> 00:04:33.880]   It's impossible for you to read all the abstracts in the time allotted.
[00:04:33.880 --> 00:04:35.540]   And so you have to go by the titles.
[00:04:35.540 --> 00:04:39.900]   And what that means for you as an author is that the title might be a primary mechanism
[00:04:39.900 --> 00:04:45.740]   for you to connect with the reviewers that you're looking for. So think carefully about the title.
[00:04:45.740 --> 00:04:50.880]   The program chairs assign reviewers their papers, presumably based in large part on their bids,
[00:04:50.880 --> 00:04:58.300]   although having bid on lots of conferences, I have very little evidence that my bids are actually shaping which things get assigned to me.
[00:04:58.300 --> 00:05:04.180]   But I still do my bidding. Reviewers read the papers, write comments and supply ratings.
[00:05:04.180 --> 00:05:10.800]   I'll give you a glimpse of what that's like in a second. Authors are allowed to respond briefly to the reviews.
[00:05:10.800 --> 00:05:20.240]   This is the so-called author response period. It's a very tight time window in which you have a very constrained amount of text to use to respond to the reviews,
[00:05:20.240 --> 00:05:24.880]   object to mistakes, answer questions and things like that.
[00:05:24.880 --> 00:05:33.500]   Then the program or area chair stimulates discussion among the reviewers about conflicts between the reviewers or conflicts with the author response.
[00:05:33.500 --> 00:05:39.940]   And in general, the idea is that this discussion will get clarity on whether the paper should be accepted.
[00:05:39.940 --> 00:05:47.580]   And then finally, the program committee does some magic to arrive at the final program based on all of this input.
[00:05:47.580 --> 00:05:51.740]   You might get a meta review that provides some insight into the final decision making.
[00:05:51.740 --> 00:06:00.440]   But I can more or less guarantee for you that in the end, the decision making might be pretty opaque, especially in the final stages.
[00:06:00.440 --> 00:06:09.380]   That's what we have to live with, I guess, when we enter into the sort of lottery like NLP conference set up for reviewing.
[00:06:09.380 --> 00:06:15.800]   Here's a look at the form that reviewers are typically dealing with. You know, these used to be based mainly in structured data.
[00:06:15.800 --> 00:06:22.700]   Now it's more like structured text. The first box will ask, what is the paper about? What contributions does it make?
[00:06:22.700 --> 00:06:34.380]   And what are the main strengths and weaknesses? This is a great question because I think it's trying to check in with a reviewer and make sure they actually know what the paper is about and what its contributions are.
[00:06:34.380 --> 00:06:39.780]   After that come the important pieces. Reasons to accept. Reasons to reject.
[00:06:39.780 --> 00:06:46.380]   For better or worse, both of these will be required boxes and reviewers will think of something to type in both.
[00:06:46.380 --> 00:06:51.180]   I resist this, particularly for reasons to reject. I have often typed into that box.
[00:06:51.180 --> 00:06:59.600]   I have no reasons to reject for papers I simply wanted to support, but I had to enter some text in order to get the form to be accepted.
[00:06:59.600 --> 00:07:04.820]   Alas. Maybe a box for questions and additional feedback for the authors.
[00:07:04.820 --> 00:07:11.280]   This is where the reviewers might pose direct questions that they're hoping will get resolved as part of the author response period.
[00:07:11.280 --> 00:07:19.620]   Missing references. This can be kind of touchy. You want to cite all the work that you can discover and people feel really slighted when things are missing.
[00:07:19.620 --> 00:07:23.680]   And that can often lead you to get some points off with reviewers.
[00:07:23.680 --> 00:07:29.060]   Typos, grammar, style and presentation improvements. You would hope that this was kind of secondary.
[00:07:29.060 --> 00:07:38.360]   And then crucially the ratings. An overall recommendation, which is maybe the primary data point that shapes what happens to your paper in the submission process.
[00:07:38.360 --> 00:07:47.540]   And then reviewer confidence, which you would hope was kind of calibrating on how much the recommendation should contribute to the overall judgment.
[00:07:47.540 --> 00:07:50.240]   And then there'll be a text box for confidential information.
[00:07:50.240 --> 00:07:53.880]   You'll also have such a text box as part of your author response.
[00:07:53.880 --> 00:08:00.160]   And this is your chance to communicate directly with the leadership of the conference about problems that might have arisen.
[00:08:00.160 --> 00:08:03.720]   And reviewers have the same option.
[00:08:03.720 --> 00:08:08.680]   Author responses. A complicated and often bewildering part of this.
[00:08:08.680 --> 00:08:13.820]   Many of these conferences allow authors to submit short responses to the reviews.
[00:08:13.820 --> 00:08:19.520]   This is often done on a tight time window and you have a very limited number of characters you can enter.
[00:08:19.520 --> 00:08:24.800]   Overall, this is a rather uncertain business, but I think I can offer some advice.
[00:08:24.800 --> 00:08:31.440]   First, many people are cynical about author responses since reviewers rarely change their scores afterwards.
[00:08:31.440 --> 00:08:36.480]   I understand that, but my overall perspective is a bit more optimistic.
[00:08:36.480 --> 00:08:42.480]   Even given one, though, item two, it's bad in terms of signaling not to submit a response at all.
[00:08:42.480 --> 00:08:45.200]   It sort of signals to the group that you don't care.
[00:08:45.200 --> 00:08:51.280]   I realize this sounds kind of dismal because I'm saying you have to submit something, otherwise you'll get in trouble.
[00:08:51.280 --> 00:08:54.600]   But whatever you do submit might not have an impact.
[00:08:54.600 --> 00:08:56.680]   I think there is unfortunately some truth to that.
[00:08:56.680 --> 00:09:07.240]   But as I said, I'm optimistic in particular for conferences that have area chairs who are tasked with stimulating discussion and writing meta reviews for a small number of papers.
[00:09:07.240 --> 00:09:09.600]   The author response might have a major impact.
[00:09:09.600 --> 00:09:13.160]   I say this as someone who has played the area chair role many times.
[00:09:13.160 --> 00:09:20.640]   I find the author response invaluable because I have the reviews, I have the paper, and I have now the author response.
[00:09:20.640 --> 00:09:29.440]   And I can balance them against each other and use that to stimulate discussion and get some clarity on what I should recommend for the paper as a whole.
[00:09:29.440 --> 00:09:32.440]   So I always benefit and I think I'm not alone.
[00:09:32.440 --> 00:09:39.040]   And I hope that gives you some motivation for thinking about investing in the author response.
[00:09:39.040 --> 00:09:47.240]   NLP conferences, as usual, have some complex rules about this, about what you can and can't say in your author response.
[00:09:47.240 --> 00:09:48.360]   Read the instructions.
[00:09:48.360 --> 00:09:53.760]   If you have questions about what you can do in a particular case, you should again seek out an expert.
[00:09:53.760 --> 00:10:02.040]   I do feel it's unfortunate that I have to at so many points here recommend that you find an expert because it sounds like a conspiracy of insiders.
[00:10:02.040 --> 00:10:04.280]   But that is the sad state of affairs.
[00:10:04.280 --> 00:10:10.640]   The number one thing that comes to mind here is that often there's a rule against reporting new results.
[00:10:10.640 --> 00:10:12.120]   I'm not sure why that rule exists.
[00:10:12.120 --> 00:10:18.080]   As an area chair, I want as much information as I can get about these papers, including new results if they're available.
[00:10:18.080 --> 00:10:19.240]   But they're often forbidden.
[00:10:19.240 --> 00:10:22.560]   But then the question is, what counts as a new result?
[00:10:22.560 --> 00:10:28.160]   And for that, you might want your expert to at least offer you some guidance.
[00:10:28.160 --> 00:10:29.600]   Always be polite.
[00:10:29.600 --> 00:10:32.080]   It can be hard, but it pays to be polite.
[00:10:32.080 --> 00:10:38.360]   Be firm and direct, but do that strategically to signal what you feel most strongly about.
[00:10:38.360 --> 00:10:43.160]   Never, ever, ever write things like, "Your inattentiveness is embarrassing.
[00:10:43.160 --> 00:10:46.480]   Section 6 does what you say we didn't do."
[00:10:46.480 --> 00:10:53.000]   You can write that out once if it would be cathartic, but then delete it and replace it with something like, "Thank you.
[00:10:53.000 --> 00:10:55.840]   The information you're requesting is in Section 6.
[00:10:55.840 --> 00:10:58.760]   We will make this more prominent in our revision."
[00:10:58.760 --> 00:11:00.080]   You're not giving any ground.
[00:11:00.080 --> 00:11:04.280]   You're making it clear what you had achieved, but you're also being polite and productive.
[00:11:04.280 --> 00:11:12.920]   And with luck, everyone feels validated by this process, and your scores get boosted a little bit.
[00:11:12.920 --> 00:11:15.040]   Presentation types and venues.
[00:11:15.040 --> 00:11:16.520]   There are kind of two dimensions to this.
[00:11:16.520 --> 00:11:20.080]   First, for the type, you have oral versus poster.
[00:11:20.080 --> 00:11:21.880]   Nobody knows how that's assigned.
[00:11:21.880 --> 00:11:26.640]   The conference people decide somehow, and you're told you're doing a poster or an oral.
[00:11:26.640 --> 00:11:31.680]   I don't think this is so consequential at this point because what matters is the papers.
[00:11:31.680 --> 00:11:36.840]   For presentation venue, you have workshop versus main conference, and that is an important distinction.
[00:11:36.840 --> 00:11:38.360]   There are tradeoffs here.
[00:11:38.360 --> 00:11:47.360]   Workshops tend to be less prestigious and selective, but the bright side is that you get to connect with a community of like-minded people.
[00:11:47.360 --> 00:11:52.880]   You might add a workshop, interact with people who become lifelong collaborators.
[00:11:52.880 --> 00:12:00.400]   On the flip side, the main conference will be highly selective and very prestigious, but it will be absolutely overwhelming.
[00:12:00.400 --> 00:12:02.400]   The number of people will be enormous.
[00:12:02.400 --> 00:12:04.640]   It will be in some big conference hotel.
[00:12:04.640 --> 00:12:09.240]   You might have real trouble connecting with people and finding people who work on what you do.
[00:12:09.240 --> 00:12:13.080]   Your presentation might get lost in the mix, all of that stuff.
[00:12:13.080 --> 00:12:17.920]   So you have to decide on what experience you're looking for and what your goals are.
[00:12:17.920 --> 00:12:21.160]   For relevant conferences, I've listed out a whole bunch of them here.
[00:12:21.160 --> 00:12:24.320]   The left column is the ACL conferences.
[00:12:24.320 --> 00:12:32.120]   The top three, ACL, NACL, and EMNLP, are, I think, by consensus, the most prestigious in the field.
[00:12:32.120 --> 00:12:40.040]   Just below them are AACL and EACL, but I think we're nearing the point where those are just in the top mix,
[00:12:40.040 --> 00:12:45.880]   and people are just looking for the next conference to submit to as the year goes around.
[00:12:45.880 --> 00:12:50.200]   Below those are Connell and Koehling, which are great.
[00:12:50.200 --> 00:12:53.760]   I think they're just second tier, but lots of important work appears there.
[00:12:53.760 --> 00:12:54.760]   I've published there.
[00:12:54.760 --> 00:12:59.880]   I actually think they're wonderful venues, and they give you a balance between a workshop and a main conference.
[00:12:59.880 --> 00:13:05.920]   And then, in terms of prestige, below them is workshops, but I do feel that that's a different enough dimension to all this
[00:13:05.920 --> 00:13:11.680]   that you should think about them, especially if you're thinking about a first venue for publishing.
[00:13:11.680 --> 00:13:18.120]   In the middle, I have conferences devoted to kind of the web and knowledge bases and artificial intelligence,
[00:13:18.120 --> 00:13:20.000]   cognitive science, linguistics.
[00:13:20.000 --> 00:13:26.080]   These are all venues that are great and that will welcome NLP-oriented submissions,
[00:13:26.080 --> 00:13:30.560]   and I think the most prestigious ones are kind of at the top there right now.
[00:13:30.560 --> 00:13:35.880]   And then, on the right, I have what I think are, by consensus, the top three machine learning conferences,
[00:13:35.880 --> 00:13:39.240]   and all of them are really welcoming of NLP research.
[00:13:39.240 --> 00:13:42.960]   You just might want to orient it toward a slightly broader audience,
[00:13:42.960 --> 00:13:47.800]   but those are certainly good homes for research you might be doing.
[00:13:47.800 --> 00:13:53.520]   Here is my personal assessment of NLP reviewing, another bit of editorializing.
[00:13:53.520 --> 00:13:57.200]   First, I would say that the focus on conference papers has been good for the field.
[00:13:57.200 --> 00:14:03.160]   It fits with and encourages a rapid pace, and even though I worry about the relentless pace of research,
[00:14:03.160 --> 00:14:09.400]   I do appreciate that things move fast and it's a very lively area intellectually.
[00:14:09.400 --> 00:14:15.800]   Before about 2010, the reviewing in the field was admirably good and rigorous in comparison with other fields.
[00:14:15.800 --> 00:14:19.800]   I say this as someone who is coming from linguistics and cognitive science.
[00:14:19.800 --> 00:14:24.720]   I was deeply impressed by the investment reviewers would make in these submissions,
[00:14:24.720 --> 00:14:28.760]   in that pre-deep learning era especially.
[00:14:28.760 --> 00:14:32.920]   Lately, though, the growth of the field has reduced the general quality of reviewing.
[00:14:32.920 --> 00:14:36.560]   I think, by consensus, we all see that this is happening.
[00:14:36.560 --> 00:14:38.120]   The field is still grappling with this.
[00:14:38.120 --> 00:14:43.400]   It was inevitable, as you get larger and larger numbers of submissions and reviewers,
[00:14:43.400 --> 00:14:47.800]   that the quality would go down as we move from a kind of trusted group of experts
[00:14:47.800 --> 00:14:51.720]   out into a much more diffuse and diverse population.
[00:14:51.720 --> 00:14:58.120]   So that is all feeling like this has more of a lottery aspect to it when you submit to these conferences.
[00:14:58.120 --> 00:15:03.080]   This next point, I wanted to just issue a warning and kind of connect with you on this.
[00:15:03.080 --> 00:15:07.240]   Reviewers are occasionally incredibly mean.
[00:15:07.240 --> 00:15:10.480]   You need to kind of desensitize yourself to this,
[00:15:10.480 --> 00:15:15.480]   and one way to do that would be to share your reviews and your experiences with an experienced NL peer.
[00:15:15.480 --> 00:15:20.400]   Most likely, that person will say, "I'm really sorry that you had to get this feedback.
[00:15:20.400 --> 00:15:23.280]   Do not take it personally. We've all seen this."
[00:15:23.280 --> 00:15:24.720]   I worry about this point.
[00:15:24.720 --> 00:15:29.600]   Reviewers can be mean enough that I worry it could turn people off of the field entirely.
[00:15:29.600 --> 00:15:33.960]   It could send a signal, especially to people new to the field, that they don't belong,
[00:15:33.960 --> 00:15:36.640]   and I think that is tragic.
[00:15:36.640 --> 00:15:38.960]   Don't do this if you're asked to review.
[00:15:38.960 --> 00:15:39.800]   Be kind.
[00:15:39.800 --> 00:15:43.040]   Imagine what it would be like to be on the receiving end,
[00:15:43.040 --> 00:15:47.720]   and then if you do receive this very mean feedback, don't take it personally.
[00:15:47.720 --> 00:15:52.680]   It's really hard for me to say this because the whole point is that you've really invested in your research,
[00:15:52.680 --> 00:15:57.800]   and so to say that you shouldn't take it personally feels like a conflict on that point,
[00:15:57.800 --> 00:15:59.640]   but you have to kind of get to that point.
[00:15:59.640 --> 00:16:06.440]   But please, please, please, if someone is mean to you, just try to move on from it and keep contributing.
[00:16:06.440 --> 00:16:10.440]   It's more about the reviewers than it's about you.
[00:16:10.440 --> 00:16:11.480]   This is more mundane.
[00:16:11.480 --> 00:16:17.520]   Forcing every paper to be four or eight pages that is short and long submission is not good,
[00:16:17.520 --> 00:16:22.680]   but luckily the issue is being addressed productively with more use of supplementary materials.
[00:16:22.680 --> 00:16:28.720]   I love that we're moving into a mode of science where the papers are short and the appendices run to 30 pages
[00:16:28.720 --> 00:16:34.480]   so that if you need information about the details, you yourself can do a deep dive on the appendix.
