
[00:00:00.000 --> 00:00:09.020]   [ Silence ]
[00:00:09.020 --> 00:00:12.960]   >> Normally I would introduce them but I don't think that Jack
[00:00:12.960 --> 00:00:16.140]   or Bill Bernstein needs any introduction and we don't want
[00:00:16.140 --> 00:00:18.140]   to steal their time from their conversation.
[00:00:18.140 --> 00:00:24.120]   So, at this point, we-- well, this is a free-ranging,
[00:00:24.120 --> 00:00:27.160]   except non-political exchange.
[00:00:27.160 --> 00:00:28.500]   >> Why don't we break that one?
[00:00:28.500 --> 00:00:30.500]   [ Laughter ]
[00:00:30.500 --> 00:00:31.640]   >> Don't do that to me again, Jack.
[00:00:31.640 --> 00:00:34.840]   You got me in a lot of trouble with that last time.
[00:00:34.840 --> 00:00:37.400]   So, anyway, this is called the Lower Side Chat
[00:00:37.400 --> 00:00:39.900]   and you guys hang at it.
[00:00:39.900 --> 00:00:41.980]   >> Well, good morning everyone.
[00:00:41.980 --> 00:00:46.220]   Jack, I'm going to start by asking you like a question
[00:00:46.220 --> 00:00:50.580]   that everyone wants to know, which is what does the retirement--
[00:00:50.580 --> 00:00:52.580]   [ Inaudible Remark ]
[00:00:52.580 --> 00:00:54.880]   >> Can you hear me?
[00:00:54.880 --> 00:00:56.880]   [ Laughter ]
[00:00:56.880 --> 00:00:57.920]   >> Can you hear me?
[00:00:57.920 --> 00:00:59.920]   [ Inaudible Remark ]
[00:00:59.920 --> 00:01:05.940]   >> What does the retirement of Gus mean to those of us
[00:01:05.940 --> 00:01:11.580]   who invest in using those portfolios?
[00:01:11.580 --> 00:01:13.480]   >> Well, first place, he's been a great guy,
[00:01:13.480 --> 00:01:17.620]   a fabulous friend, terrific mathematician, certainly one
[00:01:17.620 --> 00:01:20.340]   of Vanguard's priceless assets.
[00:01:20.340 --> 00:01:22.720]   But think about what he's doing.
[00:01:22.720 --> 00:01:24.760]   He's matching the market.
[00:01:24.760 --> 00:01:28.020]   And that is not complex beyond belief.
[00:01:28.020 --> 00:01:29.560]   There are lots of nuances in it.
[00:01:29.560 --> 00:01:31.860]   But if you follow the performance of, well,
[00:01:31.860 --> 00:01:37.980]   let's say, I'm arguing here, S&P 500 index funds,
[00:01:37.980 --> 00:01:44.520]   they are all the same when you adjust for expense ratio.
[00:01:44.520 --> 00:01:46.080]   Their net returns are identical.
[00:01:46.080 --> 00:01:48.620]   In other words, everybody has picked up how to do this.
[00:01:48.620 --> 00:01:50.860]   Heck, it may be that Gus taught them all.
[00:01:50.860 --> 00:01:54.320]   But I wouldn't spend 30 seconds worrying
[00:01:54.320 --> 00:01:57.500]   about what happens next.
[00:01:57.500 --> 00:02:01.000]   And, you know, an index fund is an index fund.
[00:02:01.000 --> 00:02:03.500]   And one of the great things about it is
[00:02:03.500 --> 00:02:07.640]   that when you buy an index fund, you're really investing
[00:02:07.640 --> 00:02:12.400]   for life without worrying about who the manager is.
[00:02:12.400 --> 00:02:15.120]   I mean, think about this for a minute.
[00:02:15.120 --> 00:02:18.320]   First, if your life is maybe over a span
[00:02:18.320 --> 00:02:20.960]   of, say, 50 years, whatever it may be, some of us
[00:02:20.960 --> 00:02:23.160]   may not have quite that many left.
[00:02:23.160 --> 00:02:24.720]   But there we are.
[00:02:24.720 --> 00:02:27.400]   But over a lifetime, how many managers
[00:02:27.400 --> 00:02:28.960]   are going to be there for a lifetime?
[00:02:28.960 --> 00:02:30.680]   And the answer is none.
[00:02:30.680 --> 00:02:33.080]   They're going to come and they're going to go.
[00:02:33.080 --> 00:02:35.440]   And funds come and go.
[00:02:35.440 --> 00:02:37.560]   Individual mutual funds come and go.
[00:02:37.560 --> 00:02:40.200]   Failure rate is about 50% every 10 years.
[00:02:40.200 --> 00:02:42.440]   Don't worry about that in an index fund.
[00:02:42.440 --> 00:02:46.320]   Regular funds, managers change every five years.
[00:02:46.320 --> 00:02:49.760]   So over, say, 25 years, I think I'm about right on the mat
[00:02:49.760 --> 00:02:53.400]   there, if you own four mutual funds,
[00:02:53.400 --> 00:02:57.360]   about 20 managers in 25 years, roughly a manager a year.
[00:02:57.360 --> 00:03:02.880]   What is the possibility that 20 managers, a manager a year,
[00:03:02.880 --> 00:03:03.720]   can beat the index?
[00:03:03.720 --> 00:03:04.560]   It's zero.
[00:03:04.560 --> 00:03:05.520]   It's very close to zero.
[00:03:05.520 --> 00:03:07.200]   Maybe it's 100% to 1%.
[00:03:07.200 --> 00:03:10.280]   So all the index fund has to do is match the index.
[00:03:10.280 --> 00:03:12.160]   It has become a commodity.
[00:03:12.160 --> 00:03:15.520]   And for all of Gus's fabulous contributions to Vanguard,
[00:03:15.520 --> 00:03:19.640]   he was the one to say that he likes to say and I like to say,
[00:03:19.640 --> 00:03:22.240]   I was the architect and I picked a great builder.
[00:03:22.240 --> 00:03:24.160]   And that's the truth of the matter.
[00:03:24.160 --> 00:03:28.760]   But his requirement will not trouble anybody in this room.
[00:03:28.760 --> 00:03:32.880]   And it's very good to trouble me, except as a friend.
[00:03:32.880 --> 00:03:35.080]   Yeah, I mean, I should mention that here,
[00:03:35.080 --> 00:03:36.680]   just to amplify a point that Jack made.
[00:03:36.680 --> 00:03:38.720]   It was always something that I had wondered about.
[00:03:38.720 --> 00:03:40.920]   But we all know that over the long run,
[00:03:40.920 --> 00:03:43.240]   the odds of beating an index fund are 20%,
[00:03:43.240 --> 00:03:45.920]   which is not horrible.
[00:03:45.920 --> 00:03:47.840]   But the odds of your putting together
[00:03:47.840 --> 00:03:51.480]   a portfolio of active managers that
[00:03:51.480 --> 00:03:56.280]   would beat an indexed approach is much smaller than that.
[00:03:56.280 --> 00:03:59.720]   And Alan Roth finally did that study, an excellent study,
[00:03:59.720 --> 00:04:03.680]   and demonstrated exactly what Jack said,
[00:04:03.680 --> 00:04:07.120]   which is that you're the one percent when you're
[00:04:07.120 --> 00:04:11.720]   putting together a portfolio of active managers.
[00:04:11.720 --> 00:04:15.840]   Do you have any comments, Jack, on the swishing away
[00:04:15.840 --> 00:04:17.280]   from the MSCI indexes?
[00:04:17.280 --> 00:04:21.360]   Do you think that has any significance at all?
[00:04:21.360 --> 00:04:23.280]   No, I think it's a kind of funny thing.
[00:04:23.280 --> 00:04:24.760]   It was a closely guarded secret.
[00:04:24.760 --> 00:04:27.320]   We were thinking about doing this at Vanguard.
[00:04:27.320 --> 00:04:29.520]   And while I have lots of contacts there
[00:04:29.520 --> 00:04:32.600]   and touch with a lot of people, a closely guarded secret
[00:04:32.600 --> 00:04:34.440]   is something they shouldn't tell me about.
[00:04:34.440 --> 00:04:36.000]   And they didn't, and they shouldn't.
[00:04:36.000 --> 00:04:39.280]   And I listened, and the secret comes out in the paper.
[00:04:39.280 --> 00:04:44.040]   And my first reaction was to yawn.
[00:04:44.040 --> 00:04:45.680]   It doesn't matter.
[00:04:45.680 --> 00:04:52.080]   The idea that, say, an MSCI 500, if they have one,
[00:04:52.080 --> 00:04:55.920]   or a Russell 500, or a Vanguard 500,
[00:04:55.920 --> 00:05:00.960]   or a Dow Jones total stock market, all of them
[00:05:00.960 --> 00:05:03.600]   hold a Wilshire 5,000.
[00:05:03.600 --> 00:05:06.460]   And there are probably half a dozen other indexes
[00:05:06.460 --> 00:05:09.640]   at that 500 level or total stock market level.
[00:05:09.640 --> 00:05:11.760]   And they're all going to have the same return
[00:05:11.760 --> 00:05:14.800]   over the long run, no matter which firm is managing them.
[00:05:14.800 --> 00:05:17.360]   Because large cap stocks are large cap stocks.
[00:05:17.360 --> 00:05:19.600]   The correlations between managers
[00:05:19.600 --> 00:05:23.960]   and index portfolios in that area is going to be 100.
[00:05:23.960 --> 00:05:27.200]   And later on, I'll show you charts showing--
[00:05:27.200 --> 00:05:29.640]   and it's sort of relevant here, but I
[00:05:29.640 --> 00:05:31.760]   don't want to get into it until I have the chart.
[00:05:31.760 --> 00:05:36.180]   But the idea, my idea has always been,
[00:05:36.180 --> 00:05:38.900]   for everything we do, including active management,
[00:05:38.900 --> 00:05:41.380]   I used to call it relative predictability.
[00:05:41.380 --> 00:05:44.020]   I'm going to call it, like I said, relative predictability.
[00:05:44.020 --> 00:05:46.780]   And now, in this modern age of wants,
[00:05:46.780 --> 00:05:48.740]   we want to have my R-squares.
[00:05:48.740 --> 00:05:50.820]   But there's no change, except you can understand
[00:05:50.820 --> 00:05:53.460]   what relative predictability means.
[00:05:53.460 --> 00:05:55.940]   I mean, I think it's an interesting issue.
