
[00:00:00.000 --> 00:00:01.000]   Hello, everybody.
[00:00:01.000 --> 00:00:05.760]   It's Sam from Financial Samurai, and I want to talk about the Fed rate cut.
[00:00:05.760 --> 00:00:10.400]   This is the first time in 10 years we've had a Fed rate cut, and this is interesting because
[00:00:10.400 --> 00:00:16.060]   it's the 10-year anniversary of the global financial crisis in 2009.
[00:00:16.060 --> 00:00:19.200]   We can learn several things from July 31st rate cut.
[00:00:19.200 --> 00:00:26.040]   One, the Fed screwed up in December 2018 by hiking rates for the ninth time in three years.
[00:00:26.040 --> 00:00:29.520]   Cutting rates just seven and a half months after hiking rates is like getting a divorce
[00:00:29.520 --> 00:00:30.800]   within a year.
[00:00:30.800 --> 00:00:35.720]   The signs were everywhere that it wasn't going to last, but the couple simply chose not to
[00:00:35.720 --> 00:00:38.480]   look because they were just too horny.
[00:00:38.480 --> 00:00:43.720]   Two, the Treasury bond market is a better indicator of the economy's health and dictates
[00:00:43.720 --> 00:00:48.160]   the proper interest rate policy, not the Fed.
[00:00:48.160 --> 00:00:53.100]   All year and parts of last year, the yield curve has been flat or inverted, telling the
[00:00:53.100 --> 00:00:57.080]   Fed it needed to cut rates as growth slowed.
[00:00:57.080 --> 00:01:00.040]   But they waited too long until they finally relented.
[00:01:00.040 --> 00:01:06.600]   Three, the Federal Open Market Committee members may have PhDs and plenty of financial experience,
[00:01:06.600 --> 00:01:11.920]   but they are often just guessing at the best course of action, just like the rest of us.
[00:01:11.920 --> 00:01:14.240]   Do not treat their word as God.
[00:01:14.240 --> 00:01:17.360]   Do not underestimate your own abilities to make money either.
[00:01:17.360 --> 00:01:21.520]   You don't want to rely on someone else to make you rich.
[00:01:21.520 --> 00:01:26.640]   That's a suboptimal decision, because that someone could make you poor as well.
[00:01:26.640 --> 00:01:31.240]   And then finally, we should all be on high alert for an impending recession within the
[00:01:31.240 --> 00:01:33.620]   next 12 to 18 months.
[00:01:33.620 --> 00:01:39.880]   The more the Fed cuts, especially when rates are already this low, the more we should worry.
[00:01:39.880 --> 00:01:44.040]   The Fed funds the range right now is 2% to 2.25%.
[00:01:44.040 --> 00:01:46.320]   There's not that much more room to cut.
[00:01:46.320 --> 00:01:52.080]   If we look at history, we know that recessions always follow euphoria.
[00:01:52.080 --> 00:01:57.520]   Due to my experience working through the 2000 dot-com bubble and the 2008 housing bubble,
[00:01:57.520 --> 00:02:02.480]   I've learned that the greatest downturns tend to happen right after the most euphoric of
[00:02:02.480 --> 00:02:03.480]   times.
[00:02:03.480 --> 00:02:09.640]   I remember in 1999, working on Wall Street, investing in internet stocks every single
[00:02:09.640 --> 00:02:10.640]   day.
[00:02:10.640 --> 00:02:15.080]   You could make 50%, 100% in a few short months, sometimes in days.
[00:02:15.080 --> 00:02:20.120]   You know, remember those B2B companies, the Ariba networks, Broadcom?
[00:02:20.120 --> 00:02:23.600]   Yahoo was just going crazy, everything.
[00:02:23.600 --> 00:02:25.000]   And we just felt like we couldn't lose.
[00:02:25.000 --> 00:02:30.280]   And of course, in 2000, March 2000, things just stopped going up.
[00:02:30.280 --> 00:02:34.960]   And the Nasdaq proceeded to implode for the next several years, and everybody, well, a
