
[00:00:00.000 --> 00:00:04.440]   The reason that he was kicked out is because of this toxic culture.
[00:00:04.440 --> 00:00:10.160]   Some big news that took place on Christmas Eve, if you missed it, Travis Kalanick planning
[00:00:10.160 --> 00:00:12.260]   to leave the board at Uber.
[00:00:12.260 --> 00:00:14.720]   And when he showed me what he was working on, I immediately said, hey, can I invest?
[00:00:14.720 --> 00:00:20.640]   A popular $70 billion ride-sharing company is searching for a new CEO to take the wheel.
[00:00:20.640 --> 00:00:24.000]   So you want to talk about structure being completely screwy?
[00:00:24.000 --> 00:00:25.000]   Competition is good.
[00:00:25.000 --> 00:00:29.680]   So I'll bet my entire network that Uber will be here and thriving in 10 years.
[00:00:29.680 --> 00:00:33.040]   You're at war prematurely with your customers.
[00:00:33.040 --> 00:00:35.520]   Sorry about that.
[00:00:35.520 --> 00:00:38.720]   All right, everybody.
[00:00:38.720 --> 00:00:39.720]   My gosh.
[00:00:39.720 --> 00:00:57.040]   I can't believe, I can't believe I get to sit down with one of the most famous investors
[00:00:57.040 --> 00:00:59.960]   in Uber.
[00:00:59.960 --> 00:01:05.280]   So I'm honored, I'm honored to be here.
[00:01:05.280 --> 00:01:07.560]   We wanted to have a surprise for you every day.
[00:01:07.560 --> 00:01:11.640]   I've been, Travis and I have been friends for 25 years.
[00:01:11.640 --> 00:01:15.400]   The first time I interviewed Travis was 1999.
[00:01:15.400 --> 00:01:18.000]   I was doing a little magazine out here, Digital Coast Reporter.
[00:01:18.000 --> 00:01:23.440]   You were doing a little company called Scour, which was a peer-to-peer network to share
[00:01:23.440 --> 00:01:25.680]   files.
[00:01:25.680 --> 00:01:27.080]   And you were 22 years old.
[00:01:27.080 --> 00:01:28.080]   I was 28.
[00:01:28.080 --> 00:01:29.900]   I think if we put those two numbers together-
[00:01:29.900 --> 00:01:33.080]   Just don't let people do the math, you know, it's just like, let's just keep moving.
[00:01:33.080 --> 00:01:36.960]   It was a while ago, 1999.
[00:01:36.960 --> 00:01:44.800]   And I just remember the enthusiasm, drive, and fire that you had at that time.
[00:01:44.800 --> 00:01:48.920]   And it always struck me, I said to myself, I don't know if he's going to win on this
[00:01:48.920 --> 00:01:49.920]   one.
[00:01:49.920 --> 00:01:53.200]   I'm pretty sure he's going to get his ass handed to him, in fact.
[00:01:53.200 --> 00:01:54.200]   Correct.
[00:01:54.200 --> 00:01:55.200]   Correct.
[00:01:55.200 --> 00:01:57.840]   And I think that's going to win big in the future.
[00:01:57.840 --> 00:02:01.040]   And sure enough, we got to go on a great journey together with Uber.
[00:02:01.040 --> 00:02:04.040]   And now again, with Cloud Kitchens.
[00:02:04.040 --> 00:02:09.040]   Every year when we're hanging out, I say, since you left Uber, I say, you know, whenever
[00:02:09.040 --> 00:02:11.360]   you're ready, let's have a conversation.
[00:02:11.360 --> 00:02:12.360]   And here we are.
[00:02:12.360 --> 00:02:13.360]   And then you call me every year.
[00:02:13.360 --> 00:02:14.360]   I call you every year.
[00:02:14.360 --> 00:02:15.360]   If you're ready.
[00:02:15.360 --> 00:02:20.320]   It's like, I'm just a block away from you, at your alma mater, UCLA.
[00:02:20.320 --> 00:02:21.320]   Let's go.
[00:02:21.320 --> 00:02:22.320]   Come on.
[00:02:22.320 --> 00:02:23.320]   Yeah.
[00:02:23.320 --> 00:02:24.320]   I'm like, all right, let's go.
[00:02:24.320 --> 00:02:25.320]   So we said, OK.
[00:02:25.320 --> 00:02:26.720]   So here we are.
[00:02:26.720 --> 00:02:28.100]   Let's chop it up.
[00:02:28.100 --> 00:02:29.980]   Let's talk about Cloud Kitchens.
[00:02:29.980 --> 00:02:38.840]   You have, since you left Uber, been working extremely hard and quietly on Cloud Kitchens.
[00:02:38.840 --> 00:02:39.840]   What is the vision?
[00:02:39.840 --> 00:02:42.080]   What is Cloud Kitchens for people who don't know?
[00:02:42.080 --> 00:02:48.840]   Well, so, yeah, I mean, it is kind of funny when you go from being a tech guy to a kitchen
[00:02:48.840 --> 00:02:49.840]   guy.
[00:02:49.840 --> 00:02:51.440]   I mean, that's interesting.
[00:02:52.040 --> 00:03:02.140]   Look, food is at the center of the human experience, the center of humanity, and just how we live.
[00:03:02.140 --> 00:03:10.360]   It's got a lot of problems, health, cost, convenience, like all that stuff.
[00:03:10.360 --> 00:03:13.880]   And it could be a hell of a lot better.
[00:03:13.880 --> 00:03:20.080]   And so, of course, in my last gig, we did Uber Eats.
[00:03:20.080 --> 00:03:22.280]   It was a starting point.
[00:03:22.280 --> 00:03:26.960]   But the difference with food versus rides is that the infrastructure is already there.
[00:03:26.960 --> 00:03:30.720]   You had a bunch of cars that were 98% unutilized.
[00:03:30.720 --> 00:03:32.760]   And so you just had to light it up.
[00:03:32.760 --> 00:03:37.280]   But to do food right, you needed to build the infrastructure.
[00:03:37.280 --> 00:03:40.920]   And so the mission for our company is infrastructure for better food.
[00:03:40.920 --> 00:03:50.320]   And the idea is like, can you get the preparation and delivery of food so high quality and most
[00:03:50.320 --> 00:03:55.400]   importantly so cost efficient that it starts to approach the cost of you going to the grocery
[00:03:55.400 --> 00:03:56.400]   store?
[00:03:56.400 --> 00:04:00.880]   If that happens, you do to the kitchen what Uber did to the car.
