
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:09.440]   - You're listening to Let's Talk Jobs,
[00:00:09.440 --> 00:00:13.080]   where we give you practical insights into jobs and careers.
[00:00:13.080 --> 00:00:16.400]   Today, we're talking about the feeling you get
[00:00:16.400 --> 00:00:18.600]   when you're in over your head.
[00:00:18.600 --> 00:00:21.120]   And I'm curious, you guys,
[00:00:21.120 --> 00:00:23.740]   have you ever taken on like a new responsibility,
[00:00:23.740 --> 00:00:26.240]   a new team, or maybe someone left
[00:00:26.240 --> 00:00:28.120]   and you absorbed their role
[00:00:28.120 --> 00:00:30.920]   and you just felt immediately like a fish out of water?
[00:00:30.920 --> 00:00:32.640]   Like what happened to you?
[00:00:32.640 --> 00:00:33.920]   How did you deal with it?
[00:00:33.920 --> 00:00:36.360]   And then what did you learn from your experience?
[00:00:36.360 --> 00:00:39.280]   - You wanna go first, Troy?
[00:00:39.280 --> 00:00:42.360]   - No, I think you should start this one off.
[00:00:42.360 --> 00:00:44.580]   - Okay, I'm happy to.
[00:00:44.580 --> 00:00:50.320]   I've definitely been in experiences
[00:00:50.320 --> 00:00:54.440]   where I've moved up a level
[00:00:54.440 --> 00:00:56.280]   or my scope has changed
[00:00:56.280 --> 00:00:58.640]   and expectations have changed.
[00:00:58.640 --> 00:01:03.640]   I think though the experience that most reflected
[00:01:03.640 --> 00:01:07.400]   a sense of being really in over my head
[00:01:07.400 --> 00:01:10.280]   was when I started my own agency.
[00:01:10.280 --> 00:01:12.720]   And I started it with a couple of colleagues
[00:01:12.720 --> 00:01:16.440]   and there was a litany of things
[00:01:16.440 --> 00:01:19.260]   that I had never done before.
[00:01:19.260 --> 00:01:23.720]   I had been a copywriter and a freelancer at times
[00:01:23.720 --> 00:01:28.160]   for at that point, almost more than 20 years.
[00:01:28.160 --> 00:01:31.000]   And so I'd worked at agencies.
[00:01:31.000 --> 00:01:34.880]   I worked in-house at large enterprises.
[00:01:34.880 --> 00:01:36.520]   I'd been an individual contributor.
[00:01:36.520 --> 00:01:38.240]   I'd been a manager.
[00:01:38.240 --> 00:01:41.000]   I'd been a director and a manager of managers.
[00:01:41.000 --> 00:01:46.000]   I'd been in part of the hiring and firing processes.
[00:01:46.000 --> 00:01:50.960]   But when you start your own business,
[00:01:50.960 --> 00:01:52.760]   and even though I had been a freelancer,
[00:01:52.760 --> 00:01:57.760]   I was more of like an individual contributor freelancer.
[00:01:57.760 --> 00:02:00.400]   And when I engaged with businesses,
[00:02:00.400 --> 00:02:05.400]   it was on a, I gave them my social security number,
[00:02:05.400 --> 00:02:08.640]   not my employer identification number,
[00:02:08.640 --> 00:02:10.720]   which is different, your EID.
[00:02:10.720 --> 00:02:13.200]   So when I started an agency,
[00:02:13.200 --> 00:02:15.360]   number one, I had to set up an LLC,
[00:02:15.360 --> 00:02:16.960]   which was completely new for me.
[00:02:16.960 --> 00:02:20.840]   And my mom, who's an accountant,
[00:02:20.840 --> 00:02:22.380]   actually helped me out with that.
[00:02:22.380 --> 00:02:23.600]   And she knew the ins and outs.
[00:02:23.600 --> 00:02:25.480]   She's like, well, you just contact this company
[00:02:25.480 --> 00:02:27.160]   and they're in, I'm in California.
[00:02:27.160 --> 00:02:29.120]   They're in Sacramento, which is the capital.
[00:02:29.120 --> 00:02:31.480]   And this is where you give them the information.
[00:02:31.480 --> 00:02:33.040]   They submit it, they walk the form over.
[00:02:33.040 --> 00:02:34.640]   So, but that was a bit of a hurdle,
[00:02:34.640 --> 00:02:39.640]   just understanding, not just getting the LLC information
[00:02:39.640 --> 00:02:44.160]   because I needed to then give it back to my first client.
[00:02:44.160 --> 00:02:47.280]   And I would say, that's where I really felt
[00:02:47.280 --> 00:02:48.200]   like I was over my head,
[00:02:48.200 --> 00:02:52.540]   where I had gotten engagement at Uber
[00:02:52.540 --> 00:02:55.300]   that was working for one of their sort of sub businesses
[00:02:55.300 --> 00:02:56.940]   called Uber for Business.
[00:02:56.940 --> 00:02:58.580]   And I got an opportunity to start an agency
[00:02:58.580 --> 00:03:00.780]   because of a unique project that came about.
[00:03:00.780 --> 00:03:04.220]   But I had to negotiate a rate.
[00:03:04.220 --> 00:03:07.140]   So the scope of the project was fairly large.
[00:03:07.140 --> 00:03:10.060]   It was refreshing their website.
[00:03:10.060 --> 00:03:13.540]   They were pivoting from a freemium to a premium model.
[00:03:13.540 --> 00:03:14.900]   They wanted a new website.
[00:03:14.900 --> 00:03:19.240]   They wanted new branding, a new sort of brand narrative.
[00:03:19.240 --> 00:03:22.920]   They wanted to do focus groups on the work.
[00:03:22.920 --> 00:03:24.520]   So that by the time it went to market,
[00:03:24.520 --> 00:03:25.920]   it had been somewhat tested.
[00:03:25.920 --> 00:03:30.960]   They wanted a lot of stuff that I had been part of teams
[00:03:30.960 --> 00:03:33.680]   that had led projects of this type
[00:03:33.680 --> 00:03:35.040]   and they had been successful.
[00:03:35.040 --> 00:03:37.400]   So I felt like, well, I knew enough
[00:03:37.400 --> 00:03:39.400]   that I could feel confident
[00:03:39.400 --> 00:03:40.880]   about moving forward in that direction,
[00:03:40.880 --> 00:03:44.320]   but negotiating a rate and it was a blended rate, right?
[00:03:44.320 --> 00:03:48.320]   So a rate for copywriting, for design, for production,
[00:03:48.320 --> 00:03:53.320]   for development, for focus group moderation, for analysis,
[00:03:53.320 --> 00:03:59.680]   for at some point along the line,
[00:03:59.680 --> 00:04:03.280]   once we had been hired for media planning.
[00:04:03.280 --> 00:04:08.280]   We also did brand strategy and brand narrative.
[00:04:08.280 --> 00:04:11.940]   All of this stuff, which I had kind of sort of done
[00:04:11.940 --> 00:04:16.620]   some part of over the course of my 20-year career,
[00:04:16.620 --> 00:04:18.140]   but I never led.
[00:04:18.140 --> 00:04:19.960]   And when you're, you know,
[00:04:19.960 --> 00:04:21.700]   I finally was able to recruit a couple of colleagues,
[00:04:21.700 --> 00:04:23.980]   really talented people on the design side
[00:04:23.980 --> 00:04:26.300]   that I worked with as partners,
[00:04:26.300 --> 00:04:27.740]   but I was there negotiating the rate
[00:04:27.740 --> 00:04:28.620]   to get them in the door.
[00:04:28.620 --> 00:04:31.020]   Meaning, what was the blended rate gonna be?
[00:04:31.020 --> 00:04:32.260]   Was it $400 an hour?
[00:04:32.260 --> 00:04:33.460]   Was it $200 an hour?
[00:04:33.460 --> 00:04:36.340]   Now, mind you, I'd never hired myself out as a freelancer
[00:04:36.340 --> 00:04:40.020]   for more than 80 or $90 an hour at the time.
[00:04:40.020 --> 00:04:41.140]   So it was a huge jump.
[00:04:41.140 --> 00:04:44.420]   And sort of just the process
[00:04:44.420 --> 00:04:48.880]   of figuring out how to do that required a lot of,
[00:04:48.880 --> 00:04:50.540]   I did a lot of research, frankly.
[00:04:50.540 --> 00:04:51.780]   I talked to people.
[00:04:51.780 --> 00:04:55.060]   I read articles and books about what to do
[00:04:55.060 --> 00:04:57.580]   when you're running a digital marketing agency.
[00:04:57.580 --> 00:04:59.700]   And so I ended up negotiating this blended rate.
[00:04:59.700 --> 00:05:01.780]   And then I had to come up with a,
[00:05:01.780 --> 00:05:04.660]   I had to sign an MSA, a master services agreement,
[00:05:04.660 --> 00:05:08.320]   master service agreement with Uber.
[00:05:09.220 --> 00:05:13.540]   And so that involved having the LLC and having insurance,
[00:05:13.540 --> 00:05:15.540]   which I had to get, business insurance.
[00:05:15.540 --> 00:05:17.660]   It was just a lot of things that I had never done before.
[00:05:17.660 --> 00:05:21.060]   And I felt like, and I was really stressed out about it,
[00:05:21.060 --> 00:05:24.980]   but it was always, it was such an exciting moment,
