
[00:00:00.000 --> 00:00:08.000]   I am recording now so, but please keep talking. Don't be shy, Serada. It's okay.
[00:00:08.000 --> 00:00:18.000]   Oh, getting a bit noisy out here with street cleaning something.
[00:00:18.000 --> 00:00:23.000]   I think your headset is very good.
[00:00:23.000 --> 00:00:26.000]   Oh, good. I didn't hear anything so.
[00:00:26.000 --> 00:00:33.000]   I mean, I say street cleaning. It's more like footpath cleaning. We have a walking path along the front of our house.
[00:00:33.000 --> 00:00:44.000]   Oh, come on. I start the press in the recording, but that everybody stops talking. Well, you know.
[00:00:44.000 --> 00:00:52.000]   People don't want to just hear my voice all the time on these recordings, guys.
[00:00:52.000 --> 00:01:03.000]   There's things I wanted to cover in today's session, but then the responsible part of me says I probably ought to create a lesson before Tuesday's class, so maybe we'll do that.
[00:01:03.000 --> 00:01:19.000]   I've got a question, Jeremy. I had to leave before you finished that code change yesterday. Did you, was that actually, do you want to recap on where we got to with waiting with data levels?
[00:01:20.000 --> 00:01:24.000]   Probably not because you can just watch the video and so, like, otherwise, I guess we're just doing it.
[00:01:24.000 --> 00:01:30.000]   So, is it working now? Yeah, yeah, it's all good. You know, I mean, it's,
[00:01:30.000 --> 00:01:35.000]   the concept is working correctly in terms of the code.
[00:01:35.000 --> 00:01:41.000]   We didn't, like, get a better score, but I didn't particularly expect to either.
[00:01:44.000 --> 00:01:55.000]   You know, maybe after next Tuesday's lesson, we will revisit it because I actually think the main thing it might be useful for is what's called curriculum learning, which is basically focusing on the hard bits.
[00:01:55.000 --> 00:02:07.000]   Looks like Nick's internet still isn't working, but Nick was saying the other day that he looked at which ones we're having the errors on, which is like what we've, what we look at in the book.
[00:02:08.000 --> 00:02:20.000]   Like, looking at the classification interpretation and looking at, like, plot top losses and stuff and he said, like, yeah, all the ones that we're making, that we're getting wrong are basically from the same one or two classes.
[00:02:20.000 --> 00:02:22.000]   So,
[00:02:22.000 --> 00:02:35.000]   I haven't done much with curriculum learning in practice, like I, like all it means in theory is that we use our weighted data loader to weight the ones that we're getting wrong higher.
[00:02:36.000 --> 00:02:38.000]   And
[00:02:38.000 --> 00:02:46.000]   whether that will actually give us a better result or not, I'm not sure, but that I think that's more likely to be a
[00:02:46.000 --> 00:03:03.000]   useful path than simply reweighting things to be more balanced because we don't want things to be more balanced because the ones that we observe the most often in the test set are actually the ones we want to
[00:03:04.000 --> 00:03:06.000]   be the best at, you know.
[00:03:06.000 --> 00:03:13.000]   I will say I didn't check whether the distribution of the test set is the same as the training set.
