
[00:00:00.160 --> 00:00:04.640]   all right everybody uh let's get the show started here wait jason why are you wearing a tux what's
[00:00:04.640 --> 00:00:10.160]   going on there oh well it's time for a very emotional segment we do here on the all-in
[00:00:10.160 --> 00:00:18.480]   podcast i just got to get myself composed for this oh jason are you okay i'm i'm gonna be okay
[00:00:18.480 --> 00:00:22.960]   i think it looks like you're fighting back at tier what's yeah this is always a tough one
[00:00:23.520 --> 00:00:30.240]   this year we tragically lost giants in our industry these individuals bravely
[00:00:30.240 --> 00:00:38.320]   honed their craft at open ai before departing ilia suskeever he left he left us in may
[00:00:38.320 --> 00:00:52.240]   jan like also left in may john shulman tragically left us in august wait these are all ai employees
[00:00:52.880 --> 00:01:02.160]   yes sir it's so left on wednesday bob mcgrew also left on wednesday too short too short and mira
[00:01:02.160 --> 00:01:09.200]   mirati also left us tragically on wednesday we lost mirror too yeah and greg brockman
[00:01:09.200 --> 00:01:18.080]   is on extended leave the enforcer he left too thank you for your service your memories will live on
[00:01:19.040 --> 00:01:27.920]   as training data and may your memories be a vesting
[00:01:27.920 --> 00:01:36.080]   and it said we open source it to the fans and they've just gone crazy
[00:01:42.000 --> 00:01:48.720]   sorry oh my goodness all those losses wow that is three in one day three in one day my goodness i
[00:01:48.720 --> 00:01:50.720]   thought open ai was nothing without its people
[00:01:50.720 --> 00:02:00.640]   well i mean this is a this is a great whoa we lost them whoa what's happening wait oh wait what
[00:02:00.640 --> 00:02:08.880]   this is like the photo and back to the future wow they're just all gone wait oh no don't worry he's
[00:02:08.880 --> 00:02:15.360]   replacing everybody here we go let's replace it with a g700 a bugatti and i guess sam's got mountains of
[00:02:15.360 --> 00:02:21.200]   cash so don't worry he's got a backup plan anyway as an industry and as leaders in the industry the show
[00:02:21.200 --> 00:02:28.080]   sends its regards to sam and the open ai team on their tragic losses and congratulations on the 150
[00:02:28.800 --> 00:02:34.080]   billion dollar valuation and you're seven percent sam now just cashed in 10 billion dollars apparently
[00:02:34.080 --> 00:02:41.520]   so congratulations to fan of uh friend of the pod sam allman is the round that's all right out of some
[00:02:41.520 --> 00:02:47.520]   article right that's not like confirmed or anything is all of that done i mean it's reportedly allegedly
[00:02:47.520 --> 00:02:52.640]   that he's gonna have seven percent of the company and we can jump right into our first story i mean what i'm
[00:02:52.640 --> 00:02:57.440]   saying is has the money been wired and the dog's been signed according to reports this round is
[00:02:57.440 --> 00:03:04.800]   contingent on not being a um non-profit anymore and sorting that all out they have to remove the
[00:03:04.800 --> 00:03:10.000]   profit cap and do the c corp there's some article that reported this right none of us it's not some
[00:03:10.000 --> 00:03:15.920]   article it's bloomberg and it got a lot of traction and it was re-reported by a lot of places and i don't
[00:03:15.920 --> 00:03:22.000]   see anyone disputing it so is mainstream media we trust the mainstream media in this case because
[00:03:22.000 --> 00:03:28.480]   i think that when we could do a good bit yeah that's mine no i think that bloomberg bloomberg
[00:03:28.480 --> 00:03:34.000]   reported it based on obviously talks that are ongoing with investors who have committed to this round
[00:03:34.000 --> 00:03:40.960]   yeah and no one's disputing it has anyone said it's not true this has been speculated for months the
[00:03:42.000 --> 00:03:49.040]   150 billion valuation raising something in the range of six to seven billion if you do the math
[00:03:49.040 --> 00:03:54.400]   on that and bloomberg is correct that sam altman got his seven percent i guess that would be the
[00:03:54.400 --> 00:03:59.600]   reality is you can't raise six billion dollars without probably meeting with a few dozen firms
[00:03:59.600 --> 00:04:05.040]   and some number of junior people in those few dozen firms are having a conversation or two with
[00:04:05.040 --> 00:04:10.320]   reporters so you can kind of see how it gets out all right and before we get to our uh first story
[00:04:10.320 --> 00:04:17.440]   there about open ai congratulations to chamath let's pull up the photo here he was a featured guest
[00:04:17.440 --> 00:04:25.840]   on uh the alex jones show no sorry i'm sorry uh that would be uh joe rogan congratulations on coming to
[00:04:25.840 --> 00:04:32.800]   austin and being on joe rogan what was it like to do a three hour podcast with uh joe rogan it's great i
[00:04:32.800 --> 00:04:40.080]   mean i loved it he's really awesome he's super cool it's good to do long form stuff like this so that i can
[00:04:40.080 --> 00:04:45.040]   actually talk clearly is the limitation of this podcast is the other three of us finally you have
[00:04:45.040 --> 00:04:51.680]   found a way to make it about yourself um i saw a comment somebody commented like oh wow it's like
[00:04:51.680 --> 00:04:58.640]   amazing to hear chamath expand on topics throughout the constant eruptions also known as moderation
[00:05:00.240 --> 00:05:08.640]   someone called me someone called me from from from the 70s show i thought that was funny the the amount
[00:05:08.640 --> 00:05:16.400]   of trash talking in rogan's youtube comments it's next level it is i mean it is it is the wild wild west
[00:05:16.400 --> 00:05:22.560]   uh in in terms of the comment section on youtube yeah um a bunch of comments asking jake out why do you
[00:05:22.560 --> 00:05:27.840]   call it alex jones is that because it's just a texas short podcaster who's short and stout and they
[00:05:27.840 --> 00:05:34.560]   look similar so it's just a but i mean it looks like alex jones uh started lifting weights actually
[00:05:34.560 --> 00:05:40.960]   you know they're both uh the same height and yeah i saw joe rogan 25 years ago doing stand-up i have a
[00:05:40.960 --> 00:05:45.920]   photo with him at the club it was like a small club in san francisco and we hung out with him afterwards
[00:05:46.560 --> 00:05:52.480]   he was just like a nobody back in the day he was like a stand-up guy right now he's yeah uber star
[00:05:52.480 --> 00:05:57.840]   well you have to go back pretty far for joe rogan to be a nobody i mean he had a tv show for a long
[00:05:57.840 --> 00:06:02.480]   time and two of them he was more like a stand-up comic for a while he was a stand-up comic stand-up
[00:06:02.480 --> 00:06:07.840]   comic yeah fear factor that's right that's but didn't he also do survivor or one of those like so i
[00:06:07.840 --> 00:06:14.240]   think and then the ufc i mean this guy's got four at four i feel like that's where he blew up ufc yeah
[00:06:14.240 --> 00:06:20.000]   yeah well i mean i think he got the ufc at a fear factor and being a ufc fighter and a comedian
[00:06:20.000 --> 00:06:26.720]   and there's like a famous story where like dana white was pursuing him and he was like i don't
[00:06:26.720 --> 00:06:30.080]   know and then dana white's like i'll send a plane for you you can bring your friends he's like okay
[00:06:30.080 --> 00:06:34.960]   fine i'll do it he did it for free and then dana white pursued him heavily to become the voice of
[00:06:34.960 --> 00:06:42.400]   the ufc and yeah and obviously it's grown tremendously and it's you know worth billions of dollars okay
[00:06:43.520 --> 00:06:49.920]   so how is open ai worth 150 billion dollars can anyone apply well why don't we get into the topic
[00:06:49.920 --> 00:06:55.040]   should we make the bull case and the bear case all right open ai as we were just joking in the opening
[00:06:55.040 --> 00:07:01.680]   segment is trying to convert into a for-profit benefit corporation that's a b corp it just means
[00:07:01.680 --> 00:07:07.120]   i will explain b corp later sam altman is reportedly i thought they're converting to a c corp no it's the same
[00:07:07.120 --> 00:07:14.480]   thing b corp doesn't really benefit corporation is a c corporation variant that is not a non-profit but
[00:07:14.480 --> 00:07:22.560]   the board of directors sax is required not only to be a fiduciary for all shareholders but also for the
[00:07:22.560 --> 00:07:28.240]   stated mission of the company that's my understanding of a b corp am i right freeberg external stakeholders
[00:07:28.240 --> 00:07:34.240]   yeah so like the environment or society or whatever but it all from all other kind of legal tax
[00:07:34.240 --> 00:07:42.400]   factors it's the same as a c corp and it's a way to i guess signal to investors the market employees
[00:07:42.400 --> 00:07:49.200]   that you care about something more than just profit so famous most famous b corp i think is
[00:07:49.200 --> 00:07:54.080]   toms is that the shoe company toms that's a famous b corp somebody will look it up here patagonia
[00:07:54.080 --> 00:08:00.560]   yeah that falls into that category so for profit with a mission reuters has cited anonymous sources
[00:08:00.560 --> 00:08:06.000]   close to the company that the plan is still being hashed out with lawyers and shareholders and the
[00:08:06.000 --> 00:08:12.800]   timeline isn't certain but what's being discussed is that the uh non-profit will continue to exist as a
[00:08:12.800 --> 00:08:19.360]   minority shareholder in the new company how much of a minority shareholder i guess is uh the devil's in
[00:08:19.360 --> 00:08:27.040]   the detail there do they own one percent or 49 the uh very much discussed friedberg 100x profit cap for
[00:08:27.040 --> 00:08:33.280]   investors will be removed that means investors like vinod friend of the pod and reed hoffman also friend
[00:08:33.280 --> 00:08:40.400]   of the pod could see a 100x turn into a thousand x or more according to the bloomberg report sam waltman's
[00:08:40.400 --> 00:08:46.160]   going to get his equity finally seven percent that would put him at around 10.5 billion if this is all true
[00:08:46.880 --> 00:08:54.880]   and open ai could be valued as high as 150 billion dollars we'll get into all the shenanigans but
[00:08:54.880 --> 00:08:59.760]   let's start with your question freeberg and since you asked it i'm going to boomerang it back to you
[00:08:59.760 --> 00:09:09.920]   make the bull case for 150 dollar 150 billion dollar valuation the bull case would be that the moat in the
[00:09:09.920 --> 00:09:16.880]   business with respect to model performance and infrastructure gets extended with the large amount
[00:09:16.880 --> 00:09:22.400]   of capital that they're raising they aggressively deploy it they are very strategic and tactical
