
[00:00:00.120 --> 00:00:01.840]   I'm having technical difficulties.
[00:00:01.840 --> 00:00:06.120]   So the first thing we're going to show here is just we can have different setups since
[00:00:06.120 --> 00:00:11.560]   each of the agents that Amon was showing you, we can give them not only different tasks but
[00:00:11.560 --> 00:00:12.560]   also different LMs.
[00:00:12.560 --> 00:00:17.560]   So the one that we're going to be showing here is using Claude Son at 3.7 as the supervisor
[00:00:17.560 --> 00:00:22.400]   and the agents below that are all going to be using GPT-4, but we can switch to using
[00:00:22.400 --> 00:00:25.560]   like a Mistral local with a Cohera.
[00:00:25.560 --> 00:00:31.680]   For this demonstration, you're looking at Son at 3.7 and OpenAI's LLM.
[00:00:31.680 --> 00:00:37.540]   So this would be a typical question that a renewals manager might ask, show me the top five deals
[00:00:37.540 --> 00:00:38.820]   aggregated by ATR.
[00:00:38.820 --> 00:00:44.800]   Also, I want to point out that ATR may not be understood by the LLM, and we'll show you
[00:00:44.800 --> 00:00:50.500]   later on how it understands what ATR is within the context of this question.
[00:00:50.500 --> 00:00:55.500]   For all the customers, along with their renewals risk severity level sentiment classification,
[00:00:55.500 --> 00:00:58.380]   an adoption score, and a tabular format.
[00:00:58.380 --> 00:01:03.980]   So this question is a good one because it will utilize all of the agents that we were just
[00:01:03.980 --> 00:01:05.040]   showing.
[00:01:05.040 --> 00:01:07.280]   And so we're going to hit send on that.
[00:01:07.280 --> 00:01:10.640]   I'm probably going too fast.
[00:01:10.640 --> 00:01:14.740]   And so while the agents are working on answering that question, we're just going to switch over
[00:01:14.740 --> 00:01:17.620]   again to the infrastructure that we have here.
[00:01:17.620 --> 00:01:25.100]   And if we look at what we have as far as the agents and then look at the studio version
[00:01:25.100 --> 00:01:30.100]   of that, we can see that the supervisor is going to create an action plan.
[00:01:30.100 --> 00:01:34.240]   Once it's created, the action plan is then going to call one or several of these agents.
[00:01:34.240 --> 00:01:39.100]   And then once the agents are complete, it will go back to the supervisor, which will synthesize
[00:01:39.100 --> 00:01:41.980]   the results as the final answer for the user.
[00:01:41.980 --> 00:01:49.400]   And so if we look at each one of the agents individually, we can see that they're all set up similar, where
[00:01:49.400 --> 00:01:50.460]   they're going to handle the input.
[00:01:50.460 --> 00:01:52.860]   So it's going to format the input properly.
[00:01:52.860 --> 00:01:55.860]   And then we have a react style for each one of these.
[00:01:55.860 --> 00:02:00.960]   And so they're all pretty much set up the same, except they have access to different tables.
[00:02:00.960 --> 00:02:01.980]   Their prompts are different.
[00:02:01.980 --> 00:02:06.940]   So they're being set up to specialize in the tasks that they're meant to do.
[00:02:06.940 --> 00:02:12.640]   And then Aman also mentioned the discovery agent, which I'm not sure we're going to have time
[00:02:12.640 --> 00:02:13.820]   in the presentation to go over.
[00:02:13.820 --> 00:02:18.380]   But the discovery agent is there for those questions that come in that are very vague.
[00:02:18.380 --> 00:02:21.620]   And we don't quite-- the LLN doesn't quite understand what the user wants.
[00:02:21.620 --> 00:02:27.740]   But it's given access to a semantic model, which essentially is all the metadata for the database
[00:02:27.740 --> 00:02:32.760]   behind it so that it can hold a conversation and extract from the user what they're actually
[00:02:32.760 --> 00:02:33.760]   looking for.
[00:02:33.760 --> 00:02:39.180]   And we know we can answer that question because the conversation is based on the metadata for
[00:02:39.180 --> 00:02:42.340]   the tables behind the answer for that.
[00:02:42.340 --> 00:02:48.980]   And so we're back now to that question that I asked, and we get a nice rich output for that.
[00:02:48.980 --> 00:02:55.140]   And so a renewals manager could use this to start looking for things that they should work on.
[00:02:55.140 --> 00:02:59.540]   But before we get back into the business use case, we're going to take a little behind-the-scenes look.
[00:02:59.540 --> 00:03:03.200]   And so a lot of this, you saw Lance show earlier.
[00:03:03.200 --> 00:03:06.340]   And so we're going to just look at the traces for what was going on.
[00:03:06.340 --> 00:03:12.540]   So here we can see the AI assistant, which essentially is the supervisor, is involved.
[00:03:12.540 --> 00:03:18.460]   And then hands out the tasks to the renewals, the sentiment, and the adoption agent.
[00:03:18.460 --> 00:03:24.300]   And so if we look, again, what's going on at the supervisor level, the first thing that's going to happen--
[00:03:24.300 --> 00:03:31.700]   first we can see that within Linesmith, we can see all of the different nodes that we're executing within the graph here.
[00:03:31.700 --> 00:03:35.860]   And as we dive in deeper, the first thing it's going to do is categorize the question.
[00:03:35.860 --> 00:03:37.860]   Does this question need an agent?
[00:03:37.860 --> 00:03:39.860]   Is it something that's unrelated?
[00:03:39.860 --> 00:03:42.420]   Or does it need discovery because it's a vague question?
[00:03:42.420 --> 00:03:46.180]   So in this case, it identified that agents are required.
[00:03:46.180 --> 00:03:48.820]   It gives the reason for that.
[00:03:48.820 --> 00:03:53.140]   The first thing we do is each agent has also access to a vector store.
[00:03:53.140 --> 00:03:58.180]   So the first thing we're going to see is do we have any examples of the question that I'm being asked.
[00:03:58.180 --> 00:04:00.820]   And if we do, we're going to use those examples.
[00:04:00.820 --> 00:04:02.580]   In this case, there was no examples.
[00:04:02.580 --> 00:04:10.180]   So the LLM is going to try to dissect that question and decide which agents are needed.
[00:04:10.180 --> 00:04:17.380]   And so in this case, it decided that the question requires both the renewals, the sentiment, and the adoption agent.
[00:04:17.380 --> 00:04:21.940]   And breaks up the question into individual tasks that those agents have to perform.
[00:04:21.940 --> 00:04:26.500]   And so if we now go in and we look at what the renewals agent does,
[00:04:26.500 --> 00:04:32.420]   again, we can see that the nodes within the graph are well represented within Linesmith.
[00:04:32.420 --> 00:04:34.980]   And so now we're going to go down to the end here.
[00:04:34.980 --> 00:04:37.300]   We're going to start walking through what the renewals agent would do.
[00:04:37.300 --> 00:04:41.300]   So the first thing we see are the tools that the renewals agent has access to.
[00:04:41.300 --> 00:04:44.660]   So it has access to four SQL tools where it can list the tables.
[00:04:45.220 --> 00:04:46.900]   It can create a query.
[00:04:46.900 --> 00:04:48.420]   It can get the schema of the table.
[00:04:48.420 --> 00:04:50.020]   And there's a query checker.
[00:04:50.020 --> 00:04:53.140]   We also have search examples because for the renewals agent,
[00:04:53.140 --> 00:04:58.180]   it needs to do some research on the internet for some of the questions that they may ask.
[00:04:58.180 --> 00:05:02.660]   As well as, well actually, search examples from the vector store and the web searches
[00:05:02.660 --> 00:05:04.660]   for anything that needs to go out on the web floor.
[00:05:04.660 --> 00:05:06.980]   Then we see the system prompt.
[00:05:06.980 --> 00:05:08.180]   Oh my gosh.
[00:05:08.180 --> 00:05:10.660]   Sorry.
[00:05:10.660 --> 00:05:12.100]   A lot of technical things.
[00:05:12.100 --> 00:05:16.740]   Then we see the task that it was assigned by the supervisor.
[00:05:16.740 --> 00:05:19.940]   We then see that it's going to search for examples.
[00:05:19.940 --> 00:05:21.940]   In this case, it does find an example.
[00:05:21.940 --> 00:05:25.780]   As part of that example, we give it steps that it could do.
[00:05:25.780 --> 00:05:28.340]   In this case, this is a very simple example.
[00:05:28.340 --> 00:05:32.020]   We just literally give it the English steps that it needs to follow,
[00:05:32.020 --> 00:05:34.900]   as well as an example output that we would like the output to be.
[00:05:36.100 --> 00:05:38.740]   It then goes and lists the tables that it has access to.
[00:05:38.740 --> 00:05:42.820]   It then goes and gets the schema of those tables.
[00:05:42.820 --> 00:05:45.620]   Now as part of the schema, we also have been leveraging,
[00:05:45.620 --> 00:05:49.700]   Snowflake has something known as a cortex semantic model.
[00:05:49.700 --> 00:05:56.660]   So we're not using their LLMs, but we are leveraging their data model for doing semantic
[00:05:56.660 --> 00:06:02.340]   modeling, which essentially is metadata for the tables.
[00:06:02.340 --> 00:06:09.780]   So here we can see we have the column names, but we also have sample values that are in that column,
[00:06:09.780 --> 00:06:14.980]   synonyms that a user may say, you know, client ID,
[00:06:14.980 --> 00:06:19.700]   which we can then map back to the column name of the cat view ID.
[00:06:21.460 --> 00:06:28.020]   There's other information here, such as for this total customers is, I mean, this one is a simple one.
[00:06:28.020 --> 00:06:29.140]   It's just the count.
[00:06:29.140 --> 00:06:33.860]   But in some cases, things like filters or calculations are in here.
[00:06:33.860 --> 00:06:38.580]   Here's one, for instance, where high-risk deal count.
