
[00:00:00.000 --> 00:00:03.160]   Hello, it's Sam here from Financial Samurai and in this episode
[00:00:03.160 --> 00:00:06.880]   I'm going to talk about why quitting your job is selfish and why
[00:00:06.880 --> 00:00:11.360]   Engineering your layoff is the ethical and right way to go
[00:00:11.360 --> 00:00:15.080]   So when some people find out that I engineered my layoff
[00:00:15.080 --> 00:00:18.440]   They kind of look at me funny and say well, what is that?
[00:00:18.440 --> 00:00:21.740]   And when I explain to them what engineering your layoff is
[00:00:21.740 --> 00:00:27.600]   They look at me further and say you know what that sounds ethical and that's not right for me
[00:00:27.600 --> 00:00:33.640]   And I'm always always surprised by this response in this day and age of zero job security
[00:00:33.640 --> 00:00:37.100]   Most people do not have pensions anymore
[00:00:37.100 --> 00:00:37.760]   You know
[00:00:37.760 --> 00:00:45.680]   Maybe it's like less than 20% of employees have pensions because I certainly didn't and many people who work in any private industry
[00:00:45.680 --> 00:00:48.280]   Don't have pensions either
[00:00:48.280 --> 00:00:56.340]   Further no longer do employers keep their employees around for decades because the world is just too competitive now
[00:00:56.340 --> 00:01:00.920]   It's cutthroat thanks to globalization and much poorer people around the world
[00:01:00.920 --> 00:01:05.880]   Looking at our lifestyles in America and wanting to eat our lunch dinner and breakfast
[00:01:05.880 --> 00:01:11.840]   And then of course technology has done away with a lot of jobs and have made a lot of jobs redundant
[00:01:11.840 --> 00:01:14.040]   during my days on Wall Street
[00:01:14.040 --> 00:01:15.920]   We would have
[00:01:15.920 --> 00:01:21.480]   traders and equity sales traders and now everything is done algorithmically or
[00:01:21.900 --> 00:01:27.120]   Online electronic trading so clients don't have to talk to anybody and these jobs that once paid
[00:01:27.120 --> 00:01:30.320]   500,000 to 2 million dollars are really no more
[00:01:30.320 --> 00:01:35.280]   So going back to the ethical comment or the unethical comment of engineering your layoff
[00:01:35.280 --> 00:01:41.460]   One could argue that if you're not doing everything possible to fight for yourself and your family's financial security
[00:01:41.460 --> 00:01:43.820]   You're the one being unethical
[00:01:43.820 --> 00:01:46.240]   That or you're just ignorant
[00:01:46.400 --> 00:01:50.080]   Quitting your job is selfish compared to negotiating a severance
[00:01:50.080 --> 00:01:53.160]   I really want to make this point clear in this podcast
[00:01:53.160 --> 00:01:59.000]   The only way quitting your job is not selfish is if you were a terrible deadweight employee
[00:01:59.000 --> 00:02:04.000]   Who was a cancer to your team in such a scenario you quitting is like?
[00:02:04.000 --> 00:02:09.560]   your colleagues and your managers throwing a party and saying hallelujah because oftentimes it is very
[00:02:09.560 --> 00:02:13.100]   Very hard to remove an underperforming employee
[00:02:13.360 --> 00:02:19.400]   Even though there is a fire at will clause because of potential discrimination lawsuits and so forth
[00:02:19.400 --> 00:02:25.260]   So let's go through in detail why it's always best to engineer your layoff instead of quitting your job
[00:02:25.260 --> 00:02:31.520]   So first of all, if you quit your job, you're leaving your colleagues and your manager in a bind
[00:02:31.520 --> 00:02:36.760]   So if you broadside your manager and colleagues by quitting you're dumping all your work onto them
[00:02:36.760 --> 00:02:41.280]   The reason why you had a job was because you provided more value than you cost
[00:02:41.280 --> 00:02:47.320]   otherwise, you didn't wouldn't have a job right so it often takes months to find a replacement and
[00:02:47.320 --> 00:02:53.440]   Months more to train your replacement to do a proper job for my job in equity sales and trading
[00:02:53.440 --> 00:03:02.000]   It could take easily three months to find a replacement and then three to six months to train someone to take over the accounts
[00:03:02.000 --> 00:03:05.960]   And do all that stuff. So quitting your job creates a lot of lost
[00:03:05.960 --> 00:03:10.200]   productivity and ultimately lost revenue and time
[00:03:10.720 --> 00:03:17.520]   - you hurt your clients who depended on your services if you're in a revenue-producing role quitting your job one day means your clients can
[00:03:17.520 --> 00:03:19.520]   No longer count on you for advice or service
[00:03:19.520 --> 00:03:24.440]   This is especially disruptive if you've been their point person for years and years and years
[00:03:24.440 --> 00:03:31.160]   Clients come to rely on people and by quitting you're telling them you don't care about them and only yourself
[00:03:31.160 --> 00:03:34.760]   Three you're hurting your future job prospects
[00:03:34.760 --> 00:03:41.560]   If you haven't lined one up already and even if you have I got to say if you're so selfish as to quit on your
[00:03:41.560 --> 00:03:42.760]   colleagues and your clients
[00:03:42.760 --> 00:03:48.160]   You will have fewer supporters when you apply for a new job in the future and that will be an inevitability
[00:03:48.160 --> 00:03:52.520]   Or if you want to start your own business people will be a little bit suspect
[00:03:52.520 --> 00:03:59.360]   Nobody's gonna write you a favorable recommendation letter when you didn't give them a chance to properly transition your work and coverage
[00:03:59.360 --> 00:04:01.880]   For you hurt your reputation
[00:04:02.480 --> 00:04:04.480]   Nobody likes a quitter. Let's be honest
