
[00:00:00.040 --> 00:00:10.720]   fight
[00:02:21.140 --> 00:02:32.600]   I
[00:02:32.600 --> 00:02:50.960]   cook there,,,, in a camp in a of就 Och Per I кни
[00:03:19.080 --> 00:03:20.980]   and I'm really grateful for them. I have an intense emotional connection with the topic of camping. I have this intense affinity
[00:03:41.820 --> 00:03:51.900]   realize
[00:03:51.900 --> 00:03:53.140]   be. I,
[00:03:53.140 --> 00:04:09.900]  ную
[00:04:09.900 --> 00:04:11.320]   door Kris
[00:06:33.760 --> 00:06:44.500]   not
[00:06:44.500 --> 00:06:46.740]   involve the that Jang
[00:06:46.740 --> 00:06:53.140]  zo, and, and, and,,,,,,,,, feel gia Hospital mixing E свид Lastlyли deiimerk даль make ground Gr vitamin Tex. I've control the D. I'm. I'm a r. I've. I'm. I. I. I. Yeah, I, and, and, I, and, and, and, and, and, add, Ded, out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, build think, de Passion
[00:10:19.540 --> 00:10:29.820]   it
[00:10:29.820 --> 00:10:48.520]   Grund, not poi
[00:12:17.340 --> 00:12:17.340]   and
[00:12:46.800 --> 00:12:47.360]   I
[00:12:47.360 --> 00:12:47.360]   I'm not going to go ahead and go for a big luxury motorhome, a $100,000 RV of some kind. So you're looking for something in the middle. Well, basically you'll look at a $100,000 RV of some kind.
[00:13:46.880 --> 00:14:15.100]   where
[00:14:43.560 --> 00:14:53.140]   Low
[00:14:53.140 --> 00:15:03.280]   el實 belonged
[00:15:03.280 --> 00:15:11.560]   be the. ., and, and, and, and, and, limit I, disciplined
[00:15:11.560 --> 00:15:11.860]  .. тех-G-只有-"---------------. la dried taur- care. Wein thinksstellung Geoff area�怎樣 느낦� create happen Herman 그런데 Naiاي зар jawbed인가 married Latin cic visto gordуг BelOne ged Wordathan brush Chi under αυτόב provide avere meeting jewe contrib El provide knew earned hält則 the는 demandimo I tallest represent hideiellabor a� cas,ploy, ITP, ripe, count, are, AA,yen, Promise, Boy, Kansas, clever, 12, he, has, demand, Pr,嗎, candles, four,
[00:15:11.960 --> 00:15:16.980]   and/or you have a small propane heater often built into the camper.
[00:15:16.980 --> 00:15:20.780]   So you're adequate to cover yourself when it's cold.
[00:15:20.780 --> 00:15:26.380]   Or if you don't have something built in, you are in an enclosed space that's small enough,
[00:15:26.380 --> 00:15:28.380]   has a little bit better insulation than most tents,
[00:15:28.380 --> 00:15:32.480]   so you can just use some kind of portable heater inside of the camper.
[00:15:32.480 --> 00:15:37.880]   So these, so a tent, a pop-up camper offers all of the basic amenities.
[00:15:37.880 --> 00:15:40.280]   There's very little difference in terms
[00:15:40.280 --> 00:15:40.280]   of the weight of the system,
[00:15:40.280 --> 00:15:40.280]   There's very little difference in terms of the weight of the system,
[00:15:40.280 --> 00:15:40.280]   There's very little difference in terms of the weight of the system,
[00:15:40.280 --> 00:15:40.280]   There's very little difference in terms of the weight of the system,
[00:15:40.280 --> 00:15:40.280]   There's very little difference in terms of the weight of the system,
[00:15:40.280 --> 00:15:40.280]   There's very little difference in terms of the weight of the system,
[00:15:40.320 --> 00:16:08.620]   of a pop-up camper work versus a large half-million dollar motorhome.
[00:16:08.620 --> 00:16:08.720]   All the systems basically work the same.
[00:16:08.720 --> 00:16:08.720]   The motorhome has a heater and it has ducting down into the bays underneath,
[00:16:08.760 --> 00:16:19.820]   just
[00:16:19.820 --> 00:16:36.900]   Mad M過 play,,,,, machineilling 고민கох cover things Sh Just El It's in the test, and the underlying learn, and, and, you're, and, I, bad, "B"","", ",",", or, of, et, ent Professor say, ISO bacon except으로 This Brage deck and 수� jewels as sevi子
[00:16:37.060 --> 00:16:48.460]   ineffective
[00:16:48.460 --> 00:16:48.660]   like,,, thought Le T T Bar O
[00:17:05.820 --> 00:17:34.500]  選用ful for bed, ,,. Not great to hang out in, pretty small, but it has lots of bed space and it gets you out of the weather when you need to. Other big, big benefits of a pop-up camper, though. A pop-up camper is easy to tow, probably with the vehicle that you have. And when you're towing, the boys, you're needing to buy another vehicle, a special vehicle, and it's not as tiring to have it. When I bought a travel trailer, I bought a travel
[00:17:34.500 --> 00:17:34.540]   and then I bought a big one.
[00:17:34.540 --> 00:17:34.540]   I bought a travel trailer, and then I bought a big one.
[00:17:34.540 --> 00:17:34.540]   I bought a travel trailer, and then I bought a big one.
[00:17:34.540 --> 00:17:34.540]   I bought a travel trailer, and then I bought a travel trailer, and then I bought a travel trailer, and then I bought a big one.
[00:17:34.540 --> 00:17:34.540]   I bought a travel trailer, and then I bought a travel trailer, and then I bought a big one.
[00:17:34.760 --> 00:18:03.300]   I bought a travel trailer, and then I bought a big one.
[00:18:03.300 --> 00:18:03.300]   I bought a travel trailer, and then I bought a big one.
[00:18:03.300 --> 00:18:03.300]   I bought a travel trailer, and then I bought a big one.
[00:18:03.300 --> 00:18:03.340]   I bought a travel trailer, and then I bought a big one.
[00:18:03.380 --> 00:18:05.760]   show
[00:18:05.760 --> 00:18:30.080]   be, baby,,, connected
[00:19:30.200 --> 00:19:39.200]  滴: "I was working with a friend of mine. He said that he would drive me to Texas. He said that it would be really simple and nimble and he would drive me to Texas and that way I wouldn't have to bother with the hotel. I can just camp along the way. It would just be me traveling. It would be really wonderful."
[00:19:39.200 --> 00:19:59.100]   It was work. I very, I did use it a couple of times. But it was big. It was thirsty. And it was work to drive it. And I got to the point where I realized that even though I had this nice RV and I had all the stuff in it. I had all the amenities.
[00:20:28.040 --> 00:20:28.040]   It was an RV. It was a comfortable bed. I would just assume either just stay in the hotel, drive a car or fly and stay in the hotel like normal people do. Or just stay in my minivan. More comfortable and easier to drive. And if I'm going to go a thousand miles, it's just a lot less work and a lot cheaper to drive a minivan than drive this Class B RV.
[00:20:28.040 --> 00:20:56.980]  , but it was no big deal. I'm good at driving it. I'm good at backing it, etc. But when I had it, I never took it on any short term trips. But it was such a hassle to hook the thing up and to deal with where am I going to park it, etc. I didn't think I would ever use it for a short term trip. It wasn't the kind of thing where I would use it for a quick weekend getaway. Just too much of a hassle. I wouldn't want to drag it to North Carolina. North Carolina is not that far away, but it would just be a hassle for me to drag it to North Carolina.
[00:20:57.760 --> 00:21:07.720]   對不對
[00:21:07.720 --> 00:21:25.240]  第一個 nouveaux another down, and, and, and,護,role, circa,inson, hast. a light. end. San. Você're not leadership is他们 follow their's isia's they're money as aanny they're the end. I'm, find the day, their, T. I, the, details, 1920. And, 따라, get,if,ła,에서,顯,이는, é, formatting, Jas,��, jest,assa, چ, format, diets,화, at, count, esper, maintain, include, prevent,�, music, �,
[00:21:25.240 --> 00:21:25.960]   apparatus, men, switches, nhé, gather, no, peut, woo, emit, crでも, is, contenido, Kar, paper in, all, он, trapped, but,ού, car, able to take, Вот, Final, his:. nhi, prove,
[00:21:26.080 --> 00:21:54.400]  's
[00:21:56.060 --> 00:22:26.060]   I have camped in them as an adult, borrowed friends and relatives.
[00:22:26.060 --> 00:22:26.060]   It's not at all intimidating or annoying to drag it three states away, whereas a large travel trailer is, even if you're well-equipped for it.
