
[00:00:00.000 --> 00:00:21.760]   So today we are going to talk about data as your differentiator or maybe about coconuts.
[00:00:21.760 --> 00:00:28.080]   Let's see, right? So that's why I was like I'm confident that I'll wake you up a little bit.
[00:00:28.080 --> 00:00:33.760]   And by the way, these coconuts dance also. Courtesy of Amazon models.
[00:00:33.760 --> 00:00:42.960]   Okay, enough about coconuts and we'll connect the dots and revisit our coconuts because they're dancing and I love dancing coconuts.
[00:00:42.960 --> 00:00:48.000]   Right? Remind us of the beach and the, you know, vacation and everything.
[00:00:48.000 --> 00:00:51.280]   But let's come back from vacation now. Serious work to do.
[00:00:51.280 --> 00:00:55.200]   Okay, so we have been talking about generative AI.
[00:00:55.200 --> 00:01:00.880]   And we all know that generative AI adds a lot of business value.
[00:01:00.880 --> 00:01:04.880]   If done right. Right? That's a big if.
[00:01:04.880 --> 00:01:10.880]   And it can take your business to the highest level as you can see in this image.
[00:01:10.880 --> 00:01:20.560]   But however, when you are building something that big that can change how your users interact with your applications,
[00:01:20.560 --> 00:01:24.560]   then think about the foundation. Right?
[00:01:24.560 --> 00:01:30.240]   The foundation has to be even deeper. And what is that foundation?
[00:01:30.240 --> 00:01:38.240]   That's your data. Because your data is representing your company, your brand, your organization.
[00:01:38.240 --> 00:01:40.240]   So you have to get the data together.
[00:01:40.240 --> 00:01:44.320]   And we all know this since the very beginning of machine learning world.
[00:01:44.320 --> 00:01:49.920]   And you would say, money, what is new that you are, that you are, that you are, you know, presenting over here.
[00:01:49.920 --> 00:01:55.600]   So the new thing is that the data requirements for building generative AI applications
[00:01:55.600 --> 00:02:02.720]   are different. Generative AI is different. And so there are special treatment that you need to give
[00:02:02.720 --> 00:02:07.600]   to the data based on your application and the business requirements.
[00:02:07.600 --> 00:02:10.480]   So that is exactly what we are going to talk about today.
[00:02:10.480 --> 00:02:15.200]   And data is not just about, okay, I have to transform my data.
[00:02:15.200 --> 00:02:18.800]   I have to load my data. I have to parse it. I have to load it. You know, all that stuff.
[00:02:18.800 --> 00:02:24.240]   That is still there and very important. But the most important thing is how is your data
[00:02:24.240 --> 00:02:28.960]   interacting with the technology? How is it interacting with your people?
[00:02:28.960 --> 00:02:35.520]   Do you still have data silos? If yes, then what about your applications? Because these models can take up
[00:02:35.520 --> 00:02:43.520]   lots and lots of data, right? So how are we doing with all those interactions? Because no longer we can afford to be in a silo.
[00:02:43.520 --> 00:02:50.560]   And that's what that's the exact reason why we have to get it right. And our foundation is
[00:02:50.560 --> 00:02:53.280]   data. So let's see.
[00:02:53.280 --> 00:02:58.960]   Now there are certain common applications. Let's take an example. And there are so many
[00:02:58.960 --> 00:03:02.480]   applications. The possibilities are in finite, right?
[00:03:03.120 --> 00:03:08.800]   However, let's, you know, break it down and see with these three applications how your
[00:03:08.800 --> 00:03:15.760]   data requirements may differ. The first example is the travel agent. So if you're building a travel
[00:03:15.760 --> 00:03:21.040]   agent, what kind of data would you need? First, with that travel agent, it's going to interact with
[00:03:21.040 --> 00:03:28.720]   your end users. So it needs to know about your customer profile, right? Because if it doesn't know about
[00:03:28.720 --> 00:03:35.200]   your customer profile, it's literally like remembering somebody's name when they have left the room.
[00:03:35.200 --> 00:03:41.200]   How weird that would be, right? Because you want to give personalized experience and personalized
[00:03:41.200 --> 00:03:47.040]   experience require personalized data. And it also brings up a lot of responsibility because you can no
[00:03:47.040 --> 00:03:54.320]   longer afford to have PII information disclosed. You have to be responsible. You have to maintain your brand
[00:03:54.320 --> 00:04:00.560]   image. In addition to that, you also need company data. For example, your travel policies. If somebody
[00:04:00.560 --> 00:04:06.560]   asks for a refund, whether that person qualifies for the refund of the ticket or not, it will be defined
[00:04:06.560 --> 00:04:12.720]   by your travel policies, which airlines, so on and so forth, right? So a lot goes into when you are
[00:04:12.720 --> 00:04:17.840]   building like a virtual agent, for example, a travel agent in that scenario. However, if you're building a
[00:04:17.840 --> 00:04:24.000]   conversational contextual chat bot for improving the employee productivity for common questions,
[00:04:24.000 --> 00:04:29.600]   what do you really need? You need data about your company? Absolutely. You need to make sure that that
[00:04:29.600 --> 00:04:37.200]   employee has access to that data and you are not by mistake giving additional access more than that is
[00:04:37.200 --> 00:04:43.280]   required. So super important. And then you need other integrations like how this conversational
[00:04:43.280 --> 00:04:49.920]   chat bot will be presented, whether it's a Slack integration. It can be anything, maybe a custom
[00:04:49.920 --> 00:04:55.200]   application, so on and so forth. And the data can reside in different data sources. So that's another
[00:04:55.200 --> 00:05:00.240]   thing. The third use case talks about the marketing. If you're building it for a brand, so obviously
[00:05:00.240 --> 00:05:07.200]   those data requirements will be different. So now that we have established that our data requirements
[00:05:07.200 --> 00:05:13.840]   will be different for different use cases. So now let's take a deeper dive and double click on the
[00:05:13.840 --> 00:05:20.320]   travel agent. Let's say I have a travel agent. What do I need? First, we all know about the prompting.
[00:05:20.320 --> 00:05:26.320]   I'm not going to repeat that in this session. So you need a prompt, you need a system prompt, plus your user
[00:05:26.320 --> 00:05:31.920]   queries and your user queries will become part of your prompt, right? So the query will be passed into.
[00:05:31.920 --> 00:05:38.480]   That's again, your data, the instructions is your data. And sometimes you can have like a prompt,
[00:05:38.480 --> 00:05:43.360]   catalog or a template, based on different requirements, your agent might choose to pick
[00:05:43.360 --> 00:05:49.600]   up a specific prompt, you know, who knows, the way you design or the way your business requirements are
[00:05:49.600 --> 00:05:55.840]   will derive how the design will look like. Then the second third is context. Now this context is no longer
