
[00:00:00.000 --> 00:00:03.260]   So what I want to do today the deep question I want to dive into today
[00:00:03.260 --> 00:00:06.580]   Based on this article as a starting point. It's going to be
[00:00:06.580 --> 00:00:09.400]   Why is it important to?
[00:00:09.400 --> 00:00:12.120]   read books
[00:00:12.120 --> 00:00:26.200]   I'm Cal Newport and this is deep questions the show about living and working deeply in an increasingly
[00:00:26.200 --> 00:00:28.640]   distracted world
[00:00:29.640 --> 00:00:31.360]   I'm
[00:00:31.360 --> 00:00:33.260]   Here my deep work
[00:00:33.260 --> 00:00:35.680]   HQ joined as always by my
[00:00:35.680 --> 00:00:38.480]   producer Jesse
[00:00:38.480 --> 00:00:43.120]   Jesse I'm gonna make an announcement about something that you in particular have been working on in
[00:00:43.120 --> 00:00:46.000]   recent months, which is our
[00:00:46.000 --> 00:00:48.840]   new ish website
[00:00:48.840 --> 00:00:51.000]   the deep life
[00:00:51.000 --> 00:00:52.200]   calm
[00:00:52.200 --> 00:00:59.760]   So we soft launched this a couple months ago just to get used to the interface and to start populating it in content with content
[00:00:59.760 --> 00:01:06.280]   But the deep life comm is the official home among other things of this podcast
[00:01:06.280 --> 00:01:13.240]   Every episode has its own page at the deep life comm where you can listen to the episode
[00:01:13.240 --> 00:01:15.320]   Find it in all the various players
[00:01:15.360 --> 00:01:22.800]   Also any videos related to that episode to be found right there on the episodes page as well
[00:01:22.800 --> 00:01:27.320]   So that is going to be the home for this podcast the site for this podcast
[00:01:27.320 --> 00:01:32.920]   It's also the home for all of the video that we produce. So all of the video we produce
[00:01:32.920 --> 00:01:38.440]   Related to the podcast as well as the standalone videos that we produce
[00:01:39.120 --> 00:01:46.680]   Infrequently now, but probably more frequently in the future. All of those will be housed in addition to on YouTube at Cal Newport
[00:01:46.680 --> 00:01:49.840]   Meet YouTube slash California. They'll also be housed at
[00:01:49.840 --> 00:01:56.640]   The deep life comm so if you want to watch podcast episodes watch clips from episodes watch other videos
[00:01:56.640 --> 00:02:02.540]   We've done like our weekly update videos, but you're suspicious for example of the YouTube recommendation algorithms
[00:02:02.540 --> 00:02:06.760]   Watch them at the deep life comm nice clean interface in our
[00:02:07.520 --> 00:02:11.320]   Environment. So if you want to understand the idea behind this I mentioned this briefly
[00:02:11.320 --> 00:02:16.580]   Sort of buried in a recent episode in my answer to one of my questions
[00:02:16.580 --> 00:02:22.360]   But the reason why I've launched this separate website the deep life comm is that I'm trying to get some clarity
[00:02:22.360 --> 00:02:30.200]   between my work as an academic and writer and public intellectual where I write books and academic
[00:02:30.200 --> 00:02:36.940]   Articles and public facing articles for the New Yorker and I explore a lot of topics all roughly within this general this general
[00:02:37.200 --> 00:02:43.320]   Frame of technology and its impact on culture and society. I wanted there to be some clarity between that world and
[00:02:43.320 --> 00:02:51.600]   The direct engagement I do with you my listeners and readers with things like this podcast like my videos on the specific goal of trying
[00:02:51.600 --> 00:02:53.440]   to cultivate a deeper life
[00:02:53.440 --> 00:03:00.900]   Because unlike other I would say other personalities that are out there where their entire existence is tied up in their direct
[00:03:00.900 --> 00:03:05.600]   Engagement with their readers or listeners. They're a a YouTube podcaster and that's it
[00:03:05.600 --> 00:03:08.080]   I have this whole other life in the world of idea
[00:03:08.080 --> 00:03:11.560]   So the way I see it is I'm a thinker who writes and thinks about a lot of things
[00:03:11.560 --> 00:03:15.560]   I spun off this separate move at the deep life comm with the very
[00:03:15.560 --> 00:03:20.640]   Specific goal of being as I say at the top of that website the online home for the deep life movement
[00:03:20.640 --> 00:03:24.520]   So right now it's where my podcast is right now. It's where my videos are
