
[00:00:00.000 --> 00:00:19.440]   All right. Hello, everyone. I hope you have enough space.
[00:00:19.440 --> 00:00:29.160]   No, thanks so much for joining. We're building multilingual conversational AI agents.
[00:00:29.160 --> 00:00:36.160]   I know it's a bit of a mouthful. But yeah, hopefully we'll get something going.
[00:00:36.160 --> 00:00:44.160]   Yeah. So different than on the poster, we're not from Evelyn Labs, we're from Eleven Labs.
[00:00:44.160 --> 00:00:51.160]   Can I get a quick show of hands? Have you heard of Eleven Labs? Okay. Everyone has heard of it.
[00:00:51.160 --> 00:00:58.320]   That's great. So we can do some nice things today. Maybe look at some new stuff.
[00:00:58.320 --> 00:01:08.320]   Maybe you haven't played with yet. So this is me. I'm Thor here on the right side of the screen.
[00:01:08.320 --> 00:01:17.320]   I work on developer experience at Eleven Labs. So a lot of it is kind of the conversational AI agents platform.
[00:01:17.320 --> 00:01:27.320]   And I also have my colleague Paul here with me. So if you have kind of any questions, you know, throughout the workshop later on,
[00:01:27.320 --> 00:01:32.320]   we'll be floating around and, you know, happy to kind of, you know, answer your questions.
[00:01:32.320 --> 00:01:40.320]   So feel free to just put your hand up and we'll be floating around later. Yeah. Paul works with me on developer experience.
[00:01:40.320 --> 00:01:50.320]   So if you have any feedback as well, you know, on documentation, examples, developer experience, or generally just the product, do let us know.
[00:01:50.320 --> 00:02:07.320]   Yeah. Also this, you can scan the QR code to get the slides. So there's a couple of resources that are linked in the slides, as well as there's a form where you can fill in your email address if you want to get some credits.
[00:02:07.320 --> 00:02:15.320]   So we can give you, you know, a couple of credits for the next three months to sort of, you know, play around with Eleven Labs and kind of try this out.
[00:02:15.320 --> 00:02:26.320]   So, yeah, feel free to just scan this and then, you know, kind of save this for later on. There's the resources linked in there as well.
[00:02:26.320 --> 00:02:34.320]   Cool. Yeah. Also, if you're building with Eleven Labs, I recommend you follow our Eleven Labs Devs Twitter account.
[00:02:34.320 --> 00:02:49.320]   This is specifically for, you know, updates in terms of API versions, client libraries. So anything, you know, if you're a developer building with Eleven Labs, that's a good place to follow and kind of, you know, be in the loop with what is happening.
[00:02:49.320 --> 00:03:00.320]   And then, yeah, I mentioned, so if you if you scan the QR code earlier, there's also the link so you can tap on the QR code as well to open the form.
[00:03:00.320 --> 00:03:05.320]   And if you just fill in your email address, we will send you after this workshop.
[00:03:05.320 --> 00:03:13.320]   So in the workshop, you can get started with kind of the free account. That should be should be plenty. But then, you know, we'll we'll give you a coupon code.
[00:03:13.320 --> 00:03:20.320]   We'll send it to you via email for kind of the next three months to to try it out. Cool.
[00:03:20.320 --> 00:03:31.320]   And as I mentioned, yeah, the resources in the slide. So we'll, you know, kind of tap into these later on and then can kind of, you know, get started building.
[00:03:31.320 --> 00:03:40.320]   We can see as well kind of what folks are building, you know, since we're looking at kind of multilingual conversational AI agents.
[00:03:40.320 --> 00:03:48.320]   Do you just want to shout out kind of the languages that, you know, you're specifically looking to unlock with conversational AI?
[00:03:48.320 --> 00:03:56.320]   Anyone, you know, anything else than English? Any other languages? Portuguese.
[00:03:56.320 --> 00:04:05.320]   Portuguese. Very nice. You're looking for like a Brazilian Portuguese accent or cool. Yeah, we can we can look at that. So we've got Portuguese.
