
[00:00:00.000 --> 00:00:06.200]   Today, we're going to be building an AI agent that allows us to chat with videos.
[00:00:06.200 --> 00:00:08.960]   This AI agent will be fully conversational.
[00:00:08.960 --> 00:00:14.500]   We'll be using Mistral's embed and LEM endpoints to build it.
[00:00:14.500 --> 00:00:22.660]   We'll also be using the Aurelio platform's video processing and chunking endpoints to prepare our data.
[00:00:22.660 --> 00:00:34.640]   Our agent will also use async and streaming so that we get a more scalable application that also has a nice user-friendly design of seeing streaming of tokens.
[00:00:34.640 --> 00:00:47.400]   And towards the end of the video, we're going to be bringing all this together and seeing how we can build a significantly optimized agent that will allow us to reduce our costs pretty dramatically.
[00:00:47.400 --> 00:00:49.920]   So let's jump straight into it.
[00:00:49.920 --> 00:00:55.060]   When we're working through this example notebook, we first install our prerequisites.
[00:00:55.060 --> 00:01:00.780]   We have the Aurelio SDK for the video transcriptions and chunking.
[00:01:00.780 --> 00:01:05.420]   We have YouTube DLP here, which is going to download a YouTube video for us.
[00:01:05.420 --> 00:01:10.100]   And Mr. AI, of course, for the LEM and embed endpoints.
[00:01:10.100 --> 00:01:14.200]   So the first thing we're going to do is download a YouTube video here.
[00:01:14.380 --> 00:01:25.260]   This YouTube video is one that I did before, and it's essentially a video version of this article here.
[00:01:25.260 --> 00:01:36.680]   So going through this, we see that I'm talking about AI agents as neuro-symbolic systems and talking about the neuro side of AI versus the symbolic side of AI.
[00:01:36.940 --> 00:01:40.780]   A little bit of history there, what they both mean, so on and so on.
[00:01:40.780 --> 00:01:43.480]   So we'll be able to ask a few questions around all of that.
[00:01:44.020 --> 00:01:49.240]   Now, we're going to go ahead, and first thing we need to do is actually get the Aurelio API key.
[00:01:49.240 --> 00:01:54.540]   So for that, we need to go to platform.aurelio.ai.
[00:01:54.540 --> 00:01:59.860]   We log in at the top here, and I'm going to use Google.
[00:02:00.880 --> 00:02:07.100]   Okay, and because it's my first time logging with this account, it's going to take me through this little guide.
[00:02:07.100 --> 00:02:11.800]   We can, you can go through it, or you can skip it by pressing the X here.
[00:02:11.800 --> 00:02:22.320]   So I'm going to come over to here, and we do need to add credits before using the API, but you can also use coupon codes to get free credits, essentially.
[00:02:22.720 --> 00:02:25.160]   So, I'm going to show you how to do that.
[00:02:25.160 --> 00:02:39.000]   The coupon code is for $5, so you'd go to here, click purchase, and what you need to do is come over to here where it says add promotion code and type in JB video agent.
[00:02:39.000 --> 00:02:44.040]   Okay, and you can apply that, and you'll get $5 in credits.
[00:02:44.820 --> 00:02:50.680]   Okay, so now we can go over to API keys, we create a new API key, you can call it whatever you want.
[00:02:50.680 --> 00:02:59.640]   I'm going to call it video agent, and I'm just going to copy that, bring it over into my notebook here, and there we go.
[00:02:59.640 --> 00:03:09.600]   So I've now authenticated with the Aurelio client here, and then what I'm going to do is send the video to the platform for processing.
[00:03:09.600 --> 00:03:13.300]   So I'm just going to process it as a single video right now.
[00:03:13.360 --> 00:03:24.740]   I'm not going to chunk anything yet, we're going to do chunking a little bit later, because I want to show you how we use chunking to optimize our costs, which are, we'll see, it's very significant.
[00:03:24.740 --> 00:03:28.760]   So, that will take a little while to process.
[00:03:28.760 --> 00:03:35.940]   So while that's processing, let me talk you through what the first pipeline is that we're building.
[00:03:35.940 --> 00:03:39.060]   Now, to begin with, our pipeline is going to be pretty simple.
[00:03:39.540 --> 00:03:49.300]   So we're going to have our video coming in from YouTube, we're going to be passing that into the system prompt of the agent.
[00:03:49.300 --> 00:03:53.440]   Now, the system prompt is going to include some additional context.
