
[00:00:00.000 --> 00:00:01.660]   So it's mid-summer.
[00:00:01.660 --> 00:00:04.700]   This means people have a little breathing room
[00:00:04.700 --> 00:00:06.060]   in their professional schedule.
[00:00:06.060 --> 00:00:08.900]   They're a little bit more relaxed and open than normal.
[00:00:08.900 --> 00:00:10.940]   So I thought this would be a good moment
[00:00:10.940 --> 00:00:14.940]   to revisit some of the biggest ideas
[00:00:14.940 --> 00:00:18.400]   about the biggest topic that we cover on this show,
[00:00:18.400 --> 00:00:20.900]   productivity, right?
[00:00:20.900 --> 00:00:23.260]   Look, in a world in which digital distractions
[00:00:23.260 --> 00:00:26.140]   and diversions are constantly grabbing at your attention
[00:00:26.140 --> 00:00:29.260]   or fragmenting your schedule or driving you crazy
[00:00:29.260 --> 00:00:31.660]   with relentless, frenetic, shallow activity,
[00:00:31.660 --> 00:00:35.340]   it has never been harder to take control
[00:00:35.340 --> 00:00:36.600]   of your time and attention
[00:00:36.600 --> 00:00:40.600]   and aim it at what really matters.
[00:00:40.600 --> 00:00:42.500]   I can help you with this.
[00:00:42.500 --> 00:00:43.840]   So what I thought I would do here
[00:00:43.840 --> 00:00:48.240]   would be to review five of the biggest ideas I've had
[00:00:48.240 --> 00:00:52.260]   about finding productivity in a distracted world.
[00:00:52.260 --> 00:00:54.100]   You've heard these in bits and pieces
[00:00:54.100 --> 00:00:55.100]   and I mention them all the time,
[00:00:55.100 --> 00:00:56.800]   but I'm bringing them all together
[00:00:56.800 --> 00:01:00.700]   into one consolidated productivity primer.
[00:01:00.700 --> 00:01:02.540]   Let's get us all back on the same stage
[00:01:02.540 --> 00:01:05.940]   about how to gain back some sort of deep control
[00:01:05.940 --> 00:01:07.240]   of our life in a distracted world.
[00:01:07.240 --> 00:01:10.600]   And this I thought would be a perfect time to do it.
[00:01:10.600 --> 00:01:13.940]   All right, so before I get to my five core strategies
[00:01:13.940 --> 00:01:15.940]   to suggest, let's just start
[00:01:15.940 --> 00:01:17.400]   with a quick foundational question
[00:01:17.400 --> 00:01:18.340]   because I think it's important
[00:01:18.340 --> 00:01:20.800]   to calibrate everything we're doing here.
[00:01:20.800 --> 00:01:23.800]   What do we mean by productivity?
[00:01:24.940 --> 00:01:27.840]   Now, in the context of knowledge work,
[00:01:27.840 --> 00:01:29.840]   which is the vast majority of my audience,
[00:01:29.840 --> 00:01:33.800]   productivity can be a tricky topic to talk about.
[00:01:33.800 --> 00:01:38.800]   It's because this term has become more,
[00:01:38.800 --> 00:01:40.440]   I wouldn't say taboo,
[00:01:40.440 --> 00:01:44.000]   but more of a source of distrust or discomfort,
[00:01:44.000 --> 00:01:46.480]   especially in certain online cultures.
[00:01:46.480 --> 00:01:48.080]   So why?
[00:01:48.080 --> 00:01:50.900]   Why are people upset about the idea of productivity?
[00:01:50.900 --> 00:01:51.740]   We have to answer this
[00:01:51.740 --> 00:01:53.300]   before we try to pursue it ourselves.
[00:01:53.300 --> 00:01:54.900]   I think there's two reasons,
[00:01:54.900 --> 00:01:57.040]   two different reasons why people are wary
[00:01:57.040 --> 00:01:59.200]   about this term right now.
[00:01:59.200 --> 00:02:02.300]   Reason number one, in the context of office work,
[00:02:02.300 --> 00:02:05.580]   office workers often confuse the term productivity
[00:02:05.580 --> 00:02:09.340]   with what I call pseudoproductivity.
[00:02:09.340 --> 00:02:12.440]   Now, pseudoproductivity is a concept from my new book,
[00:02:12.440 --> 00:02:14.000]   which is called slow productivity.
[00:02:14.000 --> 00:02:15.840]   So I'm using the word productivity a lot here,
[00:02:15.840 --> 00:02:17.540]   but in my new work, Slow Productivity,
[00:02:17.540 --> 00:02:20.340]   I introduced this notion of pseudoproductivity.
[00:02:20.340 --> 00:02:22.340]   Pseudoproductivity is this rough heuristic
[00:02:22.340 --> 00:02:26.740]   we use to sort of approximate useful effort in office work,
[00:02:26.740 --> 00:02:30.980]   where we say busyness, that is visible activity,
[00:02:30.980 --> 00:02:33.640]   will be our proxy for useful effort.
[00:02:33.640 --> 00:02:39.540]   This rough heuristic reigns supreme in office work.
[00:02:39.540 --> 00:02:42.440]   So when a lot of office workers think about productivity,
[00:02:42.440 --> 00:02:44.880]   what they're really thinking about is pseudoproductivity.
[00:02:44.880 --> 00:02:46.640]   And the problem with pseudoproductivity
[00:02:46.640 --> 00:02:48.840]   is that it's performative and it's grueling.
[00:02:48.840 --> 00:02:51.440]   To increase your pseudoproductivity,
[00:02:51.440 --> 00:02:53.640]   you just have to be busier.
[00:02:53.640 --> 00:02:56.200]   Answer emails faster, answer Slack better,
[00:02:56.200 --> 00:02:58.080]   do more virtual meetings,
[00:02:58.080 --> 00:03:00.000]   chime in on these conversations at night,
[00:03:00.000 --> 00:03:01.640]   on the weekends, in the morning.
[00:03:01.640 --> 00:03:02.740]   It is exhausting.
[00:03:02.740 --> 00:03:04.840]   The only way to increase your pseudoproductivity
[00:03:04.840 --> 00:03:08.200]   is to make your life itself more exhausting.
[00:03:08.200 --> 00:03:10.340]   So when people think you're saying,
[00:03:10.340 --> 00:03:12.840]   "Yeah, we wanna improve pseudoproductivity,"
[00:03:12.840 --> 00:03:13.700]   of course they get upset
[00:03:13.700 --> 00:03:15.440]   because that is performative and grueling.
[00:03:15.440 --> 00:03:16.280]   It is not, however,
[00:03:16.280 --> 00:03:17.920]   what we're gonna be talking about today.
[00:03:17.920 --> 00:03:21.600]   The second reason why people get upset about productivity
[00:03:21.600 --> 00:03:24.640]   is the cultural critics in particular
[00:03:24.640 --> 00:03:26.960]   associate it very closely
[00:03:26.960 --> 00:03:30.020]   with the mathematical concept of optimization,
[00:03:30.020 --> 00:03:35.120]   which they take to mean in the context of work,
[00:03:35.120 --> 00:03:37.600]   fitting as many things as possible into your life
[00:03:37.600 --> 00:03:38.680]   and doing those things
[00:03:38.680 --> 00:03:41.140]   at the absolute highest level possible.
[00:03:41.140 --> 00:03:42.880]   So optimizing what you can fit
[00:03:42.880 --> 00:03:45.380]   and optimizing the performance of what you do.
[00:03:46.480 --> 00:03:49.160]   Cultural critics say, look, an obsession with optimization
[00:03:49.160 --> 00:03:52.400]   is itself also exhausting.
[00:03:52.400 --> 00:03:54.040]   As Oliver Berkman points out,
[00:03:54.040 --> 00:03:56.260]   it's also ultimately gonna be futile
[00:03:56.260 --> 00:03:59.520]   because the vast majority of things you can't do anyways.
[00:03:59.520 --> 00:04:01.560]   So why obsess about fitting in more?
[00:04:01.560 --> 00:04:02.400]   What's the difference?
[00:04:02.400 --> 00:04:04.160]   Why not just relax a little bit?
[00:04:04.160 --> 00:04:07.900]   I think this anti-optimization critique of productivity
[00:04:07.900 --> 00:04:11.320]   really got a sort of intellectual jolt in the arm in 2019
[00:04:11.320 --> 00:04:12.560]   from Ginny O'Dell's work,
[00:04:12.560 --> 00:04:15.160]   in particular her book, "How to Do Nothing."
[00:04:15.160 --> 00:04:16.920]   Ginny O'Dell was drawing from the work
[00:04:16.920 --> 00:04:18.720]   of an Italian communist philosopher,
[00:04:18.720 --> 00:04:21.760]   found a way of actually bringing labor critique concepts
[00:04:21.760 --> 00:04:23.940]   from communism and Marxism
[00:04:23.940 --> 00:04:27.020]   over to critiques of knowledge work
[00:04:27.020 --> 00:04:28.480]   and things such as like our phones,
[00:04:28.480 --> 00:04:29.880]   computers, and social media.
[00:04:29.880 --> 00:04:32.320]   So she introduced a lot of this sort of
[00:04:32.320 --> 00:04:36.800]   modernized Marxist terminology to critiquing optimization,
[00:04:36.800 --> 00:04:38.640]   especially digital optimization,
[00:04:38.640 --> 00:04:43.080]   a lot of terminology about internalizing narratives
[00:04:43.080 --> 00:04:44.840]   of capitalist production and efficiency
[00:04:44.840 --> 00:04:47.240]   and then playing those out in our own lives.
[00:04:47.240 --> 00:04:48.640]   Cultural critics love this stuff.
[00:04:48.640 --> 00:04:51.000]   And so a lot of that terminology has spread
[00:04:51.000 --> 00:04:52.640]   through the discussions of productivity.
[00:04:52.640 --> 00:04:55.360]   So that's the other reason why people are suspicious.
[00:04:55.360 --> 00:04:57.200]   They think of it as optimization,
[00:04:57.200 --> 00:04:58.440]   fit as much as possible,
[00:04:58.440 --> 00:05:01.580]   do that stuff increasingly at higher and higher levels,
[00:05:01.580 --> 00:05:05.040]   which yeah, that can be tiring as well.
[00:05:05.040 --> 00:05:07.440]   So what do we mean?
[00:05:07.440 --> 00:05:09.640]   Well, not quite either of those things.
[00:05:09.640 --> 00:05:11.160]   When I talk about personal productivity,
[00:05:11.160 --> 00:05:13.720]   I typically have two goals in mind.
[00:05:13.720 --> 00:05:16.720]   The first is the ability to control your time and attention
[00:05:16.720 --> 00:05:20.720]   so you can be intentional about what receives your energy.
[00:05:20.720 --> 00:05:22.320]   This allows you to better shape your life
[00:05:22.320 --> 00:05:25.120]   towards deeper objectives.
[00:05:25.120 --> 00:05:29.240]   The second goal I have for personal productivity,
[00:05:29.240 --> 00:05:33.060]   separate your results from exhaustion.
[00:05:33.060 --> 00:05:35.120]   Be smart about how you tackle specific work
[00:05:35.120 --> 00:05:36.360]   so that you can produce good results
[00:05:36.360 --> 00:05:38.320]   without wasting large amounts of time and energy
[00:05:38.320 --> 00:05:40.680]   or falling towards burnout.
[00:05:40.680 --> 00:05:42.640]   If what you're doing isn't sustainable,
[00:05:42.640 --> 00:05:44.200]   then you're not doing it right.
[00:05:44.200 --> 00:05:48.040]   Okay, so the second element of personal productivity,
[00:05:48.040 --> 00:05:51.240]   find a way to do whatever you wanna do that's sustainable.
[00:05:51.240 --> 00:05:53.520]   That's very unique to me, I would say.
[00:05:53.520 --> 00:05:55.440]   I am very sensitive to tiredness.
[00:05:55.440 --> 00:05:56.900]   I'm very sensitive to stress.
[00:05:56.900 --> 00:05:59.920]   So this has been a big undercurrent
[00:05:59.920 --> 00:06:02.300]   in my professional discussion of productivity
[00:06:02.300 --> 00:06:03.560]   is how do we avoid those things?
[00:06:03.560 --> 00:06:05.820]   I do not like the idea of hustling.
[00:06:05.820 --> 00:06:07.920]   I do not like the idea of burning the midnight oil
[00:06:07.920 --> 00:06:09.800]   and just getting after it and waking up at five
[00:06:09.800 --> 00:06:12.400]   and working harder than the other person.
[00:06:12.400 --> 00:06:13.940]   I'm not well wired for it.
[00:06:13.940 --> 00:06:17.000]   So this is unique to my flavor of personal productivity
[00:06:17.000 --> 00:06:19.000]   is the key is sustainability.
[00:06:19.000 --> 00:06:20.000]   It's not gonna exhaust you.
[00:06:20.000 --> 00:06:21.000]   You have flexibility.
[00:06:21.000 --> 00:06:22.800]   That's important to me.
[00:06:22.800 --> 00:06:24.360]   This first part though, gets to the key
[00:06:24.360 --> 00:06:26.280]   of what we really mean by personal productivity,
[00:06:26.280 --> 00:06:29.400]   which is you can control what you're doing when you do it,
[00:06:29.400 --> 00:06:30.400]   why you're doing it.
[00:06:30.400 --> 00:06:34.820]   So to me, here's the choice.
[00:06:34.820 --> 00:06:37.960]   If you wanna pursue this definition of productivity,
[00:06:37.960 --> 00:06:39.640]   you gain control over what you do,
[00:06:39.640 --> 00:06:40.840]   and you're trying to be very careful
[00:06:40.840 --> 00:06:43.460]   about avoiding burnout producing patterns.
[00:06:43.460 --> 00:06:47.200]   To not do this means you're in danger
[00:06:47.200 --> 00:06:48.080]   of falling to the opposite,
[00:06:48.080 --> 00:06:50.120]   being not in control of your time and attention
[00:06:50.120 --> 00:06:52.360]   and not being particularly careful
[00:06:52.360 --> 00:06:55.080]   about trying to avoid burnout or unsustainable work habits.
[00:06:55.080 --> 00:06:56.700]   You're much more likely to be overloaded
[00:06:56.700 --> 00:06:58.560]   or frenetic or exhausted.
[00:06:58.560 --> 00:06:59.960]   So what do you do with these skills?
[00:06:59.960 --> 00:07:02.740]   So if you do gain this definition of personal productivity,
[00:07:02.740 --> 00:07:03.580]   what do you do with them?
[00:07:03.580 --> 00:07:04.900]   Well, look, it's up to you.
[00:07:04.900 --> 00:07:08.240]   Like, I think it's fine, for example,
[00:07:08.240 --> 00:07:11.760]   to put these skills to use for a while,
[00:07:11.760 --> 00:07:13.880]   to kind of do the old school optimization
[00:07:13.880 --> 00:07:15.480]   that the cultural critics worry about and say,
[00:07:15.480 --> 00:07:17.100]   you know, I'm gonna try to get after it
[00:07:17.100 --> 00:07:18.600]   and get really good at these skills
[00:07:18.600 --> 00:07:22.320]   or be a huge standout at my job for the, you know,
[00:07:22.320 --> 00:07:25.140]   during my 20s as a way of like building up autonomy
[00:07:25.140 --> 00:07:27.640]   and career capital and really setting myself up
[00:07:27.640 --> 00:07:28.480]   on the right foundation.
[00:07:28.480 --> 00:07:29.300]   There's a time for that,
[00:07:29.300 --> 00:07:31.140]   and these skills could of course help you with that.
[00:07:31.140 --> 00:07:32.680]   But you can use the exact same skills
[00:07:32.680 --> 00:07:36.680]   we're gonna talk about here to minimize the time needed
[00:07:36.680 --> 00:07:39.520]   to do a good enough job at your job
[00:07:39.520 --> 00:07:41.280]   that no one is gonna notice you.
[00:07:41.280 --> 00:07:42.520]   So if you're at a time in your life
[00:07:42.520 --> 00:07:45.040]   where you need more flexibility or just a break,
[00:07:45.040 --> 00:07:46.520]   maybe you have new kids
[00:07:46.520 --> 00:07:48.220]   or you're caring for a sick relative,
[00:07:48.220 --> 00:07:49.660]   or you're really looking to invest
[00:07:49.660 --> 00:07:51.100]   in other parts of your life,
[00:07:51.100 --> 00:07:54.240]   your personal transformation
[00:07:54.240 --> 00:07:56.300]   and important involvement in your community,
[00:07:56.300 --> 00:07:58.880]   these same tools can be used to help you take your work
[00:07:58.880 --> 00:08:01.520]   and squeeze that footprint down small
[00:08:01.520 --> 00:08:04.880]   in a way that people like, hey, Cal's doing great.
[00:08:04.880 --> 00:08:06.080]   It doesn't catch our attention.
[00:08:06.080 --> 00:08:09.680]   And yet you've spread out and can compress this work
[00:08:09.680 --> 00:08:11.960]   in such a way you have a lot of free time.
[00:08:11.960 --> 00:08:14.160]   You can also deploy the type of ideas
[00:08:14.160 --> 00:08:15.000]   we're gonna talk about here
[00:08:15.000 --> 00:08:17.700]   to systematically transform your life outside of work.
