
[00:00:00.000 --> 00:00:02.520]   (upbeat music)
[00:00:02.520 --> 00:00:07.520]   I'm Cal Newport, and this is Deep Questions, episode 181.
[00:00:07.520 --> 00:00:16.560]   I'm here as always in my Deep Work HQ,
[00:00:16.560 --> 00:00:19.280]   joined by my professor, professor?
[00:00:19.280 --> 00:00:21.160]   That's the second time I've done that.
[00:00:21.160 --> 00:00:23.420]   My producer, Jesse.
[00:00:23.420 --> 00:00:26.200]   I keep trying to promote the professor.
[00:00:26.200 --> 00:00:29.680]   Jesse, we made a mistake last week
[00:00:29.680 --> 00:00:31.760]   that we've been hearing about, haven't we?
[00:00:31.760 --> 00:00:33.720]   Oh yeah, yeah.
[00:00:33.720 --> 00:00:35.440]   We both have been getting emails.
[00:00:35.440 --> 00:00:38.120]   He's been getting emails at his address, mine at mine.
[00:00:38.120 --> 00:00:39.800]   Here's what happened.
[00:00:39.800 --> 00:00:44.720]   I mixed up fantasy writer, Brandon Sanderson,
[00:00:44.720 --> 00:00:49.720]   with writer, Pat Ruthfuss, and I know the difference.
[00:00:49.720 --> 00:00:54.040]   I read a bunch of Pat Ruthfuss, I know Brandon Sanderson.
[00:00:54.040 --> 00:00:57.760]   It's just sometimes when you're recording,
[00:00:57.760 --> 00:00:59.400]   your mind is going to a bunch of different places.
[00:00:59.400 --> 00:01:01.160]   At once, to try to set up what's coming next,
[00:01:01.160 --> 00:01:03.880]   and you can fall into these weird traps,
[00:01:03.880 --> 00:01:05.640]   like me calling Jesse a professor.
[00:01:05.640 --> 00:01:09.280]   And so I was mixing up Pat with Brandon,
[00:01:09.280 --> 00:01:13.600]   and Deep Questions listeners were not happy about that.
[00:01:13.600 --> 00:01:14.440]   We got some emails.
[00:01:14.440 --> 00:01:15.640]   You would think, Jesse, you would think,
[00:01:15.640 --> 00:01:18.360]   based on the number of emails we got,
[00:01:18.360 --> 00:01:23.280]   and their upsetness, that we had announced
[00:01:23.280 --> 00:01:25.440]   that we were starting a new podcast
[00:01:25.440 --> 00:01:28.400]   in which me and Vladimir Putin would try
[00:01:28.400 --> 00:01:31.040]   to encourage parents not to vaccinate their children.
[00:01:31.040 --> 00:01:33.200]   You would think that's what we announced,
[00:01:33.200 --> 00:01:37.080]   based on the volume and negativity of the feedback
[00:01:37.080 --> 00:01:40.240]   for messing up those two authors.
[00:01:40.240 --> 00:01:43.000]   So my apologies to Brandon,
[00:01:43.000 --> 00:01:46.880]   my apologies to Pat for mixing you up.
[00:01:46.880 --> 00:01:48.080]   I don't think Brandon cares.
[00:01:48.080 --> 00:01:52.400]   I think the $21 million Kickstarter that he just did
[00:01:52.400 --> 00:01:53.880]   is probably more on his mind
[00:01:53.880 --> 00:01:56.840]   than Deep Questions mixing up his name.
[00:01:56.840 --> 00:01:58.880]   - I like the passion of your fan base, though.
[00:01:58.880 --> 00:02:00.160]   It's great.
[00:02:00.160 --> 00:02:02.320]   - Yeah, well, okay, here's the telling thing
[00:02:02.320 --> 00:02:03.400]   about my fan base.
[00:02:03.400 --> 00:02:07.440]   So a few weeks ago, when I didn't know the name
[00:02:07.440 --> 00:02:10.800]   of the starting quarterback of the Bengals,
[00:02:10.800 --> 00:02:13.400]   crickets, no one cares.
[00:02:13.400 --> 00:02:18.400]   When I mess up the author of the King Killer series,
[00:02:18.400 --> 00:02:22.600]   and Chronicles, and the author who finished
[00:02:22.600 --> 00:02:25.480]   the Wheel of Time, hundreds of emails.
[00:02:25.480 --> 00:02:27.320]   So I think that tells us something about our fans.
[00:02:27.320 --> 00:02:30.440]   Let's not lean into sports commentary
[00:02:30.440 --> 00:02:33.600]   and ultimate fighting minutia.
[00:02:33.600 --> 00:02:36.800]   I think sticking carefully in the realm of fantasy,
[00:02:36.800 --> 00:02:38.480]   this is probably more our people.
[00:02:38.480 --> 00:02:40.600]   So I think we learned a lot this week, Jesse.
[00:02:40.600 --> 00:02:41.920]   - Yeah, it was good.
[00:02:41.920 --> 00:02:45.920]   - So what I wanna do is a core idea.
[00:02:45.920 --> 00:02:49.200]   I think the series has been going well.
[00:02:49.200 --> 00:02:51.760]   The core idea of videos, which we have been releasing
[00:02:51.760 --> 00:02:55.760]   as standalone videos at youtube.com/calnewportmedia
[00:02:55.760 --> 00:02:58.360]   have been some of the most popular videos
[00:02:58.360 --> 00:02:59.760]   we've been releasing.
[00:02:59.760 --> 00:03:01.640]   When Jesse and I had the original idea
[00:03:01.640 --> 00:03:05.840]   for doing a series of core idea segments, I made a list.
[00:03:05.840 --> 00:03:08.760]   Well, here are top of mind, the core ideas
[00:03:08.760 --> 00:03:10.760]   I come back to again and again in my writing
[00:03:10.760 --> 00:03:12.040]   and on this podcast.
[00:03:12.040 --> 00:03:13.880]   We have almost gotten through that entire list,
[00:03:13.880 --> 00:03:16.680]   but there is one topic left on that original list,
[00:03:16.680 --> 00:03:19.980]   and that is the topic I want to cover today,
[00:03:20.880 --> 00:03:25.000]   which is the case against email.
[00:03:25.000 --> 00:03:30.080]   Now, this is the ideas that I fully articulated
[00:03:30.080 --> 00:03:34.080]   in my most recent book, "A World Without Email."
[00:03:34.080 --> 00:03:36.320]   I also explored a lot of these ideas
[00:03:36.320 --> 00:03:38.040]   in my New Yorker writing.
[00:03:38.040 --> 00:03:40.120]   So if you look back at my New Yorker archive
[00:03:40.120 --> 00:03:42.680]   from before and even after the publication
[00:03:42.680 --> 00:03:44.200]   of "A World Without Email," I also explored
[00:03:44.200 --> 00:03:47.320]   a lot of these ideas in the pages of the New Yorker as well.
[00:03:47.320 --> 00:03:51.660]   I want to capture them all now in one core idea segment.
[00:03:51.660 --> 00:03:55.040]   There's four parts here that I want to tackle.
[00:03:55.040 --> 00:03:56.600]   One, I'm going to introduce the notion
[00:03:56.600 --> 00:03:59.560]   of the hyperactive hive mind.
[00:03:59.560 --> 00:04:02.040]   It's the most important piece of vocabulary
[00:04:02.040 --> 00:04:04.280]   that you will come away from this segment having learned.
[00:04:04.280 --> 00:04:07.380]   If you listen to one thing, know this term.
[00:04:07.380 --> 00:04:10.960]   Two, I want to get into why the hyperactive hive mind
[00:04:10.960 --> 00:04:15.120]   is such a villain in the context of modern knowledge work.
[00:04:15.120 --> 00:04:17.480]   Three, I'm going to tackle if it's so bad,
[00:04:17.480 --> 00:04:19.640]   why is it so common?
[00:04:19.640 --> 00:04:21.260]   And then four, we will briefly touch on,
